* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 5, 2024 11:35:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L TIN T5S Jan 5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 151.410 171.2696
20.600000 151.372 170.7087
20.900000 151.329 170.2074
21.200001 151.288 169.7063
21.400000 151.262 169.3684
21.799999 151.213 168.6871
22.000000 151.189 168.3479
22.400000 151.143 167.6870
22.700001 151.109 167.2163
23.000000 151.075 166.7709
23.299999 151.040 166.3460
23.600000 151.004 165.9348
24.000000 150.955 165.3968
24.299999 150.917 164.9964
24.700001 150.865 164.4671
25.000000 150.825 164.0766
25.400000 150.774 163.5680
25.799999 150.724 163.0741
26.200001 150.676 162.5945
26.500000 150.640 162.2450
26.900000 150.590 161.7946
27.200001 150.552 161.4686
27.600000 150.500 161.0468
28.000000 150.447 160.6322
28.500000 150.380 160.1133
29.000000 150.314 159.5944
29.500000 150.248 159.0900
30.000000 150.184 158.6145
30.400000 150.136 158.2548
30.700001 150.100 157.9936
31.100000 150.053 157.6512
31.500000 150.004 157.3141
32.000000 149.941 156.9034
32.500000 149.877 156.5102
33.000000 149.814 156.1311
33.500000 149.752 155.7561
34.000000 149.691 155.3833
34.500000 149.626 155.0263
35.000000 149.562 154.6946
35.500000 149.500 154.3723
36.000000 149.442 154.0317
36.500000 149.383 153.6752
37.000000 149.322 153.3491
37.500000 149.264 153.0931
38.200001 149.195 152.7980
38.700001 149.150 152.5415
39.500000 149.052 152.0356
40.000000 148.977 151.7517
40.599998 148.891 151.4760
41.200001 148.822 151.1954
41.799999 148.759 150.8781
42.500000 148.681 150.5408
43.099998 148.614 150.3149
43.700001 148.549 150.0928
44.400002 148.471 149.8047
45.000000 148.402 149.5664
45.500000 148.346 149.3866
46.200001 148.273 149.1438
46.799999 148.209 148.9360
47.500000 148.134 148.7065
48.200001 148.060 148.4878
48.700001 148.008 148.3323
49.400002 147.938 148.1189
50.000000 147.877 147.9482
50.799999 147.795 147.7441
51.500000 147.724 147.5750
52.200001 147.654 147.3971
53.000000 147.573 147.2019
53.799999 147.497 147.0311
54.500000 147.435 146.8609
55.200001 147.368 146.6748
56.000000 147.286 146.5211
57.000000 147.193 146.3901
58.000000 147.103 146.2100
59.000000 147.010 146.0574
60.000000 146.923 145.9272
60.799999 146.853 145.8161
61.500000 146.792 145.7246
62.200001 146.732 145.6358
63.000000 146.664 145.5412
64.000000 146.580 145.4413
65.000000 146.495 145.3371
66.000000 146.410 145.2411
67.000000 146.330 145.1572
68.000000 146.251 145.0672
69.000000 146.172 145.0039
70.000000 146.097 144.9454
71.000000 146.020 144.8886
72.000000 145.945 144.8477
73.000000 145.870 144.7990
74.000000 145.795 144.7709
75.000000 145.723 144.7454
76.199997 145.636 144.7074
77.500000 145.545 144.6967
78.800003 145.456 144.6749
80.000000 145.373 144.6765
81.199997 145.293 144.6622
82.500000 145.205 144.6652
83.800003 145.125 144.6883
85.000000 145.048 144.7233
86.199997 144.971 144.7473
87.500000 144.889 144.7825
88.500000 144.830 144.8098
90.000000 144.740 144.8563
91.199997 144.670 144.8831
92.500000 144.594 144.9391
93.800003 144.522 145.0238
95.000000 144.452 145.0631
96.199997 144.384 145.1374
97.500000 144.321 145.2040
98.800003 144.246 145.2635
100.000000 144.182 145.3704
101.500000 144.109 145.4304
103.000000 144.035 145.5330
104.400002 143.951 145.6267
106.000000 143.885 145.7740
107.500000 143.807 145.8481
109.000000 143.742 145.9510
110.599998 143.660 146.0891
112.000000 143.598 146.2232
113.800003 143.516 146.3872
115.000000 143.470 146.4718
117.199997 143.375 146.6827
118.000000 143.346 146.7362
120.599998 143.228 146.8868
122.000000 143.175 147.0571
124.099998 143.089 147.2259
125.000000 143.050 147.3165
126.500000 142.996 147.5111
128.000000 142.940 147.6744
131.500000 142.805 148.0376
132.000000 142.786 148.0821
134.000000 142.714 148.2735
136.000000 142.644 148.4540
138.000000 142.576 148.6704
140.000000 142.509 148.8944
143.000000 142.411 149.1826
145.000000 142.348 149.4234
147.500000 142.271 149.6761
150.000000 142.194 149.9627
152.500000 142.119 150.2260
155.000000 142.046 150.4821
157.500000 141.980 150.7697
160.000000 141.909 151.0403
162.500000 141.842 151.3146
165.000000 141.782 151.6010
167.500000 141.717 151.8625
170.000000 141.656 152.1692
172.500000 141.596 152.4165
175.000000 141.538 152.7129
177.500000 141.477 152.9968
180.000000 141.420 153.2542
182.500000 141.368 153.5272
185.000000 141.314 153.8123
187.500000 141.263 154.0835
190.000000 141.210 154.3666
192.500000 141.161 154.6179
195.000000 141.119 154.9218
197.500000 141.065 155.1891
200.000000 141.023 155.4799
203.000000 140.965 155.7814
206.000000 140.916 156.1234
209.000000 140.874 156.4216
212.000000 140.811 156.7679
214.000000 140.780 157.0106
218.000000 140.717 157.3950
220.000000 140.684 157.5775
224.000000 140.632 158.0458
227.000000 140.579 158.3422
230.000000 140.540 158.7224
233.000000 140.498 158.9089
236.000000 140.463 159.3450
240.000000 140.401 159.7173
243.000000 140.382 159.9655
247.000000 140.319 160.3934
250.000000 140.292 160.7354
254.000000 140.231 161.1239
258.000000 140.195 161.5037
262.000000 140.149 161.9603
265.000000 140.120 162.2430
269.000000 140.076 162.5954
272.000000 140.044 162.9253
276.000000 140.007 163.2941
280.000000 139.972 163.6815
285.000000 139.928 164.1702
290.000000 139.880 164.6317
295.000000 139.841 165.0755
300.000000 139.801 165.5414
304.000000 139.769 165.9017
307.000000 139.747 166.1776
311.000000 139.715 166.5403
315.000000 139.688 166.9163
320.000000 139.656 167.3768
325.000000 139.622 167.8046
330.000000 139.592 168.2409
335.000000 139.557 168.6832
340.000000 139.527 169.0954
345.000000 139.498 169.5696
350.000000 139.474 169.9503
355.000000 139.448 170.3918
360.000000 139.423 170.7244
365.000000 139.397 171.2327
370.000000 139.381 171.5947
375.000000 139.347 171.9903
382.000000 139.320 172.6095
387.000000 139.302 172.9904
395.000000 139.271 173.6127
400.000000 139.249 174.0108
406.000000 139.228 174.5078
412.000000 139.211 174.9550
418.000000 139.197 175.4131
425.000000 139.171 175.9311
431.000000 139.152 176.4191
437.000000 139.134 176.8637
444.000000 139.115 177.3940
450.000000 139.100 177.8370
455.000000 139.088 178.1684
462.000000 139.075 178.6969
468.000000 139.060 179.1521
475.000000 139.049 179.6728
482.000000 139.038 -179.8533
487.000000 139.029 -179.4677
494.000000 139.010 -178.9525
500.000000 139.003 -178.5501
508.000000 138.991 -177.9672
515.000000 138.986 -177.4916
522.000000 138.980 -177.0091
530.000000 138.965 -176.4453
538.000000 138.964 -175.8824
545.000000 138.961 -175.3749
552.000000 138.953 -174.8834
560.000000 138.954 -174.3458
570.000000 138.948 -173.6880
580.000000 138.943 -172.9748
590.000000 138.946 -172.2867
600.000000 138.943 -171.6107
608.000000 138.949 -171.0636
615.000000 138.949 -170.5625
622.000000 138.958 -170.1190
630.000000 138.957 -169.5662
640.000000 138.967 -168.8680
650.000000 138.977 -168.1962
660.000000 138.993 -167.5485
670.000000 139.004 -166.8550
680.000000 139.015 -166.1920
690.000000 139.034 -165.4969
700.000000 139.055 -164.8267
710.000000 139.072 -164.1586
720.000000 139.096 -163.4857
730.000000 139.125 -162.8029
740.000000 139.149 -162.1496
750.000000 139.179 -161.4930
762.000000 139.217 -160.6835
775.000000 139.260 -159.8210
788.000000 139.310 -158.9796
800.000000 139.360 -158.2006
812.000000 139.413 -157.4078
825.000000 139.482 -156.5340
838.000000 139.544 -155.7693
850.000000 139.604 -154.9955
862.000000 139.676 -154.2870
875.000000 139.760 -153.5014
885.000000 139.820 -152.9574
900.000000 139.915 -152.0738
912.000000 140.001 -151.4294
925.000000 140.092 -150.7512
938.000000 140.188 -150.1233
950.000000 140.288 -149.5208
962.000000 140.379 -148.9891
975.000000 140.487 -148.4206
988.000000 140.596 -147.9008
1000.000000 140.703 -147.3833
1015.000000 140.821 -146.8974
1030.000000 140.951 -146.4040
1044.000000 141.070 -146.0114
1060.000000 141.209 -145.5820
1075.000000 141.338 -145.2588
1090.000000 141.462 -144.9556
1106.000000 141.600 -144.6768
1120.000000 141.710 -144.4492
1138.000000 141.857 -144.2187
1150.000000 141.953 -144.1116
1172.000000 142.120 -143.9006
1180.000000 142.175 -143.8560
1206.000000 142.362 -143.6779
1220.000000 142.461 -143.6382
1241.000000 142.595 -143.5884
1250.000000 142.653 -143.5751
1265.000000 142.745 -143.5410
1280.000000 142.841 -143.5043
1315.000000 143.045 -143.4971
1320.000000 143.072 -143.4718
1340.000000 143.183 -143.4761
1360.000000 143.291 -143.4603
1380.000000 143.399 -143.4848
1400.000000 143.500 -143.4808
1430.000000 143.654 -143.5001
1450.000000 143.756 -143.5245
1475.000000 143.877 -143.5597
1500.000000 144.003 -143.5945
1525.000000 144.128 -143.6191
1550.000000 144.250 -143.7033
1575.000000 144.372 -143.8041
1600.000000 144.492 -143.8970
1625.000000 144.609 -144.0035
1650.000000 144.731 -144.1525
1675.000000 144.851 -144.2970
1700.000000 144.970 -144.4700
1725.000000 145.086 -144.6917
1750.000000 145.202 -144.8755
1775.000000 145.316 -145.1362
1800.000000 145.427 -145.4047
1825.000000 145.537 -145.6947
1850.000000 145.651 -146.0031
1875.000000 145.761 -146.3530
1900.000000 145.861 -146.7061
1925.000000 145.968 -147.0916
1950.000000 146.070 -147.4919
1975.000000 146.169 -147.9272
2000.000000 146.269 -148.3800
2030.000000 146.373 -148.9458
2060.000000 146.478 -149.5312
2090.000000 146.580 -150.1611
2120.000000 146.675 -150.8027
2140.000000 146.737 -151.2534
2180.000000 146.853 -152.1739
2200.000000 146.907 -152.6259
2240.000000 147.006 -153.5914
2270.000000 147.076 -154.3150
2300.000000 147.137 -155.0912
2330.000000 147.195 -155.8255
2360.000000 147.248 -156.5992
2400.000000 147.310 -157.5934
2430.000000 147.350 -158.3232
2470.000000 147.391 -159.3250
2500.000000 147.418 -160.0499
2540.000000 147.448 -161.0301
2580.000000 147.470 -161.9575
2620.000000 147.485 -162.8951
2650.000000 147.492 -163.5787
2690.000000 147.496 -164.4790
2720.000000 147.495 -165.0955
2760.000000 147.491 -165.9460
2800.000000 147.484 -166.7555
2850.000000 147.474 -167.7264
2900.000000 147.456 -168.6746
2950.000000 147.438 -169.5789
3000.000000 147.416 -170.4777
3040.000000 147.397 -171.1282
3070.000000 147.384 -171.6251
3110.000000 147.369 -172.2802
3150.000000 147.346 -172.9058
3200.000000 147.325 -173.6934
3250.000000 147.299 -174.4686
3300.000000 147.280 -175.2504
3350.000000 147.254 -176.0182
3400.000000 147.227 -176.8255
3450.000000 147.206 -177.6040
3500.000000 147.176 -178.4002
3550.000000 147.149 -179.2186
3600.000000 147.120 179.9413
3650.000000 147.087 179.0787
3700.000000 147.050 178.2152
3750.000000 147.004 177.2953
3820.000000 146.938 176.0338
3870.000000 146.883 175.0727
3950.000000 146.778 173.5029
4000.000000 146.694 172.5780
4060.000000 146.596 171.3797
4120.000000 146.479 170.2085
4180.000000 146.343 169.0556
4250.000000 146.164 167.7408
4310.000000 145.997 166.6820
4370.000000 145.818 165.6478
4440.000000 145.589 164.5754
4500.000000 145.368 163.7153
4550.000000 145.181 163.0821
4620.000000 144.910 162.3198
4680.000000 144.663 161.7747
4750.000000 144.373 161.2751
4820.000000 144.065 160.9607
4870.000000 143.846 160.8504
4940.000000 143.536 160.7854
5000.000000 143.261 160.8092
5080.000000 142.907 161.1061
5150.000000 142.600 161.5708
5220.000000 142.299 162.1162
5300.000000 141.961 162.8945
5380.000000 141.624 163.9123
5450.000000 141.345 164.8876
5520.000000 141.073 165.9799
5600.000000 140.787 167.3619
5700.000000 140.430 169.2802
5800.000000 140.111 171.3067
5900.000000 139.815 173.5560
6000.000000 139.539 175.8343
6080.000000 139.341 177.9411
6150.000000 139.180 179.5975
6220.000000 139.023 -178.4848
