* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 18, 2024 7:57:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L P1 MAX 2 500 MESH Apr 18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 139.360 -141.6190
20.600000 139.388 -142.5320
20.900000 139.407 -143.3149
21.200001 139.426 -144.0541
21.400000 139.440 -144.5332
21.799999 139.475 -145.4755
22.000000 139.494 -145.9447
22.400000 139.534 -146.8820
22.700001 139.561 -147.5763
23.000000 139.585 -148.2546
23.299999 139.606 -148.9123
23.600000 139.624 -149.5497
24.000000 139.645 -150.3736
24.299999 139.660 -150.9794
24.700001 139.678 -151.7803
25.000000 139.692 -152.3803
25.400000 139.709 -153.1801
25.799999 139.724 -153.9730
26.200001 139.737 -154.7460
26.500000 139.745 -155.3048
26.900000 139.754 -156.0180
27.200001 139.761 -156.5320
27.600000 139.772 -157.1992
28.000000 139.782 -157.8596
28.500000 139.795 -158.6871
29.000000 139.805 -159.5141
29.500000 139.813 -160.3318
30.000000 139.820 -161.1368
30.400000 139.824 -161.7699
30.700001 139.826 -162.2345
31.100000 139.828 -162.8307
31.500000 139.830 -163.3924
32.000000 139.833 -164.0459
32.500000 139.838 -164.6660
33.000000 139.839 -165.2790
33.500000 139.834 -165.8913
34.000000 139.821 -166.4960
34.500000 139.806 -167.1017
35.000000 139.795 -167.7376
35.500000 139.788 -168.4196
36.000000 139.782 -169.1135
36.500000 139.775 -169.7566
37.000000 139.773 -170.3156
37.500000 139.774 -170.8196
38.200001 139.771 -171.5251
38.700001 139.757 -172.0399
39.500000 139.724 -172.8251
40.000000 139.711 -173.3108
40.599998 139.703 -173.9333
41.200001 139.692 -174.5754
41.799999 139.673 -175.1662
42.500000 139.645 -175.7681
43.099998 139.623 -176.2694
43.700001 139.603 -176.7944
44.400002 139.581 -177.4170
45.000000 139.565 -177.9438
45.500000 139.551 -178.3814
46.200001 139.525 -178.9680
46.799999 139.499 -179.4079
47.500000 139.478 -179.8876
48.200001 139.459 179.5660
48.700001 139.435 179.1567
49.400002 139.395 178.6609
50.000000 139.374 178.2719
50.799999 139.359 177.6591
51.500000 139.331 177.1517
52.200001 139.302 176.7515
53.000000 139.268 176.1913
53.799999 139.217 175.5996
54.500000 139.205 175.2030
55.200001 139.229 174.6395
56.000000 139.200 173.8681
57.000000 139.096 173.5603
58.000000 139.062 173.2306
59.000000 139.016 172.5565
60.000000 138.977 172.0933
60.799999 138.941 171.6683
61.500000 138.899 171.3396
62.200001 138.871 171.0149
63.000000 138.841 170.5614
64.000000 138.788 170.1169
65.000000 138.745 169.7176
66.000000 138.700 169.2275
67.000000 138.654 168.7762
68.000000 138.604 168.3484
69.000000 138.555 167.9631
70.000000 138.512 167.5519
71.000000 138.462 167.1443
72.000000 138.416 166.7686
73.000000 138.375 166.3777
74.000000 138.328 166.0494
75.000000 138.278 165.7118
76.199997 138.217 165.2648
77.500000 138.165 164.7570
78.800003 138.099 164.4155
80.000000 138.051 164.0113
81.199997 137.984 163.6786
82.500000 137.933 163.3233
83.800003 137.864 162.9615
85.000000 137.824 162.6740
86.199997 137.770 162.3363
87.500000 137.694 162.0649
88.500000 137.660 161.8803
90.000000 137.591 161.3420
91.199997 137.533 161.1711
92.500000 137.481 160.8286
93.800003 137.415 160.5697
95.000000 137.365 160.3183
96.199997 137.314 160.0796
97.500000 137.263 159.8752
98.800003 137.198 159.6519
100.000000 137.145 159.4167
101.500000 137.085 159.1275
103.000000 137.020 158.9668
104.400002 136.951 158.7181
106.000000 136.889 158.4159
107.500000 136.837 158.2264
109.000000 136.765 157.9854
110.599998 136.704 157.8663
112.000000 136.655 157.5871
113.800003 136.568 157.4316
115.000000 136.523 157.2869
117.199997 136.434 157.1103
118.000000 136.407 157.0305
120.599998 136.301 156.8063
122.000000 136.238 156.5880
124.099998 136.167 156.3945
125.000000 136.130 156.3160
126.500000 136.074 156.3188
128.000000 136.025 156.1566
131.500000 135.898 155.9461
132.000000 135.881 155.9026
134.000000 135.798 155.7898
136.000000 135.733 155.6204
138.000000 135.666 155.5914
140.000000 135.601 155.4987
143.000000 135.490 155.3181
145.000000 135.424 155.2455
147.500000 135.338 155.1788
150.000000 135.262 155.1418
152.500000 135.176 155.0717
155.000000 135.100 155.0285
157.500000 135.018 154.8843
160.000000 134.943 154.9851
162.500000 134.868 154.9300
165.000000 134.793 155.0193
167.500000 134.727 154.9202
170.000000 134.657 154.9694
172.500000 134.589 155.0210
175.000000 134.516 155.0113
177.500000 134.446 155.0680
180.000000 134.381 155.0825
182.500000 134.314 155.1498
185.000000 134.250 155.1611
187.500000 134.186 155.2256
190.000000 134.120 155.3400
192.500000 134.057 155.3674
195.000000 134.005 155.4308
197.500000 133.941 155.4865
200.000000 133.882 155.5019
203.000000 133.818 155.7000
206.000000 133.756 155.7384
209.000000 133.679 155.8547
212.000000 133.624 155.9502
214.000000 133.578 156.1479
218.000000 133.505 156.2319
220.000000 133.447 156.3105
224.000000 133.365 156.5216
227.000000 133.312 156.6396
230.000000 133.257 156.7289
233.000000 133.202 156.9730
236.000000 133.142 157.1289
240.000000 133.077 157.3600
243.000000 133.023 157.4117
247.000000 132.956 157.6753
250.000000 132.911 157.7975
254.000000 132.827 158.0641
258.000000 132.780 158.2448
262.000000 132.716 158.4426
265.000000 132.664 158.6237
269.000000 132.602 158.9112
272.000000 132.579 159.0176
276.000000 132.524 159.1901
280.000000 132.459 159.4372
285.000000 132.386 159.7688
290.000000 132.329 160.0174
295.000000 132.264 160.3611
300.000000 132.205 160.6353
304.000000 132.153 160.9152
307.000000 132.117 161.0515
311.000000 132.079 161.2599
315.000000 132.024 161.6222
320.000000 131.969 161.8822
325.000000 131.921 162.1360
330.000000 131.873 162.5282
335.000000 131.835 162.7963
340.000000 131.783 163.1267
345.000000 131.746 163.4059
350.000000 131.687 163.7614
355.000000 131.656 163.9106
360.000000 131.613 164.2680
365.000000 131.570 164.6312
370.000000 131.511 164.9820
375.000000 131.482 165.2584
382.000000 131.433 165.7024
387.000000 131.407 165.9880
395.000000 131.360 166.4129
400.000000 131.330 166.7391
406.000000 131.277 167.1295
412.000000 131.248 167.4524
418.000000 131.220 167.7780
425.000000 131.175 168.2263
431.000000 131.156 168.5244
437.000000 131.117 168.9106
444.000000 131.092 169.2895
450.000000 131.051 169.6385
455.000000 131.027 169.8980
462.000000 131.002 170.3896
468.000000 130.975 170.7056
475.000000 130.947 171.0258
482.000000 130.927 171.5361
487.000000 130.918 171.6789
494.000000 130.878 172.1339
500.000000 130.850 172.5227
508.000000 130.837 172.8357
515.000000 130.816 173.3394
522.000000 130.801 173.6534
530.000000 130.779 174.0823
538.000000 130.756 174.5157
545.000000 130.735 174.9046
552.000000 130.715 175.2357
560.000000 130.706 175.7159
570.000000 130.692 176.2680
580.000000 130.667 176.7238
590.000000 130.659 177.1794
600.000000 130.645 177.7876
608.000000 130.633 178.2313
615.000000 130.614 178.5876
622.000000 130.623 178.9139
630.000000 130.618 179.3034
640.000000 130.598 179.8868
650.000000 130.597 -179.6149
660.000000 130.599 -179.2159
670.000000 130.584 -178.5911
680.000000 130.582 -178.1526
690.000000 130.590 -177.5281
700.000000 130.592 -177.0748
710.000000 130.591 -176.6414
720.000000 130.613 -176.1455
730.000000 130.625 -175.6335
740.000000 130.631 -175.0474
750.000000 130.643 -174.5387
762.000000 130.653 -173.9957
775.000000 130.677 -173.4189
788.000000 130.702 -172.7660
800.000000 130.733 -172.1186
812.000000 130.759 -171.5310
825.000000 130.793 -171.0468
838.000000 130.829 -170.4094
850.000000 130.876 -169.8166
862.000000 130.919 -169.3346
875.000000 130.976 -168.7571
885.000000 131.028 -168.2433
900.000000 131.082 -167.6982
912.000000 131.137 -167.2625
925.000000 131.188 -166.8378
938.000000 131.266 -166.2410
950.000000 131.320 -165.8802
962.000000 131.391 -165.4278
975.000000 131.477 -165.0517
988.000000 131.550 -164.7394
1000.000000 131.638 -164.3280
1015.000000 131.712 -164.1380
1030.000000 131.817 -163.8820
1044.000000 131.902 -163.6096
1060.000000 131.997 -163.4564
1075.000000 132.075 -163.2051
1090.000000 132.172 -163.1141
1106.000000 132.267 -163.0663
1120.000000 132.341 -162.9096
1138.000000 132.433 -162.9362
1150.000000 132.499 -162.9566
1172.000000 132.625 -162.9781
1180.000000 132.642 -163.0661
1206.000000 132.763 -163.1286
1220.000000 132.835 -163.2180
1241.000000 132.906 -163.3189
1250.000000 132.939 -163.3992
1265.000000 133.016 -163.4948
1280.000000 133.057 -163.5939
1315.000000 133.171 -163.8706
1320.000000 133.191 -163.8758
1340.000000 133.232 -164.0835
1360.000000 133.282 -164.3431
1380.000000 133.336 -164.4896
1400.000000 133.385 -164.7584
1430.000000 133.444 -165.0246
1450.000000 133.486 -165.1267
1475.000000 133.528 -165.4030
1500.000000 133.583 -165.5856
1525.000000 133.618 -165.8386
1550.000000 133.646 -165.9692
1575.000000 133.675 -166.2971
1600.000000 133.709 -166.4603
1625.000000 133.728 -166.6522
1650.000000 133.754 -166.8084
1675.000000 133.791 -167.0000
1700.000000 133.806 -167.1745
1725.000000 133.833 -167.2244
1750.000000 133.835 -167.4473
1775.000000 133.860 -167.6203
1800.000000 133.879 -167.7510
1825.000000 133.873 -167.8719
1850.000000 133.902 -167.9672
1875.000000 133.896 -167.8983
1900.000000 133.894 -168.0555
1925.000000 133.915 -167.9956
1950.000000 133.916 -167.7726
1975.000000 133.953 -167.6765
2000.000000 134.041 -167.5953
2030.000000 134.099 -167.3532
2060.000000 134.216 -167.4780
2090.000000 134.288 -167.9105
2120.000000 134.355 -168.3428
2140.000000 134.405 -168.7572
2180.000000 134.446 -169.3932
2200.000000 134.461 -169.6260
2240.000000 134.490 -170.1796
2270.000000 134.494 -170.5449
2300.000000 134.523 -170.9089
2330.000000 134.529 -171.2816
2360.000000 134.541 -171.5770
2400.000000 134.556 -171.9998
2430.000000 134.571 -172.3452
2470.000000 134.602 -172.7160
2500.000000 134.613 -173.0940
2540.000000 134.650 -173.7023
2580.000000 134.683 -174.4083
2620.000000 134.708 -175.2096
2650.000000 134.705 -175.9806
2690.000000 134.687 -177.1328
2720.000000 134.648 -177.9853
2760.000000 134.542 -179.0756
2800.000000 134.380 179.7982
2850.000000 134.071 178.9995
2900.000000 133.752 179.2412
2950.000000 133.501 -179.5736
3000.000000 133.387 -178.1081
3040.000000 133.421 -176.9751
3070.000000 133.474 -176.3549
3110.000000 133.523 -175.9684
3150.000000 133.602 -175.8762
3200.000000 133.645 -176.1823
3250.000000 133.647 -176.5897
3300.000000 133.586 -176.9292
3350.000000 133.472 -176.7006
3400.000000 133.371 -176.1253
3450.000000 133.321 -175.2363
3500.000000 133.334 -174.3769
3550.000000 133.385 -173.3548
3600.000000 133.503 -172.8017
3650.000000 133.619 -172.3705
3700.000000 133.742 -172.2415
3750.000000 133.849 -172.3305
3820.000000 134.006 -172.7827
3870.000000 134.034 -173.0729
3950.000000 134.063 -173.5080
4000.000000 134.059 -173.2296
4060.000000 134.086 -173.0156
4120.000000 134.156 -172.2953
4180.000000 134.334 -171.6983
4250.000000 134.625 -171.5639
4310.000000 134.888 -172.3556
4370.000000 135.057 -173.5662
4440.000000 135.177 -174.9625
4500.000000 135.292 -176.1054
4550.000000 135.364 -177.0553
4620.000000 135.446 -178.5916
4680.000000 135.511 179.9225
4750.000000 135.544 177.9213
4820.000000 135.517 175.6599
4870.000000 135.438 173.9410
4940.000000 135.211 171.7832
5000.000000 134.926 170.3266
5080.000000 134.548 169.3849
5150.000000 134.235 169.0480
5220.000000 133.929 169.0888
5300.000000 133.592 169.3161
5380.000000 133.225 170.1754
5450.000000 132.925 171.7795
5520.000000 132.756 174.3688
5600.000000 132.812 177.2572
5700.000000 133.164 178.8779
5800.000000 133.417 178.8282
5900.000000 133.519 177.9386
