* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 3, 2024 10:59:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L NOVA Apr 3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.490 -167.0114
20.600000 144.487 -167.7359
20.900000 144.479 -168.3900
21.200001 144.470 -169.0469
21.400000 144.466 -169.4891
21.799999 144.458 -170.3782
22.000000 144.454 -170.8202
22.400000 144.448 -171.6851
22.700001 144.442 -172.3089
23.000000 144.435 -172.9092
23.299999 144.427 -173.4895
23.600000 144.417 -174.0549
24.000000 144.401 -174.7930
24.299999 144.388 -175.3394
24.700001 144.370 -176.0617
25.000000 144.356 -176.6001
25.400000 144.338 -177.3130
25.799999 144.320 -178.0152
26.200001 144.301 -178.6966
26.500000 144.285 -179.1884
26.900000 144.263 -179.8172
27.200001 144.246 179.7265
27.600000 144.223 179.1275
28.000000 144.199 178.5286
28.500000 144.166 177.7795
29.000000 144.132 177.0466
29.500000 144.100 176.3417
30.000000 144.070 175.6570
30.400000 144.047 175.1152
30.700001 144.029 174.7124
31.100000 144.002 174.1863
31.500000 143.972 173.6789
32.000000 143.934 173.0703
32.500000 143.899 172.4737
33.000000 143.864 171.8730
33.500000 143.829 171.2730
34.000000 143.791 170.6942
34.500000 143.753 170.1490
35.000000 143.717 169.6267
35.500000 143.682 169.1022
36.000000 143.646 168.5623
36.500000 143.606 168.0217
37.000000 143.561 167.5106
37.500000 143.517 167.0423
38.200001 143.461 166.4213
38.700001 143.423 165.9678
39.500000 143.357 165.2365
40.000000 143.315 164.8018
40.599998 143.266 164.2953
41.200001 143.220 163.7828
41.799999 143.170 163.2783
42.500000 143.109 162.7319
43.099998 143.058 162.2879
43.700001 143.008 161.8473
44.400002 142.950 161.3441
45.000000 142.903 160.9189
45.500000 142.864 160.5565
46.200001 142.804 160.0543
46.799999 142.749 159.6638
47.500000 142.688 159.2433
48.200001 142.632 158.8089
48.700001 142.591 158.4910
49.400002 142.533 158.0631
50.000000 142.483 157.7084
50.799999 142.414 157.2439
51.500000 142.352 156.8700
52.200001 142.295 156.5098
53.000000 142.232 156.0627
53.799999 142.165 155.6208
54.500000 142.106 155.2777
55.200001 142.049 154.9438
56.000000 141.981 154.5645
57.000000 141.896 154.1275
58.000000 141.813 153.6879
59.000000 141.728 153.2779
60.000000 141.650 152.8698
60.799999 141.585 152.5361
61.500000 141.528 152.2762
62.200001 141.473 152.0227
63.000000 141.408 151.7259
64.000000 141.326 151.3877
65.000000 141.248 151.0336
66.000000 141.167 150.6956
67.000000 141.088 150.3905
68.000000 141.008 150.0983
69.000000 140.933 149.8369
70.000000 140.857 149.5412
71.000000 140.776 149.2791
72.000000 140.700 149.0148
73.000000 140.621 148.7604
74.000000 140.549 148.5493
75.000000 140.475 148.3078
76.199997 140.378 148.0539
77.500000 140.283 147.7861
78.800003 140.186 147.5234
80.000000 140.104 147.3172
81.199997 140.019 147.0895
82.500000 139.924 146.8819
83.800003 139.832 146.6920
85.000000 139.746 146.5165
86.199997 139.656 146.3726
87.500000 139.567 146.1744
88.500000 139.503 146.0558
90.000000 139.405 145.8596
91.199997 139.316 145.7689
92.500000 139.231 145.6256
93.800003 139.141 145.5293
95.000000 139.066 145.4004
96.199997 138.986 145.3091
97.500000 138.905 145.2327
98.800003 138.818 145.1199
100.000000 138.746 145.0652
101.500000 138.648 144.9947
103.000000 138.554 144.9379
104.400002 138.472 144.8864
106.000000 138.370 144.8559
107.500000 138.286 144.7893
109.000000 138.192 144.7772
110.599998 138.099 144.7490
112.000000 138.021 144.7676
113.800003 137.909 144.7354
115.000000 137.849 144.7704
117.199997 137.720 144.8315
118.000000 137.677 144.8006
120.599998 137.544 144.9388
122.000000 137.460 144.8946
124.099998 137.347 144.9971
125.000000 137.303 145.0271
126.500000 137.227 145.0735
128.000000 137.142 145.2403
131.500000 136.968 145.3452
132.000000 136.948 145.3824
134.000000 136.848 145.5195
136.000000 136.748 145.6506
138.000000 136.664 145.7557
140.000000 136.564 145.9983
143.000000 136.430 146.2090
145.000000 136.338 146.3806
147.500000 136.236 146.5752
150.000000 136.122 146.8485
152.500000 136.019 147.0802
155.000000 135.916 147.3501
157.500000 135.823 147.5867
160.000000 135.729 147.8247
162.500000 135.630 148.2086
165.000000 135.533 148.4745
167.500000 135.448 148.7880
170.000000 135.358 149.1219
172.500000 135.273 149.4487
175.000000 135.190 149.7449
177.500000 135.101 150.1231
180.000000 135.030 150.4027
182.500000 134.953 150.7813
185.000000 134.873 151.1308
187.500000 134.798 151.4889
190.000000 134.729 151.8764
192.500000 134.657 152.2321
195.000000 134.598 152.5844
197.500000 134.532 152.9849
200.000000 134.464 153.3115
203.000000 134.397 153.7898
206.000000 134.321 154.2849
209.000000 134.256 154.7224
212.000000 134.186 155.0994
214.000000 134.153 155.4662
218.000000 134.059 156.0909
220.000000 134.024 156.3976
224.000000 133.949 156.9590
227.000000 133.889 157.4412
230.000000 133.843 157.9675
233.000000 133.797 158.3879
236.000000 133.743 158.7817
240.000000 133.695 159.4482
243.000000 133.648 159.9057
247.000000 133.598 160.5651
250.000000 133.548 160.9678
254.000000 133.506 161.5963
258.000000 133.463 162.1620
262.000000 133.415 162.7654
265.000000 133.397 163.1137
269.000000 133.350 163.7334
272.000000 133.332 164.1649
276.000000 133.294 164.7321
280.000000 133.266 165.2591
285.000000 133.229 165.9077
290.000000 133.199 166.6180
295.000000 133.170 167.2559
300.000000 133.144 167.9142
304.000000 133.133 168.4292
307.000000 133.116 168.8008
311.000000 133.099 169.3167
315.000000 133.092 169.7796
320.000000 133.068 170.3431
325.000000 133.058 170.9025
330.000000 133.053 171.5048
335.000000 133.037 172.0595
340.000000 133.036 172.5800
345.000000 133.025 173.1493
350.000000 133.027 173.6516
355.000000 133.015 174.1104
360.000000 133.010 174.6364
365.000000 133.008 175.1051
370.000000 133.015 175.5942
375.000000 133.020 176.0400
382.000000 133.018 176.6926
387.000000 133.018 177.1130
395.000000 133.032 177.8044
400.000000 133.034 178.1814
406.000000 133.045 178.7213
412.000000 133.043 179.2030
418.000000 133.061 179.6768
425.000000 133.065 -179.8597
431.000000 133.079 -179.4747
437.000000 133.086 -178.9533
444.000000 133.093 -178.4319
450.000000 133.105 -178.0710
455.000000 133.111 -177.7438
462.000000 133.125 -177.2178
468.000000 133.128 -176.8991
475.000000 133.153 -176.4574
482.000000 133.160 -176.0097
487.000000 133.166 -175.6998
494.000000 133.178 -175.2777
500.000000 133.192 -174.8812
508.000000 133.204 -174.4615
515.000000 133.214 -173.9720
522.000000 133.228 -173.6308
530.000000 133.242 -173.1694
538.000000 133.253 -172.7333
545.000000 133.263 -172.3584
552.000000 133.282 -171.9842
560.000000 133.297 -171.5455
570.000000 133.316 -171.0478
580.000000 133.323 -170.4218
590.000000 133.341 -169.9501
600.000000 133.358 -169.4774
608.000000 133.374 -169.0630
615.000000 133.394 -168.7023
622.000000 133.403 -168.3680
630.000000 133.423 -167.9410
640.000000 133.435 -167.4242
650.000000 133.453 -166.9096
660.000000 133.473 -166.4427
670.000000 133.494 -165.9328
680.000000 133.508 -165.4089
690.000000 133.534 -164.8564
700.000000 133.563 -164.3973
710.000000 133.581 -163.8542
720.000000 133.605 -163.3317
730.000000 133.637 -162.8083
740.000000 133.657 -162.3262
750.000000 133.700 -161.7829
762.000000 133.725 -161.0583
775.000000 133.766 -160.4855
788.000000 133.814 -159.7009
800.000000 133.859 -159.1183
812.000000 133.905 -158.5087
825.000000 133.964 -157.8418
838.000000 134.024 -157.1973
850.000000 134.082 -156.5675
862.000000 134.151 -155.9401
875.000000 134.220 -155.3208
885.000000 134.278 -154.8990
900.000000 134.373 -154.2001
912.000000 134.454 -153.6670
925.000000 134.537 -153.1209
938.000000 134.633 -152.5611
950.000000 134.714 -152.0651
962.000000 134.800 -151.6861
975.000000 134.898 -151.2639
988.000000 134.994 -150.7886
1000.000000 135.079 -150.4486
1015.000000 135.205 -150.0336
1030.000000 135.316 -149.7452
1044.000000 135.433 -149.4568
1060.000000 135.557 -149.1432
1075.000000 135.668 -148.9288
1090.000000 135.786 -148.8410
1106.000000 135.903 -148.6175
1120.000000 136.001 -148.5364
1138.000000 136.130 -148.4564
1150.000000 136.200 -148.4387
1172.000000 136.349 -148.4140
1180.000000 136.401 -148.4107
1206.000000 136.547 -148.5045
1220.000000 136.623 -148.5802
1241.000000 136.738 -148.5650
1250.000000 136.779 -148.6586
1265.000000 136.842 -148.7455
1280.000000 136.907 -148.7478
1315.000000 137.051 -148.9433
1320.000000 137.070 -148.9672
1340.000000 137.138 -148.9862
1360.000000 137.209 -149.0691
1380.000000 137.275 -149.1666
1400.000000 137.341 -149.1349
1430.000000 137.431 -149.2147
1450.000000 137.487 -149.2074
1475.000000 137.552 -149.1982
1500.000000 137.622 -149.1208
1525.000000 137.691 -149.1334
1550.000000 137.757 -149.0989
1575.000000 137.819 -148.9796
1600.000000 137.887 -148.8436
1625.000000 137.955 -148.7381
1650.000000 138.029 -148.5927
1675.000000 138.106 -148.5130
1700.000000 138.167 -148.3478
1725.000000 138.246 -148.1951
1750.000000 138.320 -148.0013
1775.000000 138.396 -147.8884
1800.000000 138.474 -147.7542
1825.000000 138.568 -147.6092
1850.000000 138.654 -147.3840
1875.000000 138.737 -147.2670
1900.000000 138.830 -147.1375
1925.000000 138.920 -146.9845
1950.000000 139.022 -146.8707
1975.000000 139.115 -146.7461
2000.000000 139.207 -146.5180
2030.000000 139.344 -146.5280
2060.000000 139.478 -146.4545
2090.000000 139.605 -146.3686
2120.000000 139.747 -146.3559
2140.000000 139.843 -146.3312
2180.000000 140.027 -146.3139
2200.000000 140.130 -146.4099
2240.000000 140.332 -146.5030
2270.000000 140.477 -146.6482
2300.000000 140.627 -146.8127
2330.000000 140.782 -147.0431
2360.000000 140.943 -147.2875
2400.000000 141.156 -147.6796
2430.000000 141.324 -148.0413
2470.000000 141.536 -148.5854
2500.000000 141.702 -149.0274
2540.000000 141.912 -149.7820
2580.000000 142.132 -150.5570
2620.000000 142.349 -151.4549
2650.000000 142.512 -152.2557
2690.000000 142.720 -153.3896
2720.000000 142.876 -154.2911
2760.000000 143.068 -155.6544
2800.000000 143.251 -157.1355
2850.000000 143.452 -159.1085
2900.000000 143.619 -161.2462
2950.000000 143.758 -163.4357
3000.000000 143.883 -165.6771
3040.000000 143.924 -167.6106
3070.000000 143.953 -168.9671
3110.000000 143.978 -170.7963
3150.000000 143.978 -172.6322
3200.000000 143.956 -174.8704
3250.000000 143.900 -177.0073
3300.000000 143.820 -179.0443
3350.000000 143.729 179.0300
3400.000000 143.609 177.2762
3450.000000 143.481 175.6212
3500.000000 143.341 174.1318
3550.000000 143.193 172.7786
3600.000000 143.045 171.5254
3650.000000 142.886 170.4415
3700.000000 142.727 169.4618
3750.000000 142.574 168.5806
3820.000000 142.372 167.5547
3870.000000 142.230 166.9367
3950.000000 142.013 166.0883
4000.000000 141.868 165.5829
4060.000000 141.750 165.2436
4120.000000 141.612 164.8262
4180.000000 141.504 164.4602
4250.000000 141.379 164.1134
4310.000000 141.282 163.8059
4370.000000 141.192 163.4563
4440.000000 141.105 163.1029
4500.000000 141.034 162.6951
4550.000000 140.967 162.3827
4620.000000 140.880 161.8728
4680.000000 140.805 161.3819
4750.000000 140.704 160.8171
4820.000000 140.596 160.2052
4870.000000 140.523 159.7733
4940.000000 140.389 159.2026
5000.000000 140.283 158.7577
5080.000000 140.105 158.1640
5150.000000 139.947 157.7186
5220.000000 139.766 157.4039
5300.000000 139.559 157.0863
5380.000000 139.354 157.0345
5450.000000 139.158 157.0939
5520.000000 138.968 157.1711
5600.000000 138.757 157.4915
5700.000000 138.490 158.2166
5800.000000 138.259 159.0227
5900.000000 138.048 160.0281
6000.000000 137.886 161.2377
6080.000000 137.774 162.3250
6150.000000 137.694 163.1755
