* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 18, 2025 7:18:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L zero ultima 3.5 581
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 115.702 -135.6200
20.600000 115.741 -136.3885
20.900000 115.765 -137.0575
21.200001 115.790 -137.6821
21.400000 115.810 -138.0809
21.799999 115.858 -138.8517
22.000000 115.886 -139.2297
22.400000 115.945 -139.9738
22.700001 115.989 -140.5161
23.000000 116.031 -141.0416
23.299999 116.070 -141.5571
23.600000 116.105 -142.0740
24.000000 116.145 -142.7817
24.299999 116.169 -143.3277
24.700001 116.192 -144.0550
25.000000 116.203 -144.5729
25.400000 116.215 -145.1943
25.799999 116.232 -145.7282
26.200001 116.261 -146.2128
26.500000 116.292 -146.5895
26.900000 116.344 -147.1676
27.200001 116.384 -147.6821
27.600000 116.429 -148.4658
28.000000 116.457 -149.2872
28.500000 116.467 -150.2014
29.000000 116.469 -150.8599
29.500000 116.484 -151.3111
30.000000 116.515 -151.7410
30.400000 116.540 -152.1567
30.700001 116.552 -152.5064
31.100000 116.561 -152.9784
31.500000 116.567 -153.4227
32.000000 116.586 -153.9492
32.500000 116.618 -154.5049
33.000000 116.648 -155.0971
33.500000 116.666 -155.6491
34.000000 116.678 -156.1086
34.500000 116.693 -156.5360
35.000000 116.708 -157.0232
35.500000 116.712 -157.5698
36.000000 116.703 -158.0768
36.500000 116.695 -158.4789
37.000000 116.705 -158.8322
37.500000 116.731 -159.2495
38.200001 116.767 -159.9968
38.700001 116.779 -160.5437
39.500000 116.793 -161.2592
40.000000 116.805 -161.6486
40.599998 116.815 -162.1206
41.200001 116.813 -162.5676
41.799999 116.809 -162.9625
42.500000 116.816 -163.4526
43.099998 116.824 -163.9582
43.700001 116.823 -164.4388
44.400002 116.822 -164.8504
45.000000 116.835 -165.1586
45.500000 116.849 -165.4748
46.200001 116.857 -165.9883
46.799999 116.858 -166.4208
47.500000 116.867 -166.9236
48.200001 116.873 -167.4352
48.700001 116.869 -167.7487
49.400002 116.858 -168.0597
50.000000 116.855 -168.2841
50.799999 116.867 -168.7435
51.500000 116.868 -169.3328
52.200001 116.848 -169.8458
53.000000 116.833 -170.1021
53.799999 116.851 -170.3786
54.500000 116.841 -170.8724
55.200001 116.792 -171.2459
56.000000 116.784 -171.3719
57.000000 116.854 -171.9442
58.000000 116.841 -172.7131
59.000000 116.807 -173.0151
60.000000 116.804 -173.4534
60.799999 116.795 -173.9124
61.500000 116.789 -174.2756
62.200001 116.790 -174.5784
63.000000 116.794 -174.9241
64.000000 116.765 -175.4168
65.000000 116.731 -175.7149
66.000000 116.755 -176.0936
67.000000 116.754 -176.5633
68.000000 116.727 -176.7919
69.000000 116.706 -177.1425
70.000000 116.686 -177.5334
71.000000 116.685 -177.8803
72.000000 116.663 -178.2811
73.000000 116.640 -178.5946
74.000000 116.637 -179.0271
75.000000 116.606 -179.3716
76.199997 116.598 -179.6485
77.500000 116.577 179.8909
78.800003 116.577 179.6296
80.000000 116.537 179.0818
81.199997 116.516 178.7709
82.500000 116.536 178.4756
83.800003 116.482 178.0356
85.000000 116.442 177.8082
86.199997 116.442 177.3462
87.500000 116.406 177.0849
88.500000 116.395 176.8264
90.000000 116.363 176.4476
91.199997 116.349 176.2179
92.500000 116.310 175.8630
93.800003 116.279 175.6262
95.000000 116.265 175.3177
96.199997 116.242 175.0241
97.500000 116.213 174.8152
98.800003 116.196 174.4862
100.000000 116.153 174.2314
101.500000 116.129 173.9142
103.000000 116.094 173.6628
104.400002 116.084 173.3283
106.000000 116.046 173.1153
107.500000 116.014 172.7930
109.000000 115.971 172.5219
110.599998 115.935 172.1698
112.000000 115.909 171.8239
113.800003 115.864 171.6755
115.000000 115.856 171.4594
117.199997 115.825 171.1475
118.000000 115.774 170.9969
120.599998 115.746 170.5762
122.000000 115.682 170.4771
124.099998 115.663 170.1617
125.000000 115.640 170.0388
126.500000 115.621 169.9399
128.000000 115.566 169.6298
131.500000 115.492 169.2909
132.000000 115.475 169.2068
134.000000 115.437 169.0194
136.000000 115.374 168.7383
138.000000 115.349 168.7046
140.000000 115.318 168.4549
143.000000 115.237 168.0954
145.000000 115.210 168.0067
147.500000 115.163 167.9104
150.000000 115.105 167.4646
152.500000 115.071 167.3595
155.000000 115.007 167.0887
157.500000 114.931 167.0763
160.000000 114.891 166.6898
162.500000 114.842 166.7664
165.000000 114.768 166.6286
167.500000 114.731 166.4146
170.000000 114.680 166.1600
172.500000 114.633 166.1424
175.000000 114.566 166.0071
177.500000 114.529 165.7806
180.000000 114.471 165.8489
182.500000 114.450 165.5330
185.000000 114.395 165.8745
187.500000 114.330 165.6994
190.000000 114.269 165.6698
192.500000 114.215 165.3992
195.000000 114.194 165.5032
197.500000 114.143 165.4329
200.000000 114.090 165.3338
203.000000 114.038 165.2787
206.000000 113.989 165.2939
209.000000 113.949 165.0093
212.000000 113.875 165.3007
214.000000 113.846 165.2071
218.000000 113.782 165.1398
220.000000 113.742 165.2077
224.000000 113.689 165.3222
227.000000 113.629 165.1829
230.000000 113.560 165.1567
233.000000 113.533 165.3507
236.000000 113.468 165.3990
240.000000 113.412 165.4340
243.000000 113.359 165.3115
247.000000 113.286 165.4059
250.000000 113.238 165.4514
254.000000 113.193 165.4356
258.000000 113.134 165.8191
262.000000 113.077 165.7192
265.000000 113.021 165.8102
269.000000 112.956 165.8594
272.000000 112.925 165.9266
276.000000 112.867 166.0673
280.000000 112.803 166.0143
285.000000 112.766 166.3954
290.000000 112.682 166.5885
295.000000 112.621 166.6902
300.000000 112.564 166.7723
304.000000 112.502 167.0119
307.000000 112.469 167.3939
311.000000 112.421 167.2632
315.000000 112.379 167.6920
320.000000 112.339 167.8171
325.000000 112.247 167.9319
330.000000 112.214 168.1829
335.000000 112.156 168.2993
340.000000 112.120 168.5474
345.000000 112.067 168.9442
350.000000 111.979 169.1022
355.000000 111.955 169.0844
360.000000 111.916 169.3907
365.000000 111.868 169.8145
370.000000 111.812 169.9543
375.000000 111.757 170.1063
382.000000 111.673 170.6317
387.000000 111.624 170.8842
395.000000 111.608 171.3470
400.000000 111.580 171.4907
406.000000 111.522 171.5880
412.000000 111.457 172.0241
418.000000 111.419 172.4221
425.000000 111.386 172.7224
431.000000 111.359 173.3350
437.000000 111.316 173.5114
444.000000 111.262 174.3054
450.000000 111.233 174.3910
455.000000 111.176 174.5368
462.000000 111.149 174.9825
468.000000 111.111 175.3877
475.000000 111.054 175.6664
482.000000 111.020 176.1568
487.000000 111.000 176.5874
494.000000 110.965 176.6931
500.000000 110.955 177.1700
508.000000 110.910 177.6311
515.000000 110.871 178.0573
522.000000 110.859 178.4493
530.000000 110.774 178.8983
538.000000 110.816 179.5224
545.000000 110.743 -179.7562
552.000000 110.734 -179.7838
560.000000 110.698 -179.2251
570.000000 110.666 -178.5193
580.000000 110.643 -178.0745
590.000000 110.578 -177.4456
600.000000 110.549 -176.7005
608.000000 110.545 -175.9461
615.000000 110.534 -175.7984
622.000000 110.531 -175.1821
630.000000 110.514 -174.6879
640.000000 110.508 -174.5440
650.000000 110.474 -173.6465
660.000000 110.483 -172.6832
670.000000 110.408 -172.4008
680.000000 110.390 -171.6288
690.000000 110.420 -170.7763
700.000000 110.436 -170.1923
710.000000 110.403 -169.4699
720.000000 110.475 -168.7897
730.000000 110.444 -168.4248
740.000000 110.414 -167.6430
750.000000 110.416 -167.0425
762.000000 110.464 -165.9976
775.000000 110.446 -165.2380
788.000000 110.508 -164.5796
800.000000 110.522 -163.8914
812.000000 110.517 -162.9454
825.000000 110.579 -162.1411
838.000000 110.580 -161.0257
850.000000 110.607 -160.6499
862.000000 110.672 -159.9516
875.000000 110.721 -158.6844
885.000000 110.768 -158.1228
900.000000 110.819 -157.1266
912.000000 110.935 -156.6046
925.000000 111.021 -155.5850
938.000000 111.102 -154.8816
950.000000 111.150 -154.2702
962.000000 111.263 -153.3533
975.000000 111.309 -153.2162
988.000000 111.401 -152.6166
1000.000000 111.613 -152.2664
1015.000000 111.601 -151.1623
1030.000000 111.740 -150.5147
1044.000000 111.835 -150.3261
1060.000000 111.985 -149.8923
1075.000000 112.071 -149.2317
1090.000000 112.197 -148.4390
1106.000000 112.314 -148.5894
1120.000000 112.447 -148.0998
1138.000000 112.537 -147.9059
1150.000000 112.623 -147.5117
1172.000000 112.798 -147.0827
1180.000000 112.831 -146.9438
1206.000000 113.019 -146.7825
1220.000000 113.135 -146.6975
1241.000000 113.211 -146.4751
1250.000000 113.303 -146.4796
1265.000000 113.389 -146.2809
1280.000000 113.504 -146.2714
1315.000000 113.668 -145.7630
1320.000000 113.682 -145.9078
1340.000000 113.813 -145.7066
1360.000000 113.896 -145.8192
1380.000000 113.997 -145.7620
1400.000000 114.085 -145.3998
1430.000000 114.224 -145.4261
1450.000000 114.333 -145.3126
1475.000000 114.449 -145.3656
1500.000000 114.559 -145.1612
1525.000000 114.663 -144.9697
1550.000000 114.818 -144.8806
1575.000000 114.917 -144.7918
1600.000000 115.020 -144.7196
1625.000000 115.186 -144.4884
1650.000000 115.296 -144.4537
1675.000000 115.408 -144.4942
1700.000000 115.550 -144.6178
1725.000000 115.663 -144.4560
1750.000000 115.750 -144.4493
1775.000000 115.866 -144.5072
1800.000000 115.989 -144.3939
1825.000000 116.131 -144.6048
1850.000000 116.301 -144.6968
1875.000000 116.421 -144.6821
1900.000000 116.544 -144.9643
1925.000000 116.703 -145.1272
1950.000000 116.819 -145.3503
1975.000000 116.953 -145.5451
2000.000000 117.136 -145.3938
2030.000000 117.262 -146.2609
2060.000000 117.410 -146.8500
2090.000000 117.564 -147.2477
2120.000000 117.697 -147.9346
2140.000000 117.782 -148.4292
2180.000000 118.006 -148.9887
2200.000000 118.092 -149.6453
2240.000000 118.241 -150.7807
2270.000000 118.386 -151.6656
2300.000000 118.505 -152.5238
2330.000000 118.606 -153.5647
2360.000000 118.695 -154.3043
2400.000000 118.822 -155.6155
2430.000000 118.903 -156.7318
2470.000000 118.989 -157.9177
2500.000000 119.055 -158.8420
2540.000000 119.111 -160.3073
2580.000000 119.152 -161.6591
2620.000000 119.195 -163.0607
2650.000000 119.239 -163.9429
2690.000000 119.244 -165.2219
2720.000000 119.247 -166.0286
2760.000000 119.220 -167.1763
2800.000000 119.214 -168.4226
2850.000000 119.182 -169.9142
2900.000000 119.105 -171.2662
2950.000000 119.106 -172.5876
3000.000000 118.966 -174.0946
3040.000000 118.987 -174.7636
3070.000000 118.925 -175.3946
3110.000000 118.871 -175.9645
3150.000000 118.802 -177.0484
3200.000000 118.714 -177.9975
3250.000000 118.637 -178.9366
3300.000000 118.571 -179.6121
3350.000000 118.473 179.6462
3400.000000 118.367 178.9809
3450.000000 118.291 178.6203
3500.000000 118.189 178.0406
3550.000000 118.140 177.2383
3600.000000 118.017 176.8262
3650.000000 117.938 176.5367
3700.000000 117.888 176.1310
3750.000000 117.815 175.8014
3820.000000 117.679 175.1003
3870.000000 117.605 175.0291
3950.000000 117.516 174.2422
4000.000000 117.447 173.7059
4060.000000 117.371 173.9056
4120.000000 117.291 173.6150
4180.000000 117.226 173.2867
4250.000000 117.154 173.1700
4310.000000 117.088 172.8524
4370.000000 117.016 172.5862
4440.000000 117.013 172.4299
4500.000000 116.882 172.1156
4550.000000 116.811 171.7731
4620.000000 116.753 171.5254
4680.000000 116.678 171.5252
4750.000000 116.650 171.7542
4820.000000 116.598 171.1946
4870.000000 116.523 170.7298
4940.000000 116.467 170.5226
5000.000000 116.462 170.5169
5080.000000 116.309 170.4787
5150.000000 116.229 170.1706
5220.000000 116.138 170.2089
5300.000000 116.068 169.8492
5380.000000 115.967 169.9886
5450.000000 115.893 169.9821
5520.000000 115.763 169.7281
5600.000000 115.698 169.9445
5700.000000 115.573 170.7395
5800.000000 115.442 170.7676
