* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 4:30:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L S ULTRA CLEAR 1663
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.015 33.8812
20.600000 94.014 32.9939
20.900000 94.006 32.1911
21.200001 93.996 31.3942
21.400000 93.991 30.8625
21.799999 93.983 29.7949
22.000000 93.981 29.2588
22.400000 93.978 28.1872
22.700001 93.974 27.3928
23.000000 93.969 26.6169
23.299999 93.963 25.8672
23.600000 93.955 25.1466
24.000000 93.946 24.2281
24.299999 93.940 23.5616
24.700001 93.935 22.6866
25.000000 93.932 22.0318
25.400000 93.926 21.1585
25.799999 93.916 20.2947
26.200001 93.903 19.4542
26.500000 93.890 18.8423
26.900000 93.872 18.0467
27.200001 93.859 17.4580
27.600000 93.840 16.6760
28.000000 93.822 15.8962
28.500000 93.798 14.9354
29.000000 93.776 14.0025
29.500000 93.756 13.0990
30.000000 93.736 12.2234
30.400000 93.717 11.5468
30.700001 93.702 11.0551
31.100000 93.682 10.4175
31.500000 93.662 9.7907
32.000000 93.636 9.0046
32.500000 93.608 8.2081
33.000000 93.579 7.4126
33.500000 93.549 6.6336
34.000000 93.521 5.8769
34.500000 93.495 5.1419
35.000000 93.470 4.4296
35.500000 93.445 3.7415
36.000000 93.419 3.0741
36.500000 93.389 2.4211
37.000000 93.357 1.7779
37.500000 93.324 1.1400
38.200001 93.278 0.2438
38.700001 93.246 -0.3963
39.500000 93.194 -1.3743
40.000000 93.164 -1.9432
40.599998 93.130 -2.6035
41.200001 93.094 -3.2619
41.799999 93.056 -3.9167
42.500000 93.011 -4.6706
43.099998 92.973 -5.3099
43.700001 92.933 -5.9262
44.400002 92.888 -6.6074
45.000000 92.851 -7.1958
45.500000 92.816 -7.7084
46.200001 92.759 -8.4190
46.799999 92.711 -8.9774
47.500000 92.665 -9.5972
48.200001 92.625 -10.2218
48.700001 92.594 -10.6512
49.400002 92.550 -11.2076
50.000000 92.514 -11.6813
50.799999 92.463 -12.3568
51.500000 92.417 -12.9501
52.200001 92.372 -13.5146
53.000000 92.319 -14.1310
53.799999 92.258 -14.6895
54.500000 92.205 -15.1396
55.200001 92.156 -15.6192
56.000000 92.097 -16.2052
57.000000 92.022 -16.8656
58.000000 91.956 -17.4590
59.000000 91.891 -18.0539
60.000000 91.826 -18.6418
60.799999 91.775 -19.1055
61.500000 91.731 -19.5065
62.200001 91.686 -19.9127
63.000000 91.633 -20.3742
64.000000 91.566 -20.9332
65.000000 91.496 -21.4802
66.000000 91.422 -21.9734
67.000000 91.350 -22.4546
68.000000 91.278 -22.9378
69.000000 91.210 -23.3864
70.000000 91.150 -23.8253
71.000000 91.092 -24.2390
72.000000 91.034 -24.6124
73.000000 90.971 -24.9544
74.000000 90.904 -25.2542
75.000000 90.838 -25.6029
76.199997 90.749 -26.0748
77.500000 90.656 -26.5517
78.800003 90.563 -27.0393
80.000000 90.483 -27.4536
81.199997 90.410 -27.8165
82.500000 90.332 -28.1865
83.800003 90.254 -28.4762
85.000000 90.191 -28.7400
86.199997 90.115 -29.0112
87.500000 90.033 -29.2875
88.500000 89.971 -29.4948
90.000000 89.877 -29.8299
91.199997 89.797 -30.0817
92.500000 89.721 -30.3403
93.800003 89.641 -30.6708
95.000000 89.569 -30.9153
96.199997 89.508 -31.1054
97.500000 89.434 -31.2712
98.800003 89.356 -31.4139
100.000000 89.292 -31.5557
101.500000 89.216 -31.7201
103.000000 89.123 -31.8436
104.400002 89.038 -31.9651
106.000000 88.958 -32.1427
107.500000 88.874 -32.2913
109.000000 88.790 -32.4205
110.599998 88.712 -32.6297
112.000000 88.639 -32.6767
113.800003 88.548 -32.7541
115.000000 88.492 -32.8437
117.199997 88.384 -32.9458
118.000000 88.338 -32.9199
120.599998 88.210 -32.9770
122.000000 88.149 -33.0423
124.099998 88.055 -33.0675
125.000000 88.006 -33.0449
126.500000 87.941 -33.0392
128.000000 87.863 -32.9743
131.500000 87.724 -33.0361
132.000000 87.699 -33.0561
134.000000 87.619 -32.9197
136.000000 87.521 -32.9450
138.000000 87.447 -32.9171
140.000000 87.368 -32.7550
143.000000 87.256 -32.6550
145.000000 87.171 -32.6203
147.500000 87.091 -32.4734
150.000000 86.995 -32.2691
152.500000 86.901 -32.1545
155.000000 86.814 -32.0244
157.500000 86.734 -31.8432
160.000000 86.644 -31.6258
162.500000 86.570 -31.4333
165.000000 86.483 -31.2092
167.500000 86.413 -31.0849
170.000000 86.333 -30.8324
172.500000 86.269 -30.6528
175.000000 86.189 -30.3969
177.500000 86.130 -30.1804
180.000000 86.050 -29.9178
182.500000 85.995 -29.6978
185.000000 85.923 -29.4426
187.500000 85.866 -29.2041
190.000000 85.804 -28.9619
192.500000 85.740 -28.6944
195.000000 85.691 -28.4155
197.500000 85.627 -28.1866
200.000000 85.572 -27.9333
203.000000 85.518 -27.6313
206.000000 85.455 -27.3265
209.000000 85.385 -27.0027
212.000000 85.324 -26.6464
214.000000 85.293 -26.4624
218.000000 85.222 -26.0078
220.000000 85.184 -25.8409
224.000000 85.120 -25.3491
227.000000 85.066 -25.0640
230.000000 85.016 -24.7890
233.000000 84.969 -24.4388
236.000000 84.925 -24.1785
240.000000 84.853 -23.7212
243.000000 84.820 -23.3571
247.000000 84.760 -22.9372
250.000000 84.715 -22.5787
254.000000 84.662 -22.0976
258.000000 84.604 -21.6471
262.000000 84.560 -21.2173
265.000000 84.518 -20.9221
269.000000 84.479 -20.5197
272.000000 84.450 -20.2001
276.000000 84.410 -19.7239
280.000000 84.367 -19.3151
285.000000 84.309 -18.7628
290.000000 84.275 -18.0958
295.000000 84.223 -17.4659
300.000000 84.191 -16.7591
304.000000 84.176 -16.2651
307.000000 84.182 -15.9282
311.000000 84.189 -15.5204
315.000000 84.202 -15.1772
320.000000 84.199 -14.8982
325.000000 84.194 -14.6286
330.000000 84.165 -14.3574
335.000000 84.150 -14.0784
340.000000 84.122 -13.7546
345.000000 84.079 -13.3771
350.000000 84.044 -13.0519
355.000000 84.014 -12.7022
360.000000 84.000 -12.3188
365.000000 83.963 -12.0168
370.000000 83.940 -11.6356
375.000000 83.913 -11.1989
382.000000 83.864 -10.7087
387.000000 83.834 -10.3212
395.000000 83.800 -9.6266
400.000000 83.779 -9.2266
406.000000 83.744 -8.7255
412.000000 83.724 -8.1646
418.000000 83.712 -7.6823
425.000000 83.708 -6.9393
431.000000 83.708 -6.5853
437.000000 83.713 -6.2549
444.000000 83.713 -5.7814
450.000000 83.705 -5.4844
455.000000 83.707 -5.2667
462.000000 83.691 -4.7776
468.000000 83.669 -4.4660
475.000000 83.654 -3.9515
482.000000 83.638 -3.5387
487.000000 83.634 -3.1422
494.000000 83.608 -2.7376
500.000000 83.606 -2.4227
508.000000 83.586 -1.8984
515.000000 83.568 -1.4056
522.000000 83.571 -0.9536
530.000000 83.545 -0.4794
538.000000 83.552 0.0327
545.000000 83.543 0.4876
552.000000 83.533 0.8050
560.000000 83.506 1.2339
570.000000 83.501 1.8718
580.000000 83.479 2.4911
590.000000 83.469 3.1086
600.000000 83.443 3.8899
608.000000 83.441 4.4563
615.000000 83.442 4.8732
622.000000 83.451 5.4627
630.000000 83.451 6.0627
640.000000 83.459 6.6589
650.000000 83.482 7.2585
660.000000 83.476 7.8839
670.000000 83.487 8.5538
680.000000 83.493 9.0788
690.000000 83.511 9.7525
700.000000 83.529 10.4028
710.000000 83.547 11.0250
720.000000 83.555 11.6463
730.000000 83.580 12.2797
740.000000 83.597 12.8476
750.000000 83.619 13.5085
762.000000 83.651 14.2764
775.000000 83.676 15.1542
788.000000 83.719 15.8752
800.000000 83.761 16.6195
812.000000 83.804 17.3161
825.000000 83.858 18.1557
838.000000 83.908 18.9358
850.000000 83.968 19.6356
862.000000 84.018 20.3292
875.000000 84.082 21.1056
885.000000 84.137 21.6262
900.000000 84.212 22.4387
912.000000 84.292 23.0289
925.000000 84.358 23.7259
938.000000 84.447 24.3733
950.000000 84.526 24.8887
962.000000 84.615 25.3839
975.000000 84.693 26.0129
988.000000 84.790 26.5184
1000.000000 84.848 26.8234
1015.000000 84.991 27.5888
1030.000000 85.099 28.0441
1044.000000 85.198 28.4601
1060.000000 85.325 28.8998
1075.000000 85.433 29.2684
1090.000000 85.548 29.6759
1106.000000 85.663 29.8961
1120.000000 85.759 30.1766
1138.000000 85.891 30.4457
1150.000000 85.982 30.5647
1172.000000 86.129 30.8608
1180.000000 86.179 30.9366
1206.000000 86.348 31.1883
1220.000000 86.427 31.1749
1241.000000 86.559 31.2696
1250.000000 86.610 31.3713
1265.000000 86.698 31.4182
1280.000000 86.768 31.4757
1315.000000 86.952 31.4972
1320.000000 86.969 31.4825
1340.000000 87.072 31.5322
1360.000000 87.165 31.5933
1380.000000 87.245 31.5735
1400.000000 87.339 31.6561
1430.000000 87.476 31.6201
1450.000000 87.558 31.6272
1475.000000 87.669 31.6081
1500.000000 87.769 31.5716
1525.000000 87.866 31.6248
1550.000000 87.952 31.5702
1575.000000 88.052 31.5424
1600.000000 88.144 31.5608
1625.000000 88.233 31.4686
1650.000000 88.342 31.3930
1675.000000 88.433 31.4048
1700.000000 88.522 31.3014
1725.000000 88.615 31.1563
1750.000000 88.708 31.0270
1775.000000 88.804 30.8798
1800.000000 88.880 30.7963
1825.000000 88.966 30.6063
1850.000000 89.053 30.4626
1875.000000 89.137 30.1764
1900.000000 89.221 30.0149
1925.000000 89.312 29.7748
1950.000000 89.393 29.5138
1975.000000 89.473 29.2743
2000.000000 89.520 29.0031
2030.000000 89.639 28.5757
2060.000000 89.732 28.2092
2090.000000 89.803 27.8575
2120.000000 89.891 27.3872
2140.000000 89.932 27.0963
2180.000000 90.026 26.4928
2200.000000 90.063 26.1526
2240.000000 90.147 25.5112
2270.000000 90.207 25.0101
2300.000000 90.271 24.5132
2330.000000 90.316 24.0424
2360.000000 90.364 23.4813
2400.000000 90.424 22.8707
2430.000000 90.466 22.2987
2470.000000 90.513 21.6559
2500.000000 90.544 21.1641
2540.000000 90.603 20.4613
2580.000000 90.660 19.7405
2620.000000 90.710 18.9273
2650.000000 90.745 18.2977
2690.000000 90.780 17.3664
2720.000000 90.785 16.6405
2760.000000 90.795 15.5690
2800.000000 90.765 14.5421
2850.000000 90.693 13.4264
2900.000000 90.601 12.5706
2950.000000 90.493 12.0042
3000.000000 90.418 11.8125
3040.000000 90.343 11.5947
3070.000000 90.316 11.5605
3110.000000 90.287 11.5787
3150.000000 90.267 11.5952
3200.000000 90.268 11.7276
3250.000000 90.284 11.7293
3300.000000 90.310 11.7750
3350.000000 90.352 11.7460
3400.000000 90.419 11.7141
3450.000000 90.473 11.5682
3500.000000 90.550 11.3375
3550.000000 90.630 10.9674
3600.000000 90.728 10.5791
3650.000000 90.810 10.0328
3700.000000 90.888 9.2899
3750.000000 90.962 8.5368
3820.000000 91.036 7.2719
3870.000000 91.071 6.3033
3950.000000 91.082 4.8640
4000.000000 91.103 3.9518
4060.000000 91.046 3.3394
4120.000000 91.093 3.7247
4180.000000 91.375 1.9461
4250.000000 91.370 -0.8178
4310.000000 91.308 -2.4450
4370.000000 91.254 -4.1782
4440.000000 91.148 -6.0481
4500.000000 91.029 -7.7050
4550.000000 90.903 -9.0046
4620.000000 90.715 -10.6827
4680.000000 90.512 -12.0036
4750.000000 90.240 -13.3352
4820.000000 89.957 -14.4254
4870.000000 89.739 -14.9538
4940.000000 89.425 -15.4781
5000.000000 89.149 -15.5807
5080.000000 88.776 -15.5774
5150.000000 88.480 -15.3021
5220.000000 88.189 -14.6639
5300.000000 87.890 -13.6827
5380.000000 87.617 -12.3945
5450.000000 87.399 -11.2113
5520.000000 87.216 -9.8268
5600.000000 87.035 -8.2545
5700.000000 86.856 -6.0351
5800.000000 86.737 -3.8389
5900.000000 86.671 -1.6652
