* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 4:33:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L S ULTRA CLEAR TIT 1665
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.050 33.8686
20.600000 94.042 33.0176
20.900000 94.027 32.2659
21.200001 94.015 31.5139
21.400000 94.009 30.9987
21.799999 94.003 29.9271
22.000000 94.002 29.3730
22.400000 94.000 28.2504
22.700001 93.998 27.4225
23.000000 93.997 26.6275
23.299999 93.997 25.8692
23.600000 93.997 25.1419
24.000000 93.995 24.2067
24.299999 93.992 23.5246
24.700001 93.981 22.6441
25.000000 93.970 22.0119
25.400000 93.955 21.2076
25.799999 93.943 20.4284
26.200001 93.934 19.6452
26.500000 93.927 19.0467
26.900000 93.914 18.2435
27.200001 93.902 17.6523
27.600000 93.883 16.8923
28.000000 93.867 16.1533
28.500000 93.851 15.2096
29.000000 93.832 14.2188
29.500000 93.805 13.2386
30.000000 93.775 12.3491
30.400000 93.759 11.7000
30.700001 93.752 11.2218
31.100000 93.744 10.5621
31.500000 93.732 9.8807
32.000000 93.702 9.0638
32.500000 93.665 8.3543
33.000000 93.636 7.7129
33.500000 93.620 7.0200
34.000000 93.602 6.2112
34.500000 93.571 5.3564
35.000000 93.529 4.5683
35.500000 93.492 3.8878
36.000000 93.467 3.2556
36.500000 93.447 2.6024
37.000000 93.420 1.9216
37.500000 93.382 1.2581
38.200001 93.326 0.4074
38.700001 93.292 -0.1753
39.500000 93.252 -1.1443
40.000000 93.225 -1.7549
40.599998 93.189 -2.4516
41.200001 93.148 -3.1013
41.799999 93.105 -3.7154
42.500000 93.060 -4.4013
43.099998 93.030 -4.9981
43.700001 93.002 -5.6331
44.400002 92.956 -6.3808
45.000000 92.905 -6.9731
45.500000 92.858 -7.4401
46.200001 92.789 -8.0819
46.799999 92.733 -8.5913
47.500000 92.685 -9.1213
48.200001 92.658 -9.6837
48.700001 92.639 -10.1348
49.400002 92.602 -10.7673
50.000000 92.567 -11.2773
50.799999 92.528 -11.9824
51.500000 92.491 -12.6269
52.200001 92.446 -13.2323
53.000000 92.381 -13.8615
53.799999 92.298 -14.3988
54.500000 92.226 -14.7887
55.200001 92.167 -15.1901
56.000000 92.108 -15.6947
57.000000 92.048 -16.2959
58.000000 92.003 -16.9621
59.000000 91.953 -17.6490
60.000000 91.914 -18.2486
60.799999 91.883 -18.7226
61.500000 91.846 -19.0986
62.200001 91.801 -19.4319
63.000000 91.742 -19.8129
64.000000 91.664 -20.3311
65.000000 91.591 -20.9489
66.000000 91.515 -21.5754
67.000000 91.444 -22.0924
68.000000 91.379 -22.5846
69.000000 91.313 -23.0314
70.000000 91.254 -23.4105
71.000000 91.195 -23.7830
72.000000 91.120 -24.1780
73.000000 91.039 -24.5524
74.000000 90.970 -24.9733
75.000000 90.899 -25.4322
76.199997 90.824 -25.8846
77.500000 90.755 -26.2895
78.800003 90.671 -26.6037
80.000000 90.580 -26.9163
81.199997 90.493 -27.3325
82.500000 90.405 -27.7994
83.800003 90.341 -28.2411
85.000000 90.286 -28.5164
86.199997 90.213 -28.6795
87.500000 90.103 -29.0026
88.500000 90.042 -29.3568
90.000000 89.979 -29.6424
91.199997 89.892 -29.7295
92.500000 89.784 -30.1125
93.800003 89.729 -30.4256
95.000000 89.671 -30.4985
96.199997 89.580 -30.6746
97.500000 89.506 -30.9216
98.800003 89.444 -31.0277
100.000000 89.364 -31.1517
101.500000 89.282 -31.4187
103.000000 89.192 -31.5270
104.400002 89.111 -31.7312
106.000000 89.035 -31.9291
107.500000 88.952 -32.0462
109.000000 88.875 -32.2154
110.599998 88.794 -32.3273
112.000000 88.718 -32.4188
113.800003 88.634 -32.5706
115.000000 88.571 -32.5690
117.199997 88.462 -32.6053
118.000000 88.425 -32.6152
120.599998 88.287 -32.7233
122.000000 88.216 -32.7767
124.099998 88.115 -32.7805
125.000000 88.080 -32.7841
126.500000 88.009 -32.7874
128.000000 87.940 -32.7817
131.500000 87.773 -32.8026
132.000000 87.749 -32.7740
134.000000 87.657 -32.7308
136.000000 87.573 -32.6375
138.000000 87.488 -32.5286
140.000000 87.408 -32.4200
143.000000 87.294 -32.2811
145.000000 87.220 -32.2500
147.500000 87.130 -32.2464
150.000000 87.034 -32.1119
152.500000 86.942 -31.9893
155.000000 86.839 -31.7763
157.500000 86.759 -31.5394
160.000000 86.673 -31.2395
162.500000 86.579 -30.8698
165.000000 86.496 -30.6522
167.500000 86.409 -30.4644
170.000000 86.331 -30.2790
172.500000 86.281 -30.1381
175.000000 86.206 -29.8858
177.500000 86.155 -29.7135
180.000000 86.092 -29.4684
182.500000 86.030 -29.1739
185.000000 85.973 -28.8250
187.500000 85.912 -28.4437
190.000000 85.838 -28.1450
192.500000 85.780 -27.8136
195.000000 85.719 -27.3920
197.500000 85.662 -27.1017
200.000000 85.614 -26.6868
203.000000 85.575 -26.3353
206.000000 85.530 -25.9943
209.000000 85.485 -25.6149
212.000000 85.444 -25.3807
214.000000 85.414 -25.0850
218.000000 85.359 -24.6829
220.000000 85.326 -24.4508
224.000000 85.283 -23.9836
227.000000 85.245 -23.7085
230.000000 85.214 -23.3709
233.000000 85.168 -23.1612
236.000000 85.132 -22.9400
240.000000 85.092 -22.7183
243.000000 85.052 -22.4800
247.000000 85.002 -22.1402
250.000000 84.968 -21.8487
254.000000 84.909 -21.5085
258.000000 84.849 -21.1443
262.000000 84.791 -20.7439
265.000000 84.762 -20.5687
269.000000 84.719 -20.2017
272.000000 84.669 -19.9018
276.000000 84.637 -19.5208
280.000000 84.593 -19.1785
285.000000 84.565 -18.5785
290.000000 84.556 -18.1952
295.000000 84.516 -18.0506
300.000000 84.439 -17.6661
304.000000 84.479 -16.9165
307.000000 84.386 -16.9946
311.000000 84.425 -15.8665
315.000000 84.239 -15.7742
320.000000 84.191 -15.4256
325.000000 84.155 -15.2348
330.000000 84.170 -15.0111
335.000000 84.226 -14.5872
340.000000 84.239 -13.4591
345.000000 84.100 -12.5165
350.000000 84.017 -12.8490
355.000000 84.119 -12.5049
360.000000 84.049 -11.3474
365.000000 84.018 -11.7311
370.000000 84.058 -10.7911
375.000000 83.982 -10.9351
382.000000 83.923 -10.3613
387.000000 83.913 -9.3008
395.000000 83.911 -8.7368
400.000000 83.886 -8.6372
406.000000 83.880 -7.8964
412.000000 83.878 -7.7897
418.000000 83.858 -7.3661
425.000000 83.865 -6.9772
431.000000 83.855 -6.6402
437.000000 83.822 -6.3762
444.000000 83.822 -5.7316
450.000000 83.809 -5.4131
455.000000 83.787 -5.0238
462.000000 83.778 -4.7013
468.000000 83.759 -4.3450
475.000000 83.738 -3.9105
482.000000 83.721 -3.4351
487.000000 83.709 -2.9953
494.000000 83.703 -2.5082
500.000000 83.676 -2.1870
508.000000 83.657 -1.6868
515.000000 83.681 -1.3759
522.000000 83.681 -0.7323
530.000000 83.643 -0.2904
538.000000 83.656 0.0872
545.000000 83.642 0.6007
552.000000 83.625 0.8597
560.000000 83.582 1.5573
570.000000 83.604 1.9850
580.000000 83.536 2.8645
590.000000 83.562 3.5031
600.000000 83.557 4.3003
608.000000 83.596 4.7425
615.000000 83.598 4.9957
622.000000 83.601 5.5082
630.000000 83.630 6.1539
640.000000 83.615 7.0869
650.000000 83.595 7.7043
660.000000 83.619 8.2742
670.000000 83.598 9.0439
680.000000 83.647 9.6591
690.000000 83.607 10.1895
700.000000 83.620 10.8776
710.000000 83.636 11.6403
720.000000 83.639 12.1683
730.000000 83.656 12.8928
740.000000 83.670 13.4174
750.000000 83.701 13.9809
762.000000 83.752 14.7992
775.000000 83.780 15.5031
788.000000 83.824 16.3469
800.000000 83.843 17.2460
812.000000 83.888 17.9924
825.000000 83.937 18.7332
838.000000 83.992 19.4164
850.000000 84.051 20.2390
862.000000 84.104 20.8940
875.000000 84.168 21.7171
885.000000 84.230 22.2689
900.000000 84.317 23.0632
912.000000 84.395 23.7634
925.000000 84.465 24.3987
938.000000 84.551 25.1130
950.000000 84.627 25.6328
962.000000 84.712 26.1177
975.000000 84.794 26.8380
988.000000 84.893 27.3192
1000.000000 84.949 27.5690
1015.000000 85.082 28.3300
1030.000000 85.206 28.8865
1044.000000 85.303 29.2751
1060.000000 85.425 29.7103
1075.000000 85.540 30.0721
1090.000000 85.655 30.4603
1106.000000 85.785 30.7244
1120.000000 85.881 31.0237
1138.000000 86.020 31.3264
1150.000000 86.098 31.3992
1172.000000 86.256 31.7114
1180.000000 86.310 31.7508
1206.000000 86.464 32.0193
1220.000000 86.565 32.0190
1241.000000 86.680 32.1854
1250.000000 86.736 32.2573
1265.000000 86.819 32.3045
1280.000000 86.899 32.3550
1315.000000 87.086 32.4369
1320.000000 87.102 32.4696
1340.000000 87.186 32.4620
1360.000000 87.299 32.3692
1380.000000 87.395 32.6898
1400.000000 87.466 32.2450
1430.000000 87.618 32.4873
1450.000000 87.692 32.5303
1475.000000 87.777 32.6148
1500.000000 87.858 32.5064
1525.000000 88.004 32.7054
1550.000000 88.096 32.5178
1575.000000 88.265 32.5197
1600.000000 88.349 32.5486
1625.000000 88.451 32.3561
1650.000000 88.529 32.5139
1675.000000 88.634 32.1832
1700.000000 88.751 32.2090
1725.000000 88.816 32.4136
1750.000000 88.900 32.0303
1775.000000 88.947 32.0105
1800.000000 89.040 31.9658
1825.000000 89.119 31.7629
1850.000000 89.200 31.6399
1875.000000 89.281 31.3915
1900.000000 89.369 31.2688
1925.000000 89.449 30.9736
1950.000000 89.547 30.7627
1975.000000 89.631 30.5105
2000.000000 89.679 30.3311
2030.000000 89.791 29.9196
2060.000000 89.877 29.5295
2090.000000 89.948 29.1776
2120.000000 90.019 28.8376
2140.000000 90.059 28.5597
2180.000000 90.142 27.9756
2200.000000 90.187 27.7181
2240.000000 90.272 27.2180
2270.000000 90.341 26.7874
2300.000000 90.407 26.3232
2330.000000 90.472 25.9607
2360.000000 90.552 25.4838
2400.000000 90.641 24.8444
2430.000000 90.706 24.3107
2470.000000 90.772 23.5957
2500.000000 90.825 23.0438
2540.000000 90.889 22.3312
2580.000000 90.939 21.5725
2620.000000 90.992 20.7699
2650.000000 91.027 20.0698
2690.000000 91.065 19.0919
2720.000000 91.085 18.3541
2760.000000 91.086 17.3117
2800.000000 91.064 16.2016
2850.000000 90.999 15.0589
2900.000000 90.906 14.1282
2950.000000 90.808 13.5197
3000.000000 90.725 13.2571
3040.000000 90.671 12.9947
3070.000000 90.631 12.9280
3110.000000 90.600 12.8517
3150.000000 90.580 12.8597
3200.000000 90.566 12.8976
3250.000000 90.575 12.9678
3300.000000 90.588 13.0709
3350.000000 90.620 13.1118
3400.000000 90.664 13.1105
3450.000000 90.724 13.0441
3500.000000 90.802 12.9138
3550.000000 90.878 12.5307
3600.000000 90.966 12.2196
3650.000000 91.068 11.6797
3700.000000 91.143 11.0437
3750.000000 91.220 10.2440
3820.000000 91.291 9.1187
3870.000000 91.330 8.2893
3950.000000 91.355 6.9376
4000.000000 91.362 6.0551
4060.000000 91.335 5.5233
4120.000000 91.405 5.9737
4180.000000 91.697 4.3023
4250.000000 91.731 1.5881
4310.000000 91.694 -0.0568
4370.000000 91.662 -1.6895
4440.000000 91.583 -3.5799
4500.000000 91.488 -5.3409
4550.000000 91.384 -6.7064
4620.000000 91.205 -8.5083
4680.000000 91.025 -9.9392
4750.000000 90.776 -11.3679
4820.000000 90.500 -12.5364
4870.000000 90.288 -13.1375
4940.000000 89.987 -13.7443
5000.000000 89.732 -13.9229
5080.000000 89.377 -14.1114
5150.000000 89.076 -13.7530
5220.000000 88.814 -13.2523
5300.000000 88.524 -12.3859
5380.000000 88.272 -11.3562
5450.000000 88.085 -10.2942
5520.000000 87.901 -9.0953
5600.000000 87.748 -7.6623
5700.000000 87.614 -5.8978
5800.000000 87.495 -4.0352
