* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 2:31:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ut titanium 932
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 136.350 34.7962
20.600000 136.390 33.8671
20.900000 136.420 33.1138
21.200001 136.448 32.3880
21.400000 136.463 31.8791
21.799999 136.475 30.7758
22.000000 136.466 30.1863
22.400000 136.413 28.9917
22.700001 136.348 28.1518
23.000000 136.272 27.4079
23.299999 136.201 26.7557
23.600000 136.142 26.1608
24.000000 136.092 25.3784
24.299999 136.073 24.7390
24.700001 136.064 23.7677
25.000000 136.060 22.9439
25.400000 136.051 21.7489
25.799999 136.031 20.5418
26.200001 136.005 19.4892
26.500000 135.992 18.9083
26.900000 136.002 18.4772
27.200001 136.042 18.3629
27.600000 136.134 18.2997
28.000000 136.238 18.0480
28.500000 136.300 17.1749
29.000000 136.224 15.7212
29.500000 136.034 13.9720
30.000000 135.842 12.1950
30.400000 135.754 10.8577
30.700001 135.740 9.9636
31.100000 135.774 9.0534
31.500000 135.843 8.5891
32.000000 135.944 8.5986
32.500000 136.028 8.7778
33.000000 136.042 8.4673
33.500000 135.951 7.4906
34.000000 135.798 6.2359
34.500000 135.688 5.1716
35.000000 135.681 4.3833
35.500000 135.720 3.7753
36.000000 135.706 3.4566
36.500000 135.628 3.5223
37.000000 135.557 3.4804
37.500000 135.514 2.5089
38.200001 135.370 -0.3446
38.700001 135.186 -1.8879
39.500000 135.132 -1.6383
40.000000 135.318 -1.5881
40.599998 135.437 -3.0920
41.200001 135.230 -4.6185
41.799999 135.010 -4.2990
42.500000 135.223 -3.5649
43.099998 135.490 -5.1541
43.700001 135.394 -7.0432
44.400002 135.050 -6.4465
45.000000 135.068 -4.8524
45.500000 135.253 -5.3250
46.200001 135.296 -8.3490
46.799999 135.062 -10.2079
47.500000 134.891 -9.9666
48.200001 134.995 -9.5946
48.700001 135.053 -10.2041
49.400002 134.927 -11.5713
50.000000 134.684 -12.4176
50.799999 134.397 -12.4846
51.500000 134.417 -11.8310
52.200001 134.682 -12.0261
53.000000 134.838 -13.9276
53.799999 134.567 -15.3523
54.500000 134.250 -15.0009
55.200001 134.139 -14.3192
56.000000 134.236 -14.3811
57.000000 134.479 -15.4246
58.000000 134.531 -16.9950
59.000000 134.268 -17.7363
60.000000 133.995 -17.8208
60.799999 133.899 -17.8687
61.500000 133.971 -18.0288
62.200001 134.125 -18.9204
63.000000 134.179 -20.6126
64.000000 134.050 -22.0469
65.000000 133.930 -23.1196
66.000000 133.734 -23.9673
67.000000 133.570 -23.4931
68.000000 133.496 -22.9794
69.000000 133.390 -22.5968
70.000000 133.366 -22.1706
71.000000 133.408 -22.1572
72.000000 133.374 -22.7019
73.000000 133.203 -23.2039
74.000000 133.154 -23.5683
75.000000 133.143 -25.1151
76.199997 132.974 -26.0478
77.500000 132.976 -26.4193
78.800003 132.887 -26.7803
80.000000 132.769 -27.0372
81.199997 132.739 -27.3500
82.500000 132.687 -27.2549
83.800003 132.607 -26.7426
85.000000 132.428 -27.0375
86.199997 132.320 -26.9763
87.500000 132.230 -27.5420
88.500000 132.085 -27.9453
90.000000 131.951 -28.7262
91.199997 131.912 -30.1717
92.500000 131.918 -31.7252
93.800003 131.983 -32.0666
95.000000 132.132 -31.9155
96.199997 131.998 -31.0430
97.500000 131.789 -30.0142
98.800003 131.492 -30.3579
100.000000 131.401 -31.3011
101.500000 131.452 -32.1259
103.000000 131.540 -31.3405
104.400002 131.445 -29.7230
106.000000 131.176 -30.5270
107.500000 131.241 -32.3455
109.000000 131.317 -31.4546
110.599998 130.992 -31.3006
112.000000 130.896 -33.6793
113.800003 131.116 -33.0045
115.000000 130.859 -32.5120
117.199997 130.879 -34.1938
118.000000 130.917 -33.3857
120.599998 130.637 -33.2622
122.000000 130.687 -32.6562
124.099998 130.385 -31.9221
125.000000 130.365 -32.2542
126.500000 130.320 -31.5358
128.000000 130.167 -31.8844
131.500000 130.072 -32.6498
132.000000 130.057 -32.8279
134.000000 129.984 -32.8035
136.000000 129.989 -33.1785
138.000000 129.846 -32.8380
140.000000 129.767 -32.8216
143.000000 129.628 -32.4000
145.000000 129.575 -31.9866
147.500000 129.443 -31.8697
150.000000 129.385 -31.7967
152.500000 129.248 -31.3201
155.000000 129.098 -31.2964
157.500000 129.047 -31.4598
160.000000 128.928 -31.5049
162.500000 128.858 -31.4467
165.000000 128.801 -30.7333
167.500000 128.685 -30.4366
170.000000 128.626 -30.1075
172.500000 128.551 -29.9954
175.000000 128.503 -29.3081
177.500000 128.471 -29.2807
180.000000 128.446 -29.3377
182.500000 128.465 -29.2210
185.000000 128.400 -29.1903
187.500000 128.389 -29.3194
190.000000 128.354 -28.9996
192.500000 128.304 -29.1237
195.000000 128.260 -28.6374
197.500000 128.151 -28.1813
200.000000 128.038 -27.7107
203.000000 127.930 -27.0936
206.000000 127.799 -26.7477
209.000000 127.723 -25.9325
212.000000 127.644 -25.9880
214.000000 127.624 -25.5693
218.000000 127.579 -25.6253
220.000000 127.577 -25.5476
224.000000 127.562 -25.3077
227.000000 127.583 -25.4235
230.000000 127.564 -25.3801
233.000000 127.526 -24.8994
236.000000 127.447 -24.4075
240.000000 127.370 -23.9938
243.000000 127.292 -23.2339
247.000000 127.227 -22.6810
250.000000 127.170 -22.1952
254.000000 127.065 -22.1306
258.000000 127.013 -21.7791
262.000000 127.005 -21.3905
265.000000 126.999 -21.1773
269.000000 127.020 -21.1080
272.000000 127.008 -20.9155
276.000000 126.934 -20.3382
280.000000 126.899 -19.9245
285.000000 126.842 -19.6850
290.000000 126.762 -18.9910
295.000000 126.698 -18.4174
300.000000 126.585 -17.6660
304.000000 126.532 -17.5831
307.000000 126.500 -17.4969
311.000000 126.466 -17.1757
315.000000 126.422 -16.6779
320.000000 126.361 -16.0563
325.000000 126.323 -15.8561
330.000000 126.337 -15.2701
335.000000 126.260 -14.8457
340.000000 126.231 -14.3225
345.000000 126.251 -14.0990
350.000000 126.267 -13.4855
355.000000 126.247 -13.2036
360.000000 126.245 -12.9429
365.000000 126.219 -12.6467
370.000000 126.183 -11.9899
375.000000 126.212 -11.5695
382.000000 126.178 -10.7971
387.000000 126.174 -10.4094
395.000000 126.165 -10.0051
400.000000 126.179 -9.8036
406.000000 126.157 -9.2921
412.000000 126.130 -8.7751
418.000000 126.088 -8.3007
425.000000 126.021 -7.6547
431.000000 125.996 -7.0976
437.000000 125.961 -6.7306
444.000000 125.950 -6.4026
450.000000 125.923 -5.9156
455.000000 125.922 -5.6288
462.000000 125.888 -5.3291
468.000000 125.902 -4.6430
475.000000 125.891 -4.2181
482.000000 125.853 -3.8269
487.000000 125.831 -3.5982
494.000000 125.817 -3.2898
500.000000 125.751 -2.8341
508.000000 125.676 -2.2167
515.000000 125.615 -1.3005
522.000000 125.564 -0.6976
530.000000 125.581 -0.5468
538.000000 125.564 -0.4866
545.000000 125.536 -0.0111
552.000000 125.533 0.5322
560.000000 125.545 1.4147
570.000000 125.508 2.2163
580.000000 125.519 2.4366
590.000000 125.559 3.1509
600.000000 125.612 3.9505
608.000000 125.576 4.2141
615.000000 125.548 4.7898
622.000000 125.532 5.3918
630.000000 125.504 6.0755
640.000000 125.489 7.0773
650.000000 125.460 7.6568
660.000000 125.481 8.0939
670.000000 125.515 8.7825
680.000000 125.504 9.5722
690.000000 125.583 10.1608
700.000000 125.600 10.7414
710.000000 125.637 11.1688
720.000000 125.631 11.7391
730.000000 125.632 12.6633
740.000000 125.633 13.3799
750.000000 125.595 13.9456
762.000000 125.614 14.7552
775.000000 125.640 15.5906
788.000000 125.702 16.5102
800.000000 125.766 17.1876
812.000000 125.877 17.7381
825.000000 125.983 18.7135
838.000000 126.093 19.3541
850.000000 126.145 20.0265
862.000000 126.192 20.7332
875.000000 126.246 21.6705
885.000000 126.244 22.1829
900.000000 126.264 23.0292
912.000000 126.313 23.8547
925.000000 126.371 24.5654
938.000000 126.461 25.2390
950.000000 126.578 25.5989
962.000000 126.687 26.1353
975.000000 126.781 26.6789
988.000000 126.874 27.3285
1000.000000 126.986 28.1504
1015.000000 127.089 28.3136
1030.000000 127.227 28.7088
1044.000000 127.329 29.4003
1060.000000 127.475 29.7765
1075.000000 127.554 29.9855
1090.000000 127.642 30.4330
1106.000000 127.722 30.8972
1120.000000 127.759 31.2850
1138.000000 127.879 31.4665
1150.000000 127.985 31.6528
1172.000000 128.082 31.8031
1180.000000 128.147 31.9888
1206.000000 128.322 32.3397
1220.000000 128.431 32.2800
1241.000000 128.595 32.4295
1250.000000 128.654 32.5466
1265.000000 128.767 32.5637
1280.000000 128.860 32.5667
1315.000000 129.070 32.8060
1320.000000 129.104 32.8387
1340.000000 129.209 32.8501
1360.000000 129.338 32.9586
1380.000000 129.461 32.9722
1400.000000 129.574 32.9880
1430.000000 129.755 33.0760
1450.000000 129.838 33.1114
1475.000000 129.952 33.1985
1500.000000 130.045 33.1864
1525.000000 130.121 33.2147
1550.000000 130.192 33.3296
1575.000000 130.258 33.3148
1600.000000 130.327 33.3014
1625.000000 130.389 33.4097
1650.000000 130.459 33.3313
1675.000000 130.556 33.3666
1700.000000 130.641 33.3107
1725.000000 130.741 33.2898
1750.000000 130.820 33.2236
1775.000000 130.915 33.1687
1800.000000 131.017 33.1707
1825.000000 131.137 32.9399
1850.000000 131.237 32.7004
1875.000000 131.327 32.7392
1900.000000 131.390 32.7767
1925.000000 131.489 32.3854
1950.000000 131.572 32.0885
1975.000000 131.647 32.0864
2000.000000 131.728 31.8399
2030.000000 131.837 31.3437
2060.000000 131.980 31.0103
2090.000000 132.059 30.4589
2120.000000 132.116 30.2300
2140.000000 132.148 30.0505
2180.000000 132.255 29.1580
2200.000000 132.309 28.9170
2240.000000 132.417 28.3617
2270.000000 132.522 27.9023
2300.000000 132.576 27.0126
2330.000000 132.502 26.7439
2360.000000 132.400 26.7570
2400.000000 132.343 25.9317
2430.000000 132.387 25.2546
2470.000000 132.448 24.8666
2500.000000 132.525 24.4660
2540.000000 132.691 23.4229
2580.000000 132.834 22.9154
2620.000000 132.987 22.1082
2650.000000 133.098 21.3536
2690.000000 133.187 20.4658
2720.000000 133.208 19.8796
2760.000000 133.253 18.7381
2800.000000 133.276 17.6730
2850.000000 133.201 16.4126
2900.000000 133.172 15.4173
2950.000000 132.926 15.4683
3000.000000 132.782 15.2448
3040.000000 132.772 14.5266
3070.000000 132.578 15.1223
3110.000000 132.509 15.1086
3150.000000 132.513 15.0649
3200.000000 132.522 15.5449
3250.000000 132.628 15.4807
3300.000000 132.736 15.6694
3350.000000 132.830 15.9847
3400.000000 132.891 15.9614
3450.000000 132.937 16.2814
3500.000000 132.985 16.1348
3550.000000 133.050 16.1178
3600.000000 133.107 15.6168
3650.000000 133.104 15.4017
3700.000000 133.087 14.8909
3750.000000 133.164 14.1685
3820.000000 133.284 13.0381
3870.000000 133.361 12.2362
3950.000000 133.504 11.0454
4000.000000 133.598 10.2013
4060.000000 133.672 9.6289
4120.000000 133.800 10.1068
4180.000000 134.129 8.4738
4250.000000 134.157 5.7350
4310.000000 134.152 4.0266
4370.000000 134.175 2.4164
4440.000000 134.178 0.2162
4500.000000 134.119 -1.3353
4550.000000 134.063 -2.7994
4620.000000 134.020 -4.8232
4680.000000 133.914 -6.3435
4750.000000 133.687 -7.9263
4820.000000 133.384 -9.1306
4870.000000 133.161 -9.8632
4940.000000 132.859 -10.6185
5000.000000 132.582 -11.2145
5080.000000 132.079 -10.9638
5150.000000 131.748 -11.0915
5220.000000 131.394 -10.6141
5300.000000 130.993 -9.8134
5380.000000 130.748 -8.8627
5450.000000 130.585 -7.9246
5520.000000 130.526 -6.8837
5600.000000 130.540 -5.7648
5700.000000 130.534 -4.1907
5800.000000 130.536 -2.6992
5900.000000 130.571 -1.4204
