* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Unique Melody MEST MKII Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Unique Melody MEST MKII Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Lnique Melody MEST MKII Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	76.333	132.6806
1.015000	76.095	131.4680
1.030000	75.849	130.1311
1.044000	75.612	128.7618
1.060000	75.332	127.0417
1.075000	75.060	125.2676
1.090000	74.780	123.3262
1.106000	74.466	121.0587
1.120000	74.157	118.9030
1.138000	73.712	115.9099
1.150000	73.389	113.7850
1.172000	72.751	109.6427
1.180000	72.507	108.0629
1.206000	71.677	102.6863
1.220000	71.215	99.6530
1.241000	70.511	94.9473
1.250000	70.208	92.8801
1.265000	69.705	89.3766
1.280000	69.208	85.8106
1.315000	68.101	77.3111
1.320000	67.951	76.0828
1.340000	67.379	71.1511
1.360000	66.859	66.2107
1.380000	66.403	61.2890
1.400000	66.021	56.4131
1.430000	65.610	49.2455
1.450000	65.461	44.6042
1.475000	65.433	38.9588
1.500000	65.581	33.1281
1.525000	65.886	27.0745
1.550000	66.326	20.8600
1.575000	66.882	14.5463
1.600000	67.532	8.1955
1.625000	68.255	1.8693
1.650000	69.030	-4.3702
1.675000	69.837	-10.4613
1.700000	70.655	-16.3421
1.725000	71.462	-21.9506
1.750000	72.239	-27.2250
1.775000	72.963	-32.1034
1.800000	73.615	-36.5238
1.825000	74.173	-40.4245
1.850000	74.646	-43.7654
1.875000	75.093	-46.5957
1.900000	75.517	-48.9685
1.925000	75.922	-50.9361
1.950000	76.307	-52.5505
1.975000	76.674	-53.8639
2.000000	77.025	-54.9285
2.030000	77.426	-55.9509
2.060000	77.808	-56.7800
2.090000	78.172	-57.5061
2.120000	78.522	-58.2192
2.140000	78.748	-58.7318
2.180000	79.186	-59.9667
2.200000	79.399	-60.7406
2.240000	79.799	-62.2991
2.270000	80.073	-63.3755
2.300000	80.328	-64.3815
2.330000	80.565	-65.3249
2.360000	80.787	-66.2136
2.400000	81.064	-67.3272
2.430000	81.259	-68.1191
2.470000	81.507	-69.1323
2.500000	81.688	-69.8704
2.540000	81.926	-70.8406
2.580000	82.162	-71.8053
2.620000	82.384	-72.7218
2.650000	82.540	-73.3730
2.690000	82.736	-74.1976
2.720000	82.875	-74.7866
2.760000	83.051	-75.5375
2.800000	83.219	-76.2545
2.850000	83.421	-77.1120
2.900000	83.619	-77.9375
2.950000	83.814	-78.7382
3.000000	83.999	-79.4868
3.040000	84.139	-80.0480
3.070000	84.240	-80.4501
3.110000	84.371	-80.9650
3.150000	84.498	-81.4601
3.200000	84.652	-82.0584
3.250000	84.804	-82.6427
3.300000	84.954	-83.2223
3.350000	85.103	-83.7826
3.400000	85.246	-84.3142
3.450000	85.386	-84.8243
3.500000	85.522	-85.3200
3.550000	85.656	-85.8086
3.600000	85.787	-86.2973
3.650000	85.917	-86.7933
3.700000	86.045	-87.2965
