* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Unique Melody MEST MKII Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Unique Melody MEST MKII Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Rnique Melody MEST MKII Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	76.048	131.4322
1.015000	75.798	130.1122
1.030000	75.542	128.6428
1.044000	75.298	127.1251
1.060000	75.013	125.2040
1.075000	74.740	123.2087
1.090000	74.460	121.0122
1.106000	74.152	118.4276
1.120000	73.850	115.9297
1.138000	73.419	112.4090
1.150000	73.106	109.8835
1.172000	72.492	104.9192
1.180000	72.258	103.0162
1.206000	71.464	96.5173
1.220000	71.024	92.8441
1.241000	70.355	87.1479
1.250000	70.067	84.6494
1.265000	69.592	80.4240
1.280000	69.124	76.1384
1.315000	68.085	66.0108
1.320000	67.946	64.5597
1.340000	67.415	58.7725
1.360000	66.936	53.0465
1.380000	66.521	47.4267
1.400000	66.179	41.9578
1.430000	65.827	34.1358
1.450000	65.714	29.2407
1.475000	65.729	23.5125
1.500000	65.924	17.8582
1.525000	66.279	12.2084
1.550000	66.772	6.5920
1.575000	67.382	1.0382
1.600000	68.087	-4.4240
1.625000	68.865	-9.7656
1.650000	69.694	-14.9575
1.675000	70.552	-19.9707
1.700000	71.418	-24.7763
1.725000	72.269	-29.3450
1.750000	73.084	-33.6480
1.775000	73.841	-37.6562
1.800000	74.518	-41.3405
1.825000	75.093	-44.6719
1.850000	75.574	-47.6068
1.875000	76.020	-50.1184
1.900000	76.435	-52.2478
1.925000	76.823	-54.0382
1.950000	77.187	-55.5327
1.975000	77.527	-56.7747
2.000000	77.848	-57.8074
2.030000	78.209	-58.8309
2.060000	78.550	-59.6899
2.090000	78.873	-60.4590
2.120000	79.183	-61.2128
2.140000	79.385	-61.7437
2.180000	79.781	-62.9733
2.200000	79.979	-63.7148
2.240000	80.352	-65.2007
2.270000	80.607	-66.2335
2.300000	80.844	-67.2034
2.330000	81.065	-68.1170
2.360000	81.271	-68.9808
2.400000	81.528	-70.0663
2.430000	81.710	-70.8392
2.470000	81.940	-71.8272
2.500000	82.108	-72.5448
2.540000	82.329	-73.4826
2.580000	82.548	-74.4072
2.620000	82.754	-75.2818
2.650000	82.898	-75.9013
2.690000	83.079	-76.6833
2.720000	83.207	-77.2400
2.760000	83.369	-77.9473
2.800000	83.525	-78.6199
2.850000	83.712	-79.4209
2.900000	83.894	-80.1882
2.950000	84.076	-80.9289
3.000000	84.250	-81.6140
3.040000	84.381	-82.1223
3.070000	84.476	-82.4841
3.110000	84.600	-82.9447
3.150000	84.719	-83.3857
3.200000	84.866	-83.9176
3.250000	85.011	-84.4380
3.300000	85.156	-84.9576
3.350000	85.299	-85.4599
3.400000	85.440	-85.9338
3.450000	85.577	-86.3878
3.500000	85.712	-86.8300
3.550000	85.845	-87.2686
3.600000	85.976	-87.7119
3.650000	86.105	-88.1681
3.700000	86.233	-88.6375
3.750000	86.360	-89.1061
3.820000	86.534	-89.7648
3.870000	86.656	-90.2409
3.950000	86.846	-91.0198
4.000000	86.961	-91.5215
4.060000	87.094	-92.1426
4.120000	87.224	-92.7826
4.180000	87.350	-93.4382
4.250000	87.491	-94.2183
4.310000	87.607	-94.8965
4.370000	87.718	-95.5800
4.440000	87.841	-96.3850
4.500000	87.940	-97.0900
4.550000	88.019	-97.6846
4.620000	88.124	-98.5211
4.680000	88.208	-99.2356
4.750000	88.302	-100.0582
4.820000	88.389	-100.8701
4.870000	88.447	-101.4498
4.940000	88.523	-102.2569
5.000000	88.583	-102.9400
5.080000	88.660	-103.8316
5.150000	88.725	-104.5875
5.220000	88.785	-105.3243
5.300000	88.848	-106.1458
5.380000	88.908	-106.9455
5.450000	88.959	-107.6277
5.520000	89.011	-108.2932
5.600000	89.068	-109.0273
5.700000	89.137	-109.9137
5.800000	89.207	-110.7802
5.900000	89.280	-111.6393
6.000000	89.355	-112.4776
6.080000	89.415	-113.1396
6.150000	89.469	-113.7202
6.220000	89.524	-114.3081
6.300000	89.587	-114.9880
6.400000	89.668	-115.8421
6.500000	89.749	-116.7064
6.600000	89.829	-117.5866
6.700000	89.909	-118.4868
6.800000	89.988	-119.4023
6.900000	90.064	-120.3256
7.000000	90.137	-121.2515
7.100000	90.206	-122.1888
7.200000	90.273	-123.1286
7.300000	90.336	-124.0579
7.400000	90.396	-124.9718
7.500000	90.452	-125.8786
7.620000	90.516	-126.9448
7.750000	90.583	-128.0568
7.880000	90.645	-129.1290
8.000000	90.701	-130.0834
8.120000	90.758	-131.0005
8.250000	90.818	-131.9503
8.380000	90.879	-132.8659
8.500000	90.937	-133.6872
8.620000	90.996	-134.4804
8.750000	91.061	-135.3211
8.850000	91.112	-135.9619
9.000000	91.190	-136.9061
9.120000	91.251	-137.6525
9.250000	91.316	-138.4580
9.380000	91.380	-139.2575
9.500000	91.436	-139.9868
9.620000	91.491	-140.7079
9.750000	91.549	-141.4803
9.880000	91.595	-142.2347
10.000000	91.621	-142.9128
10.150000	91.639	-143.7374
10.300000	91.648	-144.5276
10.440000	91.648	-145.2329
10.600000	91.643	-146.0043
10.750000	91.637	-146.6927
10.900000	91.630	-147.3500
11.060000	91.623	-148.0279
11.200000	91.616	-148.5989
11.380000	91.606	-149.3171
11.500000	91.599	-149.7879
11.720000	91.585	-150.6387
11.800000	91.579	-150.9469
12.060000	91.556	-151.9406
12.200000	91.541	-152.4716
12.410000	91.517	-153.2614
12.500000	91.512	-153.5959
12.650000	91.509	-154.1485
12.800000	91.509	-154.6945
13.150000	91.505	-155.9408
13.200000	91.504	-156.1168
13.400000	91.500	-156.8150
13.600000	91.495	-157.5113
13.800000	91.490	-158.2085
14.000000	91.483	-158.9096
14.300000	91.470	-159.9684
14.500000	91.460	-160.6764
14.750000	91.445	-161.5533
15.000000	91.428	-162.4156
15.250000	91.410	-163.2532
15.500000	91.393	-164.0659
15.750000	91.380	-164.8553
16.000000	91.372	-165.6281
16.250000	91.372	-166.3927
16.500000	91.377	-167.1525
16.750000	91.384	-167.9106
17.000000	91.389	-168.6618
17.250000	91.394	-169.4012
17.500000	91.397	-170.1220
17.750000	91.399	-170.8174
18.000000	91.399	-171.4866
18.250000	91.399	-172.1292
18.500000	91.399	-172.7500
18.750000	91.399	-173.3532
19.000000	91.397	-173.9426
19.250000	91.395	-174.5226
19.500000	91.390	-175.0930
19.750000	91.382	-175.6541
20.000000	91.372	-176.2035
20.299999	91.357	-176.8436
20.600000	91.340	-177.4591
20.900000	91.319	-178.0480
21.200001	91.299	-178.6110
21.400000	91.285	-178.9753
21.799999	91.261	-179.6891
22.000000	91.251	179.9537
22.400000	91.232	179.2215
22.700001	91.221	178.6469
23.000000	91.210	178.0463
23.299999	91.197	177.4243
23.600000	91.182	176.7899
24.000000	91.157	175.9451
24.299999	91.134	175.3300
24.700001	91.102	174.5538
25.000000	91.080	174.0103
25.400000	91.053	173.3314
25.799999	91.033	172.6816
26.200001	91.016	172.0360
26.500000	91.003	171.5515
26.900000	90.981	170.9210
27.200001	90.961	170.4781
27.600000	90.935	169.9418
28.000000	90.913	169.4481
28.500000	90.893	168.8075
29.000000	90.869	168.0649
29.500000	90.823	167.2622
30.000000	90.753	166.5359
30.400000	90.693	166.0628
30.700001	90.653	165.7545
31.100000	90.610	165.3467
31.500000	90.573	164.8929
32.000000	90.527	164.2524
32.500000	90.473	163.5983
33.000000	90.419	162.9873
33.500000	90.374	162.3950
34.000000	90.335	161.7674
34.500000	90.294	161.1042
35.000000	90.245	160.4577
35.500000	90.193	159.8769
36.000000	90.145	159.3654
36.500000	90.102	158.8957
37.000000	90.065	158.4335
37.500000	90.031	157.9528
38.200001	89.980	157.2330
38.700001	89.935	156.7161
39.500000	89.854	155.9835
40.000000	89.809	155.5707
40.599998	89.762	155.0442
41.200001	89.710	154.4646
41.799999	89.647	153.9163
42.500000	89.574	153.3930
43.099998	89.524	152.9707
43.700001	89.478	152.4981
44.400002	89.415	151.9397
45.000000	89.358	151.5211
45.500000	89.316	151.1894
46.200001	89.261	150.6865
46.799999	89.210	150.2291
47.500000	89.143	149.7241
48.200001	89.078	149.2558
48.700001	89.035	148.9288
49.400002	88.973	148.4731
50.000000	88.921	148.0889
50.799999	88.854	147.5963
51.500000	88.799	147.1725
52.200001	88.742	146.7448
53.000000	88.673	146.2876
53.799999	88.608	145.8665
54.500000	88.552	145.4872
55.200001	88.493	145.1183
56.000000	88.427	144.7236
57.000000	88.347	144.2327
58.000000	88.277	143.7823
59.000000	88.215	143.1655
60.000000	88.112	142.5371
60.799999	88.030	142.2446
61.500000	87.977	141.9968
62.200001	87.925	141.6914
63.000000	87.863	141.3498
64.000000	87.788	140.9321
65.000000	87.709	140.5038
66.000000	87.630	140.1313
67.000000	87.557	139.7795
68.000000	87.486	139.4013
69.000000	87.408	139.0269
70.000000	87.329	138.6731
71.000000	87.251	138.3445
72.000000	87.180	137.9991
73.000000	87.104	137.6448
74.000000	87.031	137.3538
75.000000	86.969	137.0552
76.199997	86.885	136.6619
77.500000	86.789	136.3632
78.800003	86.714	136.0323
80.000000	86.634	135.6017
81.199997	86.539	135.2208
82.500000	86.441	134.9566
83.800003	86.373	134.6745
85.000000	86.300	134.3018
86.199997	86.211	134.0711
87.500000	86.139	133.8959
88.500000	86.086	133.6470
90.000000	85.983	133.2463
91.199997	85.896	133.0305
92.500000	85.820	132.8032
93.800003	85.744	132.5338
95.000000	85.679	132.3174
96.199997	85.614	132.0805
97.500000	85.541	131.8687
98.800003	85.472	131.6539
100.000000	85.404	131.4552
101.500000	85.322	131.2510
103.000000	85.242	131.0157
104.400002	85.167	130.8130
106.000000	85.085	130.6024
107.500000	85.017	130.3890
109.000000	84.943	130.1361
110.599998	84.867	129.9154
112.000000	84.801	129.7367
113.800003	84.721	129.5321
115.000000	84.666	129.3741
117.199997	84.558	129.1370
118.000000	84.521	129.0602
120.599998	84.412	128.7864
122.000000	84.356	128.6344
124.099998	84.274	128.4295
125.000000	84.238	128.3392
126.500000	84.181	128.2036
128.000000	84.127	128.0515
131.500000	84.002	127.7769
132.000000	83.987	127.7318
134.000000	83.919	127.5674
136.000000	83.856	127.3860
138.000000	83.784	127.2035
140.000000	83.722	127.0551
143.000000	83.632	126.8318
145.000000	83.578	126.7203
147.500000	83.511	126.5673
150.000000	83.443	126.4177
152.500000	83.376	126.2799
155.000000	83.312	126.1222
157.500000	83.249	125.9785
160.000000	83.185	125.7831
162.500000	83.109	125.6451
165.000000	83.045	125.5414
167.500000	82.979	125.4059
170.000000	82.911	125.2998
172.500000	82.847	125.1779
175.000000	82.785	125.0815
177.500000	82.729	124.9777
180.000000	82.669	124.8455
182.500000	82.610	124.7194
185.000000	82.551	124.5897
187.500000	82.497	124.4972
190.000000	82.449	124.3870
192.500000	82.397	124.2901
195.000000	82.352	124.1869
197.500000	82.306	124.0607
200.000000	82.264	123.9712
203.000000	82.218	123.8799
206.000000	82.170	123.7906
209.000000	82.127	123.6614
212.000000	82.089	123.5316
214.000000	82.063	123.4486
218.000000	82.011	123.2659
220.000000	81.987	123.1781
224.000000	81.942	123.0818
227.000000	81.911	123.0075
230.000000	81.883	122.8666
233.000000	81.856	122.7265
236.000000	81.827	122.6186
240.000000	81.789	122.4773
243.000000	81.767	122.3677
247.000000	81.737	122.2564
250.000000	81.716	122.1292
254.000000	81.696	121.9697
258.000000	81.676	121.8001
