* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 16, 2025 11:29:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Vader Pro all off 1331
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.992 -126.7310
20.600000 80.079 -127.2340
20.900000 80.159 -127.6870
21.200001 80.238 -128.1496
21.400000 80.291 -128.4693
21.799999 80.398 -129.1323
22.000000 80.451 -129.4697
22.400000 80.554 -130.1359
22.700001 80.630 -130.6143
23.000000 80.705 -131.0709
23.299999 80.778 -131.5141
23.600000 80.850 -131.9542
24.000000 80.941 -132.5494
24.299999 81.005 -133.0045
24.700001 81.084 -133.6166
25.000000 81.141 -134.0730
25.400000 81.216 -134.6728
25.799999 81.293 -135.2617
26.200001 81.372 -135.8392
26.500000 81.432 -136.2635
26.900000 81.511 -136.8182
27.200001 81.570 -137.2290
27.600000 81.644 -137.7760
28.000000 81.711 -138.3236
28.500000 81.784 -138.9955
29.000000 81.853 -139.6389
29.500000 81.928 -140.2772
30.000000 82.013 -140.9641
30.400000 82.081 -141.5593
30.700001 82.129 -142.0153
31.100000 82.187 -142.5971
31.500000 82.239 -143.1207
32.000000 82.301 -143.6971
32.500000 82.362 -144.2410
33.000000 82.421 -144.8001
33.500000 82.475 -145.3751
34.000000 82.530 -145.9566
34.500000 82.586 -146.5549
35.000000 82.642 -147.1719
35.500000 82.691 -147.7725
36.000000 82.737 -148.3209
36.500000 82.785 -148.8353
37.000000 82.837 -149.3762
37.500000 82.886 -149.9716
38.200001 82.944 -150.8235
38.700001 82.983 -151.3876
39.500000 83.051 -152.2491
40.000000 83.092 -152.7955
40.599998 83.133 -153.4360
41.200001 83.169 -154.0356
41.799999 83.208 -154.6236
42.500000 83.254 -155.3350
43.099998 83.293 -155.9583
43.700001 83.332 -156.5865
44.400002 83.373 -157.3219
45.000000 83.403 -157.9237
45.500000 83.425 -158.3914
46.200001 83.459 -159.0377
46.799999 83.485 -159.6254
47.500000 83.510 -160.3135
48.200001 83.538 -160.9590
48.700001 83.562 -161.4174
49.400002 83.592 -162.0768
50.000000 83.610 -162.6176
50.799999 83.631 -163.2968
51.500000 83.654 -163.9242
52.200001 83.675 -164.5578
53.000000 83.706 -165.2367
53.799999 83.737 -165.9425
54.500000 83.744 -166.5389
55.200001 83.748 -167.0483
56.000000 83.765 -167.6734
57.000000 83.775 -168.5855
58.000000 83.776 -169.3472
59.000000 83.792 -170.0819
60.000000 83.806 -170.8713
60.799999 83.816 -171.5088
61.500000 83.823 -172.0602
62.200001 83.826 -172.5865
63.000000 83.826 -173.1625
64.000000 83.823 -173.8549
65.000000 83.824 -174.6127
66.000000 83.813 -175.3803
67.000000 83.812 -175.9774
68.000000 83.821 -176.6297
69.000000 83.805 -177.3135
70.000000 83.787 -177.9997
71.000000 83.764 -178.7280
72.000000 83.746 -179.3889
73.000000 83.742 179.9892
74.000000 83.750 179.3306
75.000000 83.724 178.6832
76.199997 83.692 178.0883
77.500000 83.672 177.1458
78.800003 83.694 176.7584
80.000000 83.675 175.9721
81.199997 83.572 175.2323
82.500000 83.549 174.2941
83.800003 83.528 173.6157
85.000000 83.490 173.0553
86.199997 83.454 172.3795
87.500000 83.416 171.6490
88.500000 83.383 171.2079
90.000000 83.333 170.3729
91.199997 83.299 169.9167
92.500000 83.264 169.2256
93.800003 83.205 168.5703
95.000000 83.164 167.9194
96.199997 83.115 167.4775
97.500000 83.066 166.8612
98.800003 83.016 166.3262
100.000000 82.964 165.7953
101.500000 82.905 165.1494
103.000000 82.840 164.5235
104.400002 82.786 163.9646
106.000000 82.711 163.3346
107.500000 82.640 162.7465
109.000000 82.579 162.1961
110.599998 82.494 161.5622
112.000000 82.426 161.1055
113.800003 82.351 160.4584
115.000000 82.289 160.0684
117.199997 82.178 159.4084
118.000000 82.145 159.2564
120.599998 81.951 158.3661
122.000000 81.923 157.8000
124.099998 81.808 157.1750
125.000000 81.752 156.9556
126.500000 81.688 156.5755
128.000000 81.599 156.1344
131.500000 81.390 155.1375
132.000000 81.356 155.0882
134.000000 81.244 154.9675
136.000000 81.116 154.3784
138.000000 80.969 154.0236
140.000000 80.842 153.5975
143.000000 80.666 153.6469
145.000000 80.532 153.1931
147.500000 80.429 153.1559
150.000000 80.286 153.0648
152.500000 80.180 152.7639
155.000000 80.112 152.7538
157.500000 79.975 152.3422
160.000000 79.858 152.3846
162.500000 79.726 151.8710
165.000000 79.637 151.3429
167.500000 79.495 150.9948
170.000000 79.357 150.5979
172.500000 79.240 150.4659
175.000000 79.015 150.6875
177.500000 78.885 150.2424
180.000000 78.758 150.2571
182.500000 78.598 149.7540
185.000000 78.422 149.6361
187.500000 78.283 149.8723
190.000000 78.055 150.1567
192.500000 77.950 150.4988
195.000000 77.838 150.6467
197.500000 77.658 150.8277
200.000000 77.576 151.1172
203.000000 77.416 151.1106
206.000000 77.180 151.7041
209.000000 77.090 152.1876
212.000000 76.925 152.1322
214.000000 76.833 152.5648
218.000000 76.598 153.4252
220.000000 76.505 153.8740
224.000000 76.306 154.3849
227.000000 76.156 155.1048
230.000000 76.015 155.7816
233.000000 75.887 156.5056
236.000000 75.772 157.1063
240.000000 75.610 158.0491
243.000000 75.489 159.0300
247.000000 75.327 159.7834
250.000000 75.250 160.7093
254.000000 75.110 161.8797
258.000000 75.034 163.0429
262.000000 74.920 164.1254
265.000000 74.849 164.9507
269.000000 74.736 166.0412
272.000000 74.692 166.9287
276.000000 74.634 168.3542
280.000000 74.569 169.2022
285.000000 74.537 170.6620
290.000000 74.479 172.3432
295.000000 74.400 173.5145
300.000000 74.409 174.8738
304.000000 74.441 176.1144
307.000000 74.423 176.8069
311.000000 74.420 177.7169
315.000000 74.450 178.7696
320.000000 74.453 179.9433
325.000000 74.438 -178.7810
330.000000 74.527 -177.9140
335.000000 74.526 -176.7913
340.000000 74.614 -175.7050
345.000000 74.631 -174.7594
350.000000 74.694 -174.0183
355.000000 74.724 -173.2005
360.000000 74.765 -172.3099
365.000000 74.831 -171.6686
370.000000 74.918 -170.8053
375.000000 74.937 -170.1725
382.000000 75.029 -169.3545
387.000000 75.082 -168.6131
395.000000 75.154 -167.6533
400.000000 75.232 -167.1836
406.000000 75.269 -166.7122
412.000000 75.329 -165.8196
418.000000 75.425 -165.5314
425.000000 75.480 -164.8555
431.000000 75.539 -164.2522
437.000000 75.581 -163.8174
444.000000 75.675 -163.3437
450.000000 75.728 -163.0437
455.000000 75.745 -162.5822
462.000000 75.832 -162.2195
468.000000 75.912 -161.8666
475.000000 75.939 -161.3028
482.000000 75.991 -160.8943
487.000000 76.035 -160.7932
494.000000 76.070 -160.3577
500.000000 76.133 -159.8775
508.000000 76.156 -159.5835
515.000000 76.235 -159.1324
522.000000 76.265 -158.7956
530.000000 76.314 -158.4768
538.000000 76.338 -158.1455
545.000000 76.421 -157.7252
552.000000 76.431 -157.3358
560.000000 76.488 -157.1014
570.000000 76.531 -156.6960
580.000000 76.576 -156.2019
590.000000 76.621 -155.5828
600.000000 76.651 -155.0781
608.000000 76.686 -154.8603
615.000000 76.699 -154.3798
622.000000 76.739 -154.0973
630.000000 76.776 -153.7342
640.000000 76.812 -153.2026
650.000000 76.784 -152.7469
660.000000 76.786 -151.6003
670.000000 76.911 -150.3030
680.000000 77.102 -149.7514
690.000000 77.213 -149.8895
700.000000 77.266 -149.8800
710.000000 77.283 -149.5636
720.000000 77.311 -149.2388
730.000000 77.321 -148.8654
740.000000 77.383 -148.4695
750.000000 77.429 -148.0067
762.000000 77.467 -147.3200
775.000000 77.545 -146.7261
788.000000 77.591 -146.0175
800.000000 77.675 -145.3781
812.000000 77.736 -144.8899
825.000000 77.828 -144.0742
838.000000 77.901 -143.5089
850.000000 77.975 -142.9052
862.000000 78.055 -142.3610
875.000000 78.157 -141.6117
885.000000 78.232 -141.1584
900.000000 78.354 -140.6985
912.000000 78.426 -139.9587
925.000000 78.553 -139.4906
938.000000 78.634 -138.9055
950.000000 78.732 -138.4516
962.000000 78.854 -137.9095
975.000000 78.963 -137.6353
988.000000 79.083 -137.1984
1000.000000 79.283 -136.7557
1015.000000 79.326 -136.2473
1030.000000 79.468 -135.9991
1044.000000 79.607 -135.7340
1060.000000 79.743 -135.2387
1075.000000 79.871 -134.9296
1090.000000 80.030 -134.6826
1106.000000 80.153 -134.4606
1120.000000 80.290 -134.4346
1138.000000 80.443 -134.0670
1150.000000 80.548 -134.1255
1172.000000 80.734 -133.8875
1180.000000 80.811 -133.9200
1206.000000 80.999 -133.7051
1220.000000 81.106 -133.8231
1241.000000 81.280 -133.7367
1250.000000 81.355 -133.8125
1265.000000 81.466 -133.7558
1280.000000 81.577 -133.8323
1315.000000 81.807 -133.7718
1320.000000 81.840 -133.8233
1340.000000 81.972 -133.7872
1360.000000 82.109 -133.8386
1380.000000 82.234 -133.9235
1400.000000 82.365 -133.9612
1430.000000 82.544 -134.0042
1450.000000 82.679 -133.9558
1475.000000 82.813 -134.0273
1500.000000 82.984 -134.0664
1525.000000 83.157 -134.0820
1550.000000 83.291 -134.1716
1575.000000 83.442 -134.3199
1600.000000 83.605 -134.3681
1625.000000 83.768 -134.4613
1650.000000 83.929 -134.5421
1675.000000 84.094 -134.6924
1700.000000 84.253 -134.9789
1725.000000 84.423 -135.0960
1750.000000 84.576 -135.3602
1775.000000 84.761 -135.5702
1800.000000 84.930 -135.8778
1825.000000 85.105 -136.1808
1850.000000 85.275 -136.5257
1875.000000 85.456 -136.9297
1900.000000 85.627 -137.2943
1925.000000 85.813 -137.8307
1950.000000 85.989 -138.4168
1975.000000 86.173 -138.9981
2000.000000 86.354 -139.9012
2030.000000 86.551 -140.4774
2060.000000 86.763 -141.3654
2090.000000 86.970 -142.3999
2120.000000 87.159 -143.4993
2140.000000 87.302 -144.2544
2180.000000 87.550 -145.9328
2200.000000 87.677 -146.8785
2240.000000 87.900 -148.7323
2270.000000 88.054 -150.2199
2300.000000 88.196 -151.8487
2330.000000 88.325 -153.4788
2360.000000 88.438 -155.1888
2400.000000 88.572 -157.4970
2430.000000 88.648 -159.3202
2470.000000 88.733 -161.7901
2500.000000 88.769 -163.6823
2540.000000 88.784 -166.1861
2580.000000 88.769 -168.6526
2620.000000 88.721 -171.0085
2650.000000 88.656 -172.7013
2690.000000 88.575 -174.8986
2720.000000 88.490 -176.4157
2760.000000 88.365 -178.3816
2800.000000 88.231 179.7838
2850.000000 88.035 177.7856
2900.000000 87.835 175.8684
2950.000000 87.621 174.1802
3000.000000 87.376 172.5460
3040.000000 87.226 171.6108
3070.000000 87.088 170.9655
3110.000000 86.922 170.1003
3150.000000 86.737 169.3590
3200.000000 86.539 168.5299
3250.000000 86.323 167.9159
3300.000000 86.144 167.2563
3350.000000 85.944 166.7557
3400.000000 85.782 166.2944
3450.000000 85.606 166.0554
3500.000000 85.458 165.7626
3550.000000 85.298 165.3976
3600.000000 85.162 165.2613
3650.000000 85.039 165.2658
3700.000000 84.917 165.1831
3750.000000 84.824 165.0783
3820.000000 84.703 165.0793
3870.000000 84.629 165.0385
3950.000000 84.525 164.7990
4000.000000 84.520 164.8911
4060.000000 84.426 164.2485
4120.000000 84.345 163.8858
4180.000000 84.288 163.4962
4250.000000 84.191 163.1387
4310.000000 84.131 162.6805
4370.000000 84.043 162.2407
4440.000000 83.967 161.7611
4500.000000 83.891 161.2323
4550.000000 83.834 160.8222
4620.000000 83.734 160.2233
4680.000000 83.658 159.7533
4750.000000 83.540 158.9877
4820.000000 83.432 158.3397
4870.000000 83.350 157.8420
4940.000000 83.183 157.0098
5000.000000 82.997 156.7501
5080.000000 82.843 155.6430
5150.000000 82.638 155.0659
5220.000000 82.432 154.4295
5300.000000 82.209 154.0304
5380.000000 81.911 153.7854
5450.000000 81.676 153.7552
5520.000000 81.426 153.6103
5600.000000 81.115 153.5978
5700.000000 80.794 153.9720
