* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 16, 2025 11:28:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Vader Pro all on 1329
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.413 -134.0893
20.600000 81.451 -134.5423
20.900000 81.491 -135.0364
21.200001 81.541 -135.6285
21.400000 81.580 -136.0686
21.799999 81.666 -137.0010
22.000000 81.711 -137.4564
22.400000 81.801 -138.2658
22.700001 81.868 -138.7488
23.000000 81.934 -139.1288
23.299999 81.999 -139.4485
23.600000 82.060 -139.7558
24.000000 82.133 -140.2139
24.299999 82.180 -140.6212
24.700001 82.234 -141.2446
25.000000 82.273 -141.7501
25.400000 82.328 -142.4403
25.799999 82.392 -143.1165
26.200001 82.463 -143.7548
26.500000 82.518 -144.2009
26.900000 82.588 -144.7544
27.200001 82.636 -145.1508
27.600000 82.692 -145.6793
28.000000 82.736 -146.2329
28.500000 82.778 -146.9633
29.000000 82.813 -147.6972
29.500000 82.856 -148.4037
30.000000 82.910 -149.0897
30.400000 82.956 -149.6298
30.700001 82.990 -150.0231
31.100000 83.031 -150.5182
31.500000 83.069 -150.9823
32.000000 83.117 -151.5629
32.500000 83.165 -152.2053
33.000000 83.206 -152.9024
33.500000 83.238 -153.5713
34.000000 83.271 -154.1496
34.500000 83.311 -154.6741
35.000000 83.352 -155.2188
35.500000 83.381 -155.7979
36.000000 83.398 -156.3654
36.500000 83.419 -156.9161
37.000000 83.454 -157.5249
37.500000 83.498 -158.2455
38.200001 83.542 -159.2858
38.700001 83.559 -159.8619
39.500000 83.590 -160.4651
40.000000 83.612 -160.8115
40.599998 83.626 -161.2696
41.200001 83.632 -161.7207
41.799999 83.650 -162.2065
42.500000 83.675 -162.9308
43.099998 83.678 -163.5837
43.700001 83.679 -164.1186
44.400002 83.703 -164.7152
45.000000 83.727 -165.3675
45.500000 83.729 -165.9335
46.200001 83.712 -166.5390
46.799999 83.709 -166.9118
47.500000 83.721 -167.4305
48.200001 83.726 -168.0668
48.700001 83.726 -168.5122
49.400002 83.730 -169.1010
50.000000 83.733 -169.6014
50.799999 83.729 -170.2208
51.500000 83.724 -170.7152
52.200001 83.721 -171.2359
53.000000 83.713 -171.8483
53.799999 83.707 -172.4257
54.500000 83.703 -172.9385
55.200001 83.695 -173.4515
56.000000 83.683 -173.9971
57.000000 83.672 -174.6989
58.000000 83.652 -175.3908
59.000000 83.635 -176.0170
60.000000 83.610 -176.6285
60.799999 83.593 -177.0733
61.500000 83.587 -177.5311
62.200001 83.571 -178.0446
63.000000 83.539 -178.5181
64.000000 83.512 -179.0014
65.000000 83.479 -179.5638
66.000000 83.445 179.9120
67.000000 83.417 179.3344
68.000000 83.378 178.7841
69.000000 83.345 178.3206
70.000000 83.322 177.7994
71.000000 83.283 177.2485
72.000000 83.240 176.8656
73.000000 83.212 176.4216
74.000000 83.160 175.9431
75.000000 83.120 175.5597
76.199997 83.075 174.9999
77.500000 83.023 174.4977
78.800003 82.965 173.9559
80.000000 82.916 173.4901
81.199997 82.864 173.0765
82.500000 82.804 172.5927
83.800003 82.767 172.4041
85.000000 82.734 171.8317
86.199997 82.639 171.5186
87.500000 82.590 171.0820
88.500000 82.525 170.7010
90.000000 82.491 170.3322
91.199997 82.420 169.8519
92.500000 82.341 169.7075
93.800003 82.283 169.2486
95.000000 82.225 169.0310
96.199997 82.167 168.7705
97.500000 82.103 168.4255
98.800003 82.044 168.1254
100.000000 81.974 167.9638
101.500000 81.901 167.7264
103.000000 81.821 167.4425
104.400002 81.755 167.1867
106.000000 81.679 166.9304
107.500000 81.595 166.7155
109.000000 81.532 166.5244
110.599998 81.420 166.3212
112.000000 81.372 166.1658
113.800003 81.281 166.0054
115.000000 81.224 165.8603
117.199997 81.127 165.6666
118.000000 81.081 165.4684
120.599998 81.035 165.6267
122.000000 80.851 165.5449
124.099998 80.767 165.1847
125.000000 80.730 165.2337
126.500000 80.652 165.2870
128.000000 80.567 165.3780
131.500000 80.444 165.3756
132.000000 80.387 165.4604
134.000000 80.274 165.0845
136.000000 80.212 165.5059
138.000000 80.111 164.8337
140.000000 80.010 165.7547
143.000000 79.894 165.5511
145.000000 79.762 166.1151
147.500000 79.669 166.2880
150.000000 79.510 166.3999
152.500000 79.449 166.8160
155.000000 79.355 167.1929
157.500000 79.224 167.6880
160.000000 79.143 168.4061
162.500000 79.096 168.5945
165.000000 79.060 169.1037
167.500000 78.926 169.4274
170.000000 78.937 169.8875
172.500000 78.902 169.9202
175.000000 78.872 170.5624
177.500000 78.824 170.6673
180.000000 78.878 171.3157
182.500000 78.695 171.7424
185.000000 78.507 172.2937
187.500000 78.581 172.5189
190.000000 78.491 172.5320
192.500000 78.462 172.7927
195.000000 78.448 173.6694
197.500000 78.367 173.8752
200.000000 78.307 174.4153
203.000000 78.201 174.5878
206.000000 78.219 175.3688
209.000000 78.207 175.5841
212.000000 78.134 176.3386
214.000000 78.105 176.5688
218.000000 78.052 177.4332
220.000000 78.026 177.7383
224.000000 77.999 178.6157
227.000000 77.970 179.0345
230.000000 77.964 179.4973
233.000000 77.959 -179.8803
236.000000 77.928 -179.3887
240.000000 77.931 -178.5399
243.000000 77.903 -178.1610
247.000000 77.912 -177.6350
250.000000 77.906 -177.1349
254.000000 77.916 -176.3816
258.000000 77.917 -175.8666
262.000000 77.889 -175.0533
265.000000 77.924 -174.8565
269.000000 77.889 -174.2064
272.000000 77.953 -173.5796
276.000000 77.937 -173.1358
280.000000 77.962 -172.6228
285.000000 77.999 -171.9226
290.000000 78.015 -171.3681
295.000000 78.031 -170.7590
300.000000 78.081 -170.0538
304.000000 78.098 -169.7398
307.000000 78.079 -169.2041
311.000000 78.144 -168.9474
315.000000 78.149 -168.4502
320.000000 78.240 -168.0134
325.000000 78.239 -167.6163
330.000000 78.264 -166.9526
335.000000 78.304 -166.5912
340.000000 78.345 -166.2172
345.000000 78.383 -165.8585
350.000000 78.418 -165.3642
355.000000 78.437 -165.0307
360.000000 78.482 -164.7649
365.000000 78.514 -164.4939
370.000000 78.559 -164.1087
375.000000 78.598 -163.7653
382.000000 78.651 -163.1664
387.000000 78.665 -162.9746
395.000000 78.727 -162.5036
400.000000 78.766 -162.3260
406.000000 78.801 -161.9504
412.000000 78.854 -161.7625
418.000000 78.881 -161.3683
425.000000 78.932 -161.0667
431.000000 78.944 -160.8445
437.000000 78.975 -160.5676
444.000000 79.018 -160.1244
450.000000 79.042 -159.9069
455.000000 79.054 -159.6710
462.000000 79.126 -159.4084
468.000000 79.130 -159.1271
475.000000 79.161 -158.9348
482.000000 79.194 -158.6541
487.000000 79.214 -158.4866
494.000000 79.244 -158.0759
500.000000 79.276 -157.8887
508.000000 79.298 -157.6179
515.000000 79.341 -157.2846
522.000000 79.363 -157.0253
530.000000 79.392 -156.6562
538.000000 79.425 -156.3128
545.000000 79.441 -156.1236
552.000000 79.467 -155.8015
560.000000 79.491 -155.5407
570.000000 79.544 -155.2794
580.000000 79.566 -154.7564
590.000000 79.594 -154.4478
600.000000 79.639 -154.0631
608.000000 79.649 -153.7164
615.000000 79.678 -153.4233
622.000000 79.694 -153.1602
630.000000 79.713 -152.7886
640.000000 79.740 -152.3183
650.000000 79.739 -151.8726
660.000000 79.786 -151.0911
670.000000 79.885 -150.6402
680.000000 79.945 -150.4259
690.000000 79.962 -150.1183
700.000000 79.966 -149.8193
710.000000 79.994 -149.1892
720.000000 80.013 -148.7911
730.000000 80.082 -148.2436
740.000000 80.119 -147.6634
750.000000 80.169 -147.1908
762.000000 80.215 -146.6455
775.000000 80.275 -145.9346
788.000000 80.344 -145.3533
800.000000 80.413 -144.8048
812.000000 80.486 -144.1738
825.000000 80.546 -143.6055
838.000000 80.630 -142.9851
850.000000 80.705 -142.3712
862.000000 80.780 -141.8682
875.000000 80.874 -141.2313
885.000000 80.945 -140.6928
900.000000 81.066 -140.1387
912.000000 81.134 -139.6291
925.000000 81.252 -139.1364
938.000000 81.344 -138.5852
950.000000 81.457 -138.0980
962.000000 81.571 -137.7828
975.000000 81.672 -137.2994
988.000000 81.812 -136.8880
1000.000000 81.862 -137.0055
1015.000000 82.037 -136.1498
1030.000000 82.161 -135.7725
1044.000000 82.304 -135.4444
1060.000000 82.446 -135.2736
1075.000000 82.581 -135.0160
1090.000000 82.711 -134.7777
1106.000000 82.850 -134.6274
1120.000000 82.991 -134.4650
1138.000000 83.134 -134.3363
1150.000000 83.227 -134.2461
1172.000000 83.424 -134.2417
1180.000000 83.476 -134.3138
1206.000000 83.677 -134.1531
1220.000000 83.795 -134.2563
1241.000000 83.938 -134.2248
1250.000000 84.001 -134.2750
1265.000000 84.104 -134.3693
1280.000000 84.206 -134.3266
1315.000000 84.435 -134.4767
1320.000000 84.467 -134.5298
1340.000000 84.589 -134.6020
1360.000000 84.715 -134.6071
1380.000000 84.841 -134.7468
1400.000000 84.960 -134.8809
1430.000000 85.128 -134.8946
1450.000000 85.251 -135.1004
1475.000000 85.393 -135.2408
1500.000000 85.544 -135.2679
1525.000000 85.672 -135.4073
1550.000000 85.833 -135.4894
1575.000000 85.965 -135.6273
1600.000000 86.108 -135.7133
1625.000000 86.256 -135.9288
1650.000000 86.402 -136.0278
1675.000000 86.551 -136.3262
1700.000000 86.698 -136.4114
1725.000000 86.850 -136.7119
1750.000000 87.006 -136.9482
1775.000000 87.161 -137.2205
1800.000000 87.307 -137.5260
1825.000000 87.463 -137.8210
1850.000000 87.618 -138.2424
1875.000000 87.779 -138.5628
1900.000000 87.930 -139.0198
1925.000000 88.084 -139.5286
1950.000000 88.233 -140.0444
1975.000000 88.398 -140.6070
2000.000000 88.575 -140.9668
2030.000000 88.730 -142.0026
2060.000000 88.909 -142.8550
2090.000000 89.077 -143.7162
2120.000000 89.255 -144.7082
2140.000000 89.356 -145.4045
2180.000000 89.579 -146.8999
2200.000000 89.676 -147.6765
2240.000000 89.876 -149.2514
2270.000000 90.008 -150.5249
2300.000000 90.132 -151.8716
2330.000000 90.245 -153.2966
2360.000000 90.355 -154.6841
2400.000000 90.481 -156.7289
2430.000000 90.572 -158.3072
2470.000000 90.652 -160.4445
2500.000000 90.696 -162.0889
2540.000000 90.725 -164.2166
2580.000000 90.735 -166.4136
2620.000000 90.721 -168.4698
2650.000000 90.689 -169.9810
2690.000000 90.644 -172.0337
2720.000000 90.589 -173.4231
2760.000000 90.498 -175.2403
2800.000000 90.402 -176.8817
2850.000000 90.261 -178.8620
2900.000000 90.118 179.2714
2950.000000 89.965 177.5516
3000.000000 89.762 175.8719
3040.000000 89.647 174.8692
3070.000000 89.537 174.0560
3110.000000 89.391 173.1707
3150.000000 89.250 172.2456
3200.000000 89.071 171.2340
3250.000000 88.896 170.3471
3300.000000 88.733 169.6154
3350.000000 88.563 168.9496
3400.000000 88.402 168.3514
3450.000000 88.242 167.8600
3500.000000 88.106 167.3960
3550.000000 87.969 167.0192
3600.000000 87.849 166.5884
3650.000000 87.719 166.3373
3700.000000 87.605 166.1373
3750.000000 87.496 165.8314
3820.000000 87.370 165.4752
3870.000000 87.304 165.2679
3950.000000 87.175 164.8237
4000.000000 87.121 164.1995
4060.000000 87.050 163.9050
4120.000000 86.955 163.3058
4180.000000 86.868 162.8537
4250.000000 86.751 162.3233
4310.000000 86.646 161.6561
4370.000000 86.535 161.2222
4440.000000 86.398 160.5965
4500.000000 86.296 160.1254
4550.000000 86.206 159.7758
4620.000000 86.065 159.2367
4680.000000 85.969 158.8016
4750.000000 85.817 158.1595
4820.000000 85.678 157.5616
4870.000000 85.594 157.0803
4940.000000 85.403 156.4786
5000.000000 85.243 155.7259
5080.000000 85.031 155.5280
5150.000000 84.832 155.1024
5220.000000 84.609 154.7267
5300.000000 84.337 154.4225
5380.000000 84.044 154.2529
5450.000000 83.829 154.1334
5520.000000 83.556 154.5609
