* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 2:41:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L VARIETY DOT PRO 1563
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.901 32.8204
20.600000 93.885 32.1342
20.900000 93.857 31.6181
21.200001 93.838 31.1380
21.400000 93.833 30.7878
21.799999 93.841 29.9477
22.000000 93.850 29.4409
22.400000 93.862 28.2811
22.700001 93.858 27.3679
23.000000 93.843 26.5132
23.299999 93.822 25.7687
23.600000 93.803 25.1317
24.000000 93.789 24.3804
24.299999 93.787 23.8065
24.700001 93.783 22.9551
25.000000 93.771 22.2634
25.400000 93.736 21.3542
25.799999 93.689 20.5656
26.200001 93.653 19.9100
26.500000 93.642 19.4370
26.900000 93.648 18.7132
27.200001 93.659 18.0472
27.600000 93.666 17.0113
28.000000 93.657 15.9267
28.500000 93.634 14.7125
29.000000 93.626 13.7361
29.500000 93.642 12.8824
30.000000 93.660 12.0162
30.400000 93.656 11.3098
30.700001 93.637 10.7960
31.100000 93.593 10.1547
31.500000 93.536 9.5617
32.000000 93.456 8.8679
32.500000 93.380 8.2151
33.000000 93.325 7.5740
33.500000 93.304 6.8531
34.000000 93.309 5.9548
34.500000 93.313 4.9307
35.000000 93.303 3.9768
35.500000 93.284 3.2615
36.000000 93.269 2.7456
36.500000 93.248 2.2662
37.000000 93.202 1.7341
37.500000 93.131 1.1888
38.200001 93.042 0.4156
38.700001 93.010 -0.2583
39.500000 92.976 -1.4885
40.000000 92.947 -2.0840
40.599998 92.921 -2.5534
41.200001 92.911 -3.0618
41.799999 92.893 -3.8160
42.500000 92.854 -4.8680
43.099998 92.829 -5.7823
43.700001 92.807 -6.6790
44.400002 92.751 -7.4951
45.000000 92.685 -7.8389
45.500000 92.637 -8.0009
46.200001 92.572 -8.3320
46.799999 92.508 -8.7352
47.500000 92.448 -9.2295
48.200001 92.420 -9.8367
48.700001 92.399 -10.3438
49.400002 92.354 -10.9987
50.000000 92.313 -11.4920
50.799999 92.268 -12.2470
51.500000 92.231 -12.9785
52.200001 92.198 -13.6739
53.000000 92.137 -14.4387
53.799999 92.019 -14.9559
54.500000 91.935 -15.1608
55.200001 91.913 -15.5894
56.000000 91.888 -16.4778
57.000000 91.799 -17.1076
58.000000 91.761 -17.4739
59.000000 91.691 -18.3046
60.000000 91.632 -18.7370
60.799999 91.625 -19.1989
61.500000 91.569 -19.6935
62.200001 91.494 -20.0022
63.000000 91.444 -20.4821
64.000000 91.360 -21.2629
65.000000 91.295 -21.5608
66.000000 91.251 -22.1053
67.000000 91.180 -22.7262
68.000000 91.138 -23.4135
69.000000 91.072 -23.7743
70.000000 91.020 -23.9908
71.000000 90.911 -24.3151
72.000000 90.863 -24.3703
73.000000 90.837 -24.8773
74.000000 90.725 -25.1855
75.000000 90.639 -25.5087
76.199997 90.547 -26.3188
77.500000 90.482 -26.8767
78.800003 90.414 -27.2195
80.000000 90.314 -27.6714
81.199997 90.227 -28.0167
82.500000 90.183 -28.4066
83.800003 90.112 -28.7248
85.000000 90.031 -28.9197
86.199997 89.959 -28.9413
87.500000 89.918 -29.2534
88.500000 89.854 -29.7328
90.000000 89.768 -29.9466
91.199997 89.689 -30.1730
92.500000 89.603 -30.5688
93.800003 89.523 -30.9547
95.000000 89.482 -31.0500
96.199997 89.399 -31.4195
97.500000 89.302 -31.5152
98.800003 89.254 -31.6557
100.000000 89.191 -31.7393
101.500000 89.120 -31.6716
103.000000 88.994 -31.9095
104.400002 88.915 -31.8967
106.000000 88.837 -32.1225
107.500000 88.774 -32.0674
109.000000 88.671 -32.2311
110.599998 88.585 -32.6299
112.000000 88.506 -32.7886
113.800003 88.437 -33.0141
115.000000 88.377 -33.0118
117.199997 88.278 -33.1471
118.000000 88.241 -33.1385
120.599998 88.100 -32.8184
122.000000 88.040 -32.9081
124.099998 87.922 -32.8559
125.000000 87.873 -32.9362
126.500000 87.804 -32.9532
128.000000 87.763 -33.0408
131.500000 87.632 -33.1454
132.000000 87.605 -33.1629
134.000000 87.516 -33.0613
136.000000 87.424 -32.9859
138.000000 87.332 -33.0655
140.000000 87.293 -32.9004
143.000000 87.162 -32.6169
145.000000 87.059 -32.4553
147.500000 86.987 -32.5264
150.000000 86.893 -32.2152
152.500000 86.804 -32.0472
155.000000 86.717 -31.9706
157.500000 86.634 -31.9604
160.000000 86.547 -31.7506
162.500000 86.469 -31.5209
165.000000 86.390 -31.2381
167.500000 86.304 -31.0200
170.000000 86.212 -30.6509
172.500000 86.164 -30.4675
175.000000 86.092 -30.1221
177.500000 86.032 -30.0346
180.000000 85.976 -29.7378
182.500000 85.916 -29.7224
185.000000 85.884 -29.5971
187.500000 85.826 -29.2855
190.000000 85.763 -29.1522
192.500000 85.707 -28.8916
195.000000 85.640 -28.4411
197.500000 85.573 -28.1007
200.000000 85.499 -27.9222
203.000000 85.426 -27.3535
206.000000 85.372 -26.9888
209.000000 85.292 -26.7940
212.000000 85.231 -26.5130
214.000000 85.202 -26.2944
218.000000 85.186 -25.9535
220.000000 85.163 -25.8390
224.000000 85.113 -25.6581
227.000000 85.061 -25.3895
230.000000 84.996 -25.0203
233.000000 84.931 -24.6233
236.000000 84.885 -24.1743
240.000000 84.816 -23.5471
243.000000 84.760 -23.1810
247.000000 84.692 -22.8091
250.000000 84.651 -22.5152
254.000000 84.604 -22.2719
258.000000 84.596 -22.0547
262.000000 84.585 -21.7510
265.000000 84.573 -21.3405
269.000000 84.517 -20.8768
272.000000 84.481 -20.6238
276.000000 84.443 -20.2624
280.000000 84.412 -19.7912
285.000000 84.350 -19.3255
290.000000 84.297 -18.7426
295.000000 84.262 -18.3572
300.000000 84.222 -17.9594
304.000000 84.202 -17.6412
307.000000 84.183 -17.4028
311.000000 84.161 -17.0834
315.000000 84.122 -16.6830
320.000000 84.095 -16.2322
325.000000 84.074 -15.7164
330.000000 84.054 -15.3733
335.000000 84.002 -15.0186
340.000000 83.973 -14.6844
345.000000 83.953 -14.2291
350.000000 83.934 -13.7697
355.000000 83.903 -13.3213
360.000000 83.861 -12.9734
365.000000 83.839 -12.5874
370.000000 83.800 -12.1695
375.000000 83.794 -11.7719
382.000000 83.782 -11.2505
387.000000 83.770 -10.9305
395.000000 83.740 -10.5164
400.000000 83.727 -10.2419
406.000000 83.717 -9.6278
412.000000 83.698 -9.2290
418.000000 83.659 -8.8034
425.000000 83.644 -8.2479
431.000000 83.627 -7.9001
437.000000 83.601 -7.4581
444.000000 83.595 -7.1024
450.000000 83.556 -6.7042
455.000000 83.533 -6.4098
462.000000 83.489 -5.8670
468.000000 83.465 -5.3711
475.000000 83.418 -4.8288
482.000000 83.387 -4.4558
487.000000 83.378 -4.1810
494.000000 83.355 -3.6827
500.000000 83.360 -3.2984
508.000000 83.348 -2.7465
515.000000 83.338 -2.2666
522.000000 83.361 -1.8700
530.000000 83.366 -1.3621
538.000000 83.399 -0.9776
545.000000 83.400 -0.5596
552.000000 83.411 -0.2310
560.000000 83.427 0.3948
570.000000 83.422 1.0007
580.000000 83.407 1.5547
590.000000 83.370 2.1831
600.000000 83.353 2.8465
608.000000 83.332 3.4095
615.000000 83.318 3.8970
622.000000 83.314 4.2788
630.000000 83.306 4.9446
640.000000 83.320 5.6291
650.000000 83.334 6.2822
660.000000 83.342 6.8956
670.000000 83.386 7.3802
680.000000 83.419 7.9177
690.000000 83.436 8.6229
700.000000 83.427 9.2776
710.000000 83.441 9.9573
720.000000 83.439 10.5178
730.000000 83.447 11.0534
740.000000 83.455 11.7074
750.000000 83.452 12.4402
762.000000 83.494 13.1335
775.000000 83.532 13.8428
788.000000 83.589 14.5890
800.000000 83.648 15.2936
812.000000 83.700 16.0183
825.000000 83.736 16.7875
838.000000 83.778 17.5227
850.000000 83.810 18.2349
862.000000 83.868 18.9436
875.000000 83.910 19.6363
885.000000 83.962 20.2174
900.000000 84.037 20.9697
912.000000 84.122 21.5468
925.000000 84.189 22.1295
938.000000 84.298 22.7459
950.000000 84.384 23.3070
962.000000 84.460 23.8879
975.000000 84.547 24.2752
988.000000 84.632 24.8822
1000.000000 84.688 25.6032
1015.000000 84.796 25.8088
1030.000000 84.886 26.2556
1044.000000 84.988 26.6298
1060.000000 85.092 27.0205
1075.000000 85.187 27.5004
1090.000000 85.299 27.7382
1106.000000 85.418 28.0584
1120.000000 85.519 28.2261
1138.000000 85.655 28.5073
1150.000000 85.745 28.6019
1172.000000 85.902 28.7535
1180.000000 85.953 28.8493
1206.000000 86.120 29.0882
1220.000000 86.183 29.1548
1241.000000 86.309 29.2727
1250.000000 86.363 29.3165
1265.000000 86.452 29.3222
1280.000000 86.511 29.2577
1315.000000 86.683 29.4338
1320.000000 86.696 29.4298
1340.000000 86.788 29.3892
1360.000000 86.898 29.3568
1380.000000 86.983 29.3995
1400.000000 87.091 29.3519
1430.000000 87.217 29.4038
1450.000000 87.287 29.4363
1475.000000 87.376 29.4108
1500.000000 87.444 29.4183
1525.000000 87.520 29.4967
1550.000000 87.594 29.6129
1575.000000 87.697 29.5949
1600.000000 87.787 29.6877
1625.000000 87.903 29.7683
1650.000000 88.021 29.6832
1675.000000 88.145 29.5034
1700.000000 88.249 29.3535
1725.000000 88.350 29.1507
1750.000000 88.454 29.0470
1775.000000 88.545 28.7497
1800.000000 88.624 28.5042
1825.000000 88.711 28.3575
1850.000000 88.790 28.0891
1875.000000 88.867 27.7933
1900.000000 88.941 27.4881
1925.000000 89.021 27.3120
1950.000000 89.088 26.9889
1975.000000 89.170 26.6780
2000.000000 89.267 26.0756
2030.000000 89.375 25.9167
2060.000000 89.475 25.5438
2090.000000 89.553 25.0513
2120.000000 89.626 24.5652
2140.000000 89.659 24.2960
2180.000000 89.735 23.6420
2200.000000 89.779 23.2458
2240.000000 89.846 22.6243
2270.000000 89.890 22.0892
2300.000000 89.927 21.5682
2330.000000 89.968 21.1095
2360.000000 90.011 20.4925
2400.000000 90.049 19.8191
2430.000000 90.077 19.3520
2470.000000 90.097 18.7681
2500.000000 90.122 18.2126
2540.000000 90.122 17.6108
2580.000000 90.147 16.9264
2620.000000 90.201 16.2077
2650.000000 90.229 15.6270
2690.000000 90.256 14.8988
2720.000000 90.292 14.2275
2760.000000 90.331 13.2395
2800.000000 90.339 12.1950
2850.000000 90.309 11.0283
2900.000000 90.254 9.8494
2950.000000 90.179 9.0845
3000.000000 90.075 8.5778
3040.000000 89.995 8.1579
3070.000000 89.942 7.9882
3110.000000 89.862 7.9742
3150.000000 89.800 7.9434
3200.000000 89.779 7.9565
3250.000000 89.787 7.8886
3300.000000 89.787 7.9027
3350.000000 89.828 7.8520
3400.000000 89.885 7.6562
3450.000000 89.955 7.3732
3500.000000 90.039 7.1603
3550.000000 90.109 6.7166
3600.000000 90.176 6.1981
3650.000000 90.234 5.6957
3700.000000 90.301 4.9182
3750.000000 90.351 4.1098
3820.000000 90.374 3.0608
3870.000000 90.383 2.0977
3950.000000 90.366 0.8830
4000.000000 90.352 0.1549
4060.000000 90.313 -0.3990
4120.000000 90.358 0.3168
4180.000000 90.593 -1.3427
4250.000000 90.554 -3.8462
4310.000000 90.495 -5.3150
4370.000000 90.446 -6.7478
4440.000000 90.381 -8.4504
4500.000000 90.309 -10.0770
4550.000000 90.212 -11.2259
4620.000000 90.013 -13.0037
4680.000000 89.833 -14.2749
4750.000000 89.581 -15.7197
4820.000000 89.266 -16.7906
4870.000000 89.008 -17.3634
4940.000000 88.667 -17.9224
5000.000000 88.385 -18.2124
5080.000000 88.044 -18.2722
5150.000000 87.734 -17.8716
5220.000000 87.445 -17.3514
5300.000000 87.127 -16.4598
5380.000000 86.821 -15.1854
5450.000000 86.570 -13.8594
5520.000000 86.376 -12.6607
5600.000000 86.194 -10.6543
5700.000000 85.999 -8.3754
5800.000000 85.889 -6.0583
