* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 2:42:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R VARIETY DOT PRO 1564
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.964 34.7867
20.600000 93.999 33.9322
20.900000 94.026 33.0230
21.200001 94.044 32.0717
21.400000 94.053 31.4441
21.799999 94.068 30.2173
22.000000 94.074 29.6161
22.400000 94.082 28.4131
22.700001 94.077 27.5046
23.000000 94.059 26.6161
23.299999 94.030 25.7933
23.600000 94.000 25.0628
24.000000 93.975 24.2218
24.299999 93.976 23.6242
24.700001 94.002 22.7517
25.000000 94.025 21.9921
25.400000 94.034 20.8829
25.799999 93.999 19.8525
26.200001 93.929 19.1263
26.500000 93.878 18.8379
26.900000 93.841 18.7006
27.200001 93.849 18.6092
27.600000 93.900 18.2468
28.000000 93.955 17.4540
28.500000 93.965 16.0147
29.000000 93.898 14.6012
29.500000 93.816 13.5976
30.000000 93.803 12.8671
30.400000 93.844 12.1761
30.700001 93.880 11.5152
31.100000 93.897 10.5555
31.500000 93.856 9.7502
32.000000 93.750 9.2754
32.500000 93.654 9.2721
33.000000 93.614 9.1077
33.500000 93.606 8.2947
34.000000 93.589 6.9215
34.500000 93.563 5.4860
35.000000 93.555 4.3904
35.500000 93.583 3.7330
36.000000 93.627 3.3527
36.500000 93.656 3.0168
37.000000 93.640 2.5304
37.500000 93.568 1.8471
38.200001 93.408 0.8240
38.700001 93.304 0.2725
39.500000 93.238 -0.3877
40.000000 93.236 -0.9110
40.599998 93.225 -1.7534
41.200001 93.188 -2.7404
41.799999 93.138 -3.7178
42.500000 93.084 -4.6183
43.099998 93.053 -5.1491
43.700001 93.018 -5.6336
44.400002 92.946 -6.1837
45.000000 92.886 -6.4806
45.500000 92.877 -6.6484
46.200001 92.907 -7.0632
46.799999 92.894 -7.6244
47.500000 92.789 -8.2639
48.200001 92.649 -8.8718
48.700001 92.573 -9.3385
49.400002 92.551 -9.9845
50.000000 92.604 -10.5675
50.799999 92.658 -11.4591
51.500000 92.612 -12.0685
52.200001 92.550 -12.5483
53.000000 92.512 -13.4631
53.799999 92.443 -14.2365
54.500000 92.405 -14.2491
55.200001 92.419 -14.4827
56.000000 92.352 -15.7433
57.000000 92.143 -17.0141
58.000000 92.176 -17.4782
59.000000 92.220 -18.6168
60.000000 92.041 -18.6017
60.799999 91.981 -17.8798
61.500000 91.981 -17.9733
62.200001 91.909 -18.6446
63.000000 91.771 -19.1411
64.000000 91.742 -19.3238
65.000000 91.795 -20.2797
66.000000 91.721 -21.1748
67.000000 91.675 -21.5727
68.000000 91.599 -22.4420
69.000000 91.486 -22.8357
70.000000 91.520 -23.6251
71.000000 91.478 -24.9731
72.000000 91.359 -25.2286
73.000000 91.271 -25.2545
74.000000 91.169 -25.5059
75.000000 91.135 -25.3646
76.199997 91.149 -25.2640
77.500000 91.027 -25.1464
78.800003 90.986 -25.6667
80.000000 90.886 -26.2407
81.199997 90.734 -26.8400
82.500000 90.584 -27.5685
83.800003 90.466 -29.0603
85.000000 90.338 -29.2066
86.199997 90.359 -29.7420
87.500000 90.260 -29.7980
88.500000 90.179 -29.9605
90.000000 90.013 -30.0564
91.199997 90.042 -29.7920
92.500000 89.929 -29.3247
93.800003 89.828 -29.2653
95.000000 89.719 -29.3552
96.199997 89.722 -29.4277
97.500000 89.675 -30.2300
98.800003 89.557 -30.9872
100.000000 89.466 -31.5824
101.500000 89.382 -32.3516
103.000000 89.390 -32.9266
104.400002 89.455 -33.6014
106.000000 89.446 -33.4501
107.500000 89.333 -33.1546
109.000000 89.148 -32.8121
110.599998 89.095 -32.7011
112.000000 89.054 -32.6976
113.800003 89.017 -32.5374
115.000000 88.943 -32.4860
117.199997 88.790 -33.1876
118.000000 88.745 -33.6033
120.599998 88.591 -34.2461
122.000000 88.494 -34.3056
124.099998 88.360 -34.6032
125.000000 88.311 -34.4728
126.500000 88.220 -34.0580
128.000000 88.126 -33.8582
131.500000 88.002 -33.0548
132.000000 87.961 -33.0243
134.000000 87.875 -33.0151
136.000000 87.785 -32.8512
138.000000 87.690 -33.0653
140.000000 87.631 -33.6172
143.000000 87.534 -34.7558
145.000000 87.585 -34.5758
147.500000 87.576 -34.2092
150.000000 87.552 -33.5280
152.500000 87.461 -33.5049
155.000000 87.359 -33.7183
157.500000 87.294 -33.2433
160.000000 87.104 -33.5164
162.500000 86.992 -33.6258
165.000000 86.939 -32.9044
167.500000 86.795 -32.6286
170.000000 86.753 -32.4388
172.500000 86.670 -31.7796
175.000000 86.579 -31.7391
177.500000 86.461 -31.6449
180.000000 86.394 -31.9160
182.500000 86.386 -31.8300
185.000000 86.362 -31.7805
187.500000 86.392 -31.7212
190.000000 86.365 -31.3294
192.500000 86.290 -31.0614
195.000000 86.226 -30.9326
197.500000 86.183 -30.7197
200.000000 86.108 -30.5427
203.000000 86.037 -30.2708
206.000000 85.929 -29.7555
209.000000 85.908 -29.2834
212.000000 85.825 -29.0235
214.000000 85.787 -28.9000
218.000000 85.648 -28.8458
220.000000 85.608 -28.8228
224.000000 85.515 -28.4636
227.000000 85.472 -28.0936
230.000000 85.357 -27.7503
233.000000 85.346 -26.8782
236.000000 85.240 -26.9187
240.000000 85.186 -26.3295
243.000000 85.134 -25.8276
247.000000 85.100 -25.8133
250.000000 85.115 -25.7218
254.000000 85.131 -25.7043
258.000000 85.086 -25.2095
262.000000 85.026 -24.9404
265.000000 84.994 -24.5496
269.000000 84.956 -24.0778
272.000000 84.893 -23.6342
276.000000 84.794 -23.3691
280.000000 84.730 -22.9218
285.000000 84.615 -22.4240
290.000000 84.520 -21.9919
295.000000 84.463 -21.4970
300.000000 84.396 -20.7828
304.000000 84.344 -20.4344
307.000000 84.332 -20.3288
311.000000 84.323 -19.9367
315.000000 84.324 -19.6618
320.000000 84.344 -19.5294
325.000000 84.317 -19.1575
330.000000 84.321 -18.8458
335.000000 84.298 -18.2945
340.000000 84.262 -17.7750
345.000000 84.204 -17.2744
350.000000 84.117 -16.8647
355.000000 84.066 -16.3008
360.000000 84.040 -15.7745
365.000000 84.000 -15.5990
370.000000 83.953 -15.2216
375.000000 83.906 -14.7842
382.000000 83.858 -14.5300
387.000000 83.824 -13.8692
395.000000 83.763 -12.9875
400.000000 83.728 -12.7058
406.000000 83.695 -12.3902
412.000000 83.659 -12.1483
418.000000 83.645 -11.5701
425.000000 83.614 -11.0794
431.000000 83.589 -10.5050
437.000000 83.584 -9.9789
444.000000 83.506 -9.4942
450.000000 83.506 -9.1962
455.000000 83.483 -8.8754
462.000000 83.435 -8.2598
468.000000 83.368 -7.7642
475.000000 83.331 -7.0847
482.000000 83.312 -6.3907
487.000000 83.330 -6.0343
494.000000 83.315 -5.7994
500.000000 83.331 -5.4274
508.000000 83.357 -4.9887
515.000000 83.387 -4.4102
522.000000 83.416 -3.5722
530.000000 83.411 -3.0468
538.000000 83.484 -2.6915
545.000000 83.472 -2.4947
552.000000 83.504 -2.1617
560.000000 83.485 -1.6708
570.000000 83.431 -1.1002
580.000000 83.346 -0.4970
590.000000 83.341 0.2724
600.000000 83.339 1.0902
608.000000 83.336 1.8668
615.000000 83.330 2.1801
622.000000 83.299 2.5177
630.000000 83.348 3.3270
640.000000 83.367 3.8506
650.000000 83.374 4.0746
660.000000 83.356 4.7942
670.000000 83.387 5.5628
680.000000 83.349 6.2571
690.000000 83.319 6.8155
700.000000 83.251 7.3694
710.000000 83.280 8.2742
720.000000 83.270 9.0359
730.000000 83.271 9.5077
740.000000 83.329 10.0422
750.000000 83.400 10.7660
762.000000 83.463 11.5471
775.000000 83.547 12.1545
788.000000 83.585 12.9627
800.000000 83.621 13.9116
812.000000 83.631 14.7926
825.000000 83.662 15.6387
838.000000 83.715 16.0878
850.000000 83.762 16.9187
862.000000 83.808 17.7007
875.000000 83.861 18.5392
885.000000 83.905 19.0858
900.000000 84.015 19.8949
912.000000 84.116 20.4112
925.000000 84.199 20.9635
938.000000 84.290 21.7954
950.000000 84.332 22.3991
962.000000 84.388 22.7010
975.000000 84.450 23.4367
988.000000 84.500 23.8783
1000.000000 84.510 25.0471
1015.000000 84.659 25.3221
1030.000000 84.784 25.4175
1044.000000 84.892 25.8530
1060.000000 85.080 26.3275
1075.000000 85.195 26.8015
1090.000000 85.287 27.0912
1106.000000 85.475 27.4947
1120.000000 85.536 27.6588
1138.000000 85.697 27.9117
1150.000000 85.829 28.2148
1172.000000 85.961 28.2545
1180.000000 86.023 28.4132
1206.000000 86.200 28.6859
1220.000000 86.290 28.6620
1241.000000 86.408 28.8212
1250.000000 86.446 28.8801
1265.000000 86.503 28.9931
1280.000000 86.568 28.9985
1315.000000 86.708 29.1386
1320.000000 86.726 29.0534
1340.000000 86.818 29.1650
1360.000000 86.902 29.1507
1380.000000 87.003 29.1779
1400.000000 87.106 29.1260
1430.000000 87.243 29.1522
1450.000000 87.338 29.1572
1475.000000 87.433 29.0691
1500.000000 87.528 29.1514
1525.000000 87.589 29.0588
1550.000000 87.650 29.0591
1575.000000 87.724 29.0228
1600.000000 87.815 28.9204
1625.000000 87.870 28.8238
1650.000000 87.928 28.9760
1675.000000 87.989 28.8892
1700.000000 88.095 28.6606
1725.000000 88.219 28.7387
1750.000000 88.328 28.5018
1775.000000 88.451 28.3574
1800.000000 88.591 28.1939
1825.000000 88.710 27.9310
1850.000000 88.789 27.7435
1875.000000 88.869 27.6385
1900.000000 88.920 27.3595
1925.000000 89.000 27.1732
1950.000000 89.064 26.7921
1975.000000 89.113 26.4759
2000.000000 89.167 26.1875
2030.000000 89.199 26.0200
2060.000000 89.332 25.4432
2090.000000 89.452 24.9559
2120.000000 89.570 24.6391
2140.000000 89.647 24.2918
2180.000000 89.787 23.5151
2200.000000 89.814 23.1874
2240.000000 89.875 22.6919
2270.000000 89.930 22.0225
2300.000000 89.991 21.3751
2330.000000 90.021 20.9505
2360.000000 90.057 20.4789
2400.000000 90.132 19.6265
2430.000000 90.199 19.1186
2470.000000 90.270 18.4113
2500.000000 90.325 17.8636
2540.000000 90.420 17.0080
2580.000000 90.478 16.2397
2620.000000 90.532 15.3476
2650.000000 90.543 14.6995
2690.000000 90.528 13.7111
2720.000000 90.504 12.9127
2760.000000 90.448 11.8878
2800.000000 90.400 10.6370
2850.000000 90.350 9.2155
2900.000000 90.280 8.1369
2950.000000 90.249 7.2256
3000.000000 90.218 6.6315
3040.000000 90.160 6.2828
3070.000000 90.126 6.1198
3110.000000 90.083 5.6961
3150.000000 89.998 5.6894
3200.000000 89.891 5.6353
3250.000000 89.841 5.5310
3300.000000 89.802 5.5576
3350.000000 89.843 5.3383
3400.000000 89.858 5.2503
3450.000000 89.890 5.1753
3500.000000 89.988 4.8097
3550.000000 90.032 4.5889
3600.000000 90.071 4.2450
3650.000000 90.142 3.5916
3700.000000 90.184 3.0675
3750.000000 90.186 2.6373
3820.000000 90.207 1.5907
3870.000000 90.244 0.8738
3950.000000 90.303 -0.5004
4000.000000 90.262 -1.2522
4060.000000 90.301 -2.2153
4120.000000 90.304 -3.2677
4180.000000 90.237 -3.7351
4250.000000 90.336 -5.4647
4310.000000 90.350 -7.3010
4370.000000 90.271 -8.9221
4440.000000 90.048 -9.1414
4500.000000 90.243 -13.3051
4550.000000 90.285 -13.4472
4620.000000 89.890 -15.4111
4680.000000 89.740 -16.2661
4750.000000 89.358 -17.3992
4820.000000 89.069 -18.7561
4870.000000 88.830 -19.1765
4940.000000 88.513 -19.6670
5000.000000 88.239 -20.0864
5080.000000 87.847 -19.8159
5150.000000 87.497 -19.6577
5220.000000 87.161 -18.8601
5300.000000 86.838 -18.0202
5380.000000 86.557 -16.6844
5450.000000 86.314 -15.5410
5520.000000 86.093 -14.0289
5600.000000 85.867 -12.1866
5700.000000 85.658 -9.7442
5800.000000 85.539 -7.1637
