* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 15, 2024 10:37:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L VOLARE TT55 293
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 116.086 56.2247
20.600000 116.180 55.0159
20.900000 116.266 53.9447
21.200001 116.358 52.8811
21.400000 116.425 52.1543
21.799999 116.569 50.6339
22.000000 116.644 49.8364
22.400000 116.792 48.1875
22.700001 116.897 46.9447
23.000000 116.993 45.7394
23.299999 117.084 44.5937
23.600000 117.170 43.5087
24.000000 117.282 42.1338
24.299999 117.365 41.1254
24.700001 117.473 39.7756
25.000000 117.551 38.7487
25.400000 117.650 37.3654
25.799999 117.747 35.9829
26.200001 117.847 34.6103
26.500000 117.923 33.5848
26.900000 118.024 32.2179
27.200001 118.097 31.1962
27.600000 118.184 29.8548
28.000000 118.258 28.5634
28.500000 118.335 27.0367
29.000000 118.408 25.5623
29.500000 118.483 24.0566
30.000000 118.558 22.4729
30.400000 118.615 21.1735
30.700001 118.655 20.2056
31.100000 118.708 18.9503
31.500000 118.762 17.7416
32.000000 118.833 16.2793
32.500000 118.904 14.8450
33.000000 118.975 13.4260
33.500000 119.046 12.0161
34.000000 119.115 10.6049
34.500000 119.177 9.1956
35.000000 119.228 7.8127
35.500000 119.268 6.4734
36.000000 119.305 5.1564
36.500000 119.341 3.8266
37.000000 119.379 2.4845
37.500000 119.420 1.1669
38.200001 119.491 -0.6162
38.700001 119.543 -1.8910
39.500000 119.592 -3.9350
40.000000 119.602 -5.1305
40.599998 119.617 -6.4827
41.200001 119.651 -7.8964
41.799999 119.686 -9.4302
42.500000 119.707 -11.1794
43.099998 119.722 -12.5060
43.700001 119.749 -13.7618
44.400002 119.785 -15.2679
45.000000 119.807 -16.5736
45.500000 119.820 -17.6533
46.200001 119.834 -19.1980
46.799999 119.840 -20.5560
47.500000 119.849 -22.0926
48.200001 119.871 -23.5390
48.700001 119.887 -24.5239
49.400002 119.894 -25.8297
50.000000 119.886 -26.9172
50.799999 119.875 -28.4766
51.500000 119.878 -29.9734
52.200001 119.897 -31.4565
53.000000 119.922 -33.0163
53.799999 119.918 -34.4450
54.500000 119.892 -35.6364
55.200001 119.877 -36.8575
56.000000 119.884 -38.3783
57.000000 119.879 -40.2793
58.000000 119.851 -41.8669
59.000000 119.844 -43.4837
60.000000 119.828 -45.2101
60.799999 119.805 -46.4456
61.500000 119.785 -47.4884
62.200001 119.768 -48.5616
63.000000 119.759 -49.8459
64.000000 119.750 -51.5156
65.000000 119.718 -53.0387
66.000000 119.686 -54.4598
67.000000 119.662 -55.9072
68.000000 119.648 -57.3355
69.000000 119.628 -58.7312
70.000000 119.595 -60.1361
71.000000 119.555 -61.5440
72.000000 119.528 -62.8502
73.000000 119.502 -64.1344
74.000000 119.452 -65.3902
75.000000 119.413 -66.6619
76.199997 119.367 -68.1148
77.500000 119.339 -69.5760
78.800003 119.308 -71.3785
80.000000 119.265 -72.6486
81.199997 119.209 -73.7575
82.500000 119.127 -75.6360
83.800003 119.131 -77.4057
85.000000 119.011 -78.4732
86.199997 119.006 -78.6875
87.500000 118.998 -80.9482
88.500000 118.929 -81.6552
90.000000 118.922 -82.9662
91.199997 118.864 -84.2735
92.500000 118.819 -85.5849
93.800003 118.785 -86.7580
95.000000 118.728 -87.8108
96.199997 118.698 -88.8834
97.500000 118.627 -89.9077
98.800003 118.580 -91.0041
100.000000 118.533 -92.0537
101.500000 118.504 -93.2311
103.000000 118.439 -94.4285
104.400002 118.402 -95.4604
106.000000 118.326 -96.7006
107.500000 118.265 -97.7193
109.000000 118.211 -98.7444
110.599998 118.166 -100.0645
112.000000 118.130 -100.9278
113.800003 118.073 -102.0872
115.000000 118.046 -103.0314
117.199997 117.955 -104.3214
118.000000 117.924 -104.8610
120.599998 117.842 -106.5222
122.000000 117.796 -107.2161
124.099998 117.737 -108.4425
125.000000 117.695 -109.0801
126.500000 117.650 -109.8151
128.000000 117.617 -110.6054
131.500000 117.515 -112.3687
132.000000 117.501 -112.5950
134.000000 117.443 -113.7327
136.000000 117.391 -114.6223
138.000000 117.322 -115.5860
140.000000 117.268 -116.5408
143.000000 117.198 -117.8580
145.000000 117.151 -118.6411
147.500000 117.072 -119.6331
150.000000 117.018 -120.7158
152.500000 116.933 -121.5741
155.000000 116.895 -122.5799
157.500000 116.824 -123.5342
160.000000 116.786 -124.3049
162.500000 116.727 -125.3157
165.000000 116.679 -126.1114
167.500000 116.639 -126.7538
170.000000 116.567 -127.6531
172.500000 116.546 -128.3269
175.000000 116.465 -128.7336
177.500000 116.421 -129.9943
180.000000 116.390 -130.3681
182.500000 116.321 -131.0770
185.000000 116.290 -131.6000
187.500000 116.214 -132.3921
190.000000 116.204 -133.0173
192.500000 116.139 -133.6879
195.000000 116.110 -133.9715
197.500000 116.074 -134.5422
200.000000 116.006 -135.2447
203.000000 115.961 -135.8469
206.000000 115.933 -136.2561
209.000000 115.893 -136.8931
212.000000 115.851 -137.6486
214.000000 115.812 -137.8146
218.000000 115.731 -138.4204
220.000000 115.727 -138.6762
224.000000 115.686 -139.4536
227.000000 115.645 -139.8266
230.000000 115.620 -140.1502
233.000000 115.609 -140.8726
236.000000 115.573 -141.3021
240.000000 115.506 -141.9596
243.000000 115.482 -142.3381
247.000000 115.461 -142.6705
250.000000 115.388 -143.2266
254.000000 115.319 -143.8066
258.000000 115.278 -144.0179
262.000000 115.266 -144.4247
265.000000 115.242 -144.7354
269.000000 115.217 -145.1357
272.000000 115.175 -145.4845
276.000000 115.159 -145.7472
280.000000 115.132 -146.1865
285.000000 115.083 -146.5830
290.000000 115.031 -147.1682
295.000000 114.993 -147.1772
300.000000 114.980 -147.6735
304.000000 114.913 -148.0521
307.000000 114.910 -148.0732
311.000000 114.887 -148.3783
315.000000 114.864 -148.6319
320.000000 114.829 -148.9496
325.000000 114.796 -149.1917
330.000000 114.776 -149.4000
335.000000 114.753 -149.6962
340.000000 114.740 -149.9029
345.000000 114.691 -150.1147
350.000000 114.653 -150.3893
355.000000 114.628 -150.6106
360.000000 114.613 -150.7406
365.000000 114.601 -150.9560
370.000000 114.563 -151.0312
375.000000 114.535 -151.2312
382.000000 114.521 -151.5558
387.000000 114.496 -151.4543
395.000000 114.459 -151.6428
400.000000 114.426 -151.5601
406.000000 114.406 -152.0802
412.000000 114.402 -151.9528
418.000000 114.375 -151.9729
425.000000 114.362 -152.1688
431.000000 114.345 -152.3717
437.000000 114.313 -152.2379
444.000000 114.310 -152.2988
450.000000 114.288 -152.3830
455.000000 114.312 -152.5368
462.000000 114.286 -152.2916
468.000000 114.247 -152.1988
475.000000 114.226 -152.0811
482.000000 114.258 -152.5262
487.000000 114.139 -151.9930
494.000000 114.220 -152.4350
500.000000 114.155 -152.5738
508.000000 114.163 -152.6159
515.000000 114.155 -152.2225
522.000000 114.129 -151.9533
530.000000 114.104 -152.1467
538.000000 114.150 -151.9813
545.000000 114.121 -151.9727
552.000000 114.113 -151.6065
560.000000 114.140 -151.3364
570.000000 114.138 -151.4044
580.000000 114.110 -151.3991
590.000000 114.069 -151.2737
600.000000 114.092 -151.0101
608.000000 114.102 -150.8740
615.000000 114.106 -150.4622
622.000000 114.095 -150.6067
630.000000 114.105 -150.1818
640.000000 114.074 -149.9127
650.000000 114.058 -149.9492
660.000000 114.063 -149.5816
670.000000 114.080 -149.2642
680.000000 114.112 -149.0486
690.000000 114.126 -148.6035
700.000000 114.100 -148.3497
710.000000 114.112 -147.7914
720.000000 114.140 -147.5445
730.000000 114.130 -147.3633
740.000000 114.168 -146.9143
750.000000 114.177 -146.5891
762.000000 114.169 -146.1827
775.000000 114.220 -145.6186
788.000000 114.247 -145.3923
800.000000 114.281 -144.8119
812.000000 114.322 -144.2637
825.000000 114.335 -143.3517
838.000000 114.418 -142.9402
850.000000 114.436 -142.2029
862.000000 114.501 -141.7184
875.000000 114.603 -141.0081
885.000000 114.664 -140.9088
900.000000 114.757 -140.1187
912.000000 114.822 -139.7046
925.000000 114.921 -138.9599
938.000000 115.050 -138.5745
950.000000 115.142 -138.1440
962.000000 115.225 -137.8354
975.000000 115.349 -137.5864
988.000000 115.472 -137.1589
1000.000000 115.642 -136.6514
1015.000000 115.730 -136.5181
1030.000000 115.817 -136.3323
1044.000000 115.941 -136.2248
1060.000000 116.092 -136.0051
1075.000000 116.227 -135.8524
1090.000000 116.333 -135.7516
1106.000000 116.520 -135.6174
1120.000000 116.609 -135.6433
1138.000000 116.780 -135.7477
1150.000000 116.855 -135.7005
1172.000000 117.037 -136.0092
1180.000000 117.093 -135.9952
1206.000000 117.289 -136.1086
1220.000000 117.416 -136.2431
1241.000000 117.526 -136.5769
1250.000000 117.590 -136.6840
1265.000000 117.673 -136.8028
1280.000000 117.753 -137.0650
1315.000000 117.966 -137.5285
1320.000000 117.980 -137.5891
1340.000000 118.082 -137.8550
1360.000000 118.184 -138.0498
1380.000000 118.278 -138.2903
1400.000000 118.373 -138.4991
1430.000000 118.517 -139.0136
1450.000000 118.631 -139.0962
1475.000000 118.719 -139.3590
1500.000000 118.825 -139.8219
1525.000000 118.920 -139.9839
1550.000000 119.028 -140.2968
1575.000000 119.109 -140.4780
1600.000000 119.228 -140.8235
1625.000000 119.333 -141.1755
1650.000000 119.428 -141.2472
1675.000000 119.514 -141.3925
1700.000000 119.640 -141.7401
1725.000000 119.731 -141.9427
1750.000000 119.836 -142.3089
1775.000000 119.933 -142.4877
1800.000000 120.034 -142.7050
1825.000000 120.106 -143.0147
1850.000000 120.236 -143.3997
1875.000000 120.337 -143.6938
1900.000000 120.431 -144.0717
1925.000000 120.537 -144.2997
1950.000000 120.646 -144.6852
1975.000000 120.742 -145.1330
2000.000000 120.873 -145.5788
2030.000000 120.999 -145.9951
2060.000000 121.084 -146.3994
2090.000000 121.204 -147.0640
2120.000000 121.327 -147.5738
2140.000000 121.404 -148.0587
2180.000000 121.564 -148.8261
2200.000000 121.626 -149.3735
2240.000000 121.753 -150.2744
2270.000000 121.864 -151.1193
2300.000000 121.965 -151.7664
2330.000000 122.042 -152.6320
2360.000000 122.144 -153.3344
2400.000000 122.251 -154.5483
2430.000000 122.341 -155.4286
2470.000000 122.425 -156.5628
2500.000000 122.473 -157.5523
2540.000000 122.563 -158.7169
2580.000000 122.631 -159.9424
2620.000000 122.664 -161.2524
2650.000000 122.692 -162.1299
2690.000000 122.713 -163.3014
2720.000000 122.731 -164.2014
2760.000000 122.750 -165.3636
2800.000000 122.744 -166.4048
2850.000000 122.759 -167.7869
2900.000000 122.717 -169.2336
2950.000000 122.708 -170.3978
3000.000000 122.723 -171.8268
3040.000000 122.627 -172.6798
3070.000000 122.603 -173.1746
3110.000000 122.566 -174.0757
3150.000000 122.521 -175.0495
3200.000000 122.475 -175.8490
3250.000000 122.402 -176.7422
3300.000000 122.339 -177.5885
3350.000000 122.290 -178.2505
3400.000000 122.233 -179.0484
3450.000000 122.184 -179.8663
3500.000000 122.134 179.6037
3550.000000 122.089 178.9710
3600.000000 122.032 178.1930
3650.000000 121.992 177.7523
3700.000000 121.951 177.1158
3750.000000 121.890 176.4200
3820.000000 121.815 175.8593
3870.000000 121.777 175.3249
3950.000000 121.705 174.4664
4000.000000 121.675 174.0308
4060.000000 121.632 173.5399
4120.000000 121.565 172.8909
4180.000000 121.543 172.4412
4250.000000 121.492 171.8343
4310.000000 121.449 171.3524
4370.000000 121.428 170.5816
4440.000000 121.342 169.9840
4500.000000 121.303 169.5745
4550.000000 121.262 168.9688
4620.000000 121.199 168.2542
4680.000000 121.120 167.5655
4750.000000 121.011 166.8062
4820.000000 120.948 166.1260
4870.000000 120.865 165.6768
4940.000000 120.764 165.2864
5000.000000 120.665 164.7766
5080.000000 120.523 164.0059
5150.000000 120.366 163.6797
5220.000000 120.211 163.1641
5300.000000 120.055 162.7843
