* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 15, 2024 10:41:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L VOLARE TW43 300
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 116.307 53.7426
20.600000 116.425 52.4042
20.900000 116.528 51.1890
21.200001 116.620 49.9976
21.400000 116.674 49.2227
21.799999 116.771 47.7265
22.000000 116.817 47.0032
22.400000 116.912 45.5832
22.700001 116.995 44.4978
23.000000 117.091 43.3444
23.299999 117.195 42.1057
23.600000 117.301 40.8145
24.000000 117.431 39.1355
24.299999 117.517 38.0405
24.700001 117.628 36.9139
25.000000 117.719 36.2816
25.400000 117.861 35.5070
25.799999 118.006 34.4808
26.200001 118.115 33.0353
26.500000 118.157 31.7585
26.900000 118.169 30.0346
27.200001 118.175 28.8715
27.600000 118.228 27.5090
28.000000 118.354 26.1128
28.500000 118.546 23.8955
29.000000 118.629 21.2617
29.500000 118.538 18.9394
30.000000 118.376 17.5497
30.400000 118.322 16.9198
30.700001 118.362 16.3970
31.100000 118.496 15.2806
31.500000 118.655 13.7079
32.000000 118.801 11.6709
32.500000 118.872 10.2529
33.000000 118.917 9.5401
33.500000 118.969 8.9761
34.000000 119.015 8.0193
34.500000 119.043 6.6369
35.000000 119.086 5.0939
35.500000 119.184 3.5655
36.000000 119.325 2.0175
36.500000 119.444 0.4259
37.000000 119.480 -1.0618
37.500000 119.442 -2.2587
38.200001 119.391 -3.5599
38.700001 119.431 -4.6546
39.500000 119.567 -7.0696
40.000000 119.630 -8.5364
40.599998 119.682 -9.8456
41.200001 119.731 -10.9443
41.799999 119.755 -12.2521
42.500000 119.736 -13.9047
43.099998 119.744 -15.1174
43.700001 119.815 -16.3111
44.400002 119.902 -17.9645
45.000000 119.903 -19.4565
45.500000 119.851 -20.5747
46.200001 119.765 -21.9313
46.799999 119.748 -23.0602
47.500000 119.823 -24.6382
48.200001 119.910 -26.5027
48.700001 119.920 -27.6692
49.400002 119.877 -28.6059
50.000000 119.875 -29.1129
50.799999 119.936 -30.6813
51.500000 119.937 -32.9965
52.200001 119.868 -35.0956
53.000000 119.814 -36.4333
53.799999 119.840 -37.3176
54.500000 119.859 -38.3616
55.200001 119.846 -39.5736
56.000000 119.849 -41.0093
57.000000 119.868 -43.0383
58.000000 119.820 -44.7052
59.000000 119.807 -46.0913
60.000000 119.791 -47.8605
60.799999 119.769 -49.1711
61.500000 119.768 -50.3307
62.200001 119.754 -51.5633
63.000000 119.724 -52.8021
64.000000 119.713 -54.2089
65.000000 119.679 -55.7067
66.000000 119.629 -57.1579
67.000000 119.621 -58.5778
68.000000 119.633 -60.0333
69.000000 119.583 -61.3069
70.000000 119.526 -62.6069
71.000000 119.487 -63.9130
72.000000 119.536 -65.1067
73.000000 119.467 -66.7829
74.000000 119.381 -67.7889
75.000000 119.401 -69.7049
76.199997 119.218 -70.4100
77.500000 119.383 -72.9352
78.800003 119.168 -75.6171
80.000000 119.316 -75.5093
81.199997 119.078 -75.9656
82.500000 119.061 -77.8652
83.800003 118.967 -79.6254
85.000000 119.075 -80.0593
86.199997 118.996 -82.0425
87.500000 118.862 -82.7770
88.500000 118.829 -83.4043
90.000000 118.773 -85.4926
91.199997 118.889 -86.4689
92.500000 118.802 -87.8074
93.800003 118.701 -88.5021
95.000000 118.691 -90.0708
96.199997 118.612 -91.2217
97.500000 118.590 -92.3279
98.800003 118.587 -93.1813
100.000000 118.461 -94.1733
101.500000 118.432 -95.5812
103.000000 118.436 -96.5441
104.400002 118.309 -97.7989
106.000000 118.283 -98.7076
107.500000 118.249 -99.7505
109.000000 118.206 -101.3179
110.599998 118.136 -102.1255
112.000000 118.084 -102.8625
113.800003 118.069 -104.5451
115.000000 117.968 -105.2469
117.199997 117.880 -105.9890
118.000000 117.877 -106.5945
120.599998 117.834 -108.5900
122.000000 117.797 -109.3058
124.099998 117.720 -110.0497
125.000000 117.676 -110.3693
126.500000 117.639 -111.3133
128.000000 117.578 -112.3506
131.500000 117.515 -114.4230
132.000000 117.491 -114.6533
134.000000 117.442 -115.6437
136.000000 117.362 -116.4859
138.000000 117.325 -117.4348
140.000000 117.266 -118.3123
143.000000 117.211 -119.4483
145.000000 117.143 -120.3941
147.500000 117.089 -121.2673
150.000000 117.014 -122.2563
152.500000 116.958 -123.3783
155.000000 116.907 -124.3368
157.500000 116.872 -125.2670
160.000000 116.807 -126.0162
162.500000 116.754 -126.8683
165.000000 116.694 -127.5545
167.500000 116.658 -128.3981
170.000000 116.607 -129.1787
172.500000 116.570 -129.8771
175.000000 116.492 -130.6206
177.500000 116.444 -131.2178
180.000000 116.404 -132.0731
182.500000 116.386 -132.4786
185.000000 116.335 -133.0274
187.500000 116.270 -133.7721
190.000000 116.279 -134.3655
192.500000 116.201 -134.7276
195.000000 116.142 -135.5370
197.500000 116.174 -136.0214
200.000000 116.069 -136.4015
203.000000 116.058 -137.0712
206.000000 116.001 -137.4302
209.000000 115.963 -138.4039
212.000000 115.891 -139.0224
214.000000 115.916 -139.0923
218.000000 115.845 -139.5713
220.000000 115.799 -139.8969
224.000000 115.765 -140.6881
227.000000 115.700 -141.2418
230.000000 115.684 -141.6096
233.000000 115.617 -142.1363
236.000000 115.589 -142.4026
240.000000 115.557 -143.0726
243.000000 115.516 -143.3887
247.000000 115.513 -144.0700
250.000000 115.452 -144.2643
254.000000 115.421 -144.5403
258.000000 115.383 -144.9928
262.000000 115.346 -145.6839
265.000000 115.306 -145.6663
269.000000 115.295 -146.1387
272.000000 115.250 -146.5798
276.000000 115.221 -146.7376
280.000000 115.193 -147.2359
285.000000 115.152 -147.5232
290.000000 115.131 -147.9825
295.000000 115.080 -148.1186
300.000000 115.060 -148.3316
304.000000 114.983 -148.6588
307.000000 114.988 -148.8815
311.000000 114.963 -148.7997
315.000000 114.963 -148.9534
320.000000 114.938 -149.0278
325.000000 114.922 -149.1862
330.000000 114.945 -149.6080
335.000000 114.942 -150.0112
340.000000 114.927 -150.4305
345.000000 114.925 -150.8042
350.000000 114.879 -150.9586
355.000000 114.825 -151.3645
360.000000 114.823 -151.5132
365.000000 114.800 -151.7177
370.000000 114.750 -151.8393
375.000000 114.725 -152.0838
382.000000 114.712 -152.0502
387.000000 114.708 -152.2981
395.000000 114.656 -152.4570
400.000000 114.649 -152.8162
406.000000 114.649 -152.7098
412.000000 114.602 -152.7433
418.000000 114.621 -152.9634
425.000000 114.581 -153.1328
431.000000 114.536 -153.2882
437.000000 114.554 -153.2748
444.000000 114.501 -153.3306
450.000000 114.505 -153.3867
455.000000 114.467 -153.4188
462.000000 114.440 -153.3093
468.000000 114.415 -153.4275
475.000000 114.429 -153.4112
482.000000 114.432 -153.3601
487.000000 114.419 -153.3703
494.000000 114.383 -153.2006
500.000000 114.362 -153.2134
508.000000 114.379 -153.1623
515.000000 114.352 -152.9357
522.000000 114.332 -152.9180
530.000000 114.335 -152.9889
538.000000 114.331 -152.8626
545.000000 114.340 -152.7730
552.000000 114.320 -152.7761
560.000000 114.323 -152.5988
570.000000 114.303 -152.3037
580.000000 114.300 -152.1961
590.000000 114.281 -151.9645
600.000000 114.334 -152.0425
608.000000 114.296 -151.7374
615.000000 114.284 -151.4394
622.000000 114.307 -151.4322
630.000000 114.276 -151.3450
640.000000 114.273 -151.0698
650.000000 114.310 -150.6430
660.000000 114.317 -150.6241
670.000000 114.296 -150.4006
680.000000 114.330 -150.1863
690.000000 114.295 -149.7304
700.000000 114.313 -149.3198
710.000000 114.310 -148.9908
720.000000 114.355 -148.7729
730.000000 114.353 -148.4290
740.000000 114.377 -147.9233
750.000000 114.395 -147.5038
762.000000 114.436 -147.3786
775.000000 114.415 -146.7594
788.000000 114.488 -146.3391
800.000000 114.513 -145.7382
812.000000 114.545 -145.2730
825.000000 114.602 -144.6904
838.000000 114.694 -144.1694
850.000000 114.714 -143.5037
862.000000 114.761 -142.9432
875.000000 114.809 -142.3900
885.000000 114.877 -142.1570
900.000000 115.011 -141.3073
912.000000 115.047 -141.0965
925.000000 115.180 -140.3951
938.000000 115.272 -140.0757
950.000000 115.371 -139.7171
962.000000 115.476 -139.3567
975.000000 115.596 -138.9646
988.000000 115.684 -138.7477
1000.000000 115.794 -138.8985
1015.000000 115.920 -138.1150
1030.000000 116.042 -137.8455
1044.000000 116.203 -137.7368
1060.000000 116.341 -137.6190
1075.000000 116.442 -137.6445
1090.000000 116.578 -137.5291
1106.000000 116.732 -137.5531
1120.000000 116.854 -137.5079
1138.000000 116.985 -137.6495
1150.000000 117.070 -137.5076
1172.000000 117.278 -137.7281
1180.000000 117.323 -138.0823
1206.000000 117.494 -138.0423
1220.000000 117.590 -138.1796
1241.000000 117.722 -138.5151
1250.000000 117.796 -138.5061
1265.000000 117.882 -138.8864
1280.000000 117.975 -139.1657
1315.000000 118.150 -139.4977
1320.000000 118.194 -139.5938
1340.000000 118.302 -139.9277
1360.000000 118.394 -140.2182
1380.000000 118.492 -140.4312
1400.000000 118.596 -140.7556
1430.000000 118.732 -141.1612
1450.000000 118.811 -141.2934
1475.000000 118.916 -141.6742
1500.000000 119.020 -142.0747
1525.000000 119.129 -142.2514
1550.000000 119.227 -142.6565
1575.000000 119.325 -142.9417
1600.000000 119.435 -143.2894
1625.000000 119.520 -143.3645
1650.000000 119.618 -143.8115
1675.000000 119.702 -144.0676
1700.000000 119.831 -144.3494
1725.000000 119.911 -144.6383
1750.000000 120.016 -144.8871
1775.000000 120.126 -145.2347
1800.000000 120.216 -145.4209
1825.000000 120.310 -145.8481
1850.000000 120.429 -146.1664
1875.000000 120.524 -146.5007
1900.000000 120.610 -146.8106
1925.000000 120.724 -147.0614
1950.000000 120.814 -147.7471
1975.000000 120.906 -148.0524
2000.000000 121.010 -148.2346
2030.000000 121.107 -149.0840
2060.000000 121.268 -149.7033
2090.000000 121.372 -150.2388
2120.000000 121.486 -150.8128
2140.000000 121.551 -151.3640
2180.000000 121.695 -152.2176
2200.000000 121.779 -152.6738
2240.000000 121.922 -153.6815
2270.000000 121.990 -154.6098
2300.000000 122.106 -155.3201
2330.000000 122.178 -156.1719
2360.000000 122.277 -157.0990
2400.000000 122.371 -158.2624
2430.000000 122.447 -159.1574
2470.000000 122.528 -160.3414
2500.000000 122.580 -161.2634
2540.000000 122.644 -162.6735
2580.000000 122.694 -163.9986
2620.000000 122.719 -165.1392
2650.000000 122.760 -166.0487
2690.000000 122.772 -167.3818
2720.000000 122.799 -168.3513
2760.000000 122.794 -169.4830
2800.000000 122.806 -170.6987
2850.000000 122.783 -172.0873
2900.000000 122.743 -173.6456
2950.000000 122.714 -174.8977
3000.000000 122.670 -176.2380
3040.000000 122.635 -177.1734
3070.000000 122.587 -177.9059
3110.000000 122.541 -178.8234
3150.000000 122.483 -179.6397
3200.000000 122.439 179.2906
3250.000000 122.327 178.3734
3300.000000 122.254 177.4797
3350.000000 122.182 176.6224
3400.000000 122.103 175.8647
3450.000000 121.999 175.0264
3500.000000 121.939 174.4120
3550.000000 121.876 173.8548
3600.000000 121.796 173.2635
3650.000000 121.727 172.7313
3700.000000 121.649 172.1523
3750.000000 121.590 171.8963
3820.000000 121.511 171.3793
3870.000000 121.475 170.8573
3950.000000 121.393 170.4223
4000.000000 121.413 169.6894
4060.000000 121.325 169.3457
4120.000000 121.274 168.7618
4180.000000 121.257 168.0751
4250.000000 121.171 167.4832
4310.000000 121.130 167.0616
4370.000000 121.084 166.6128
4440.000000 121.008 165.7325
4500.000000 120.960 165.2269
4550.000000 120.920 164.8635
4620.000000 120.824 164.0794
4680.000000 120.778 163.5314
4750.000000 120.657 162.9808
4820.000000 120.568 162.0748
4870.000000 120.505 162.0278
4940.000000 120.351 161.5258
5000.000000 120.215 160.9458
5080.000000 120.076 160.5693
5150.000000 119.922 160.3035
5220.000000 119.752 160.3247
5300.000000 119.605 160.0156
