* Measurement data measured by REW V5.31.1
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.852
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 7, 2025 2:19:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L volume s clear usbc Jan 7
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 155.725 17.2404
20.600000 155.727 16.8587
20.900000 155.723 16.5214
21.200001 155.720 16.1834
21.400000 155.719 15.9536
21.799999 155.720 15.4847
22.000000 155.721 15.2489
22.400000 155.724 14.7875
22.700001 155.726 14.4599
23.000000 155.727 14.1525
23.299999 155.728 13.8614
23.600000 155.729 13.5798
24.000000 155.730 13.2069
24.299999 155.729 12.9234
24.700001 155.727 12.5414
25.000000 155.723 12.2584
25.400000 155.717 11.8961
25.799999 155.712 11.5575
26.200001 155.709 11.2385
26.500000 155.708 11.0039
26.900000 155.707 10.6871
27.200001 155.705 10.4435
27.600000 155.700 10.1142
28.000000 155.692 9.7917
28.500000 155.682 9.4123
29.000000 155.675 9.0511
29.500000 155.673 8.6829
30.000000 155.670 8.2988
30.400000 155.664 7.9963
30.700001 155.658 7.7840
31.100000 155.649 7.5265
31.500000 155.642 7.2900
32.000000 155.635 6.9972
32.500000 155.629 6.6892
33.000000 155.618 6.3791
33.500000 155.605 6.0900
34.000000 155.593 5.8217
34.500000 155.584 5.5503
35.000000 155.575 5.2619
35.500000 155.566 4.9674
36.000000 155.555 4.6853
36.500000 155.544 4.4194
37.000000 155.534 4.1618
37.500000 155.524 3.9106
38.200001 155.507 3.5769
38.700001 155.498 3.3418
39.500000 155.484 2.9301
40.000000 155.472 2.6633
40.599998 155.455 2.3753
41.200001 155.440 2.1308
41.799999 155.429 1.8918
42.500000 155.414 1.5887
43.099998 155.397 1.3313
43.700001 155.383 1.0901
44.400002 155.369 0.8057
45.000000 155.357 0.5542
45.500000 155.344 0.3585
46.200001 155.326 0.1135
46.799999 155.311 -0.1001
47.500000 155.293 -0.3779
48.200001 155.272 -0.6487
48.700001 155.257 -0.8171
49.400002 155.240 -1.0329
50.000000 155.228 -1.2256
50.799999 155.210 -1.4983
51.500000 155.191 -1.7343
52.200001 155.172 -1.9620
53.000000 155.151 -2.2123
53.799999 155.130 -2.4529
54.500000 155.111 -2.6586
55.200001 155.093 -2.8636
56.000000 155.073 -3.1003
57.000000 155.046 -3.3861
58.000000 155.020 -3.6579
59.000000 154.994 -3.9344
60.000000 154.966 -4.1885
60.799999 154.945 -4.3842
61.500000 154.928 -4.5588
62.200001 154.910 -4.7311
63.000000 154.889 -4.9236
64.000000 154.860 -5.1538
65.000000 154.831 -5.3741
66.000000 154.805 -5.5965
67.000000 154.778 -5.8119
68.000000 154.749 -6.0094
69.000000 154.722 -6.2023
70.000000 154.696 -6.3881
71.000000 154.669 -6.5823
72.000000 154.637 -6.7701
73.000000 154.610 -6.9531
74.000000 154.584 -7.1554
75.000000 154.554 -7.3068
76.199997 154.522 -7.5099
77.500000 154.496 -7.7176
78.800003 154.452 -7.8925
80.000000 154.405 -7.9622
81.199997 154.380 -8.2460
82.500000 154.357 -8.4489
83.800003 154.328 -8.5940
85.000000 154.288 -8.7589
86.199997 154.257 -8.9278
87.500000 154.225 -9.0753
88.500000 154.192 -9.2286
90.000000 154.149 -9.3731
91.199997 154.124 -9.5102
92.500000 154.085 -9.6301
93.800003 154.050 -9.7624
95.000000 154.018 -9.8819
96.199997 153.985 -9.9877
97.500000 153.950 -10.0979
98.800003 153.915 -10.2143
100.000000 153.882 -10.3052
101.500000 153.845 -10.4095
103.000000 153.805 -10.5132
104.400002 153.767 -10.5968
106.000000 153.727 -10.6963
107.500000 153.687 -10.7998
109.000000 153.646 -10.8571
110.599998 153.610 -10.9578
112.000000 153.574 -11.0302
113.800003 153.528 -11.1051
115.000000 153.497 -11.1507
117.199997 153.441 -11.2280
118.000000 153.423 -11.2473
120.599998 153.357 -11.3295
122.000000 153.324 -11.3784
124.099998 153.273 -11.3977
125.000000 153.250 -11.4218
126.500000 153.213 -11.4408
128.000000 153.179 -11.4668
131.500000 153.098 -11.4850
132.000000 153.086 -11.4841
134.000000 153.039 -11.5085
136.000000 152.996 -11.5022
138.000000 152.950 -11.4835
140.000000 152.904 -11.4796
143.000000 152.838 -11.4401
145.000000 152.796 -11.4207
147.500000 152.741 -11.3619
150.000000 152.688 -11.3253
152.500000 152.639 -11.2539
155.000000 152.588 -11.1893
157.500000 152.537 -11.1022
160.000000 152.488 -11.0296
162.500000 152.438 -10.9251
165.000000 152.393 -10.8348
167.500000 152.346 -10.7440
170.000000 152.302 -10.6246
172.500000 152.257 -10.5252
175.000000 152.212 -10.3957
177.500000 152.169 -10.2720
180.000000 152.126 -10.1422
182.500000 152.082 -10.0179
185.000000 152.044 -9.8644
187.500000 152.003 -9.7314
190.000000 151.965 -9.5808
192.500000 151.927 -9.4504
195.000000 151.891 -9.2764
197.500000 151.853 -9.1230
200.000000 151.818 -8.9529
203.000000 151.778 -8.7613
206.000000 151.733 -8.5785
209.000000 151.697 -8.3709
212.000000 151.657 -8.1504
214.000000 151.630 -8.0298
218.000000 151.580 -7.7452
220.000000 151.558 -7.6020
224.000000 151.510 -7.3135
227.000000 151.475 -7.0805
230.000000 151.443 -6.8702
233.000000 151.410 -6.6334
236.000000 151.380 -6.4260
240.000000 151.336 -6.1084
243.000000 151.306 -5.8762
247.000000 151.268 -5.5582
250.000000 151.241 -5.3203
254.000000 151.205 -5.0145
258.000000 151.172 -4.6736
262.000000 151.141 -4.3375
265.000000 151.118 -4.0890
269.000000 151.091 -3.7689
272.000000 151.070 -3.5240
276.000000 151.046 -3.2128
280.000000 151.020 -2.8746
285.000000 150.994 -2.4721
290.000000 150.968 -2.0845
295.000000 150.948 -1.6841
300.000000 150.928 -1.2822
304.000000 150.909 -1.0146
307.000000 150.893 -0.7793
311.000000 150.883 -0.4635
315.000000 150.870 -0.1652
320.000000 150.856 0.1746
325.000000 150.844 0.4944
330.000000 150.826 0.8135
335.000000 150.816 1.1341
340.000000 150.798 1.4268
345.000000 150.779 1.7526
350.000000 150.765 2.0583
355.000000 150.748 2.3766
360.000000 150.733 2.6880
365.000000 150.718 3.0060
370.000000 150.700 3.3145
375.000000 150.690 3.6323
382.000000 150.672 4.0907
387.000000 150.660 4.4133
395.000000 150.642 4.9123
400.000000 150.632 5.2351
406.000000 150.620 5.6224
412.000000 150.610 6.0066
418.000000 150.602 6.3910
425.000000 150.592 6.8239
431.000000 150.590 7.1709
437.000000 150.586 7.5138
444.000000 150.583 7.9225
450.000000 150.580 8.2362
455.000000 150.574 8.4969
462.000000 150.565 8.8738
468.000000 150.561 9.1806
475.000000 150.554 9.5564
482.000000 150.547 9.9031
487.000000 150.542 10.1605
494.000000 150.532 10.5161
500.000000 150.527 10.8130
508.000000 150.519 11.2241
515.000000 150.507 11.5852
522.000000 150.502 11.9361
530.000000 150.491 12.3498
538.000000 150.480 12.7312
545.000000 150.470 13.0981
552.000000 150.457 13.4692
560.000000 150.441 13.8816
570.000000 150.426 14.4407
580.000000 150.413 15.0042
590.000000 150.404 15.5810
600.000000 150.391 16.1574
608.000000 150.388 16.6291
615.000000 150.380 17.0318
622.000000 150.375 17.4478
630.000000 150.371 17.9111
640.000000 150.369 18.4928
650.000000 150.367 19.1064
660.000000 150.367 19.6911
670.000000 150.367 20.3018
680.000000 150.373 20.9042
690.000000 150.377 21.4818
700.000000 150.384 22.0580
710.000000 150.389 22.6181
720.000000 150.399 23.2027
730.000000 150.405 23.7718
740.000000 150.409 24.3454
750.000000 150.416 24.9527
762.000000 150.424 25.6848
775.000000 150.440 26.5202
788.000000 150.461 27.3283
800.000000 150.483 28.1119
812.000000 150.510 28.8887
825.000000 150.546 29.7194
838.000000 150.587 30.5424
850.000000 150.632 31.2857
862.000000 150.680 32.0192
875.000000 150.736 32.7657
885.000000 150.779 33.3265
900.000000 150.848 34.1770
912.000000 150.906 34.8186
925.000000 150.972 35.5293
938.000000 151.039 36.1930
950.000000 151.106 36.7904
962.000000 151.174 37.3732
975.000000 151.251 37.9694
988.000000 151.329 38.5521
1000.000000 151.408 39.0150
1015.000000 151.504 39.6349
1030.000000 151.600 40.1481
1044.000000 151.690 40.6124
1060.000000 151.794 41.0765
1075.000000 151.890 41.4743
1090.000000 151.985 41.8442
1106.000000 152.082 42.1962
1120.000000 152.167 42.4540
1138.000000 152.272 42.7742
1150.000000 152.337 42.9540
1172.000000 152.454 43.2427
1180.000000 152.493 43.3310
1206.000000 152.617 43.6082
1220.000000 152.679 43.7428
1241.000000 152.767 43.9085
1250.000000 152.804 43.9897
1265.000000 152.859 44.0611
1280.000000 152.911 44.1851
1315.000000 153.023 44.4417
1320.000000 153.035 44.4767
1340.000000 153.085 44.6124
1360.000000 153.139 44.8040
1380.000000 153.183 44.9562
1400.000000 153.227 45.1628
1430.000000 153.285 45.4667
1450.000000 153.322 45.6868
1475.000000 153.365 45.9899
1500.000000 153.413 46.3268
1525.000000 153.455 46.6974
1550.000000 153.502 47.0810
1575.000000 153.541 47.4594
1600.000000 153.590 47.8568
1625.000000 153.642 48.2842
1650.000000 153.691 48.7198
1675.000000 153.744 49.1781
1700.000000 153.796 49.5940
1725.000000 153.855 50.0639
1750.000000 153.921 50.5385
1775.000000 153.982 51.0034
1800.000000 154.042 51.4461
1825.000000 154.120 51.9184
1850.000000 154.190 52.3444
1875.000000 154.268 52.7662
1900.000000 154.345 53.1360
1925.000000 154.426 53.5772
1950.000000 154.516 53.9724
1975.000000 154.597 54.3432
2000.000000 154.699 54.7322
2030.000000 154.813 55.1073
2060.000000 154.926 55.5059
2090.000000 155.060 55.8529
2120.000000 155.186 56.1540
2140.000000 155.276 56.3316
2180.000000 155.453 56.5846
2200.000000 155.548 56.7168
2240.000000 155.734 56.8429
2270.000000 155.888 56.8813
2300.000000 156.031 56.8344
2330.000000 156.179 56.7593
2360.000000 156.326 56.5631
2400.000000 156.516 56.2129
2430.000000 156.669 55.7909
2470.000000 156.834 55.1088
2500.000000 156.938 54.5373
2540.000000 157.041 53.7110
2580.000000 157.132 52.6803
2620.000000 157.201 51.5295
2650.000000 157.246 50.5912
2690.000000 157.293 49.1969
2720.000000 157.322 48.0848
2760.000000 157.349 46.5059
2800.000000 157.373 44.8920
2850.000000 157.383 42.7383
2900.000000 157.380 40.5339
2950.000000 157.356 38.3526
3000.000000 157.325 36.1130
3040.000000 157.279 34.4477
3070.000000 157.250 33.2322
3110.000000 157.198 31.6819
3150.000000 157.127 30.2912
3200.000000 157.020 28.6171
3250.000000 156.886 27.2121
3300.000000 156.726 26.0429
3350.000000 156.560 24.9827
3400.000000 156.380 24.1177
3450.000000 156.213 23.4250
3500.000000 156.017 22.9596
3550.000000 155.811 22.6116
3600.000000 155.601 22.3923
3650.000000 155.408 22.2807
3700.000000 155.216 22.2856
3750.000000 155.045 22.4136
3820.000000 154.827 22.6598
3870.000000 154.672 22.9118
3950.000000 154.481 23.4422
4000.000000 154.357 23.6966
4060.000000 154.252 24.1534
4120.000000 154.140 24.4567
4180.000000 154.060 24.8874
4250.000000 153.965 25.3175
4310.000000 153.916 25.6356
4370.000000 153.867 25.8446
4440.000000 153.826 26.1221
4500.000000 153.794 26.2648
4550.000000 153.779 26.2760
4620.000000 153.753 26.2139
4680.000000 153.739 26.0606
4750.000000 153.717 25.7628
4820.000000 153.694 25.4041
4870.000000 153.672 24.9902
4940.000000 153.622 24.3960
5000.000000 153.576 23.8264
5080.000000 153.486 22.9054
5150.000000 153.380 22.0688
5220.000000 153.247 21.2462
5300.000000 153.063 20.3888
5380.000000 152.856 19.6282
5450.000000 152.648 19.1153
5520.000000 152.424 18.7639
5600.000000 152.156 18.5582
5700.000000 151.812 18.6433
5800.000000 151.470 19.1535
5900.000000 151.142 20.0805
6000.000000 150.860 21.4134
6080.000000 150.658 22.6722
6150.000000 150.517 23.9270
6220.000000 150.409 25.2892
6300.000000 150.327 26.8757
