* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 17, 2025 11:46:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Dunu Vulkan 2 733
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.700 -164.2260
20.600000 88.697 -164.8819
20.900000 88.688 -165.4727
21.200001 88.680 -166.0524
21.400000 88.676 -166.4331
21.799999 88.673 -167.1830
22.000000 88.673 -167.5531
22.400000 88.677 -168.2849
22.700001 88.679 -168.8242
23.000000 88.678 -169.3506
23.299999 88.674 -169.8599
23.600000 88.667 -170.3512
24.000000 88.654 -170.9838
24.299999 88.644 -171.4501
24.700001 88.631 -172.0719
25.000000 88.621 -172.5395
25.400000 88.607 -173.1559
25.799999 88.593 -173.7482
26.200001 88.579 -174.3067
26.500000 88.569 -174.7074
26.900000 88.557 -175.2296
27.200001 88.548 -175.6215
27.600000 88.534 -176.1515
28.000000 88.517 -176.6908
28.500000 88.494 -177.3731
29.000000 88.468 -178.0537
29.500000 88.438 -178.7094
30.000000 88.405 -179.3033
30.400000 88.379 -179.7193
30.700001 88.362 179.9981
31.100000 88.343 179.6387
31.500000 88.328 179.2727
32.000000 88.310 178.7772
32.500000 88.288 178.2353
33.000000 88.258 177.6666
33.500000 88.222 177.0992
34.000000 88.181 176.5652
34.500000 88.140 176.0839
35.000000 88.106 175.6426
35.500000 88.079 175.2007
36.000000 88.053 174.7319
36.500000 88.021 174.2519
37.000000 87.984 173.8001
37.500000 87.945 173.3932
38.200001 87.894 172.8596
38.700001 87.859 172.4695
39.500000 87.799 171.8290
40.000000 87.759 171.4406
40.599998 87.713 170.9960
41.200001 87.674 170.5576
41.799999 87.637 170.1036
42.500000 87.585 169.5802
43.099998 87.532 169.2008
43.700001 87.481 168.8826
44.400002 87.430 168.4733
45.000000 87.386 168.0364
45.500000 87.341 167.6741
46.200001 87.276 167.2823
46.799999 87.230 167.0306
47.500000 87.181 166.6834
48.200001 87.120 166.2643
48.700001 87.071 165.9905
49.400002 87.012 165.6584
50.000000 86.969 165.3552
50.799999 86.897 164.9655
51.500000 86.832 164.7031
52.200001 86.779 164.3787
53.000000 86.708 164.0000
53.799999 86.647 163.8892
54.500000 86.608 163.6572
55.200001 86.504 163.1203
56.000000 86.317 162.8666
57.000000 86.259 162.9886
58.000000 86.281 162.3040
59.000000 86.186 162.0241
60.000000 86.099 161.9555
60.799999 86.014 161.6520
61.500000 85.944 161.4651
62.200001 85.892 161.3228
63.000000 85.829 161.1683
64.000000 85.739 161.0313
65.000000 85.650 160.8644
66.000000 85.560 160.7214
67.000000 85.469 160.5908
68.000000 85.386 160.4842
69.000000 85.303 160.3587
70.000000 85.207 160.3169
71.000000 85.113 160.3015
72.000000 85.030 160.2860
73.000000 84.949 160.2219
74.000000 84.852 160.2776
75.000000 84.787 160.3237
76.199997 84.692 160.2353
77.500000 84.608 160.4377
78.800003 84.486 160.4322
80.000000 84.387 160.5629
81.199997 84.288 160.6018
82.500000 84.186 160.8272
83.800003 84.096 161.0010
85.000000 84.008 161.0956
86.199997 83.909 161.3835
87.500000 83.821 161.6378
88.500000 83.753 161.8665
90.000000 83.656 162.0989
91.199997 83.579 162.4218
92.500000 83.495 162.6986
93.800003 83.412 163.0246
95.000000 83.346 163.2894
96.199997 83.279 163.6821
97.500000 83.206 164.0879
98.800003 83.136 164.3727
100.000000 83.071 164.6975
101.500000 82.986 165.2854
103.000000 82.921 165.7753
104.400002 82.852 166.2038
106.000000 82.766 166.7207
107.500000 82.728 167.2775
109.000000 82.656 167.8143
110.599998 82.608 168.3329
112.000000 82.579 168.8846
113.800003 82.522 169.4142
115.000000 82.465 169.8633
117.199997 82.425 170.7286
118.000000 82.415 171.1581
120.599998 82.289 172.0597
122.000000 82.321 172.2849
124.099998 82.304 173.2065
125.000000 82.293 173.4298
126.500000 82.262 174.0627
128.000000 82.224 174.7941
131.500000 82.240 175.9295
132.000000 82.249 176.1035
134.000000 82.224 176.7684
136.000000 82.232 177.3920
138.000000 82.234 177.9981
140.000000 82.268 178.6487
143.000000 82.275 179.5343
145.000000 82.285 -179.8791
147.500000 82.303 -179.1798
150.000000 82.333 -178.5091
152.500000 82.358 -177.8872
155.000000 82.408 -177.2361
157.500000 82.441 -176.6697
160.000000 82.479 -176.0939
162.500000 82.512 -175.6049
165.000000 82.555 -175.0802
167.500000 82.609 -174.6591
170.000000 82.658 -174.1190
172.500000 82.699 -173.7678
175.000000 82.731 -173.3270
177.500000 82.787 -172.9140
180.000000 82.818 -172.6037
182.500000 82.867 -172.2850
185.000000 82.916 -171.9360
187.500000 82.971 -171.6463
190.000000 83.014 -171.3068
192.500000 83.082 -171.0443
195.000000 83.104 -170.7178
197.500000 83.150 -170.5569
200.000000 83.198 -170.3025
203.000000 83.260 -170.0301
206.000000 83.308 -169.7505
209.000000 83.359 -169.4677
212.000000 83.403 -169.4515
214.000000 83.436 -169.2625
218.000000 83.500 -168.9676
220.000000 83.534 -168.9222
224.000000 83.587 -168.6767
227.000000 83.643 -168.5613
230.000000 83.668 -168.4033
233.000000 83.731 -168.3235
236.000000 83.762 -168.1930
240.000000 83.809 -167.9548
243.000000 83.853 -167.9244
247.000000 83.901 -167.8092
250.000000 83.913 -167.8395
254.000000 83.957 -167.6332
258.000000 84.001 -167.4899
262.000000 84.056 -167.3740
265.000000 84.070 -167.2853
269.000000 84.105 -167.1545
272.000000 84.128 -167.0262
276.000000 84.160 -166.9295
280.000000 84.194 -166.7767
285.000000 84.229 -166.4747
290.000000 84.285 -166.1226
295.000000 84.374 -165.7356
300.000000 84.486 -165.6405
304.000000 84.558 -165.7587
307.000000 84.600 -165.9472
311.000000 84.652 -166.0807
315.000000 84.681 -166.2819
320.000000 84.719 -166.4154
325.000000 84.745 -166.5780
330.000000 84.775 -166.6410
335.000000 84.796 -166.7669
340.000000 84.817 -166.7751
345.000000 84.838 -166.7958
350.000000 84.855 -166.8431
355.000000 84.872 -166.8962
360.000000 84.901 -166.9049
365.000000 84.913 -166.9476
370.000000 84.919 -167.0304
375.000000 84.948 -167.0060
382.000000 84.965 -167.0786
387.000000 84.974 -167.0384
395.000000 84.994 -167.0523
400.000000 85.000 -167.0620
406.000000 85.013 -167.0206
412.000000 85.019 -167.0040
418.000000 85.030 -167.0413
425.000000 85.037 -166.9666
431.000000 85.043 -166.9766
437.000000 85.043 -166.8828
444.000000 85.053 -166.8375
450.000000 85.052 -166.8904
455.000000 85.059 -166.7997
462.000000 85.074 -166.6910
468.000000 85.083 -166.6959
475.000000 85.089 -166.6374
482.000000 85.093 -166.5517
487.000000 85.099 -166.5332
494.000000 85.101 -166.5292
500.000000 85.100 -166.4030
508.000000 85.103 -166.4052
515.000000 85.104 -166.2565
522.000000 85.095 -166.1051
530.000000 85.096 -166.0166
538.000000 85.096 -165.8965
545.000000 85.096 -165.7944
552.000000 85.093 -165.5566
560.000000 85.094 -165.4011
570.000000 85.084 -165.1554
580.000000 85.095 -164.9986
590.000000 85.104 -164.6510
600.000000 85.105 -164.4022
608.000000 85.120 -164.2845
615.000000 85.118 -164.0575
622.000000 85.125 -163.8891
630.000000 85.130 -163.6776
640.000000 85.138 -163.4453
650.000000 85.143 -163.2289
660.000000 85.146 -162.9372
670.000000 85.152 -162.5818
680.000000 85.175 -162.2813
690.000000 85.172 -162.0765
700.000000 85.188 -161.7483
710.000000 85.190 -161.4137
720.000000 85.211 -161.1278
730.000000 85.213 -160.8410
740.000000 85.232 -160.4477
750.000000 85.243 -160.0853
762.000000 85.278 -159.7072
775.000000 85.303 -159.3017
788.000000 85.325 -158.8804
800.000000 85.354 -158.3798
812.000000 85.392 -158.0452
825.000000 85.421 -157.5366
838.000000 85.465 -157.0742
850.000000 85.514 -156.6601
862.000000 85.555 -156.2449
875.000000 85.618 -155.7811
885.000000 85.659 -155.4391
900.000000 85.724 -154.9205
912.000000 85.777 -154.5993
925.000000 85.844 -154.2118
938.000000 85.915 -153.8278
950.000000 85.974 -153.5392
962.000000 86.043 -153.1614
975.000000 86.120 -152.8002
988.000000 86.202 -152.5648
1000.000000 86.298 -152.1866
1015.000000 86.365 -152.0431
1030.000000 86.450 -151.7942
1044.000000 86.551 -151.6522
1060.000000 86.653 -151.4410
1075.000000 86.753 -151.3924
1090.000000 86.835 -151.2915
1106.000000 86.937 -151.2561
1120.000000 87.025 -151.1976
1138.000000 87.127 -151.1723
1150.000000 87.192 -151.2162
1172.000000 87.317 -151.3336
1180.000000 87.352 -151.3632
1206.000000 87.483 -151.6033
1220.000000 87.536 -151.7418
1241.000000 87.638 -151.9353
1250.000000 87.670 -152.0102
1265.000000 87.729 -152.1266
1280.000000 87.794 -152.2973
1315.000000 87.911 -152.6909
1320.000000 87.922 -152.7762
1340.000000 87.980 -152.9958
1360.000000 88.041 -153.1944
1380.000000 88.093 -153.3917
1400.000000 88.130 -153.6208
1430.000000 88.196 -153.9042
1450.000000 88.242 -154.1105
1475.000000 88.282 -154.2406
1500.000000 88.326 -154.4061
1525.000000 88.377 -154.5912
1550.000000 88.402 -154.6933
1575.000000 88.451 -154.7533
1600.000000 88.480 -154.8930
1625.000000 88.529 -154.9420
1650.000000 88.569 -155.0404
1675.000000 88.610 -155.0702
1700.000000 88.655 -155.0360
1725.000000 88.709 -155.0930
1750.000000 88.759 -155.0649
1775.000000 88.803 -155.1639
1800.000000 88.863 -155.1900
1825.000000 88.919 -155.2081
1850.000000 88.979 -155.2743
1875.000000 89.051 -155.3101
1900.000000 89.110 -155.3455
1925.000000 89.183 -155.5032
1950.000000 89.243 -155.6285
1975.000000 89.322 -155.8061
2000.000000 89.416 -155.8996
2030.000000 89.489 -156.1842
2060.000000 89.573 -156.4822
2090.000000 89.662 -156.8390
2120.000000 89.748 -157.1786
2140.000000 89.814 -157.4413
2180.000000 89.917 -158.0955
2200.000000 89.981 -158.4230
2240.000000 90.073 -159.1834
2270.000000 90.151 -159.7933
2300.000000 90.215 -160.4448
2330.000000 90.275 -161.2043
2360.000000 90.329 -161.8849
2400.000000 90.391 -162.9402
2430.000000 90.431 -163.6853
2470.000000 90.468 -164.7906
2500.000000 90.481 -165.6849
2540.000000 90.496 -166.8016
2580.000000 90.502 -167.9290
2620.000000 90.471 -169.0130
2650.000000 90.455 -169.8572
2690.000000 90.425 -170.9187
2720.000000 90.395 -171.6726
2760.000000 90.338 -172.6447
2800.000000 90.277 -173.5820
2850.000000 90.200 -174.6775
2900.000000 90.125 -175.6931
2950.000000 90.041 -176.8098
3000.000000 89.986 -177.7461
3040.000000 89.898 -178.6636
3070.000000 89.849 -179.3168
3110.000000 89.773 179.7143
3150.000000 89.687 178.5885
3200.000000 89.539 177.2336
3250.000000 89.346 175.7242
3300.000000 89.082 174.4368
3350.000000 88.764 173.4891
3400.000000 88.413 173.0971
3450.000000 88.068 173.2927
3500.000000 87.780 173.9493
3550.000000 87.512 174.8030
3600.000000 87.316 175.7910
3650.000000 87.153 176.9072
3700.000000 87.019 177.9009
3750.000000 86.914 178.8715
3820.000000 86.792 -179.7039
3870.000000 86.722 -178.8013
3950.000000 86.638 -177.4655
4000.000000 86.596 -176.8131
4060.000000 86.565 -175.5801
4120.000000 86.535 -174.5061
4180.000000 86.535 -173.4585
4250.000000 86.549 -172.3970
4310.000000 86.580 -171.3204
4370.000000 86.620 -170.5316
4440.000000 86.698 -169.4130
4500.000000 86.790 -168.7108
4550.000000 86.851 -168.2225
4620.000000 86.974 -167.4638
4680.000000 87.087 -167.0398
4750.000000 87.213 -166.5878
4820.000000 87.365 -166.3356
4870.000000 87.443 -166.2944
4940.000000 87.626 -166.3068
5000.000000 87.757 -166.2138
5080.000000 87.885 -166.6156
5150.000000 88.024 -167.0884
5220.000000 88.157 -167.5342
5300.000000 88.283 -168.2660
5380.000000 88.438 -169.2385
5450.000000 88.548 -170.2525
