* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 27, 2025 7:36:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Waner 2 594
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.751 -145.5967
20.600000 128.771 -146.3288
20.900000 128.788 -146.9935
21.200001 128.805 -147.6668
21.400000 128.816 -148.1219
21.799999 128.835 -149.0364
22.000000 128.843 -149.4885
22.400000 128.856 -150.3673
22.700001 128.865 -151.0018
23.000000 128.875 -151.6225
23.299999 128.888 -152.2405
23.600000 128.902 -152.8592
24.000000 128.920 -153.6761
24.299999 128.934 -154.2624
24.700001 128.952 -154.9803
25.000000 128.966 -155.4623
25.400000 128.987 -156.0450
25.799999 129.009 -156.6033
26.200001 129.024 -157.1837
26.500000 129.030 -157.6465
26.900000 129.027 -158.2955
27.200001 129.019 -158.7938
27.600000 129.007 -159.4573
28.000000 128.999 -160.1084
28.500000 128.998 -160.8953
29.000000 129.003 -161.6358
29.500000 129.008 -162.3126
30.000000 129.010 -162.9334
30.400000 129.008 -163.4166
30.700001 129.006 -163.7862
31.100000 129.002 -164.2978
31.500000 128.998 -164.8246
32.000000 128.993 -165.4763
32.500000 128.990 -166.0883
33.000000 128.989 -166.6518
33.500000 128.986 -167.1835
34.000000 128.979 -167.7081
34.500000 128.967 -168.2410
35.000000 128.953 -168.7831
35.500000 128.940 -169.3253
36.000000 128.930 -169.8548
36.500000 128.923 -170.3608
37.000000 128.916 -170.8403
37.500000 128.907 -171.3019
38.200001 128.891 -171.9442
38.700001 128.877 -172.4060
39.500000 128.853 -173.1215
40.000000 128.840 -173.5448
40.599998 128.827 -174.0416
41.200001 128.811 -174.5401
41.799999 128.792 -175.0369
42.500000 128.769 -175.6030
43.099998 128.750 -176.0708
43.700001 128.733 -176.5181
44.400002 128.713 -177.0186
45.000000 128.694 -177.4395
45.500000 128.676 -177.7862
46.200001 128.652 -178.2669
46.799999 128.633 -178.6833
47.500000 128.611 -179.1678
48.200001 128.589 -179.6263
48.700001 128.573 -179.9377
49.400002 128.547 179.6426
50.000000 128.522 179.3016
50.799999 128.491 178.8311
51.500000 128.463 178.3825
52.200001 128.434 178.0152
53.000000 128.423 177.7228
53.799999 128.425 177.2899
54.500000 128.392 176.7903
55.200001 128.335 176.3997
56.000000 128.289 176.0588
57.000000 128.256 175.5338
58.000000 128.219 175.0483
59.000000 128.182 174.5828
60.000000 128.137 174.1237
60.799999 128.107 173.8000
61.500000 128.084 173.5060
62.200001 128.057 173.2049
63.000000 128.022 172.8791
64.000000 127.979 172.4850
65.000000 127.939 172.0947
66.000000 127.901 171.7200
67.000000 127.861 171.3557
68.000000 127.821 170.9952
69.000000 127.780 170.6369
70.000000 127.738 170.3340
71.000000 127.701 170.0342
72.000000 127.660 169.6767
73.000000 127.614 169.3572
74.000000 127.574 169.0862
75.000000 127.532 168.7997
76.199997 127.487 168.4543
77.500000 127.442 168.0083
78.800003 127.383 167.8087
80.000000 127.340 167.5069
81.199997 127.280 167.1518
82.500000 127.233 166.8273
83.800003 127.172 166.5952
85.000000 127.125 166.3708
86.199997 127.072 166.1023
87.500000 127.029 165.8196
88.500000 126.983 165.6379
90.000000 126.934 165.3087
91.199997 126.878 165.0817
92.500000 126.837 164.9287
93.800003 126.781 164.6624
95.000000 126.735 164.4621
96.199997 126.692 164.2892
97.500000 126.640 164.1478
98.800003 126.591 163.9629
100.000000 126.545 163.7535
101.500000 126.488 163.5289
103.000000 126.433 163.3926
104.400002 126.392 163.2079
106.000000 126.327 162.9050
107.500000 126.249 162.8784
109.000000 126.210 162.9148
110.599998 126.171 162.4863
112.000000 126.108 162.3326
113.800003 126.057 162.2201
115.000000 125.994 161.9150
117.199997 125.930 162.1728
118.000000 125.895 161.8878
120.599998 125.951 161.6066
122.000000 125.766 161.1069
124.099998 125.815 161.6957
125.000000 125.802 161.2252
126.500000 125.670 161.1436
128.000000 125.599 161.4720
131.500000 125.500 161.3289
132.000000 125.470 161.1930
134.000000 125.372 161.1061
136.000000 125.336 161.1344
138.000000 125.261 161.1567
140.000000 125.194 160.9642
143.000000 125.107 160.9302
145.000000 125.053 160.8781
147.500000 124.985 160.8834
150.000000 124.909 160.8481
152.500000 124.843 160.9309
155.000000 124.774 160.9031
157.500000 124.706 160.8890
160.000000 124.637 160.9097
162.500000 124.572 160.9286
165.000000 124.515 160.9881
167.500000 124.448 161.0575
170.000000 124.385 161.0281
172.500000 124.326 161.1368
175.000000 124.272 161.1929
177.500000 124.207 161.2364
180.000000 124.164 161.2797
182.500000 124.095 161.4072
185.000000 124.046 161.5064
187.500000 123.987 161.6028
190.000000 123.934 161.7015
192.500000 123.876 161.7867
195.000000 123.824 161.9309
197.500000 123.782 162.0831
200.000000 123.717 162.1017
203.000000 123.672 162.2332
206.000000 123.594 162.2998
209.000000 123.536 162.5906
212.000000 123.477 162.7265
214.000000 123.436 162.7894
218.000000 123.375 163.1000
220.000000 123.331 163.2041
224.000000 123.263 163.4497
227.000000 123.229 163.7745
230.000000 123.155 163.9785
233.000000 123.129 164.0289
236.000000 123.088 164.1811
240.000000 123.022 164.5164
243.000000 122.963 164.8295
247.000000 122.912 164.9571
250.000000 122.859 165.3519
254.000000 122.846 165.5150
258.000000 122.801 166.0329
262.000000 122.755 166.1591
265.000000 122.731 166.3514
269.000000 122.685 166.4499
272.000000 122.655 166.7239
276.000000 122.598 166.9388
280.000000 122.554 167.1941
285.000000 122.515 167.5046
290.000000 122.452 167.7580
295.000000 122.388 168.0733
300.000000 122.348 168.3486
304.000000 122.310 168.6564
307.000000 122.283 168.8551
311.000000 122.244 169.1252
315.000000 122.206 169.4260
320.000000 122.173 169.7222
325.000000 122.126 170.0177
330.000000 122.078 170.3580
335.000000 122.037 170.7291
340.000000 121.997 171.0852
345.000000 121.963 171.4000
350.000000 121.925 171.6771
355.000000 121.886 172.1428
360.000000 121.853 172.4796
365.000000 121.816 172.7447
370.000000 121.775 173.1121
375.000000 121.749 173.4550
382.000000 121.712 173.9599
387.000000 121.674 174.3936
395.000000 121.647 174.8185
400.000000 121.608 175.3881
406.000000 121.584 175.5305
412.000000 121.525 176.0369
418.000000 121.514 176.5408
425.000000 121.483 176.9605
431.000000 121.458 177.3129
437.000000 121.416 177.7801
444.000000 121.408 178.3313
450.000000 121.388 178.6809
455.000000 121.338 179.3251
462.000000 121.369 179.5974
468.000000 121.314 179.8681
475.000000 121.307 -179.4389
482.000000 121.291 -179.1618
487.000000 121.226 -179.0829
494.000000 121.285 -177.9989
500.000000 121.290 -178.2431
508.000000 121.306 -176.7754
515.000000 121.225 -177.4325
522.000000 121.199 -175.8770
530.000000 121.102 -176.0813
538.000000 121.261 -175.5182
545.000000 121.120 -174.8417
552.000000 121.179 -174.1523
560.000000 121.094 -174.0044
570.000000 121.089 -173.3886
580.000000 121.116 -172.6753
590.000000 121.097 -171.7946
600.000000 121.065 -170.8022
608.000000 121.102 -170.0071
615.000000 121.151 -169.6864
622.000000 121.131 -169.4303
630.000000 121.144 -169.0091
640.000000 121.127 -168.3398
650.000000 121.146 -167.6419
660.000000 121.185 -167.1201
670.000000 121.167 -166.4440
680.000000 121.195 -165.7345
690.000000 121.177 -165.0614
700.000000 121.184 -164.5097
710.000000 121.193 -163.8022
720.000000 121.222 -163.0758
730.000000 121.226 -162.3954
740.000000 121.264 -161.7810
750.000000 121.282 -161.1646
762.000000 121.316 -160.2348
775.000000 121.359 -159.3632
788.000000 121.413 -158.5428
800.000000 121.451 -157.8122
812.000000 121.494 -157.0157
825.000000 121.577 -156.1963
838.000000 121.629 -155.3326
850.000000 121.686 -154.4167
862.000000 121.753 -153.8759
875.000000 121.830 -153.0267
885.000000 121.887 -152.4060
900.000000 121.984 -151.5466
912.000000 122.062 -150.8531
925.000000 122.152 -150.1369
938.000000 122.256 -149.4101
950.000000 122.347 -148.8782
962.000000 122.427 -148.2826
975.000000 122.548 -147.6703
988.000000 122.651 -147.0907
1000.000000 122.727 -146.4370
1015.000000 122.880 -145.9697
1030.000000 123.003 -145.4062
1044.000000 123.132 -144.8995
1060.000000 123.274 -144.3483
1075.000000 123.406 -143.9195
1090.000000 123.532 -143.5445
1106.000000 123.674 -143.1570
1120.000000 123.803 -142.8368
1138.000000 123.952 -142.5078
1150.000000 124.056 -142.3539
1172.000000 124.239 -141.9602
1180.000000 124.308 -141.8437
1206.000000 124.523 -141.5546
1220.000000 124.644 -141.4198
1241.000000 124.809 -141.2822
1250.000000 124.882 -141.1165
1265.000000 124.988 -141.0338
1280.000000 125.103 -140.9302
1315.000000 125.374 -140.8227
1320.000000 125.411 -140.8556
1340.000000 125.553 -140.7962
1360.000000 125.693 -140.7658
1380.000000 125.839 -140.7265
1400.000000 125.986 -140.7526
1430.000000 126.196 -140.7665
1450.000000 126.332 -140.7900
1475.000000 126.513 -140.8998
1500.000000 126.679 -141.0155
1525.000000 126.840 -141.1110
1550.000000 127.014 -141.2675
1575.000000 127.179 -141.4556
1600.000000 127.352 -141.7274
1625.000000 127.523 -141.9333
1650.000000 127.707 -142.1952
1675.000000 127.858 -142.5223
1700.000000 128.047 -142.8597
1725.000000 128.217 -143.2603
1750.000000 128.384 -143.7460
1775.000000 128.565 -144.2299
1800.000000 128.735 -144.8072
1825.000000 128.900 -145.4088
1850.000000 129.066 -146.1228
1875.000000 129.228 -146.7883
1900.000000 129.397 -147.5418
1925.000000 129.552 -148.3891
1950.000000 129.703 -149.2602
1975.000000 129.849 -150.2326
2000.000000 129.987 -151.2298
2030.000000 130.152 -152.5226
2060.000000 130.301 -153.9234
2090.000000 130.433 -155.3871
2120.000000 130.557 -156.8489
2140.000000 130.637 -157.9052
2180.000000 130.759 -160.0282
2200.000000 130.809 -161.1197
2240.000000 130.893 -163.3785
2270.000000 130.937 -165.0550
2300.000000 130.951 -166.7435
2330.000000 130.959 -168.4424
2360.000000 130.948 -170.0642
2400.000000 130.904 -172.2767
2430.000000 130.847 -173.8650
2470.000000 130.761 -175.8384
2500.000000 130.687 -177.2564
2540.000000 130.562 -179.0560
2580.000000 130.420 179.2701
2620.000000 130.278 177.7381
2650.000000 130.159 176.7158
2690.000000 129.990 175.4059
2720.000000 129.856 174.5261
2760.000000 129.685 173.4376
2800.000000 129.506 172.5039
2850.000000 129.278 171.4502
2900.000000 129.047 170.6283
2950.000000 128.828 169.9496
3000.000000 128.603 169.4053
3040.000000 128.459 169.0394
3070.000000 128.335 168.8331
3110.000000 128.177 168.6004
3150.000000 128.046 168.4921
3200.000000 127.876 168.4522
3250.000000 127.721 168.4261
3300.000000 127.594 168.4344
3350.000000 127.465 168.4847
3400.000000 127.354 168.5391
3450.000000 127.254 168.7215
3500.000000 127.170 168.6807
3550.000000 127.117 168.7599
3600.000000 127.045 168.6378
3650.000000 126.992 168.6064
3700.000000 126.935 168.4509
3750.000000 126.890 168.3291
3820.000000 126.828 167.9996
3870.000000 126.772 167.7640
3950.000000 126.634 166.8328
4000.000000 126.459 166.7286
4060.000000 126.203 167.1672
4120.000000 126.257 168.4651
4180.000000 126.351 168.3013
4250.000000 126.395 167.6983
4310.000000 126.353 166.9964
4370.000000 126.296 166.3523
4440.000000 126.239 165.5569
4500.000000 126.170 164.9262
4550.000000 126.097 164.2461
4620.000000 125.985 163.4288
4680.000000 125.870 162.8367
4750.000000 125.716 162.0473
4820.000000 125.545 161.2926
4870.000000 125.442 160.7539
4940.000000 125.228 160.1403
5000.000000 124.997 159.6600
5080.000000 124.754 159.1786
5150.000000 124.522 158.9065
5220.000000 124.264 158.7286
5300.000000 123.971 158.8791
5380.000000 123.658 158.8588
5450.000000 123.378 159.0471
5520.000000 123.092 159.6835
5600.000000 122.772 160.1575
5700.000000 122.368 161.2245
5800.000000 122.024 162.4595
5900.000000 121.614 164.1190
6000.000000 121.296 165.8798
6080.000000 121.011 167.3404
