* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 2:00:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L whizzer LT100 easyt
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.180 32.9152
20.600000 133.171 32.0620
20.900000 133.157 31.2868
21.200001 133.141 30.5059
21.400000 133.132 29.9796
21.799999 133.116 28.9192
22.000000 133.110 28.3896
22.400000 133.101 27.3429
22.700001 133.098 26.5731
23.000000 133.096 25.8152
23.299999 133.094 25.0650
23.600000 133.089 24.3214
24.000000 133.079 23.3435
24.299999 133.067 22.6271
24.700001 133.048 21.7027
25.000000 133.033 21.0336
25.400000 133.016 20.1676
25.799999 133.003 19.3213
26.200001 132.992 18.4900
26.500000 132.985 17.8780
26.900000 132.973 17.0799
27.200001 132.963 16.4937
27.600000 132.948 15.7227
28.000000 132.929 14.9558
28.500000 132.902 14.0016
29.000000 132.873 13.0659
29.500000 132.845 12.1591
30.000000 132.822 11.2764
30.400000 132.803 10.5854
30.700001 132.787 10.0811
31.100000 132.762 9.4399
31.500000 132.735 8.8408
32.000000 132.704 8.1328
32.500000 132.678 7.4145
33.000000 132.656 6.6368
33.500000 132.630 5.8106
34.000000 132.598 4.9964
34.500000 132.564 4.2420
35.000000 132.532 3.5429
35.500000 132.503 2.8612
36.000000 132.472 2.1741
36.500000 132.438 1.4907
37.000000 132.402 0.8306
37.500000 132.370 0.1987
38.200001 132.330 -0.6552
38.700001 132.304 -1.2511
39.500000 132.257 -2.1887
40.000000 132.225 -2.7771
40.599998 132.182 -3.4928
41.200001 132.136 -4.2012
41.799999 132.090 -4.8752
42.500000 132.041 -5.6063
43.099998 132.003 -6.2000
43.700001 131.965 -6.7792
44.400002 131.919 -7.4463
45.000000 131.878 -8.0140
45.500000 131.844 -8.4853
46.200001 131.796 -9.1429
46.799999 131.755 -9.7035
47.500000 131.705 -10.3515
48.200001 131.655 -10.9887
48.700001 131.619 -11.4337
49.400002 131.570 -12.0344
50.000000 131.528 -12.5199
50.799999 131.475 -13.1290
51.500000 131.432 -13.6596
52.200001 131.387 -14.2067
53.000000 131.330 -14.8105
53.799999 131.272 -15.3574
54.500000 131.223 -15.8193
55.200001 131.174 -16.2898
56.000000 131.119 -16.8332
57.000000 131.053 -17.5002
58.000000 130.991 -18.1138
59.000000 130.927 -18.6941
60.000000 130.854 -19.2460
60.799999 130.799 -19.6587
61.500000 130.756 -20.0430
62.200001 130.710 -20.4570
63.000000 130.652 -20.9163
64.000000 130.582 -21.4574
65.000000 130.516 -22.0001
66.000000 130.450 -22.4573
67.000000 130.389 -22.8692
68.000000 130.319 -23.3117
69.000000 130.246 -23.7069
70.000000 130.179 -24.1252
71.000000 130.104 -24.5513
72.000000 130.031 -24.9292
73.000000 129.962 -25.3159
74.000000 129.895 -25.6683
75.000000 129.833 -26.0245
76.199997 129.750 -26.4357
77.500000 129.662 -26.8091
78.800003 129.576 -27.2309
80.000000 129.499 -27.5958
81.199997 129.429 -27.8965
82.500000 129.351 -28.2298
83.800003 129.269 -28.5370
85.000000 129.195 -28.8253
86.199997 129.111 -29.1297
87.500000 129.026 -29.4126
88.500000 128.966 -29.5960
90.000000 128.881 -29.8668
91.199997 128.813 -30.0779
92.500000 128.742 -30.2791
93.800003 128.656 -30.4780
95.000000 128.586 -30.6856
96.199997 128.518 -30.8468
97.500000 128.444 -30.9934
98.800003 128.363 -31.1412
100.000000 128.296 -31.2615
101.500000 128.204 -31.3890
103.000000 128.119 -31.5151
104.400002 128.049 -31.6418
106.000000 127.955 -31.7226
107.500000 127.881 -31.8541
109.000000 127.803 -31.9158
110.599998 127.723 -31.9743
112.000000 127.653 -32.0328
113.800003 127.560 -32.1409
115.000000 127.498 -32.1531
117.199997 127.393 -32.3124
118.000000 127.362 -32.3625
120.599998 127.248 -32.3064
122.000000 127.182 -32.2783
124.099998 127.088 -32.2248
125.000000 127.049 -32.2249
126.500000 126.984 -32.2523
128.000000 126.914 -32.2249
131.500000 126.773 -32.1216
132.000000 126.749 -32.1029
134.000000 126.664 -31.9883
136.000000 126.591 -31.9547
138.000000 126.511 -31.8767
140.000000 126.440 -31.7745
143.000000 126.323 -31.6315
145.000000 126.255 -31.5461
147.500000 126.157 -31.3440
150.000000 126.073 -31.2052
152.500000 125.987 -31.0198
155.000000 125.907 -30.8238
157.500000 125.830 -30.6098
160.000000 125.743 -30.3799
162.500000 125.662 -30.1735
165.000000 125.590 -30.0131
167.500000 125.509 -29.7993
170.000000 125.449 -29.5452
172.500000 125.377 -29.3116
175.000000 125.313 -28.9877
177.500000 125.238 -28.8784
180.000000 125.189 -28.5224
182.500000 125.111 -28.2938
185.000000 125.063 -28.0156
187.500000 124.992 -27.8061
190.000000 124.943 -27.4735
192.500000 124.895 -27.2453
195.000000 124.837 -26.9286
197.500000 124.782 -26.6155
200.000000 124.727 -26.2724
203.000000 124.683 -25.8914
206.000000 124.631 -25.5878
209.000000 124.581 -25.2178
212.000000 124.536 -24.8849
214.000000 124.509 -24.6690
218.000000 124.451 -24.3675
220.000000 124.417 -24.0502
224.000000 124.362 -23.6526
227.000000 124.312 -23.2536
230.000000 124.266 -22.8738
233.000000 124.227 -22.5988
236.000000 124.175 -22.2823
240.000000 124.113 -21.8655
243.000000 124.068 -21.5372
247.000000 124.030 -20.9936
250.000000 124.008 -20.6220
254.000000 123.963 -20.1847
258.000000 123.936 -19.6501
262.000000 123.911 -19.2539
265.000000 123.890 -18.9910
269.000000 123.874 -18.5649
272.000000 123.859 -18.2545
276.000000 123.838 -17.9678
280.000000 123.803 -17.6004
285.000000 123.776 -17.2662
290.000000 123.745 -16.8374
295.000000 123.718 -16.5035
300.000000 123.681 -16.1211
304.000000 123.649 -15.7539
307.000000 123.636 -15.5887
311.000000 123.603 -15.2412
315.000000 123.585 -14.9544
320.000000 123.543 -14.4930
325.000000 123.516 -14.1105
330.000000 123.486 -13.6432
335.000000 123.456 -13.2217
340.000000 123.428 -12.7636
345.000000 123.399 -12.3138
350.000000 123.377 -11.8894
355.000000 123.364 -11.4974
360.000000 123.354 -11.0866
365.000000 123.354 -10.7142
370.000000 123.336 -10.4784
375.000000 123.305 -10.1518
382.000000 123.259 -9.6027
387.000000 123.236 -9.0827
395.000000 123.248 -8.5390
400.000000 123.243 -8.2316
406.000000 123.239 -7.9456
412.000000 123.218 -7.5665
418.000000 123.205 -7.1836
425.000000 123.176 -6.8128
431.000000 123.158 -6.3465
437.000000 123.145 -6.0439
444.000000 123.118 -5.5720
450.000000 123.096 -5.2421
455.000000 123.096 -4.9196
462.000000 123.066 -4.4587
468.000000 123.060 -4.0843
475.000000 123.056 -3.6876
482.000000 123.036 -3.2207
487.000000 123.042 -2.9227
494.000000 123.012 -2.4599
500.000000 123.003 -2.1828
508.000000 122.996 -1.5873
515.000000 122.985 -1.1421
522.000000 122.965 -0.7269
530.000000 122.968 -0.2722
538.000000 122.953 0.1712
545.000000 122.943 0.5123
552.000000 122.909 1.0488
560.000000 122.905 1.5631
570.000000 122.902 2.1373
580.000000 122.893 2.6758
590.000000 122.869 3.3152
600.000000 122.859 4.0363
608.000000 122.836 4.5885
615.000000 122.843 5.1438
622.000000 122.848 5.5898
630.000000 122.863 6.0893
640.000000 122.871 6.7214
650.000000 122.888 7.3747
660.000000 122.900 8.0395
670.000000 122.914 8.6254
680.000000 122.914 9.2185
690.000000 122.936 9.8572
700.000000 122.943 10.4378
710.000000 122.974 11.0350
720.000000 122.984 11.5370
730.000000 122.996 12.1657
740.000000 123.024 12.7640
750.000000 123.037 13.3379
762.000000 123.066 14.2037
775.000000 123.101 14.9073
788.000000 123.139 15.6911
800.000000 123.183 16.3872
812.000000 123.223 17.0370
825.000000 123.275 17.8217
838.000000 123.317 18.5425
850.000000 123.377 19.2748
862.000000 123.432 19.9407
875.000000 123.500 20.6396
885.000000 123.556 21.1892
900.000000 123.634 21.9353
912.000000 123.705 22.5851
925.000000 123.782 23.2245
938.000000 123.860 23.7313
950.000000 123.934 24.3365
962.000000 124.021 24.8821
975.000000 124.101 25.3451
988.000000 124.199 25.8378
1000.000000 124.273 26.4208
1015.000000 124.392 26.8120
1030.000000 124.493 27.2950
1044.000000 124.605 27.6684
1060.000000 124.709 28.1413
1075.000000 124.818 28.5315
1090.000000 124.922 28.8036
1106.000000 125.032 29.1253
1120.000000 125.142 29.2968
1138.000000 125.255 29.5759
1150.000000 125.332 29.7389
1172.000000 125.483 29.9789
1180.000000 125.526 30.0069
1206.000000 125.688 30.2133
1220.000000 125.767 30.3048
1241.000000 125.888 30.4328
1250.000000 125.944 30.4173
1265.000000 126.023 30.5117
1280.000000 126.100 30.5325
1315.000000 126.277 30.6022
1320.000000 126.291 30.5387
1340.000000 126.395 30.5408
1360.000000 126.486 30.6311
1380.000000 126.566 30.5586
1400.000000 126.642 30.6610
1430.000000 126.766 30.6386
1450.000000 126.854 30.6316
1475.000000 126.962 30.6258
1500.000000 127.047 30.6378
1525.000000 127.155 30.6525
1550.000000 127.245 30.5811
1575.000000 127.336 30.5574
1600.000000 127.426 30.5186
1625.000000 127.513 30.4738
1650.000000 127.599 30.4758
1675.000000 127.688 30.3087
1700.000000 127.777 30.2814
1725.000000 127.869 30.1280
1750.000000 127.960 30.0331
1775.000000 128.051 29.9160
1800.000000 128.134 29.7510
1825.000000 128.218 29.5602
1850.000000 128.297 29.4520
1875.000000 128.377 29.2174
1900.000000 128.456 29.0535
1925.000000 128.542 28.7393
1950.000000 128.617 28.4796
1975.000000 128.690 28.1870
2000.000000 128.777 27.8100
2030.000000 128.856 27.5760
2060.000000 128.928 27.1952
2090.000000 129.004 26.7783
2120.000000 129.076 26.3802
2140.000000 129.129 26.0973
2180.000000 129.213 25.5015
2200.000000 129.254 25.1796
2240.000000 129.336 24.5255
2270.000000 129.386 24.0749
2300.000000 129.432 23.5800
2330.000000 129.479 23.1469
2360.000000 129.528 22.6105
2400.000000 129.589 22.0157
2430.000000 129.634 21.5193
2470.000000 129.688 20.9407
2500.000000 129.722 20.4050
2540.000000 129.785 19.7796
2580.000000 129.830 19.0297
2620.000000 129.881 18.1793
2650.000000 129.926 17.4938
2690.000000 129.955 16.5347
2720.000000 129.966 15.7764
2760.000000 129.953 14.7478
2800.000000 129.913 13.7823
2850.000000 129.840 12.8244
2900.000000 129.752 12.0704
2950.000000 129.675 11.5921
3000.000000 129.613 11.3358
3040.000000 129.555 11.0151
3070.000000 129.533 10.9851
3110.000000 129.500 10.8361
3150.000000 129.477 10.7655
3200.000000 129.478 10.7620
3250.000000 129.489 10.7437
3300.000000 129.501 10.6770
3350.000000 129.535 10.6266
3400.000000 129.573 10.4405
3450.000000 129.635 10.2908
3500.000000 129.703 10.0109
3550.000000 129.773 9.6308
3600.000000 129.838 9.1578
3650.000000 129.897 8.6038
3700.000000 129.957 7.9087
3750.000000 130.003 7.1173
3820.000000 130.046 6.0031
3870.000000 130.055 5.1858
3950.000000 130.043 4.0138
4000.000000 129.996 3.4165
4060.000000 129.985 3.2406
4120.000000 130.220 3.8544
4180.000000 130.380 1.4846
4250.000000 130.347 -0.7658
4310.000000 130.303 -2.2241
4370.000000 130.257 -3.6299
4440.000000 130.184 -5.4269
4500.000000 130.090 -6.9550
4550.000000 129.992 -8.1806
4620.000000 129.828 -9.8301
4680.000000 129.635 -11.0912
4750.000000 129.385 -12.4324
4820.000000 129.128 -13.4686
4870.000000 128.929 -14.0144
4940.000000 128.639 -14.5502
5000.000000 128.358 -14.8373
5080.000000 128.041 -14.6619
5150.000000 127.764 -14.3314
5220.000000 127.484 -13.8238
5300.000000 127.204 -12.8138
5380.000000 126.922 -11.6861
5450.000000 126.715 -10.3424
5520.000000 126.566 -9.0538
5600.000000 126.412 -7.4223
5700.000000 126.275 -5.1818
5800.000000 126.192 -3.0797
5900.000000 126.175 -1.0104
