* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 5, 2025 5:10:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R BLACK REMASTERED 793
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.580 -161.0354
20.600000 90.572 -161.8502
20.900000 90.556 -162.5668
21.200001 90.542 -163.2587
21.400000 90.535 -163.7141
21.799999 90.526 -164.6227
22.000000 90.523 -165.0788
22.400000 90.517 -165.9898
22.700001 90.509 -166.6573
23.000000 90.497 -167.2955
23.299999 90.483 -167.8988
23.600000 90.469 -168.4725
24.000000 90.452 -169.2105
24.299999 90.441 -169.7620
24.700001 90.425 -170.5061
25.000000 90.411 -171.0646
25.400000 90.389 -171.7898
25.799999 90.363 -172.4739
26.200001 90.338 -173.1207
26.500000 90.321 -173.5964
26.900000 90.298 -174.2371
27.200001 90.280 -174.7261
27.600000 90.252 -175.3784
28.000000 90.223 -176.0085
28.500000 90.186 -176.7486
29.000000 90.153 -177.4582
29.500000 90.120 -178.1674
30.000000 90.080 -178.8680
30.400000 90.044 -179.3956
30.700001 90.017 -179.7624
31.100000 89.984 179.7799
31.500000 89.959 179.3340
32.000000 89.933 178.7498
32.500000 89.902 178.1268
33.000000 89.859 177.5229
33.500000 89.805 177.0069
34.000000 89.758 176.5716
34.500000 89.723 176.1190
35.000000 89.695 175.5738
35.500000 89.656 174.9779
36.000000 89.607 174.4444
36.500000 89.558 174.0205
37.000000 89.517 173.6476
37.500000 89.481 173.2529
38.200001 89.426 172.6463
38.700001 89.384 172.2002
39.500000 89.314 171.5125
40.000000 89.271 171.1395
40.599998 89.223 170.7325
41.200001 89.173 170.3025
41.799999 89.112 169.8932
42.500000 89.051 169.5013
43.099998 89.015 169.0953
43.700001 88.967 168.6176
44.400002 88.900 168.2015
45.000000 88.860 167.8943
45.500000 88.829 167.5422
46.200001 88.762 167.1073
46.799999 88.715 166.9043
47.500000 88.667 166.5251
48.200001 88.575 166.1591
48.700001 88.525 166.0485
49.400002 88.511 165.5908
50.000000 88.459 164.9978
50.799999 88.374 165.1663
51.500000 88.399 165.3076
52.200001 88.287 164.7894
53.000000 88.089 165.3986
53.799999 88.213 165.1301
54.500000 88.163 163.2731
55.200001 87.979 163.2975
56.000000 88.097 163.5262
57.000000 87.824 161.9653
58.000000 87.849 163.8484
59.000000 87.868 160.5580
60.000000 87.493 163.1615
60.799999 87.959 162.2986
61.500000 87.614 159.1252
62.200001 87.153 161.8310
63.000000 87.707 163.1504
64.000000 87.349 158.5251
65.000000 87.187 163.1491
66.000000 87.631 159.2787
67.000000 86.840 159.7806
68.000000 87.323 161.9313
69.000000 87.125 158.5546
70.000000 86.864 160.6022
71.000000 87.056 160.0237
72.000000 86.881 159.2581
73.000000 86.809 159.4834
74.000000 86.757 159.5030
75.000000 86.756 159.4135
76.199997 86.652 158.7882
77.500000 86.531 159.2812
78.800003 86.556 159.1559
80.000000 86.438 158.3919
81.199997 86.288 158.8726
82.500000 86.336 159.0026
83.800003 86.252 158.3196
85.000000 86.130 158.4587
86.199997 86.083 158.7421
87.500000 86.054 158.6593
88.500000 86.014 158.3808
90.000000 85.897 158.2136
91.199997 85.831 158.3718
92.500000 85.778 158.5753
93.800003 85.767 158.4647
95.000000 85.694 158.2870
96.199997 85.623 158.2605
97.500000 85.541 158.3646
98.800003 85.505 158.3826
100.000000 85.444 158.4089
101.500000 85.387 158.5044
103.000000 85.358 158.5075
104.400002 85.291 158.4200
106.000000 85.213 158.3679
107.500000 85.136 158.3961
109.000000 85.073 158.5754
110.599998 85.014 158.7899
112.000000 84.963 158.8809
113.800003 84.931 158.9605
115.000000 84.896 158.9553
117.199997 84.809 159.0800
118.000000 84.790 159.0010
120.599998 84.718 159.1137
122.000000 84.638 159.2062
124.099998 84.560 159.3401
125.000000 84.538 159.4269
126.500000 84.490 159.4662
128.000000 84.450 159.5075
131.500000 84.323 159.7884
132.000000 84.313 159.8389
134.000000 84.260 160.0465
136.000000 84.206 160.2604
138.000000 84.160 160.3793
140.000000 84.105 160.6217
143.000000 84.028 160.7875
145.000000 83.978 160.8511
147.500000 83.929 161.1025
150.000000 83.852 161.2788
152.500000 83.798 161.4293
155.000000 83.759 161.6254
157.500000 83.698 161.9746
160.000000 83.640 162.0679
162.500000 83.603 162.3463
165.000000 83.541 162.5898
167.500000 83.500 162.7097
170.000000 83.442 163.0500
172.500000 83.409 163.0925
175.000000 83.353 163.5193
177.500000 83.312 163.4503
180.000000 83.276 163.9084
182.500000 83.257 163.9685
185.000000 83.164 164.2492
187.500000 83.157 164.5695
190.000000 83.094 164.6184
192.500000 83.087 165.1565
195.000000 83.042 165.1017
197.500000 83.005 165.3402
200.000000 82.967 165.6206
203.000000 82.950 165.7957
206.000000 82.889 166.0663
209.000000 82.844 166.4021
212.000000 82.827 166.6413
214.000000 82.786 166.7969
218.000000 82.749 167.1385
220.000000 82.726 167.3263
224.000000 82.683 167.6603
227.000000 82.653 167.8601
230.000000 82.629 168.1707
233.000000 82.590 168.4431
236.000000 82.565 168.5897
240.000000 82.524 168.9821
243.000000 82.496 169.2273
247.000000 82.460 169.5387
250.000000 82.438 169.7966
254.000000 82.406 170.1092
258.000000 82.372 170.4705
262.000000 82.334 170.7716
265.000000 82.310 170.9944
269.000000 82.280 171.3642
272.000000 82.248 171.6074
276.000000 82.242 172.0108
280.000000 82.206 172.2057
285.000000 82.173 172.6507
290.000000 82.135 172.9715
295.000000 82.103 173.3905
300.000000 82.078 173.7487
304.000000 82.052 174.2059
307.000000 82.033 174.4153
311.000000 82.012 174.6712
315.000000 81.990 174.9673
320.000000 81.960 175.4155
325.000000 81.930 175.8648
330.000000 81.891 176.2833
335.000000 81.864 176.6277
340.000000 81.851 177.1949
345.000000 81.827 177.6350
350.000000 81.814 178.2564
355.000000 81.828 178.6926
360.000000 81.829 179.2232
365.000000 81.861 179.6533
370.000000 81.887 -179.9811
375.000000 81.905 -179.7876
382.000000 81.904 -179.5275
387.000000 81.909 -179.4020
395.000000 81.877 -179.1331
400.000000 81.879 -178.7521
406.000000 81.850 -178.4190
412.000000 81.830 -178.1276
418.000000 81.870 -177.7131
425.000000 81.796 -177.2187
431.000000 81.822 -177.1656
437.000000 81.771 -176.6560
444.000000 81.780 -176.2290
450.000000 81.753 -175.8588
455.000000 81.757 -175.5607
462.000000 81.743 -175.1844
468.000000 81.737 -174.8067
475.000000 81.729 -174.3028
482.000000 81.733 -173.9643
487.000000 81.720 -173.6680
494.000000 81.715 -173.2417
500.000000 81.728 -172.8442
508.000000 81.714 -172.4141
515.000000 81.696 -171.8911
522.000000 81.692 -171.5270
530.000000 81.716 -170.9684
538.000000 81.721 -170.5213
545.000000 81.703 -170.1957
552.000000 81.709 -169.6996
560.000000 81.717 -169.3085
570.000000 81.727 -168.6228
580.000000 81.716 -168.0455
590.000000 81.730 -167.4539
600.000000 81.735 -166.9249
608.000000 81.734 -166.3878
615.000000 81.770 -165.9734
622.000000 81.765 -165.5564
630.000000 81.753 -165.0584
640.000000 81.779 -164.5311
650.000000 81.803 -163.8429
660.000000 81.805 -163.2806
670.000000 81.829 -162.8253
680.000000 81.863 -162.1308
690.000000 81.884 -161.5065
700.000000 81.921 -160.9493
710.000000 81.926 -160.4137
720.000000 81.950 -159.7383
730.000000 81.971 -159.2550
740.000000 82.025 -158.5696
750.000000 82.059 -157.8369
762.000000 82.086 -157.2361
775.000000 82.161 -156.5038
788.000000 82.191 -155.7643
800.000000 82.256 -154.9292
812.000000 82.313 -154.3530
825.000000 82.386 -153.5862
838.000000 82.438 -152.7771
850.000000 82.507 -152.1420
862.000000 82.580 -151.5141
875.000000 82.671 -150.7496
885.000000 82.721 -150.3015
900.000000 82.830 -149.6341
912.000000 82.909 -148.9631
925.000000 82.993 -148.4054
938.000000 83.092 -147.6681
950.000000 83.186 -147.2574
962.000000 83.276 -146.6546
975.000000 83.382 -146.2000
988.000000 83.496 -145.6714
1000.000000 83.594 -145.0361
1015.000000 83.703 -144.8145
1030.000000 83.832 -144.3323
1044.000000 83.960 -143.9565
1060.000000 84.083 -143.5721
1075.000000 84.204 -143.1203
1090.000000 84.330 -142.8285
1106.000000 84.467 -142.5549
1120.000000 84.578 -142.2870
1138.000000 84.717 -142.0216
1150.000000 84.820 -141.8417
1172.000000 84.989 -141.5887
1180.000000 85.065 -141.5031
1206.000000 85.261 -141.2860
1220.000000 85.358 -141.3465
1241.000000 85.523 -141.1819
1250.000000 85.588 -141.1457
1265.000000 85.691 -141.2454
1280.000000 85.780 -141.4336
1315.000000 85.904 -140.9502
1320.000000 85.938 -140.7789
1340.000000 86.083 -140.4464
1360.000000 86.221 -140.3706
1380.000000 86.360 -140.2484
1400.000000 86.503 -140.0851
1430.000000 86.693 -139.9565
1450.000000 86.818 -139.8314
1475.000000 86.985 -139.8188
1500.000000 87.144 -139.7488
1525.000000 87.318 -139.5732
1550.000000 87.494 -139.5646
1575.000000 87.676 -139.5043
1600.000000 87.862 -139.5723
1625.000000 88.050 -139.7201
1650.000000 88.241 -139.8995
1675.000000 88.421 -140.1597
1700.000000 88.600 -140.4748
1725.000000 88.766 -140.8273
1750.000000 88.926 -141.3043
1775.000000 89.080 -141.7441
1800.000000 89.244 -142.0723
1825.000000 89.390 -142.4855
1850.000000 89.553 -142.8230
1875.000000 89.709 -143.3085
1900.000000 89.864 -143.7981
1925.000000 90.023 -144.2608
1950.000000 90.177 -144.7896
1975.000000 90.329 -145.3613
2000.000000 90.497 -145.7650
2030.000000 90.664 -146.7507
2060.000000 90.841 -147.5952
2090.000000 91.018 -148.3964
2120.000000 91.180 -149.3281
2140.000000 91.291 -150.0280
2180.000000 91.505 -151.3543
2200.000000 91.606 -152.1153
2240.000000 91.798 -153.5603
2270.000000 91.938 -154.7053
2300.000000 92.066 -155.8795
2330.000000 92.190 -157.1101
2360.000000 92.303 -158.3542
2400.000000 92.445 -160.0616
2430.000000 92.542 -161.3613
2470.000000 92.658 -163.0784
2500.000000 92.731 -164.3698
2540.000000 92.827 -166.1082
2580.000000 92.914 -167.9014
2620.000000 92.977 -169.5946
2650.000000 93.020 -170.8979
2690.000000 93.078 -172.6091
2720.000000 93.111 -173.9003
2760.000000 93.143 -175.5836
2800.000000 93.175 -177.2781
2850.000000 93.214 -179.3286
2900.000000 93.239 178.6759
2950.000000 93.255 176.6363
3000.000000 93.307 174.7472
3040.000000 93.279 172.9863
3070.000000 93.282 171.7781
3110.000000 93.286 170.1409
3150.000000 93.286 168.4976
3200.000000 93.288 166.3900
3250.000000 93.276 164.2563
3300.000000 93.259 162.0407
3350.000000 93.238 159.7261
3400.000000 93.201 157.3513
3450.000000 93.150 154.9136
3500.000000 93.072 152.4516
3550.000000 92.979 149.9577
3600.000000 92.865 147.3690
3650.000000 92.722 144.7778
3700.000000 92.551 142.1581
3750.000000 92.355 139.6483
3820.000000 92.029 136.0860
3870.000000 91.758 133.7405
3950.000000 91.279 130.1532
4000.000000 90.948 128.0679
4060.000000 90.523 125.8795
4120.000000 90.086 123.8724
4180.000000 89.614 122.0854
4250.000000 89.055 120.4639
4310.000000 88.573 119.4277
4370.000000 88.095 118.3943
4440.000000 87.534 117.6209
4500.000000 87.046 117.1716
4550.000000 86.663 117.0090
4620.000000 86.111 116.9574
4680.000000 85.657 117.1307
4750.000000 85.159 117.4207
4820.000000 84.636 117.9698
4870.000000 84.290 118.5604
4940.000000 83.816 119.2433
5000.000000 83.419 120.5927
5080.000000 82.921 121.5022
5150.000000 82.530 122.8914
5220.000000 82.121 124.1830
5300.000000 81.702 126.1103
5380.000000 81.285 128.0321
5450.000000 80.942 129.6709
5520.000000 80.574 131.7507
5600.000000 80.232 134.1152
5700.000000 80.002 137.4285
5800.000000 79.613 139.8727
5900.000000 79.260 142.6801
6000.000000 78.920 145.8873
6080.000000 78.804 148.5091
