* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 3:22:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R sedna xelastec 2 961
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.105 33.6006
20.600000 133.096 32.7570
20.900000 133.080 31.9652
21.200001 133.062 31.1526
21.400000 133.049 30.6027
21.799999 133.026 29.4916
22.000000 133.017 28.9316
22.400000 133.006 27.7949
22.700001 133.003 26.9137
23.000000 133.002 26.0011
23.299999 132.998 25.0737
23.600000 132.993 24.1619
24.000000 132.984 23.0246
24.299999 132.981 22.2566
24.700001 132.988 21.3372
25.000000 132.998 20.6955
25.400000 133.011 19.8640
25.799999 133.005 19.0503
26.200001 132.972 18.2784
26.500000 132.932 17.7377
26.900000 132.869 17.0550
27.200001 132.823 16.5458
27.600000 132.779 15.8353
28.000000 132.762 15.0695
28.500000 132.784 14.0496
29.000000 132.839 13.0113
29.500000 132.890 12.0300
30.000000 132.905 11.1838
30.400000 132.883 10.5913
30.700001 132.850 10.1428
31.100000 132.784 9.4449
31.500000 132.693 8.6067
32.000000 132.549 7.5383
32.500000 132.416 6.8185
33.000000 132.370 6.5766
33.500000 132.438 6.4226
34.000000 132.542 5.8684
34.500000 132.575 4.9227
35.000000 132.502 3.9784
35.500000 132.383 3.3309
36.000000 132.299 2.8736
36.500000 132.281 2.3305
37.000000 132.307 1.5776
37.500000 132.336 0.6834
38.200001 132.316 -0.5492
38.700001 132.245 -1.1941
39.500000 132.135 -1.7030
40.000000 132.125 -2.1522
40.599998 132.117 -3.1973
41.200001 132.029 -4.2075
41.799999 131.927 -4.4324
42.500000 131.944 -4.2608
43.099998 132.012 -4.8604
43.700001 131.987 -5.9040
44.400002 131.882 -6.5817
45.000000 131.868 -6.7496
45.500000 131.915 -7.1868
46.200001 131.947 -8.4174
46.799999 131.886 -9.5165
47.500000 131.759 -10.3133
48.200001 131.647 -10.6273
48.700001 131.603 -10.7304
49.400002 131.603 -11.0607
50.000000 131.620 -11.7574
50.799999 131.564 -12.9824
51.500000 131.442 -13.6205
52.200001 131.353 -13.7213
53.000000 131.356 -13.9326
53.799999 131.397 -14.7190
54.500000 131.390 -15.6142
55.200001 131.322 -16.3178
56.000000 131.215 -16.6870
57.000000 131.126 -17.0185
58.000000 131.068 -17.4955
59.000000 131.036 -18.1457
60.000000 130.922 -19.0320
60.799999 130.842 -19.3153
61.500000 130.853 -19.7647
62.200001 130.838 -20.6025
63.000000 130.751 -21.2395
64.000000 130.689 -21.7879
65.000000 130.581 -22.5940
66.000000 130.510 -22.3726
67.000000 130.574 -22.5327
68.000000 130.502 -23.3455
69.000000 130.409 -23.7122
70.000000 130.378 -24.4996
71.000000 130.252 -25.2987
72.000000 130.153 -25.3861
73.000000 130.138 -25.8480
74.000000 130.061 -26.5368
75.000000 129.972 -26.5407
76.199997 129.957 -26.5785
77.500000 129.869 -27.4291
78.800003 129.738 -27.7161
80.000000 129.720 -28.0277
81.199997 129.614 -28.9034
82.500000 129.491 -29.1318
83.800003 129.478 -29.0858
85.000000 129.413 -29.5663
86.199997 129.272 -30.0928
87.500000 129.177 -30.2865
88.500000 129.157 -30.3426
90.000000 129.107 -31.0095
91.199997 128.971 -31.5392
92.500000 128.856 -32.1043
93.800003 128.844 -31.9120
95.000000 128.803 -31.8352
96.199997 128.685 -32.2562
97.500000 128.546 -32.9138
98.800003 128.468 -32.8888
100.000000 128.392 -32.6340
101.500000 128.390 -32.6583
103.000000 128.310 -32.7336
104.400002 128.225 -33.7183
106.000000 128.226 -33.7974
107.500000 128.000 -33.5804
109.000000 127.817 -34.5186
110.599998 127.770 -34.5538
112.000000 127.737 -34.2368
113.800003 127.641 -33.8122
115.000000 127.530 -34.0515
117.199997 127.528 -33.8957
118.000000 127.519 -33.5890
120.599998 127.382 -33.8403
122.000000 127.255 -33.5310
124.099998 127.121 -33.8703
125.000000 127.182 -33.6760
126.500000 126.963 -34.0595
128.000000 127.027 -34.7301
131.500000 126.743 -33.9309
132.000000 126.818 -33.2771
134.000000 126.623 -33.5893
136.000000 126.653 -34.2868
138.000000 126.711 -32.9290
140.000000 126.517 -32.1858
143.000000 126.485 -31.9945
145.000000 126.314 -32.7730
147.500000 126.381 -33.1912
150.000000 126.350 -32.8997
152.500000 126.256 -32.6419
155.000000 126.098 -33.3294
157.500000 126.119 -33.4658
160.000000 126.040 -33.2771
162.500000 125.882 -33.2407
165.000000 125.842 -33.3077
167.500000 125.771 -33.2628
170.000000 125.675 -33.1513
172.500000 125.552 -32.7147
175.000000 125.476 -33.1096
177.500000 125.436 -32.4570
180.000000 125.323 -32.7200
182.500000 125.260 -32.1345
185.000000 125.184 -32.5187
187.500000 125.119 -31.8886
190.000000 125.093 -32.0528
192.500000 124.964 -31.7230
195.000000 124.948 -31.3948
197.500000 124.856 -31.7181
200.000000 124.741 -31.0351
203.000000 124.738 -30.5978
206.000000 124.576 -30.5413
209.000000 124.518 -29.6956
212.000000 124.495 -29.4959
214.000000 124.429 -29.6479
218.000000 124.312 -29.1066
220.000000 124.316 -28.7492
224.000000 124.281 -28.6048
227.000000 124.202 -28.7564
230.000000 124.115 -28.3912
233.000000 124.051 -27.7902
236.000000 124.012 -27.2030
240.000000 123.939 -26.8153
243.000000 123.875 -26.4373
247.000000 123.809 -25.9741
250.000000 123.785 -25.7147
254.000000 123.729 -25.5500
258.000000 123.660 -25.2696
262.000000 123.618 -24.7916
265.000000 123.597 -24.6057
269.000000 123.536 -24.3423
272.000000 123.513 -23.9469
276.000000 123.474 -23.4342
280.000000 123.381 -22.8823
285.000000 123.305 -22.3755
290.000000 123.222 -21.6161
295.000000 123.159 -21.4165
300.000000 123.120 -20.3868
304.000000 123.037 -20.1530
307.000000 123.028 -19.7573
311.000000 122.979 -19.4520
315.000000 123.016 -18.8010
320.000000 122.957 -18.5173
325.000000 122.918 -17.8644
330.000000 122.945 -17.1397
335.000000 122.939 -16.6644
340.000000 122.937 -16.2771
345.000000 122.917 -15.7814
350.000000 122.901 -15.4583
355.000000 122.879 -15.1716
360.000000 122.826 -14.7363
365.000000 122.811 -14.3851
370.000000 122.774 -14.0881
375.000000 122.756 -14.1001
382.000000 122.749 -13.5180
387.000000 122.734 -13.3102
395.000000 122.682 -12.7926
400.000000 122.659 -12.3738
406.000000 122.611 -11.8909
412.000000 122.548 -11.3731
418.000000 122.513 -10.9995
425.000000 122.489 -10.4252
431.000000 122.470 -9.9929
437.000000 122.432 -9.6562
444.000000 122.407 -9.1147
450.000000 122.390 -8.6791
455.000000 122.378 -8.3463
462.000000 122.338 -7.8883
468.000000 122.315 -7.3570
475.000000 122.290 -6.8099
482.000000 122.271 -6.3839
487.000000 122.246 -5.9907
494.000000 122.214 -5.3908
500.000000 122.189 -4.9918
508.000000 122.186 -4.3767
515.000000 122.172 -3.6973
522.000000 122.159 -3.2943
530.000000 122.159 -2.6176
538.000000 122.204 -1.9655
545.000000 122.232 -1.6296
552.000000 122.223 -1.4368
560.000000 122.208 -1.2042
570.000000 122.136 -0.5843
580.000000 122.070 0.1708
590.000000 122.044 1.0761
600.000000 122.051 1.9366
608.000000 122.033 2.4985
615.000000 122.046 2.9569
622.000000 122.065 3.4732
630.000000 122.073 3.9326
640.000000 122.061 4.7031
650.000000 122.066 5.3251
660.000000 122.091 5.8583
670.000000 122.091 6.4343
680.000000 122.080 7.1245
690.000000 122.109 7.7953
700.000000 122.119 8.3686
710.000000 122.108 9.0891
720.000000 122.124 9.6989
730.000000 122.139 10.4219
740.000000 122.133 11.2024
750.000000 122.178 11.6854
762.000000 122.215 12.4407
775.000000 122.243 13.2051
788.000000 122.287 14.1043
800.000000 122.351 14.9355
812.000000 122.367 15.5537
825.000000 122.413 16.4374
838.000000 122.452 17.2329
850.000000 122.483 18.0390
862.000000 122.540 18.5280
875.000000 122.590 19.3831
885.000000 122.636 20.0388
900.000000 122.723 20.8496
912.000000 122.788 21.4477
925.000000 122.868 22.0602
938.000000 122.964 22.7043
950.000000 123.027 23.3576
962.000000 123.097 23.9715
975.000000 123.192 24.4314
988.000000 123.258 24.9843
1000.000000 123.339 25.6750
1015.000000 123.445 26.1231
1030.000000 123.545 26.5958
1044.000000 123.664 27.0279
1060.000000 123.800 27.5141
1075.000000 123.906 27.8373
1090.000000 124.021 28.2393
1106.000000 124.138 28.6142
1120.000000 124.205 28.8850
1138.000000 124.329 29.2985
1150.000000 124.400 29.4795
1172.000000 124.531 29.7179
1180.000000 124.594 29.8799
1206.000000 124.762 30.0705
1220.000000 124.864 30.2170
1241.000000 124.988 30.4045
1250.000000 125.035 30.4503
1265.000000 125.127 30.6035
1280.000000 125.196 30.5762
1315.000000 125.351 30.9654
1320.000000 125.383 30.9567
1340.000000 125.467 30.9411
1360.000000 125.558 31.0586
1380.000000 125.634 31.3144
1400.000000 125.713 31.2357
1430.000000 125.843 31.4004
1450.000000 125.919 31.4425
1475.000000 126.002 31.5175
1500.000000 126.102 31.6973
1525.000000 126.200 31.7315
1550.000000 126.313 31.6909
1575.000000 126.433 31.9005
1600.000000 126.541 31.7020
1625.000000 126.621 31.8533
1650.000000 126.707 32.0197
1675.000000 126.782 31.8201
1700.000000 126.876 31.8050
1725.000000 126.950 31.8915
1750.000000 127.038 31.9075
1775.000000 127.149 31.7111
1800.000000 127.258 31.6624
1825.000000 127.350 31.5489
1850.000000 127.444 31.4968
1875.000000 127.541 31.3697
1900.000000 127.631 31.1144
1925.000000 127.705 30.9803
1950.000000 127.769 30.8660
1975.000000 127.866 30.6348
2000.000000 127.951 30.3567
2030.000000 128.035 30.2865
2060.000000 128.145 29.9356
2090.000000 128.248 29.5672
2120.000000 128.334 29.4244
2140.000000 128.378 29.1969
2180.000000 128.499 28.7046
2200.000000 128.541 28.5046
2240.000000 128.655 28.1739
2270.000000 128.743 27.5414
2300.000000 128.813 27.2832
2330.000000 128.855 27.1025
2360.000000 128.933 26.4903
2400.000000 129.051 25.7124
2430.000000 129.122 25.2716
2470.000000 129.215 24.4303
2500.000000 129.278 23.8408
2540.000000 129.344 23.1462
2580.000000 129.402 22.1675
2620.000000 129.437 21.3292
2650.000000 129.425 20.7671
2690.000000 129.412 19.8647
2720.000000 129.451 18.9752
2760.000000 129.501 17.7721
2800.000000 129.513 16.6450
2850.000000 129.480 15.4501
2900.000000 129.414 14.3954
2950.000000 129.318 13.6862
3000.000000 129.223 13.2571
3040.000000 129.190 13.0247
3070.000000 129.148 12.9806
3110.000000 129.118 13.0330
3150.000000 129.140 12.9006
3200.000000 129.143 12.9124
3250.000000 129.152 12.9983
3300.000000 129.173 12.9744
3350.000000 129.197 13.0141
3400.000000 129.239 12.9284
3450.000000 129.275 12.9106
3500.000000 129.300 12.8223
3550.000000 129.363 12.5411
3600.000000 129.412 12.3996
3650.000000 129.529 11.8988
3700.000000 129.628 11.3301
3750.000000 129.676 11.0608
3820.000000 129.801 10.0808
3870.000000 129.883 9.3248
3950.000000 129.945 8.3427
4000.000000 130.000 7.4849
4060.000000 130.096 6.5581
4120.000000 130.098 5.6910
4180.000000 130.122 5.0061
4250.000000 130.259 3.2522
4310.000000 130.253 1.5900
4370.000000 130.244 0.0513
4440.000000 130.244 -1.8815
4500.000000 130.199 -3.5711
4550.000000 130.106 -4.7879
4620.000000 129.956 -6.4920
4680.000000 129.824 -7.9143
4750.000000 129.571 -9.1584
4820.000000 129.284 -10.1280
4870.000000 129.105 -10.8164
4940.000000 128.828 -11.3938
5000.000000 128.506 -11.3730
5080.000000 128.163 -11.5460
5150.000000 127.887 -10.9452
5220.000000 127.501 -9.9061
5300.000000 127.588 -9.9533
5380.000000 127.556 -8.7432
5450.000000 127.402 -7.0505
5520.000000 127.346 -7.1688
5600.000000 127.234 -5.1519
5700.000000 127.112 -3.4250
5800.000000 127.229 -2.0856
5900.000000 127.272 -0.6135
