* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\XENNS Tea SF CP155 R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\XENNS Tea SF CP155 R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: XENNS Tea SF CP155 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	87.198	-65.7885
1.015000	87.095	-66.6358
1.030000	86.991	-67.4688
1.044000	86.891	-68.2325
1.060000	86.775	-69.0880
1.075000	86.664	-69.8724
1.090000	86.551	-70.6386
1.106000	86.428	-71.4383
1.120000	86.318	-72.1410
1.138000	86.172	-73.0508
1.150000	86.072	-73.6594
1.172000	85.885	-74.7743
1.180000	85.816	-75.1782
1.206000	85.586	-76.4791
1.220000	85.459	-77.1687
1.241000	85.266	-78.1833
1.250000	85.183	-78.6093
1.265000	85.042	-79.3056
1.280000	84.900	-79.9825
1.315000	84.565	-81.4721
1.320000	84.516	-81.6732
1.340000	84.322	-82.4449
1.360000	84.127	-83.1596
1.380000	83.932	-83.8110
1.400000	83.736	-84.3933
1.430000	83.444	-85.1237
1.450000	83.250	-85.5066
1.475000	83.008	-85.8604
1.500000	82.749	-86.0962
1.525000	82.474	-86.2242
1.550000	82.187	-86.2493
1.575000	81.892	-86.1766
1.600000	81.593	-86.0109
1.625000	81.296	-85.7572
1.650000	81.004	-85.4205
1.675000	80.722	-85.0058
1.700000	80.454	-84.5179
1.725000	80.204	-83.9619
1.750000	79.977	-83.3427
1.775000	79.777	-82.6653
1.800000	79.609	-81.9346
1.825000	79.477	-81.1555
1.850000	79.381	-80.2808
1.875000	79.312	-79.2058
1.900000	79.269	-77.9586
1.925000	79.250	-76.5733
1.950000	79.252	-75.0835
1.975000	79.275	-73.5230
2.000000	79.316	-71.9259
2.030000	79.388	-70.0083
2.060000	79.480	-68.1451
2.090000	79.592	-66.3945
2.120000	79.718	-64.8150
2.140000	79.809	-63.8860
2.180000	80.005	-62.4033
2.200000	80.108	-61.8836
2.240000	80.353	-61.1649
2.270000	80.574	-60.8417
2.300000	80.821	-60.6864
2.330000	81.089	-60.6833
2.360000	81.371	-60.8170
2.400000	81.761	-61.1813
2.430000	82.057	-61.5738
2.470000	82.443	-62.2268
2.500000	82.721	-62.7936
2.540000	83.064	-63.6227
2.580000	83.367	-64.5214
2.620000	83.655	-65.6230
2.650000	83.864	-66.5852
2.690000	84.134	-68.0186
2.720000	84.330	-69.1852
2.760000	84.581	-70.8318
2.800000	84.821	-72.5473
2.850000	85.103	-74.7295
2.900000	85.365	-76.8833
2.950000	85.605	-78.9554
3.000000	85.823	-81.0840
3.040000	85.982	-82.8380
3.070000	86.093	-84.1726
3.110000	86.230	-85.9642
3.150000	86.356	-87.7545
3.200000	86.500	-89.9655
3.250000	86.630	-92.1164
3.300000	86.748	-94.1753
3.350000	86.850	-96.1849
3.400000	86.933	-98.1771
3.450000	87.001	-100.1330
3.500000	87.055	-102.0335
3.550000	87.099	-103.8597
3.600000	87.134	-105.5925
3.650000	87.163	-107.2131
3.700000	87.183	-108.7210
3.750000	87.189	-110.1483
3.820000	87.178	-112.0020
3.870000	87.162	-113.2142
3.950000	87.134	-114.9420
4.000000	87.120	-115.8796
4.060000	87.111	-116.8444
4.120000	87.096	-117.6133
4.180000	87.078	-118.2139
4.250000	87.063	-118.7464
4.310000	87.062	-119.0972
4.370000	87.080	-119.3856
4.440000	87.129	-119.6376
4.500000	87.188	-119.6963
4.550000	87.249	-119.6675
4.620000	87.349	-119.5735
4.680000	87.449	-119.5032
4.750000	87.581	-119.5113
4.820000	87.732	-119.6218
4.870000	87.857	-119.7102
4.940000	88.046	-119.8668
5.000000	88.216	-120.0506
5.080000	88.440	-120.3992
5.150000	88.626	-120.8309
5.220000	88.814	-121.3892
5.300000	89.030	-122.1499
5.380000	89.239	-123.0011
5.450000	89.409	-123.7872
5.520000	89.560	-124.5908
5.600000	89.716	-125.5934
5.700000	89.890	-126.9299
5.800000	90.039	-128.2588
5.900000	90.161	-129.4903
6.000000	90.251	-130.6901
6.080000	90.306	-131.6103
6.150000	90.346	-132.3591
6.220000	90.381	-133.0331
6.300000	90.414	-133.7060
6.400000	90.437	-134.4307
6.500000	90.455	-135.0383
6.600000	90.480	-135.5411
6.700000	90.509	-135.9052
6.800000	90.541	-136.1510
6.900000	90.581	-136.3504
7.000000	90.634	-136.5608
7.100000	90.702	-136.7292
7.200000	90.778	-136.8889
7.300000	90.859	-137.0999
7.400000	90.942	-137.3963
7.500000	91.033	-137.7463
7.620000	91.141	-138.2378
7.750000	91.243	-138.8684
7.880000	91.337	-139.6181
8.000000	91.411	-140.3591
8.120000	91.468	-141.1010
8.250000	91.511	-141.9396
8.380000	91.541	-142.7588
8.500000	91.559	-143.4514
8.620000	91.564	-144.1031
8.750000	91.564	-144.7562
8.850000	91.566	-145.2112
9.000000	91.565	-145.8139
9.120000	91.567	-146.2641
9.250000	91.577	-146.7396
9.380000	91.592	-147.1891
9.500000	91.610	-147.6189
9.620000	91.633	-148.0834
9.750000	91.664	-148.6100
9.880000	91.686	-149.1698
10.000000	91.693	-149.7256
10.150000	91.690	-150.4613
10.300000	91.677	-151.2116
10.440000	91.654	-151.9313
10.600000	91.622	-152.7512
10.750000	91.590	-153.4949
10.900000	91.557	-154.2221
11.060000	91.523	-154.9704
11.200000	91.495	-155.6005
11.380000	91.464	-156.3960
11.500000	91.445	-156.9191
11.720000	91.416	-157.8701
11.800000	91.406	-158.2183
12.060000	91.378	-159.3479
12.200000	91.360	-159.9485
12.410000	91.336	-160.8337
12.500000	91.331	-161.1980
12.650000	91.331	-161.7883
12.800000	91.335	-162.3535
13.150000	91.352	-163.5622
13.200000	91.355	-163.7269
13.400000	91.371	-164.3622
13.600000	91.389	-164.9840
13.800000	91.408	-165.6013
14.000000	91.425	-166.2152
14.300000	91.444	-167.1244
14.500000	91.450	-167.7055
14.750000	91.452	-168.3838
15.000000	91.448	-169.0019
15.250000	91.443	-169.5634
15.500000	91.439	-170.0959
15.750000	91.436	-170.6164
16.000000	91.434	-171.1513
16.250000	91.432	-171.7012
16.500000	91.426	-172.2609
16.750000	91.414	-172.8171
17.000000	91.396	-173.3570
17.250000	91.375	-173.8809
17.500000	91.353	-174.3915
17.750000	91.332	-174.9046
18.000000	91.310	-175.4261
18.250000	91.288	-175.9625
18.500000	91.265	-176.5091
18.750000	91.241	-177.0603
19.000000	91.217	-177.6110
19.250000	91.194	-178.1588
19.500000	91.174	-178.7076
19.750000	91.155	-179.2598
20.000000	91.137	-179.8176
20.299999	91.118	179.5161
20.600000	91.099	178.8673
20.900000	91.082	178.2517
21.200001	91.067	177.6757
21.400000	91.062	177.3063
21.799999	91.056	176.5792
22.000000	91.055	176.2117
22.400000	91.051	175.4619
22.700001	91.042	174.9063
23.000000	91.026	174.3859
23.299999	91.005	173.9215
23.600000	90.983	173.5156
24.000000	90.956	173.0474
24.299999	90.939	172.7240
24.700001	90.919	172.2996
25.000000	90.904	171.9764
25.400000	90.882	171.5402
25.799999	90.858	171.1047
26.200001	90.833	170.6705
26.500000	90.817	170.3406
26.900000	90.796	169.8831
27.200001	90.783	169.5163
27.600000	90.766	168.9845
28.000000	90.748	168.4023
28.500000	90.720	167.6285
29.000000	90.684	166.8533
29.500000	90.644	166.1099
30.000000	90.601	165.4070
30.400000	90.566	164.8794
30.700001	90.539	164.5103
31.100000	90.505	164.0574
31.500000	90.475	163.6399
32.000000	90.442	163.1330
32.500000	90.410	162.6118
33.000000	90.375	162.0815
33.500000	90.333	161.5683
34.000000	90.289	161.0825
34.500000	90.245	160.6122
35.000000	90.202	160.1443
35.500000	90.158	159.6744
36.000000	90.114	159.2047
36.500000	90.071	158.7404
37.000000	90.028	158.2853
37.500000	89.988	157.8343
38.200001	89.933	157.2007
38.700001	89.893	156.7608
39.500000	89.829	156.1137
40.000000	89.793	155.7233
40.599998	89.752	155.2409
41.200001	89.706	154.7594
41.799999	89.657	154.3018
42.500000	89.600	153.7857
43.099998	89.551	153.3473
43.700001	89.501	152.9235
44.400002	89.444	152.4454
45.000000	89.398	152.0337
45.500000	89.360	151.6891
46.200001	89.306	151.2188
46.799999	89.260	150.8357
47.500000	89.207	150.4063
48.200001	89.155	149.9837
48.700001	89.118	149.6860
49.400002	89.066	149.2779
50.000000	89.021	148.9308
50.799999	88.960	148.4702
51.500000	88.907	148.0792
52.200001	88.855	147.6890
53.000000	88.794	147.2435
53.799999	88.732	146.8384
54.500000	88.682	146.5092
55.200001	88.636	146.1679
56.000000	88.578	145.7714
57.000000	88.503	145.3182
58.000000	88.433	144.8931
59.000000	88.366	144.4506
60.000000	88.300	143.9945
60.799999	88.246	143.6305
61.500000	88.201	143.3250
62.200001	88.157	143.0288
63.000000	88.108	142.6859
64.000000	88.042	142.2715
65.000000	87.975	141.8971
66.000000	87.908	141.5179
67.000000	87.838	141.1396
68.000000	87.769	140.7794
69.000000	87.702	140.4196
70.000000	87.638	140.0598
71.000000	87.574	139.6863
72.000000	87.508	139.3418
73.000000	87.444	139.0232
74.000000	87.380	138.7086
75.000000	87.318	138.4105
76.199997	87.243	138.0608
77.500000	87.163	137.6795
78.800003	87.084	137.3241
80.000000	87.014	137.0042
81.199997	86.946	136.6870
82.500000	86.873	136.3448
83.800003	86.799	135.9927
85.000000	86.730	135.7087
86.199997	86.668	135.4337
87.500000	86.600	135.1133
88.500000	86.547	134.8804
90.000000	86.469	134.5560
91.199997	86.408	134.2650
92.500000	86.335	133.9669
93.800003	86.265	133.6992
95.000000	86.202	133.4680
96.199997	86.145	133.2439
97.500000	86.084	132.9813
98.800003	86.020	132.7307
100.000000	85.962	132.5298
101.500000	85.894	132.2968
103.000000	85.828	132.0562
104.400002	85.768	131.8235
106.000000	85.699	131.5507
107.500000	85.636	131.2712
109.000000	85.571	131.0399
110.599998	85.510	130.8395
112.000000	85.462	130.6385
113.800003	85.395	130.3288
115.000000	85.346	130.1263
117.199997	85.268	129.7996
118.000000	85.244	129.7015
120.599998	85.161	129.1507
122.000000	85.093	129.0532
124.099998	85.019	128.8482
125.000000	84.987	128.7263
126.500000	84.937	128.5156
128.000000	84.894	128.3107
131.500000	84.799	127.8715
132.000000	84.784	127.8121
134.000000	84.726	127.5833
136.000000	84.671	127.3289
138.000000	84.622	127.0732
140.000000	84.574	126.8205
143.000000	84.496	126.4460
145.000000	84.444	126.2285
147.500000	84.386	125.9479
150.000000	84.329	125.6674
152.500000	84.266	125.4003
155.000000	84.210	125.1138
157.500000	84.157	124.8248
160.000000	84.105	124.5888
162.500000	84.041	124.3332
165.000000	83.969	124.0715
167.500000	83.910	123.8265
170.000000	83.852	123.5878
172.500000	83.796	123.3897
175.000000	83.738	123.1672
177.500000	83.681	122.9317
180.000000	83.628	122.6645
182.500000	83.573	122.4467
185.000000	83.524	122.2485
187.500000	83.476	122.0298
190.000000	83.424	121.8071
192.500000	83.375	121.5889
195.000000	83.330	121.3720
197.500000	83.286	121.1709
200.000000	83.244	120.9928
203.000000	83.196	120.7497
206.000000	83.154	120.4778
209.000000	83.117	120.2402
212.000000	83.077	120.0081
214.000000	83.048	119.8624
218.000000	83.001	119.5485
220.000000	82.976	119.3910
224.000000	82.924	119.1062
227.000000	82.889	118.9043
230.000000	82.860	118.7190
233.000000	82.830	118.5181
236.000000	82.800	118.3090
240.000000	82.763	118.0398
243.000000	82.748	117.8723
247.000000	82.726	117.6052
250.000000	82.708	117.3867
254.000000	82.690	117.0839
258.000000	82.679	116.7921
262.000000	82.659	116.4821
265.000000	82.645	116.2435
269.000000	82.628	115.9239
272.000000	82.618	115.6918
276.000000	82.604	115.3564
280.000000	82.590	115.0190
285.000000	82.578	114.5889
290.000000	82.564	114.1750
295.000000	82.548	113.7763
300.000000	82.535	113.3923
304.000000	82.528	113.0858
307.000000	82.521	112.8368
311.000000	82.512	112.5139
315.000000	82.503	112.1929
320.000000	82.495	111.7989
325.000000	82.487	111.4202
330.000000	82.482	111.0359
335.000000	82.473	110.6619
340.000000	82.470	110.2932
345.000000	82.472	109.9030
350.000000	82.473	109.5255
355.000000	82.473	109.1530
360.000000	82.471	108.7936
365.000000	82.469	108.4323
370.000000	82.473	108.0482
375.000000	82.480	107.7132
382.000000	82.489	107.2146
387.000000	82.490	106.8275
395.000000	82.502	106.2555
400.000000	82.509	105.9115
406.000000	82.521	105.4634
412.000000	82.532	105.0636
418.000000	82.547	104.6602
425.000000	82.566	104.1681
431.000000	82.578	103.7553
437.000000	82.595	103.3599
444.000000	82.612	102.8824
450.000000	82.629	102.4964
455.000000	82.642	102.1573
462.000000	82.659	101.7092
468.000000	82.680	101.3277
475.000000	82.702	100.9269
482.000000	82.727	100.4940
487.000000	82.745	100.1417
494.000000	82.771	99.7126
500.000000	82.795	99.3596
508.000000	82.825	98.8900
515.000000	82.858	98.4786
522.000000	82.887	98.0765
530.000000	82.919	97.6208
538.000000	82.956	97.1771
545.000000	82.985	96.7993
552.000000	83.017	96.4293
560.000000	83.056	96.0037
570.000000	83.102	95.5255
580.000000	83.154	95.0175
590.000000	83.209	94.5727
600.000000	83.268	94.0866
608.000000	83.314	93.7183
615.000000	83.357	93.4295
622.000000	83.402	93.1259
630.000000	83.454	92.7546
640.000000	83.523	92.2775
650.000000	83.591	91.8007
660.000000	83.665	91.3482
670.000000	83.739	90.8701
680.000000	83.808	90.4014
690.000000	83.877	89.9369
700.000000	83.948	89.4767
710.000000	84.021	89.0224
720.000000	84.091	88.5620
730.000000	84.168	88.0941
740.000000	84.242	87.6465
750.000000	84.317	87.1875
762.000000	84.404	86.6419
775.000000	84.505	86.0388
788.000000	84.600	85.4394
800.000000	84.688	84.8973
812.000000	84.773	84.3522
825.000000	84.862	83.7540
838.000000	84.950	83.1328
850.000000	85.029	82.5701
862.000000	85.112	82.0122
