* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\XENNS UP SF W1 L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\XENNS UP SF W1 L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: XENNS UP SF W1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.904	150.3175
1.015000	60.852	150.0186
1.030000	60.800	149.7288
1.044000	60.751	149.4670
1.060000	60.695	149.1784
1.075000	60.643	148.9186
1.090000	60.592	148.6696
1.106000	60.537	148.4158
1.120000	60.487	148.2009
1.138000	60.423	147.9339
1.150000	60.379	147.7618
1.172000	60.297	147.4587
1.180000	60.266	147.3526
1.206000	60.167	147.0228
1.220000	60.113	146.8551
1.241000	60.032	146.6169
1.250000	59.998	146.5197
1.265000	59.940	146.3645
1.280000	59.882	146.2177
1.315000	59.749	145.9091
1.320000	59.730	145.8689
1.340000	59.656	145.7184
1.360000	59.583	145.5840
1.380000	59.512	145.4663
1.400000	59.443	145.3656
1.430000	59.345	145.2469
1.450000	59.284	145.1898
1.475000	59.211	145.1452
1.500000	59.139	145.1408
1.525000	59.067	145.1757
1.550000	58.997	145.2458
1.575000	58.928	145.3474
1.600000	58.861	145.4764
1.625000	58.797	145.6288
1.650000	58.737	145.8008
1.675000	58.681	145.9882
1.700000	58.629	146.1873
1.725000	58.583	146.3939
1.750000	58.542	146.6042
1.775000	58.508	146.8143
1.800000	58.482	147.0201
1.825000	58.462	147.2176
1.850000	58.451	147.4158
1.875000	58.446	147.6407
1.900000	58.448	147.8881
1.925000	58.456	148.1529
1.950000	58.469	148.4298
1.975000	58.489	148.7136
2.000000	58.513	148.9990
2.030000	58.549	149.3361
2.060000	58.591	149.6589
2.090000	58.640	149.9582
2.120000	58.694	150.2250
2.140000	58.734	150.3804
2.180000	58.819	150.6247
2.200000	58.864	150.7085
2.240000	58.967	150.8304
2.270000	59.054	150.8919
2.300000	59.150	150.9269
2.330000	59.252	150.9344
2.360000	59.360	150.9135
2.400000	59.510	150.8400
2.430000	59.626	150.7495
2.470000	59.784	150.5797
2.500000	59.903	150.4145
2.540000	60.060	150.1420
2.580000	60.213	149.8063
