* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 10, 2024 10:04:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L XUANWU GATE SANCAI w 378
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 118.835 -140.6177
20.600000 118.853 -141.2869
20.900000 118.882 -142.0107
21.200001 118.921 -142.9060
21.400000 118.949 -143.5978
21.799999 119.000 -145.1300
22.000000 119.020 -145.9125
22.400000 119.047 -147.3681
22.700001 119.061 -148.2838
23.000000 119.077 -149.0290
23.299999 119.098 -149.6576
23.600000 119.122 -150.2400
24.000000 119.146 -151.0450
24.299999 119.152 -151.7035
24.700001 119.140 -152.6242
25.000000 119.124 -153.2997
25.400000 119.110 -154.1414
25.799999 119.125 -154.9444
26.200001 119.166 -155.7829
26.500000 119.200 -156.4511
26.900000 119.227 -157.3376
27.200001 119.222 -157.9109
27.600000 119.185 -158.4383
28.000000 119.138 -158.6708
28.500000 119.115 -158.8058
29.000000 119.145 -159.2882
29.500000 119.186 -160.3870
30.000000 119.188 -161.8458
30.400000 119.158 -162.9256
30.700001 119.129 -163.5605
31.100000 119.102 -164.1683
31.500000 119.097 -164.6224
32.000000 119.106 -165.2035
32.500000 119.102 -165.8978
33.000000 119.072 -166.6174
33.500000 119.036 -167.2768
34.000000 119.014 -167.9045
34.500000 119.004 -168.5585
35.000000 118.990 -169.2140
35.500000 118.963 -169.7931
36.000000 118.930 -170.2733
36.500000 118.898 -170.7140
37.000000 118.870 -171.1917
37.500000 118.845 -171.7297
38.200001 118.809 -172.5230
38.700001 118.784 -173.0573
39.500000 118.742 -173.8022
40.000000 118.716 -174.2279
40.599998 118.682 -174.7441
41.200001 118.645 -175.2715
41.799999 118.607 -175.7865
42.500000 118.565 -176.3589
43.099998 118.527 -176.8204
43.700001 118.486 -177.2437
44.400002 118.443 -177.7157
45.000000 118.412 -178.1451
45.500000 118.385 -178.5150
46.200001 118.343 -178.9909
46.799999 118.304 -179.3267
47.500000 118.254 -179.6578
48.200001 118.202 -179.9678
48.700001 118.169 179.7940
49.400002 118.126 179.3917
50.000000 118.087 179.0001
50.799999 118.026 178.5776
51.500000 117.982 178.3609
52.200001 117.947 178.1039
53.000000 117.880 177.6919
53.799999 117.794 177.4315
54.500000 117.759 177.2710
55.200001 117.753 176.9478
56.000000 117.734 176.5232
57.000000 117.682 176.0992
58.000000 117.574 175.7871
59.000000 117.482 175.8314
60.000000 117.441 175.6949
60.799999 117.404 175.4783
61.500000 117.373 175.1985
62.200001 117.315 174.9076
63.000000 117.241 174.9851
64.000000 117.237 175.0955
65.000000 117.182 174.4235
66.000000 117.073 174.1935
67.000000 117.062 174.2837
68.000000 117.046 174.1374
69.000000 116.981 173.9447
70.000000 116.907 173.9077
71.000000 116.839 174.0457
72.000000 116.773 173.9604
73.000000 116.731 173.8213
74.000000 116.807 174.0202
75.000000 116.779 173.7643
76.199997 116.535 174.2106
77.500000 116.587 173.4720
78.800003 116.524 174.3452
80.000000 116.558 174.6085
81.199997 116.505 174.2825
82.500000 116.396 174.1722
83.800003 116.302 174.6948
85.000000 116.319 171.8781
86.199997 116.163 176.3627
87.500000 116.609 177.0424
88.500000 116.190 174.0373
90.000000 116.261 174.6724
91.199997 116.173 174.6978
92.500000 116.196 175.6206
93.800003 116.132 174.0634
95.000000 116.126 175.0089
96.199997 116.093 174.6746
97.500000 116.149 175.0548
98.800003 116.138 175.5568
100.000000 115.912 173.9384
101.500000 116.228 174.7305
103.000000 115.863 177.4914
104.400002 115.938 166.7360
106.000000 114.797 169.2818
107.500000 116.469 175.3629
109.000000 115.769 176.1105
110.599998 115.479 178.0847
112.000000 115.911 175.0239
113.800003 115.780 176.5305
115.000000 116.186 174.0077
117.199997 115.811 175.6154
118.000000 115.213 170.5260
120.599998 118.139 165.6743
122.000000 115.824 -178.1886
124.099998 115.538 174.9354
125.000000 115.947 176.6253
126.500000 115.423 176.2197
128.000000 115.849 175.7618
131.500000 115.921 176.8263
132.000000 115.820 175.8162
134.000000 115.641 174.9654
136.000000 115.770 177.0720
138.000000 115.710 176.4008
140.000000 115.754 175.9723
143.000000 115.812 176.6276
145.000000 115.716 177.0553
147.500000 115.731 177.0453
150.000000 115.712 176.9707
152.500000 115.712 176.8807
155.000000 115.759 177.1584
157.500000 115.723 177.1153
160.000000 115.724 177.0518
162.500000 115.777 177.3386
165.000000 115.708 177.1631
167.500000 115.753 177.4106
170.000000 115.700 177.2069
172.500000 115.745 177.2083
175.000000 115.707 177.2650
177.500000 115.799 177.2351
180.000000 115.731 177.5541
182.500000 115.800 177.3325
185.000000 115.713 177.6071
187.500000 115.746 177.1798
190.000000 115.746 177.3869
192.500000 115.708 176.7031
195.000000 115.731 177.7566
197.500000 115.763 177.1254
200.000000 115.775 177.6871
203.000000 115.731 177.3918
206.000000 115.748 177.5433
209.000000 115.730 176.9163
212.000000 115.711 177.5778
214.000000 115.711 177.3716
218.000000 115.789 176.9990
220.000000 115.771 177.4952
224.000000 115.650 177.3519
227.000000 115.676 178.0063
230.000000 115.709 177.8779
233.000000 115.742 177.9034
236.000000 115.736 177.8303
240.000000 115.599 177.5459
243.000000 115.668 177.9819
247.000000 115.744 178.1454
250.000000 115.774 178.1816
254.000000 115.826 177.9580
258.000000 115.851 177.5262
262.000000 115.873 177.2863
265.000000 115.868 177.1140
269.000000 115.777 176.9203
272.000000 115.800 176.3619
276.000000 115.802 176.5742
280.000000 115.781 176.3566
285.000000 115.775 176.5394
290.000000 115.796 176.6744
295.000000 115.761 176.4079
300.000000 115.734 176.2859
304.000000 115.686 176.0901
307.000000 115.722 175.9884
311.000000 115.666 176.0283
315.000000 115.651 176.1622
320.000000 115.642 176.1173
325.000000 115.616 175.8954
330.000000 115.588 175.6034
335.000000 115.547 175.9292
340.000000 115.522 175.8823
345.000000 115.521 175.9350
350.000000 115.487 175.8745
355.000000 115.501 175.7337
360.000000 115.480 175.8032
365.000000 115.498 175.6805
370.000000 115.441 175.8743
375.000000 115.398 175.7441
382.000000 115.402 175.9734
387.000000 115.405 175.8779
395.000000 115.334 175.8493
400.000000 115.334 175.8484
406.000000 115.344 176.0358
412.000000 115.299 175.9815
418.000000 115.267 175.8955
425.000000 115.239 175.9245
431.000000 115.211 176.1760
437.000000 115.170 176.2059
444.000000 115.186 176.1267
450.000000 115.147 176.3796
455.000000 115.138 176.2757
462.000000 115.106 176.3489
468.000000 115.059 176.4459
475.000000 115.071 176.5651
482.000000 115.020 176.6040
487.000000 115.015 176.6578
494.000000 114.999 176.6126
500.000000 114.936 176.8822
508.000000 114.957 176.9510
515.000000 114.933 176.9834
522.000000 114.898 177.1670
530.000000 114.875 177.3955
538.000000 114.814 177.4677
545.000000 114.821 177.5581
552.000000 114.786 177.6933
560.000000 114.763 177.8875
570.000000 114.736 178.2408
580.000000 114.705 178.3978
590.000000 114.658 178.5788
600.000000 114.624 178.8301
608.000000 114.603 178.9874
615.000000 114.610 179.1211
622.000000 114.583 179.3483
630.000000 114.580 179.7627
640.000000 114.540 179.8907
650.000000 114.528 179.9724
660.000000 114.515 -179.4894
670.000000 114.473 -179.3651
680.000000 114.483 -178.8472
690.000000 114.445 -178.6129
700.000000 114.432 -178.4633
710.000000 114.406 -178.0110
720.000000 114.442 -177.4893
730.000000 114.402 -177.2346
740.000000 114.399 -176.9013
750.000000 114.404 -176.5268
762.000000 114.366 -176.1221
775.000000 114.375 -175.5836
788.000000 114.385 -175.1820
800.000000 114.392 -174.7599
812.000000 114.403 -174.2424
825.000000 114.415 -173.7522
838.000000 114.418 -173.2795
850.000000 114.476 -172.8317
862.000000 114.486 -172.3803
875.000000 114.534 -172.0314
885.000000 114.536 -171.6511
900.000000 114.609 -171.0526
912.000000 114.623 -170.5947
925.000000 114.654 -170.4528
938.000000 114.730 -169.9092
950.000000 114.780 -169.6694
962.000000 114.834 -169.5247
975.000000 114.899 -169.0335
988.000000 114.969 -168.7401
1000.000000 115.096 -168.9252
1015.000000 115.104 -168.2100
1030.000000 115.162 -168.0239
1044.000000 115.261 -167.9223
1060.000000 115.321 -167.8183
1075.000000 115.366 -167.9396
1090.000000 115.445 -167.6552
1106.000000 115.495 -167.6226
1120.000000 115.608 -167.6832
1138.000000 115.654 -167.5903
1150.000000 115.738 -167.6874
1172.000000 115.807 -167.8398
1180.000000 115.828 -167.8684
1206.000000 115.909 -168.0071
1220.000000 115.950 -168.1890
1241.000000 116.016 -168.3025
1250.000000 116.035 -168.4944
1265.000000 116.019 -168.5671
1280.000000 116.080 -168.6106
1315.000000 116.177 -169.0675
1320.000000 116.164 -169.0974
1340.000000 116.188 -169.3657
1360.000000 116.233 -169.3927
1380.000000 116.259 -169.7863
1400.000000 116.245 -169.7311
1430.000000 116.306 -170.0077
1450.000000 116.313 -169.8798
1475.000000 116.329 -170.1780
1500.000000 116.343 -170.2061
1525.000000 116.355 -169.9945
1550.000000 116.396 -170.1736
1575.000000 116.383 -170.3529
1600.000000 116.390 -170.3673
1625.000000 116.426 -170.3619
1650.000000 116.462 -170.4601
1675.000000 116.470 -170.2421
1700.000000 116.486 -170.1138
1725.000000 116.533 -169.9137
1750.000000 116.544 -170.2309
1775.000000 116.580 -170.2641
1800.000000 116.611 -170.0891
1825.000000 116.643 -169.8692
1850.000000 116.700 -170.0473
1875.000000 116.686 -169.9597
1900.000000 116.776 -169.9978
1925.000000 116.813 -169.7951
1950.000000 116.848 -169.8866
1975.000000 116.879 -169.7159
2000.000000 116.849 -169.4588
2030.000000 116.988 -169.7238
2060.000000 117.081 -169.6696
2090.000000 117.132 -169.5448
2120.000000 117.175 -169.6900
2140.000000 117.256 -169.5549
2180.000000 117.330 -169.6138
2200.000000 117.396 -169.8074
2240.000000 117.493 -170.0322
2270.000000 117.613 -170.0417
2300.000000 117.657 -170.0557
2330.000000 117.745 -170.2490
2360.000000 117.835 -170.3861
2400.000000 117.978 -170.7204
2430.000000 118.060 -170.9434
2470.000000 118.193 -171.3679
2500.000000 118.253 -171.6969
2540.000000 118.388 -172.2171
2580.000000 118.515 -172.8665
2620.000000 118.686 -173.5377
2650.000000 118.739 -173.9169
2690.000000 118.880 -174.7808
2720.000000 118.943 -175.2772
2760.000000 119.045 -176.1112
2800.000000 119.175 -177.0476
2850.000000 119.317 -178.1761
2900.000000 119.454 -179.4763
2950.000000 119.514 179.0714
3000.000000 119.652 177.4948
3040.000000 119.724 176.6234
3070.000000 119.771 175.8567
3110.000000 119.793 174.5641
3150.000000 119.881 173.2376
3200.000000 119.914 171.7419
3250.000000 119.976 170.3748
3300.000000 120.047 168.8660
3350.000000 120.090 167.3723
3400.000000 120.159 165.9114
3450.000000 120.234 163.9087
3500.000000 120.299 161.7867
3550.000000 120.345 159.6034
3600.000000 120.322 156.7557
3650.000000 120.234 153.9158
3700.000000 120.060 151.1058
3750.000000 119.791 148.4535
3820.000000 119.301 145.8429
3870.000000 118.981 144.7273
3950.000000 118.400 143.4740
4000.000000 118.136 143.7207
4060.000000 117.759 143.8592
4120.000000 117.507 144.3260
4180.000000 117.248 145.1486
4250.000000 117.100 146.4628
4310.000000 116.992 147.6631
4370.000000 116.957 149.0232
4440.000000 117.008 150.2046
4500.000000 117.106 151.0146
4550.000000 117.282 151.9514
4620.000000 117.525 152.8379
4680.000000 117.799 152.5441
4750.000000 118.072 151.8007
4820.000000 118.395 150.7321
4870.000000 118.548 149.7125
4940.000000 118.818 147.1028
5000.000000 119.025 144.9283
5080.000000 119.059 141.5977
5150.000000 119.060 138.6841
5220.000000 118.953 135.6606
5300.000000 118.708 132.6777
5380.000000 118.402 130.0494
5450.000000 118.084 128.2895
5520.000000 117.725 127.0755
5600.000000 117.334 125.5824
5700.000000 116.814 125.1785
5800.000000 116.385 125.3494
5900.000000 115.974 125.9639
6000.000000 115.602 126.5475
6080.000000 115.342 127.9257
