* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 15, 2024 10:55:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CARMEN 155
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.002 67.4632
20.600000 92.105 66.4193
20.900000 92.198 65.4804
21.200001 92.287 64.5506
21.400000 92.346 63.9317
21.799999 92.460 62.6956
22.000000 92.515 62.0798
22.400000 92.623 60.8599
22.700001 92.700 59.9616
23.000000 92.774 59.0812
23.299999 92.844 58.2175
23.600000 92.912 57.3672
24.000000 92.998 56.2476
24.299999 93.060 55.4142
24.700001 93.138 54.3100
25.000000 93.194 53.4894
25.400000 93.265 52.4110
25.799999 93.332 51.3568
26.200001 93.396 50.3284
26.500000 93.443 49.5709
26.900000 93.505 48.5717
27.200001 93.550 47.8248
27.600000 93.607 46.8295
28.000000 93.660 45.8399
28.500000 93.721 44.6316
29.000000 93.775 43.4774
29.500000 93.826 42.3784
30.000000 93.876 41.3120
30.400000 93.913 40.4650
30.700001 93.939 39.8294
31.100000 93.971 38.9835
31.500000 93.999 38.1449
32.000000 94.033 37.1149
32.500000 94.065 36.1080
33.000000 94.095 35.1230
33.500000 94.124 34.1593
34.000000 94.150 33.2161
34.500000 94.172 32.2902
35.000000 94.192 31.3770
35.500000 94.210 30.4755
36.000000 94.226 29.5885
36.500000 94.241 28.7186
37.000000 94.254 27.8652
37.500000 94.265 27.0259
38.200001 94.277 25.8750
38.700001 94.283 25.0722
39.500000 94.291 23.8189
40.000000 94.294 23.0527
40.599998 94.296 22.1528
41.200001 94.294 21.2777
41.799999 94.291 20.4239
42.500000 94.286 19.4433
43.099998 94.281 18.6119
43.700001 94.275 17.7944
44.400002 94.265 16.8672
45.000000 94.255 16.0950
45.500000 94.246 15.4609
46.200001 94.232 14.5811
46.799999 94.217 13.8407
47.500000 94.199 13.0046
48.200001 94.182 12.1925
48.700001 94.169 11.6203
49.400002 94.147 10.8326
50.000000 94.127 10.1752
50.799999 94.100 9.3173
51.500000 94.076 8.5785
52.200001 94.050 7.8607
53.000000 94.020 7.0650
53.799999 93.989 6.2804
54.500000 93.960 5.6142
55.200001 93.932 4.9770
56.000000 93.901 4.2583
57.000000 93.856 3.3593
58.000000 93.809 2.4966
59.000000 93.765 1.6491
60.000000 93.717 0.8409
60.799999 93.678 0.2236
61.500000 93.644 -0.3215
62.200001 93.609 -0.8629
63.000000 93.569 -1.4540
64.000000 93.522 -2.1655
65.000000 93.470 -2.8697
66.000000 93.416 -3.5463
67.000000 93.365 -4.1937
68.000000 93.315 -4.8307
69.000000 93.258 -5.4514
70.000000 93.200 -6.0355
71.000000 93.148 -6.6112
72.000000 93.095 -7.1826
73.000000 93.038 -7.7269
74.000000 92.982 -8.2810
75.000000 92.927 -8.8126
76.199997 92.862 -9.3875
77.500000 92.789 -9.9551
78.800003 92.716 -10.5723
80.000000 92.652 -11.1300
81.199997 92.574 -11.7243
82.500000 92.495 -12.1416
83.800003 92.434 -12.7236
85.000000 92.358 -13.1580
86.199997 92.293 -13.6118
87.500000 92.219 -14.0644
88.500000 92.163 -14.4296
90.000000 92.078 -14.9261
91.199997 92.012 -15.2966
92.500000 91.939 -15.6896
93.800003 91.860 -16.0850
95.000000 91.793 -16.4003
96.199997 91.730 -16.7029
97.500000 91.657 -17.0439
98.800003 91.584 -17.3574
100.000000 91.518 -17.6447
101.500000 91.432 -17.9630
103.000000 91.351 -18.2866
104.400002 91.278 -18.5578
106.000000 91.187 -18.8574
107.500000 91.104 -19.1261
109.000000 91.026 -19.3951
110.599998 90.937 -19.6254
112.000000 90.865 -19.8329
113.800003 90.769 -20.0921
115.000000 90.702 -20.2226
117.199997 90.594 -20.4838
118.000000 90.552 -20.5609
120.599998 90.418 -20.8082
122.000000 90.351 -20.9323
124.099998 90.244 -21.0934
125.000000 90.199 -21.1428
126.500000 90.125 -21.2718
128.000000 90.049 -21.3548
131.500000 89.884 -21.4803
132.000000 89.860 -21.5075
134.000000 89.767 -21.5695
136.000000 89.669 -21.6138
138.000000 89.578 -21.6589
140.000000 89.486 -21.6304
143.000000 89.357 -21.6055
145.000000 89.267 -21.5678
147.500000 89.162 -21.5109
150.000000 89.054 -21.4336
152.500000 88.950 -21.3074
155.000000 88.847 -21.1965
157.500000 88.747 -21.0720
160.000000 88.656 -20.9131
162.500000 88.560 -20.6824
165.000000 88.467 -20.5366
167.500000 88.378 -20.3227
170.000000 88.291 -20.0920
172.500000 88.206 -19.8364
175.000000 88.121 -19.5455
177.500000 88.041 -19.3356
180.000000 87.966 -19.0490
182.500000 87.891 -18.7070
185.000000 87.821 -18.4542
187.500000 87.741 -18.1268
190.000000 87.675 -17.7928
192.500000 87.605 -17.4314
195.000000 87.546 -17.0798
197.500000 87.480 -16.7662
200.000000 87.423 -16.4270
203.000000 87.351 -15.9627
206.000000 87.291 -15.5193
209.000000 87.227 -15.1014
212.000000 87.172 -14.6117
214.000000 87.132 -14.3133
218.000000 87.064 -13.6979
220.000000 87.029 -13.3978
224.000000 86.972 -12.7341
227.000000 86.923 -12.2763
230.000000 86.888 -11.8307
233.000000 86.853 -11.3615
236.000000 86.811 -10.8800
240.000000 86.772 -10.2341
243.000000 86.745 -9.7645
247.000000 86.709 -9.1250
250.000000 86.694 -8.6999
254.000000 86.668 -8.0840
258.000000 86.645 -7.4994
262.000000 86.620 -6.8899
265.000000 86.611 -6.4279
269.000000 86.597 -5.8771
272.000000 86.586 -5.4535
276.000000 86.583 -4.8844
280.000000 86.577 -4.3537
285.000000 86.574 -3.7236
290.000000 86.582 -3.0786
295.000000 86.585 -2.4615
300.000000 86.589 -1.8881
304.000000 86.607 -1.4052
307.000000 86.605 -1.0860
311.000000 86.627 -0.6149
315.000000 86.639 -0.2492
320.000000 86.647 0.2611
325.000000 86.668 0.7265
330.000000 86.691 1.2220
335.000000 86.706 1.6253
340.000000 86.733 2.0576
345.000000 86.761 2.4591
350.000000 86.779 2.8895
355.000000 86.803 3.2079
360.000000 86.825 3.5616
365.000000 86.846 3.9085
370.000000 86.874 4.2504
375.000000 86.890 4.5993
382.000000 86.922 4.9810
387.000000 86.946 5.2462
395.000000 86.988 5.6812
400.000000 87.005 5.9281
406.000000 87.031 6.2101
412.000000 87.051 6.5465
418.000000 87.081 6.7797
425.000000 87.104 7.0716
431.000000 87.130 7.3332
437.000000 87.142 7.5379
444.000000 87.165 7.8045
450.000000 87.190 7.9937
455.000000 87.195 8.1895
462.000000 87.215 8.4417
468.000000 87.230 8.6633
475.000000 87.240 8.8868
482.000000 87.256 9.1517
487.000000 87.266 9.2419
494.000000 87.275 9.5447
500.000000 87.285 9.7455
508.000000 87.297 10.0361
515.000000 87.305 10.2450
522.000000 87.315 10.4823
530.000000 87.320 10.7694
538.000000 87.331 11.0475
545.000000 87.330 11.3241
552.000000 87.341 11.5299
560.000000 87.349 11.8079
570.000000 87.353 12.1701
580.000000 87.355 12.5892
590.000000 87.361 12.9595
600.000000 87.368 13.3389
608.000000 87.364 13.6933
615.000000 87.370 13.9759
622.000000 87.371 14.2784
630.000000 87.369 14.6272
640.000000 87.374 14.9927
650.000000 87.384 15.4183
660.000000 87.383 15.8916
670.000000 87.392 16.3527
680.000000 87.400 16.8081
690.000000 87.404 17.3789
700.000000 87.413 17.8018
710.000000 87.420 18.4084
720.000000 87.424 18.8986
730.000000 87.437 19.4940
740.000000 87.442 20.0552
750.000000 87.453 20.6269
762.000000 87.480 21.3779
775.000000 87.508 22.2572
788.000000 87.537 23.1579
800.000000 87.592 23.9909
812.000000 87.638 24.8138
825.000000 87.723 25.7461
838.000000 87.818 26.6351
850.000000 87.902 27.3643
862.000000 88.005 27.9529
875.000000 88.112 28.6656
885.000000 88.196 29.1253
900.000000 88.312 29.7656
912.000000 88.409 30.2315
925.000000 88.513 30.7437
938.000000 88.625 31.2319
950.000000 88.726 31.5663
962.000000 88.824 32.0524
975.000000 88.936 32.4202
988.000000 89.043 32.8169
1000.000000 89.146 32.9542
1015.000000 89.281 33.4743
1030.000000 89.415 33.7898
1044.000000 89.539 34.0082
1060.000000 89.681 34.2459
1075.000000 89.816 34.4719
1090.000000 89.945 34.6504
1106.000000 90.082 34.7432
1120.000000 90.204 34.8349
1138.000000 90.358 34.8709
1150.000000 90.459 34.8613
1172.000000 90.630 34.8124
1180.000000 90.695 34.7685
1206.000000 90.896 34.6327
1220.000000 91.002 34.5316
1241.000000 91.148 34.3531
1250.000000 91.219 34.2450
1265.000000 91.322 34.0478
1280.000000 91.424 33.8660
1315.000000 91.656 33.3310
1320.000000 91.686 33.2828
1340.000000 91.812 32.9284
1360.000000 91.928 32.5625
1380.000000 92.050 32.1859
1400.000000 92.160 31.7682
1430.000000 92.324 31.1181
1450.000000 92.427 30.6361
1475.000000 92.549 29.9830
1500.000000 92.668 29.3051
1525.000000 92.781 28.5985
1550.000000 92.884 27.8299
1575.000000 92.982 27.0247
1600.000000 93.071 26.2041
1625.000000 93.153 25.3298
1650.000000 93.215 24.4383
1675.000000 93.280 23.5111
1700.000000 93.332 22.5582
1725.000000 93.372 21.5700
1750.000000 93.400 20.6102
1775.000000 93.420 19.6523
1800.000000 93.425 18.6750
1825.000000 93.424 17.6913
1850.000000 93.419 16.7828
1875.000000 93.397 15.8544
1900.000000 93.362 14.9622
1925.000000 93.324 14.1174
1950.000000 93.276 13.3550
1975.000000 93.219 12.5875
2000.000000 93.173 11.9041
2030.000000 93.085 11.1102
2060.000000 93.001 10.3936
2090.000000 92.908 9.8048
2120.000000 92.816 9.2629
2140.000000 92.754 8.9533
2180.000000 92.635 8.4080
2200.000000 92.576 8.1400
2240.000000 92.456 7.7683
2270.000000 92.368 7.4457
2300.000000 92.279 7.2903
2330.000000 92.193 7.0322
2360.000000 92.099 6.8244
2400.000000 91.974 6.5713
2430.000000 91.870 6.4244
2470.000000 91.703 6.3387
2500.000000 91.561 6.4606
2540.000000 91.362 6.8691
2580.000000 91.169 7.7735
2620.000000 91.024 9.1661
2650.000000 90.957 10.3730
2690.000000 90.944 12.1404
2720.000000 90.987 13.3336
2760.000000 91.093 14.7267
2800.000000 91.233 15.7534
2850.000000 91.451 16.6059
2900.000000 91.655 16.9502
2950.000000 91.853 16.9741
3000.000000 92.029 16.6899
3040.000000 92.132 16.4363
3070.000000 92.208 16.2064
3110.000000 92.297 15.8304
3150.000000 92.383 15.5047
3200.000000 92.461 15.0532
3250.000000 92.553 14.6844
3300.000000 92.631 14.3694
3350.000000 92.719 14.0317
3400.000000 92.814 13.7140
3450.000000 92.928 13.3839
3500.000000 93.057 12.9509
3550.000000 93.201 12.3912
3600.000000 93.348 11.7395
3650.000000 93.523 10.8148
3700.000000 93.696 9.6409
3750.000000 93.876 8.1411
3820.000000 94.099 5.4286
3870.000000 94.230 2.9348
3950.000000 94.336 -1.8681
4000.000000 94.306 -5.1958
4060.000000 94.170 -9.5303
4120.000000 93.908 -13.8343
4180.000000 93.513 -17.7392
4250.000000 92.916 -21.5575
4310.000000 92.314 -24.0541
4370.000000 91.662 -25.5880
4440.000000 90.882 -26.4323
4500.000000 90.236 -26.2219
4550.000000 89.729 -25.6690
4620.000000 89.092 -24.3123
4680.000000 88.609 -22.6943
4750.000000 88.132 -20.6691
4820.000000 87.756 -18.5956
4870.000000 87.528 -17.1775
4940.000000 87.266 -15.6056
5000.000000 87.032 -14.5269
5080.000000 86.747 -13.9170
5150.000000 86.445 -13.5899
5220.000000 86.108 -13.3721
5300.000000 85.709 -13.0335
5380.000000 85.263 -12.8187
5450.000000 84.766 -11.9420
5520.000000 84.468 -9.7783
5600.000000 84.024 -8.4209
5700.000000 83.323 -3.8407
5800.000000 83.390 4.4076
5900.000000 83.874 9.8874
6000.000000 84.446 12.7541
6080.000000 84.918 14.4044
6150.000000 85.406 15.1343
6220.000000 85.940 15.1936
