* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin Canon 000 Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin Canon 000 Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Yanyin Canon 000 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	53.787	-162.5277
1.015000	53.713	-163.2223
1.030000	53.628	-163.9251
1.044000	53.537	-164.5876
1.060000	53.420	-165.3518
1.075000	53.296	-166.0742
1.090000	53.159	-166.8015
1.106000	52.995	-167.6233
1.120000	52.826	-168.6032
1.138000	52.571	-170.2344
1.150000	52.381	-171.5208
1.172000	51.996	-174.2118
1.180000	51.846	-175.2759
1.206000	51.324	-178.9463
1.220000	51.026	178.9990
1.241000	50.564	175.9078
1.250000	50.361	174.6045
1.265000	50.020	172.4946
1.280000	49.676	170.4992
1.315000	48.881	166.5262
1.320000	48.769	166.0596
1.340000	48.334	164.5083
1.360000	47.918	163.5362
1.380000	47.529	163.2434
1.400000	47.172	163.7300
1.430000	46.713	166.1406
1.450000	46.467	169.0141
1.475000	46.232	174.2747
1.500000	46.029	-178.0142
1.525000	45.849	-168.0536
1.550000	45.694	-156.2243
1.575000	45.567	-142.9064
1.600000	45.472	-128.4806
1.625000	45.411	-113.3272
1.650000	45.388	-97.8268
1.675000	45.404	-82.3597
1.700000	45.464	-67.3064
1.725000	45.571	-53.0474
1.750000	45.726	-39.9631
1.775000	45.934	-28.4339
1.800000	46.196	-18.8404
1.825000	46.517	-11.5628
1.850000	46.915	-6.6812
1.875000	47.422	-3.5639
1.900000	48.025	-1.9898
1.925000	48.707	-1.7629
1.950000	49.454	-2.6875
1.975000	50.251	-4.5675
2.000000	51.081	-7.2071
2.030000	52.100	-11.1014
2.060000	53.119	-15.4687
2.090000	54.111	-19.9706
2.120000	55.049	-24.2685
2.140000	55.632	-26.8533
2.180000	56.660	-30.8981
2.200000	57.089	-32.1633
2.240000	57.837	-34.1936
2.270000	58.330	-35.6589
2.300000	58.773	-37.0798
2.330000	59.171	-38.4610
2.360000	59.531	-39.8068
2.400000	59.964	-41.5540
2.430000	60.260	-42.8347
2.470000	60.630	-44.5113
2.500000	60.897	-45.7512
2.540000	61.251	-47.3895
2.580000	61.611	-49.0184
2.620000	61.946	-50.6254
2.650000	62.176	-51.8122
2.690000	62.458	-53.3675
2.720000	62.653	-54.5120
2.760000	62.894	-56.0064
2.800000	63.115	-57.4617
2.850000	63.371	-59.2215
2.900000	63.611	-60.9097
2.950000	63.838	-62.5234
3.000000	64.039	-64.0809
3.040000	64.180	-65.2854
3.070000	64.276	-66.1618
3.110000	64.392	-67.2913
3.150000	64.497	-68.3721
3.200000	64.616	-69.6484
3.250000	64.725	-70.8342
3.300000	64.828	-71.9214
3.350000	64.919	-72.9139
3.400000	64.991	-73.8188
3.450000	65.049	-74.6371
3.500000	65.099	-75.3696
3.550000	65.143	-76.0175
3.600000	65.188	-76.5817
3.650000	65.238	-77.0630
3.700000	65.291	-77.4488
3.750000	65.338	-77.7173
3.820000	65.399	-77.9331
3.870000	65.444	-78.0010
3.950000	65.528	-78.0178
4.000000	65.592	-78.0034
4.060000	65.685	-77.9731
4.120000	65.792	-77.8475
4.180000	65.909	-77.6519
4.250000	66.057	-77.3935
4.310000	66.194	-77.1959
4.370000	66.337	-77.0663
4.440000	66.514	-77.0254
4.500000	66.680	-77.0279
4.550000	66.826	-77.0587
4.620000	67.035	-77.1568
4.680000	67.214	-77.3026
4.750000	67.415	-77.5584
4.820000	67.609	-77.9235
4.870000	67.749	-78.2502
4.940000	67.942	-78.7802
5.000000	68.103	-79.2842
5.080000	68.305	-79.9985
5.150000	68.467	-80.6408
5.220000	68.616	-81.3411
5.300000	68.774	-82.2010
5.380000	68.919	-83.0813
5.450000	69.036	-83.8330
5.520000	69.143	-84.5418
5.600000	69.250	-85.3418
5.700000	69.365	-86.3179
5.800000	69.468	-87.2254
5.900000	69.567	-88.0228
6.000000	69.654	-88.7179
6.080000	69.719	-89.2138
6.150000	69.776	-89.6109
6.220000	69.837	-89.9792
6.300000	69.911	-90.3513
6.400000	70.006	-90.7378
6.500000	70.106	-91.0858
6.600000	70.214	-91.4475
6.700000	70.334	-91.8097
6.800000	70.461	-92.1650
6.900000	70.593	-92.5498
7.000000	70.725	-92.9968
7.100000	70.861	-93.4956
7.200000	70.999	-94.0360
7.300000	71.132	-94.6130
7.400000	71.258	-95.2314
7.500000	71.380	-95.8982
7.620000	71.520	-96.7235
7.750000	71.657	-97.6055
7.880000	71.781	-98.4987
8.000000	71.887	-99.3027
8.120000	71.987	-100.0525
8.250000	72.085	-100.8177
8.380000	72.180	-101.5343
8.500000	72.269	-102.1452
8.620000	72.357	-102.7051
8.750000	72.454	-103.2820
8.850000	72.532	-103.7179
9.000000	72.652	-104.3414
9.120000	72.750	-104.8395
9.250000	72.858	-105.3989
9.380000	72.967	-105.9683
9.500000	73.066	-106.5055
9.620000	73.163	-107.0596
9.750000	73.267	-107.6757
9.880000	73.358	-108.2912
10.000000	73.425	-108.8558
10.150000	73.492	-109.5583
10.300000	73.550	-110.2338
10.440000	73.593	-110.8389
10.600000	73.636	-111.5025
10.750000	73.678	-112.0928
10.900000	73.718	-112.6572
11.060000	73.761	-113.2468
11.200000	73.799	-113.7491
11.380000	73.847	-114.3924
11.500000	73.879	-114.8238
11.720000	73.933	-115.6153
11.800000	73.951	-115.9045
12.060000	74.005	-116.8436
12.200000	74.029	-117.3403
12.410000	74.064	-118.0732
12.500000	74.083	-118.3795
12.650000	74.123	-118.8797
12.800000	74.164	-119.3706
13.150000	74.259	-120.4858
13.200000	74.272	-120.6443
13.400000	74.325	-121.2767
13.600000	74.374	-121.9115
13.800000	74.421	-122.5518
14.000000	74.463	-123.1910
14.300000	74.520	-124.1429
14.500000	74.555	-124.7638
14.750000	74.595	-125.5239
15.000000	74.635	-126.2674
15.250000	74.674	-127.0043
15.500000	74.712	-127.7430
15.750000	74.748	-128.4861
