* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin Canon 010 Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin Canon 010 Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Yanyin Canon 010 Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.888	-72.8344
1.015000	59.767	-73.7749
1.030000	59.641	-74.6977
1.044000	59.521	-75.5419
1.060000	59.380	-76.4852
1.075000	59.243	-77.3475
1.090000	59.102	-78.1871
1.106000	58.947	-79.0638
1.120000	58.807	-79.8540
1.138000	58.622	-80.9058
1.150000	58.496	-81.6242
1.172000	58.258	-82.9651
1.180000	58.169	-83.4570
1.206000	57.875	-85.0565
1.220000	57.712	-85.9097
1.241000	57.462	-87.1646
1.250000	57.353	-87.6896
1.265000	57.170	-88.5423
1.280000	56.983	-89.3616
1.315000	56.537	-91.1076
1.320000	56.473	-91.3346
1.340000	56.211	-92.1771
1.360000	55.946	-92.9035
1.380000	55.677	-93.4985
1.400000	55.405	-93.9470
1.430000	54.991	-94.3120
1.450000	54.712	-94.3280
1.475000	54.356	-94.0670
1.500000	53.956	-93.4972
1.525000	53.511	-92.6460
1.550000	53.033	-91.5411
1.575000	52.533	-90.2104
1.600000	52.022	-88.6816
1.625000	51.510	-86.9826
1.650000	51.010	-85.1411
1.675000	50.531	-83.1850
1.700000	50.085	-81.1419
1.725000	49.682	-79.0397
1.750000	49.334	-76.9061
1.775000	49.052	-74.7691
1.800000	48.847	-72.6563
1.825000	48.729	-70.5955
1.850000	48.707	-68.5049
1.875000	48.773	-66.1633
1.900000	48.917	-63.6111
1.925000	49.130	-60.8998
1.950000	49.402	-58.0813
1.975000	49.723	-55.2072
2.000000	50.083	-52.3291
2.030000	50.552	-48.9432
2.060000	51.047	-45.7154
2.090000	51.549	-42.7352
2.120000	52.043	-40.0919
2.140000	52.358	-38.5609
2.180000	52.935	-36.1731
2.200000	53.186	-35.3687
2.240000	53.678	-34.4791
2.270000	54.057	-34.3448
2.300000	54.441	-34.6012
2.330000	54.827	-35.1887
2.360000	55.211	-36.0479
2.400000	55.715	-37.5131
2.430000	56.082	-38.7746
2.470000	56.550	-40.5602
2.500000	56.881	-41.8999
2.540000	57.288	-43.5738
2.580000	57.652	-45.0367
2.620000	57.980	-46.5894
2.650000	58.205	-47.8507
2.690000	58.481	-49.6347
2.720000	58.671	-51.0311
2.760000	58.905	-52.9441
2.800000	59.119	-54.8849
2.850000	59.363	-57.2991
2.900000	59.586	-59.6396
2.950000	59.794	-61.8601
3.000000	59.973	-64.0802
3.040000	60.095	-65.8651
3.070000	60.175	-67.1994
3.110000	60.269	-68.9614
3.150000	60.350	-70.6906
3.200000	60.434	-72.7843
3.250000	60.503	-74.7765
3.300000	60.560	-76.6396
3.350000	60.599	-78.4153
3.400000	60.614	-80.1318
3.450000	60.611	-81.7688
3.500000	60.594	-83.3058
3.550000	60.568	-84.7225
3.600000	60.537	-85.9986
3.650000	60.505	-87.1135
3.700000	60.470	-88.0577
3.750000	60.418	-88.8508
3.820000	60.330	-89.7243
3.870000	60.265	-90.1898
3.950000	60.177	-90.6825
4.000000	60.143	-90.8453
4.060000	60.130	-90.8797
4.120000	60.131	-90.6372
4.180000	60.147	-90.1815
4.250000	60.189	-89.4981
4.310000	60.250	-88.8828
4.370000	60.338	-88.3335
4.440000	60.484	-87.8095
4.500000	60.648	-87.3186
4.550000	60.807	-86.9048
4.620000	61.050	-86.3777
4.680000	61.269	-86.0292
4.750000	61.523	-85.8145
4.820000	61.778	-85.8432
4.870000	61.973	-85.9808
4.940000	62.252	-86.3091
5.000000	62.490	-86.6925
5.080000	62.793	-87.3096
5.150000	63.031	-87.9199
5.220000	63.253	-88.6670
5.300000	63.491	-89.6611
5.380000	63.710	-90.7235
5.450000	63.883	-91.6422
5.520000	64.038	-92.5032
5.600000	64.188	-93.5048
5.700000	64.344	-94.7548
5.800000	64.476	-95.9026
5.900000	64.592	-96.8542
6.000000	64.679	-97.6497
6.080000	64.737	-98.1831
6.150000	64.785	-98.5707
6.220000	64.838	-98.8812
6.300000	64.903	-99.1187
6.400000	64.981	-99.2467
6.500000	65.066	-99.2660
6.600000	65.168	-99.2602
6.700000	65.292	-99.1929
6.800000	65.431	-99.0634
6.900000	65.580	-98.9609
7.000000	65.736	-98.9624
7.100000	65.906	-99.0301
7.200000	66.083	-99.1598
7.300000	66.255	-99.3659
7.400000	66.418	-99.6684
7.500000	66.579	-100.0660
7.620000	66.761	-100.6110
7.750000	66.934	-101.2238
7.880000	67.085	-101.9000
8.000000	67.209	-102.5200
8.120000	67.319	-103.0726
8.250000	67.420	-103.6254
8.380000	67.512	-104.1149
8.500000	67.595	-104.4867
8.620000	67.674	-104.7838
8.750000	67.761	-105.0602
8.850000	67.832	-105.2574
9.000000	67.945	-105.5015
9.120000	68.039	-105.7003
9.250000	68.145	-105.9553
9.380000	68.257	-106.2322
9.500000	68.358	-106.5212
9.620000	68.458	-106.8556
9.750000	68.566	-107.2606
9.880000	68.660	-107.6879
10.000000	68.728	-108.1000
10.150000	68.795	-108.6384
10.300000	68.850	-109.1625
10.440000	68.890	-109.6390
10.600000	68.929	-110.1650
10.750000	68.966	-110.6282
10.900000	69.002	-111.0704
11.060000	69.043	-111.5361
11.200000	69.081	-111.9348
11.380000	69.131	-112.4567
11.500000	69.165	-112.8158
11.720000	69.228	-113.4905
11.800000	69.250	-113.7424
12.060000	69.319	-114.5766
12.200000	69.352	-115.0221
12.410000	69.401	-115.6844
12.500000	69.428	-115.9605
12.650000	69.481	-116.4108
12.800000	69.537	-116.8528
13.150000	69.673	-117.8577
13.200000	69.692	-118.0013
13.400000	69.771	-118.5771
13.600000	69.848	-119.1564
13.800000	69.922	-119.7425
14.000000	69.992	-120.3201
14.300000	70.090	-121.1608
14.500000	70.150	-121.6874
14.750000	70.224	-122.3089
15.000000	70.298	-122.8930
15.250000	70.372	-123.4608
15.500000	70.446	-124.0295
15.750000	70.519	-124.6061
16.000000	70.588	-125.1923
16.250000	70.656	-125.7722
16.500000	70.720	-126.3375
16.750000	70.780	-126.8761
17.000000	70.837	-127.3915
17.250000	70.891	-127.8912
17.500000	70.946	-128.3863
17.750000	70.999	-128.8891
18.000000	71.050	-129.4000
18.250000	71.096	-129.9189
18.500000	71.139	-130.4363
18.750000	71.179	-130.9487
19.000000	71.217	-131.4527
19.250000	71.253	-131.9507
19.500000	71.289	-132.4471
19.750000	71.324	-132.9453
20.000000	71.359	-133.4469
20.299999	71.400	-134.0490
20.600000	71.440	-134.6464
20.900000	71.479	-135.2347
21.200001	71.518	-135.8142
21.400000	71.544	-136.1987
21.799999	71.595	-136.9658
22.000000	71.619	-137.3479
22.400000	71.666	-138.1023
22.700001	71.698	-138.6511
23.000000	71.730	-139.1804
23.299999	71.761	-139.6934
23.600000	71.792	-140.1954
24.000000	71.831	-140.8548
24.299999	71.859	-141.3428
24.700001	71.893	-141.9805
25.000000	71.916	-142.4467
25.400000	71.946	-143.0543
25.799999	71.973	-143.6532
26.200001	71.997	-144.2474
26.500000	72.013	-144.6887
26.900000	72.032	-145.2690
27.200001	72.045	-145.6987
27.600000	72.062	-146.2684
28.000000	72.077	-146.8384
28.500000	72.094	-147.5491
29.000000	72.109	-148.2502
29.500000	72.124	-148.9426
30.000000	72.138	-149.6312
30.400000	72.148	-150.1758
30.700001	72.155	-150.5766
31.100000	72.163	-151.0983
31.500000	72.173	-151.6085
32.000000	72.184	-152.2375
32.500000	72.194	-152.8569
33.000000	72.200	-153.4580
33.500000	72.206	-154.0399
34.000000	72.212	-154.6119
34.500000	72.215	-155.1794
35.000000	72.217	-155.7379
35.500000	72.217	-156.2826
36.000000	72.216	-156.8177
36.500000	72.214	-157.3497
37.000000	72.213	-157.8800
37.500000	72.210	-158.4052
38.200001	72.204	-159.1254
38.700001	72.199	-159.6274
39.500000	72.192	-160.4149
40.000000	72.188	-160.8997
40.599998	72.183	-161.4675
41.200001	72.179	-162.0172
41.799999	72.176	-162.5613
42.500000	72.169	-163.1992
43.099998	72.161	-163.7349
43.700001	72.150	-164.2492
44.400002	72.140	-164.8333
45.000000	72.130	-165.3312
45.500000	72.121	-165.7435
46.200001	72.107	-166.3078
46.799999	72.095	-166.7739
47.500000	72.083	-167.3051
48.200001	72.070	-167.8369
48.700001	72.060	-168.2147
49.400002	72.045	-168.7282
50.000000	72.032	-169.1549
50.799999	72.016	-169.7167
51.500000	72.001	-170.2021
52.200001	71.986	-170.6765
53.000000	71.967	-171.2030
53.799999	71.950	-171.7174
54.500000	71.934	-172.1609
55.200001	71.917	-172.5947
56.000000	71.899	-173.0811
57.000000	71.874	-173.6777
58.000000	71.848	-174.2498
59.000000	71.822	-174.8068
60.000000	71.795	-175.3469
60.799999	71.776	-175.7813
61.500000	71.758	-176.1622
62.200001	71.738	-176.5284
63.000000	71.715	-176.9275
64.000000	71.687	-177.4166
65.000000	71.659	-177.9029
66.000000	71.628	-178.3687
67.000000	71.598	-178.8157
68.000000	71.568	-179.2644
69.000000	71.535	-179.6934
70.000000	71.504	179.8848
71.000000	71.472	179.4714
72.000000	71.441	179.0807
73.000000	71.411	178.6934
74.000000	71.381	178.3102
75.000000	71.350	177.9340
76.199997	71.312	177.5126
77.500000	71.274	177.0578
78.800003	71.233	176.6169
80.000000	71.196	176.2303
81.199997	71.159	175.8585
82.500000	71.120	175.4673
83.800003	71.080	175.0704
85.000000	71.042	174.7393
86.199997	71.007	174.4052
87.500000	70.967	174.0563
88.500000	70.937	173.7928
90.000000	70.891	173.4174
91.199997	70.855	173.1270
92.500000	70.817	172.8146
93.800003	70.776	172.5094
95.000000	70.741	172.2482
96.199997	70.706	171.9855
97.500000	70.667	171.7165
98.800003	70.630	171.4642
100.000000	70.595	171.2346
101.500000	70.552	170.9541
103.000000	70.509	170.6859
104.400002	70.471	170.4506
106.000000	70.426	170.1706
107.500000	70.383	169.9319
109.000000	70.342	169.7099
110.599998	70.298	169.4692
112.000000	70.259	169.2761
113.800003	70.212	169.0320
115.000000	70.179	168.8743
117.199997	70.121	168.6116
118.000000	70.100	168.5192
120.599998	70.032	168.2232
122.000000	69.997	168.0760
124.099998	69.943	167.8514
125.000000	69.921	167.7700
126.500000	69.890	167.6327
128.000000	69.859	167.4949
131.500000	69.785	167.2081
132.000000	69.775	167.1692
134.000000	69.736	167.0186
136.000000	69.695	166.8724
138.000000	69.655	166.7462
140.000000	69.617	166.6240
143.000000	69.560	166.4651
145.000000	69.521	166.3659
147.500000	69.474	166.2575
150.000000	69.429	166.1415
152.500000	69.384	166.0376
155.000000	69.340	165.9616
157.500000	69.297	165.8945
160.000000	69.253	165.8271
162.500000	69.200	165.7641
165.000000	69.147	165.7191
167.500000	69.093	165.6821
170.000000	69.040	165.6509
172.500000	68.989	165.6245
175.000000	68.939	165.6096
177.500000	68.889	165.5908
180.000000	68.840	165.5871
182.500000	68.794	165.5859
185.000000	68.746	165.5856
187.500000	68.700	165.5991
190.000000	68.655	165.6176
192.500000	68.610	165.6366
195.000000	68.566	165.6589
197.500000	68.523	165.6960
200.000000	68.483	165.7317
203.000000	68.437	165.7795
206.000000	68.395	165.8322
209.000000	68.354	165.8857
212.000000	68.314	165.9446
214.000000	68.288	165.9890
218.000000	68.238	166.0802
220.000000	68.212	166.1321
224.000000	68.161	166.2413
227.000000	68.126	166.3206
230.000000	68.091	166.4043
233.000000	68.056	166.4966
236.000000	68.021	166.5923
240.000000	67.978	166.7218
243.000000	67.946	166.8149
247.000000	67.904	166.9520
250.000000	67.875	167.0655
254.000000	67.838	167.2081
258.000000	67.800	167.3519
262.000000	67.764	167.5085
265.000000	67.738	167.6248
269.000000	67.704	167.7770
272.000000	67.680	167.8983
276.000000	67.648	168.0619
280.000000	67.617	168.2267
285.000000	67.580	168.4386
290.000000	67.547	168.6517
295.000000	67.513	168.8577
300.000000	67.480	169.0760
304.000000	67.454	169.2499
307.000000	67.435	169.3759
311.000000	67.411	169.5509
315.000000	67.385	169.7345
320.000000	67.357	169.9557
325.000000	67.328	170.1709
330.000000	67.299	170.4044
335.000000	67.273	170.6314
340.000000	67.248	170.8551
345.000000	67.224	171.0829
350.000000	67.203	171.3098
355.000000	67.180	171.5369
360.000000	67.159	171.7563
365.000000	67.138	171.9790
370.000000	67.117	172.2055
375.000000	67.097	172.4272
382.000000	67.071	172.7273
387.000000	67.051	172.9442
395.000000	67.021	173.2849
400.000000	67.002	173.5088
406.000000	66.980	173.7645
412.000000	66.960	174.0407
418.000000	66.940	174.3216
425.000000	66.916	174.6497
431.000000	66.897	174.9372
437.000000	66.879	175.2290
444.000000	66.860	175.5565
450.000000	66.844	175.8471
455.000000	66.832	176.0903
462.000000	66.814	176.4326
468.000000	66.803	176.7263
475.000000	66.790	177.0661
482.000000	66.777	177.4112
487.000000	66.768	177.6476
494.000000	66.758	177.9790
500.000000	66.750	178.2681
508.000000	66.741	178.6482
515.000000	66.732	178.9747
522.000000	66.725	179.2999
530.000000	66.716	179.6734
538.000000	66.709	-179.9534
545.000000	66.703	-179.6228
552.000000	66.697	-179.2934
560.000000	66.691	-178.9119
570.000000	66.685	-178.4207
580.000000	66.679	-177.9415
590.000000	66.674	-177.4489
600.000000	66.672	-176.9540
608.000000	66.670	-176.5573
615.000000	66.669	-176.2092
622.000000	66.669	-175.8610
630.000000	66.670	-175.4538
640.000000	66.673	-174.9478
650.000000	66.678	-174.4384
660.000000	66.685	-173.9154
670.000000	66.691	-173.3978
680.000000	66.699	-172.8693
690.000000	66.709	-172.3484
700.000000	66.720	-171.8158
710.000000	66.733	-171.2760
720.000000	66.748	-170.7316
730.000000	66.763	-170.1823
740.000000	66.781	-169.6316
750.000000	66.802	-169.0738
762.000000	66.828	-168.4019
775.000000	66.861	-167.6715
788.000000	66.897	-166.9308
800.000000	66.934	-166.2533
812.000000	66.966	-165.5736
825.000000	67.005	-164.8422
838.000000	67.048	-164.1085
850.000000	67.091	-163.4291
862.000000	67.139	-162.7676
875.000000	67.195	-162.0630
885.000000	67.241	-161.5253
900.000000	67.316	-160.7307
912.000000	67.380	-160.1201
925.000000	67.455	-159.4752
938.000000	67.533	-158.8513
950.000000	67.607	-158.2966
962.000000	67.686	-157.7636
975.000000	67.775	-157.2257
988.000000	67.868	-156.7231
1000.000000	67.957	-156.2887
1015.000000	68.082	-155.7708
1030.000000	68.212	-155.3083
1044.000000	68.333	-154.9198
1060.000000	68.475	-154.5282
1075.000000	68.606	-154.2127
1090.000000	68.736	-153.9352
1106.000000	68.874	-153.6898
1120.000000	68.993	-153.5152
1138.000000	69.142	-153.3391
1150.000000	69.241	-153.2466
1172.000000	69.415	-153.1335
1180.000000	69.476	-153.1063
1206.000000	69.672	-153.0694
1220.000000	69.773	-153.0768
1241.000000	69.916	-153.1174
1250.000000	69.973	-153.1459
1265.000000	70.050	-153.2028
1280.000000	70.120	-153.2726
1315.000000	70.271	-153.4795
1320.000000	70.291	-153.5103
1340.000000	70.370	-153.6477
1360.000000	70.447	-153.8039
1380.000000	70.519	-153.9597
1400.000000	70.590	-154.1263
1430.000000	70.691	-154.3783
1450.000000	70.755	-154.5531
1475.000000	70.835	-154.7662
1500.000000	70.912	-154.9989
1525.000000	70.988	-155.2429
1550.000000	71.063	-155.4970
1575.000000	71.136	-155.7673
1600.000000	71.217	-156.0452
1625.000000	71.321	-156.3388
1650.000000	71.432	-156.6626
1675.000000	71.543	-157.0133
1700.000000	71.651	-157.4015
1725.000000	71.758	-157.8248
1750.000000	71.863	-158.2832
1775.000000	71.965	-158.7746
1800.000000	72.063	-159.3065
1825.000000	72.158	-159.8811
1850.000000	72.250	-160.4839
1875.000000	72.336	-161.1270
1900.000000	72.419	-161.8113
1925.000000	72.497	-162.5257
1950.000000	72.569	-163.2703
1975.000000	72.635	-164.0503
2000.000000	72.694	-164.8575
2030.000000	72.752	-165.8520
2060.000000	72.798	-166.8788
2090.000000	72.836	-167.9280
2120.000000	72.864	-168.9963
2140.000000	72.877	-169.7128
2180.000000	72.890	-171.1541
2200.000000	72.890	-171.8744
2240.000000	72.878	-173.2971
2270.000000	72.857	-174.3426
2300.000000	72.829	-175.3561
2330.000000	72.793	-176.3430
2360.000000	72.750	-177.2878
2400.000000	72.682	-178.4857
