* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin X HBB Mahina Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Yanyin X HBB Mahina Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Yanyin X HBB Mahina Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	56.013	152.6132
1.015000	56.032	152.1245
1.030000	56.051	151.6359
1.044000	56.069	151.1802
1.060000	56.088	150.6600
1.075000	56.106	150.1731
1.090000	56.123	149.6873
1.106000	56.141	149.1700
1.120000	56.157	148.7150
1.138000	56.176	148.1265
1.150000	56.189	147.7321
1.172000	56.212	147.0057
1.180000	56.220	146.7406
1.206000	56.247	145.8763
1.220000	56.261	145.4098
1.241000	56.281	144.7091
1.250000	56.290	144.4088
1.265000	56.304	143.9083
1.280000	56.317	143.4084
1.315000	56.348	142.2457
1.320000	56.352	142.0803
1.340000	56.369	141.4205
1.360000	56.385	140.7648
1.380000	56.401	140.1138
1.400000	56.416	139.4685
1.430000	56.437	138.5129
1.450000	56.450	137.8853
1.475000	56.465	137.1115
1.500000	56.479	136.3401
1.525000	56.492	135.5699
1.550000	56.503	134.8024
1.575000	56.514	134.0390
1.600000	56.523	133.2814
1.625000	56.531	132.5309
1.650000	56.539	131.7891
1.675000	56.546	131.0575
1.700000	56.552	130.3375
1.725000	56.558	129.6308
1.750000	56.564	128.9387
1.775000	56.570	128.2629
1.800000	56.575	127.6047
1.825000	56.581	126.9657
1.850000	56.586	126.3445
1.875000	56.589	125.7352
1.900000	56.592	125.1381
1.925000	56.593	124.5535
1.950000	56.594	123.9821
1.975000	56.595	123.4244
2.000000	56.595	122.8809
2.030000	56.596	122.2480
2.060000	56.597	121.6373
2.090000	56.599	121.0494
2.120000	56.603	120.4854
2.140000	56.606	120.1231
2.180000	56.617	119.4324
2.200000	56.624	119.1046
2.240000	56.639	118.4899
2.270000	56.651	118.0638
2.300000	56.663	117.6650
2.330000	56.676	117.2912
2.360000	56.691	116.9398
2.400000	56.713	116.5023
2.430000	56.733	116.1943
2.470000	56.764	115.8060
2.500000	56.791	115.5283
2.540000	56.834	115.1718
2.580000	56.884	114.8296
2.620000	56.940	114.5289
2.650000	56.986	114.3300
2.690000	57.053	114.0929
2.720000	57.106	113.9309
2.760000	57.182	113.7283
2.800000	57.262	113.5323
2.850000	57.370	113.2821
2.900000	57.485	113.0088
2.950000	57.607	112.6992
3.000000	57.739	112.3877
3.040000	57.853	112.1398
3.070000	57.941	111.9517
3.110000	58.063	111.6949
3.150000	58.188	111.4272
3.200000	58.346	111.0710
3.250000	58.505	110.6830
3.300000	58.662	110.2550
3.350000	58.821	109.7867
3.400000	58.984	109.2848
3.450000	59.150	108.7537
3.500000	59.316	108.1981
3.550000	59.481	107.6227
3.600000	59.643	107.0319
3.650000	59.800	106.4305
3.700000	59.952	105.8141
3.750000	60.101	105.1678
3.820000	60.306	104.2278
3.870000	60.449	103.5430
3.950000	60.669	102.4481
4.000000	60.801	101.7778
4.060000	60.952	100.9947
4.120000	61.095	100.2081
4.180000	61.233	99.4230
4.250000	61.386	98.5236
4.310000	61.512	97.7794
4.370000	61.634	97.0714
4.440000	61.771	96.2976
4.500000	61.883	95.6651
4.550000	61.972	95.1600
4.620000	62.092	94.4886
4.680000	62.194	93.9484
4.750000	62.313	93.3622
4.820000	62.431	92.8296
4.870000	62.513	92.4834
4.940000	62.628	92.0383
5.000000	62.725	91.6864
5.080000	62.857	91.2473
5.150000	62.977	90.8823
5.220000	63.098	90.5544
5.300000	63.239	90.2187
5.380000	63.382	89.9042
5.450000	63.509	89.6293
5.520000	63.638	89.3424
5.600000	63.788	89.0196
5.700000	63.979	88.6204
5.800000	64.170	88.2071
5.900000	64.356	87.7615
6.000000	64.542	87.2864
6.080000	64.689	86.8915
6.150000	64.815	86.5387
6.220000	64.936	86.1817
6.300000	65.071	85.7640
6.400000	65.234	85.2243
6.500000	65.390	84.6823
6.600000	65.539	84.1566
6.700000	65.680	83.6432
6.800000	65.813	83.1390
6.900000	65.941	82.6552
7.000000	66.064	82.2019
7.100000	66.182	81.7766
7.200000	66.296	81.3752
7.300000	66.408	80.9945
7.400000	66.519	80.6360
7.500000	66.628	80.3031
7.620000	66.757	79.9217
7.750000	66.896	79.5136
7.880000	67.034	79.1205
8.000000	67.160	78.7589
8.120000	67.284	78.3853
8.250000	67.417	77.9727
8.380000	67.547	77.5515
8.500000	67.663	77.1522
8.620000	67.775	76.7425
8.750000	67.893	76.2946
8.850000	67.980	75.9508
9.000000	68.105	75.4319
9.120000	68.202	75.0193
9.250000	68.304	74.5796
9.380000	68.401	74.1452
9.500000	68.489	73.7476
9.620000	68.578	73.3534
9.750000	68.672	72.9306
9.880000	68.757	72.5066
10.000000	68.822	72.1127
10.150000	68.890	71.6183
10.300000	68.951	71.1185
10.440000	69.001	70.6458
10.600000	69.053	70.1030
10.750000	69.101	69.5933
10.900000	69.147	69.0834
11.060000	69.195	68.5464
11.200000	69.234	68.0817
11.380000	69.285	67.4923
11.500000	69.318	67.1057
11.720000	69.379	66.4041
11.800000	69.402	66.1499
12.060000	69.475	65.3264
12.200000	69.513	64.8792
12.410000	69.572	64.2045
12.500000	69.603	63.9141
12.650000	69.663	63.4273
12.800000	69.726	62.9421
13.150000	69.866	61.8257
13.200000	69.885	61.6696
13.400000	69.962	61.0546
13.600000	70.038	60.4542
13.800000	70.112	59.8698
14.000000	70.186	59.2940
14.300000	70.294	58.4426
