* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 2:27:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Ziigaat New Black Stock 1088
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.686 34.8710
20.600000 133.681 34.1879
20.900000 133.682 33.4536
21.200001 133.687 32.5741
21.400000 133.687 31.9248
21.799999 133.676 30.5710
22.000000 133.666 29.9227
22.400000 133.644 28.7921
22.700001 133.637 28.1152
23.000000 133.646 27.5494
23.299999 133.671 27.0162
23.600000 133.706 26.4477
24.000000 133.754 25.5604
24.299999 133.779 24.7873
24.700001 133.787 23.6550
25.000000 133.772 22.7822
25.400000 133.728 21.6616
25.799999 133.665 20.6692
26.200001 133.596 19.8623
26.500000 133.550 19.3817
26.900000 133.509 18.8605
27.200001 133.498 18.4914
27.600000 133.508 17.9258
28.000000 133.531 17.1974
28.500000 133.549 16.0817
29.000000 133.534 14.9357
29.500000 133.486 13.9714
30.000000 133.428 13.2546
30.400000 133.385 12.7825
30.700001 133.358 12.4258
31.100000 133.325 11.8814
31.500000 133.294 11.2320
32.000000 133.255 10.3021
32.500000 133.220 9.3339
33.000000 133.199 8.4277
33.500000 133.200 7.6191
34.000000 133.221 6.8716
34.500000 133.251 6.1185
35.000000 133.270 5.3354
35.500000 133.262 4.5676
36.000000 133.225 3.8860
36.500000 133.169 3.3067
37.000000 133.104 2.7630
37.500000 133.038 2.1714
38.200001 132.950 1.2496
38.700001 132.904 0.6094
39.500000 132.886 -0.3083
40.000000 132.890 -0.8729
40.599998 132.872 -1.5322
41.200001 132.818 -2.0610
41.799999 132.767 -2.4871
42.500000 132.748 -3.1677
43.099998 132.741 -4.0348
43.700001 132.710 -4.9011
44.400002 132.657 -5.6274
45.000000 132.622 -6.1552
45.500000 132.585 -6.6860
46.200001 132.500 -7.4379
46.799999 132.414 -7.8882
47.500000 132.336 -8.3505
48.200001 132.268 -9.0427
48.700001 132.222 -9.6415
49.400002 132.185 -10.4794
50.000000 132.184 -11.1356
50.799999 132.180 -11.6692
51.500000 132.167 -11.7562
52.200001 132.137 -11.9357
53.000000 132.041 -12.4596
53.799999 131.925 -12.9330
54.500000 131.861 -13.4189
55.200001 131.790 -14.1174
56.000000 131.696 -14.8418
57.000000 131.656 -15.6608
58.000000 131.637 -16.6108
59.000000 131.573 -17.3250
60.000000 131.521 -18.0594
60.799999 131.513 -18.6922
61.500000 131.505 -19.1641
62.200001 131.466 -19.4109
63.000000 131.408 -19.4692
64.000000 131.362 -19.8716
65.000000 131.289 -20.4155
66.000000 131.224 -20.5239
67.000000 131.146 -20.9739
68.000000 131.029 -21.6187
69.000000 130.980 -22.3553
70.000000 130.922 -23.1537
71.000000 130.866 -23.4226
72.000000 130.838 -23.7708
73.000000 130.746 -24.0059
74.000000 130.672 -24.0961
75.000000 130.591 -24.6337
76.199997 130.479 -25.1231
77.500000 130.418 -25.6862
78.800003 130.350 -26.1283
80.000000 130.304 -26.3596
81.199997 130.238 -26.5391
82.500000 130.127 -26.7304
83.800003 130.017 -27.2549
85.000000 129.942 -27.7409
86.199997 129.881 -28.1241
87.500000 129.791 -28.5732
88.500000 129.745 -28.9321
90.000000 129.681 -29.1473
91.199997 129.619 -29.2861
92.500000 129.557 -29.5087
93.800003 129.484 -29.6254
95.000000 129.393 -29.7527
96.199997 129.310 -30.0124
97.500000 129.249 -30.2839
98.800003 129.156 -30.4793
100.000000 129.070 -30.6598
101.500000 129.005 -30.8909
103.000000 128.922 -31.2175
104.400002 128.829 -31.1365
106.000000 128.774 -31.3233
107.500000 128.708 -31.6186
109.000000 128.624 -31.6142
110.599998 128.499 -31.7780
112.000000 128.421 -32.0523
113.800003 128.353 -31.8506
115.000000 128.278 -31.8327
117.199997 128.164 -32.0751
118.000000 128.114 -32.1801
120.599998 128.032 -32.4009
122.000000 127.969 -32.2036
124.099998 127.881 -32.2625
125.000000 127.861 -32.2730
126.500000 127.779 -32.5253
128.000000 127.733 -32.6378
131.500000 127.566 -32.6766
132.000000 127.544 -32.6564
134.000000 127.465 -32.6870
136.000000 127.399 -32.5187
138.000000 127.301 -32.2233
140.000000 127.197 -32.1508
143.000000 127.070 -32.0368
145.000000 126.972 -31.8413
147.500000 126.862 -31.9034
150.000000 126.784 -31.7360
152.500000 126.670 -31.6386
155.000000 126.610 -31.5572
157.500000 126.550 -31.5661
160.000000 126.450 -31.3145
162.500000 126.359 -31.0933
165.000000 126.265 -30.9134
167.500000 126.188 -30.5774
170.000000 126.099 -30.5228
172.500000 126.052 -30.2245
175.000000 125.959 -29.9723
177.500000 125.913 -29.7418
180.000000 125.836 -29.5548
182.500000 125.778 -29.3585
185.000000 125.710 -29.1929
187.500000 125.672 -29.0419
190.000000 125.609 -28.9607
192.500000 125.561 -28.5479
195.000000 125.499 -28.2730
197.500000 125.430 -27.8854
200.000000 125.372 -27.6553
203.000000 125.316 -27.4551
206.000000 125.272 -27.1315
209.000000 125.199 -26.7012
212.000000 125.161 -26.4297
214.000000 125.121 -26.3651
218.000000 125.067 -26.1905
220.000000 125.028 -25.8694
224.000000 124.957 -25.4548
227.000000 124.906 -25.1772
230.000000 124.844 -24.7770
233.000000 124.776 -24.3100
236.000000 124.724 -23.9058
240.000000 124.689 -23.5020
243.000000 124.648 -23.2522
247.000000 124.595 -23.0523
250.000000 124.552 -22.8360
254.000000 124.515 -22.6318
258.000000 124.468 -22.0917
262.000000 124.431 -21.6063
265.000000 124.382 -21.2220
269.000000 124.312 -20.7057
272.000000 124.278 -20.4147
276.000000 124.244 -20.0694
280.000000 124.192 -19.8274
285.000000 124.167 -19.4541
290.000000 124.124 -18.9887
295.000000 124.079 -18.5214
300.000000 124.053 -17.9878
304.000000 124.010 -17.5279
307.000000 123.979 -17.2640
311.000000 123.978 -16.8954
315.000000 123.956 -16.5698
320.000000 123.956 -16.2688
325.000000 123.950 -16.0520
330.000000 123.933 -15.6006
335.000000 123.907 -15.1735
340.000000 123.880 -14.7093
345.000000 123.843 -14.2027
350.000000 123.804 -13.7482
355.000000 123.766 -13.2889
360.000000 123.743 -12.9728
365.000000 123.725 -12.6525
370.000000 123.728 -12.2734
375.000000 123.721 -11.8504
382.000000 123.700 -11.5194
387.000000 123.692 -11.1453
395.000000 123.638 -10.4917
400.000000 123.622 -10.0202
406.000000 123.583 -9.6678
412.000000 123.554 -9.2390
418.000000 123.516 -8.7941
425.000000 123.474 -8.3290
431.000000 123.454 -7.8733
437.000000 123.440 -7.4101
444.000000 123.414 -6.9073
450.000000 123.408 -6.5736
455.000000 123.403 -6.3091
462.000000 123.416 -5.8833
468.000000 123.402 -5.5037
475.000000 123.394 -5.0130
482.000000 123.388 -4.4739
487.000000 123.364 -4.1744
494.000000 123.352 -3.7359
500.000000 123.325 -3.3765
508.000000 123.304 -2.8618
515.000000 123.283 -2.3523
522.000000 123.257 -1.8651
530.000000 123.246 -1.3031
538.000000 123.236 -0.8152
545.000000 123.236 -0.4369
552.000000 123.251 -0.0393
560.000000 123.277 0.5640
570.000000 123.313 1.0880
580.000000 123.323 1.5952
590.000000 123.321 2.3238
600.000000 123.290 2.9892
608.000000 123.276 3.5140
615.000000 123.284 4.0742
622.000000 123.267 4.5660
630.000000 123.269 5.1444
640.000000 123.267 5.7215
650.000000 123.283 6.4915
660.000000 123.288 7.1719
670.000000 123.277 7.8014
680.000000 123.301 8.4975
690.000000 123.305 9.0595
700.000000 123.302 9.6006
710.000000 123.300 10.3593
720.000000 123.314 10.8649
730.000000 123.331 11.4419
740.000000 123.337 12.1273
750.000000 123.366 12.7378
762.000000 123.401 13.4329
775.000000 123.435 14.2319
788.000000 123.462 14.9828
800.000000 123.495 15.7859
812.000000 123.548 16.5189
825.000000 123.602 17.3069
838.000000 123.682 18.0336
850.000000 123.756 18.7416
862.000000 123.834 19.3862
875.000000 123.897 20.0991
885.000000 123.951 20.6521
900.000000 124.027 21.5523
912.000000 124.101 22.1937
925.000000 124.168 22.7113
938.000000 124.263 23.3796
950.000000 124.330 23.9778
962.000000 124.408 24.4602
975.000000 124.501 25.0841
988.000000 124.607 25.5576
1000.000000 124.679 25.7876
1015.000000 124.812 26.5206
1030.000000 124.915 27.0031
1044.000000 125.004 27.4880
1060.000000 125.139 27.9419
1075.000000 125.247 28.1496
1090.000000 125.356 28.4096
1106.000000 125.453 28.7936
1120.000000 125.529 29.1281
1138.000000 125.645 29.3965
1150.000000 125.739 29.4440
1172.000000 125.866 29.6165
1180.000000 125.917 29.6783
1206.000000 126.056 29.9549
1220.000000 126.142 30.0078
1241.000000 126.277 30.0620
1250.000000 126.335 30.0126
1265.000000 126.425 30.1188
1280.000000 126.515 30.1236
1315.000000 126.721 30.0809
1320.000000 126.747 30.1133
1340.000000 126.852 30.0767
1360.000000 126.939 30.0805
1380.000000 127.038 30.0891
1400.000000 127.118 30.1239
1430.000000 127.261 29.9656
1450.000000 127.358 30.0206
1475.000000 127.480 29.9736
1500.000000 127.599 29.8553
1525.000000 127.696 29.8424
1550.000000 127.780 29.7876
1575.000000 127.850 29.7688
1600.000000 127.926 29.6716
1625.000000 128.001 29.6412
1650.000000 128.077 29.6107
1675.000000 128.162 29.4353
1700.000000 128.266 29.3166
1725.000000 128.366 29.2152
1750.000000 128.461 29.0420
1775.000000 128.561 28.9178
1800.000000 128.642 28.7187
1825.000000 128.733 28.5829
1850.000000 128.817 28.3831
1875.000000 128.912 28.1065
1900.000000 128.989 27.8639
1925.000000 129.059 27.6596
1950.000000 129.136 27.3826
1975.000000 129.206 27.0191
2000.000000 129.269 26.9194
2030.000000 129.362 26.3882
2060.000000 129.435 25.9350
2090.000000 129.515 25.5562
2120.000000 129.592 25.0421
2140.000000 129.658 24.7680
2180.000000 129.771 24.1342
2200.000000 129.827 23.7661
2240.000000 129.925 23.1380
2270.000000 129.999 22.6238
2300.000000 130.035 21.9507
2330.000000 130.065 21.5650
2360.000000 130.073 21.0726
2400.000000 130.129 20.3389
2430.000000 130.171 19.7768
2470.000000 130.211 19.1006
2500.000000 130.244 18.6442
2540.000000 130.303 17.8823
2580.000000 130.386 17.1409
2620.000000 130.447 16.2203
2650.000000 130.480 15.5934
2690.000000 130.504 14.7607
2720.000000 130.517 13.8562
2760.000000 130.516 12.8779
2800.000000 130.478 11.7809
2850.000000 130.365 10.7173
2900.000000 130.244 9.7308
2950.000000 130.165 9.1059
3000.000000 130.083 8.5665
3040.000000 130.005 8.3821
3070.000000 129.970 8.1354
3110.000000 129.947 7.9610
3150.000000 129.962 7.8188
3200.000000 129.980 7.6973
3250.000000 130.000 7.6464
3300.000000 130.029 7.5078
3350.000000 130.077 7.4947
3400.000000 130.122 7.3328
3450.000000 130.201 7.1327
3500.000000 130.278 6.6792
3550.000000 130.330 6.4340
3600.000000 130.369 5.8800
3650.000000 130.434 5.1925
3700.000000 130.491 4.4373
3750.000000 130.538 3.5776
3820.000000 130.578 2.2696
3870.000000 130.581 1.2752
3950.000000 130.559 -0.1222
4000.000000 130.533 -0.9838
4060.000000 130.480 -1.6101
4120.000000 130.503 -1.2810
4180.000000 130.752 -3.0230
4250.000000 130.740 -5.6965
4310.000000 130.648 -7.4047
4370.000000 130.536 -9.0258
4440.000000 130.396 -10.9711
4500.000000 130.239 -12.6275
4550.000000 130.079 -13.9262
4620.000000 129.861 -15.6868
4680.000000 129.664 -17.0753
4750.000000 129.373 -18.3756
4820.000000 129.067 -19.4533
4870.000000 128.846 -20.0506
4940.000000 128.509 -20.5189
5000.000000 128.247 -20.8140
5080.000000 127.867 -20.7531
5150.000000 127.520 -20.4476
5220.000000 127.167 -19.5941
5300.000000 126.823 -18.7567
5380.000000 126.448 -17.3169
5450.000000 126.144 -16.1170
5520.000000 125.892 -14.5802
5600.000000 125.657 -12.8059
5700.000000 125.425 -10.4799
5800.000000 125.271 -7.9924
