* Measurement data measured by REW V5.30 beta 3
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.645. Timing signal peak level -19.2 dBFS, measurement signal peak level -17.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 29, 2023 12:52:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0293 ms (-10 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L ZIIGAAT NUO Left Nov 29
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 137.609 -138.5917
20.600000 137.639 -139.3471
20.900000 137.663 -140.0213
21.200001 137.687 -140.6916
21.400000 137.704 -141.1416
21.799999 137.739 -142.0501
22.000000 137.758 -142.5065
22.400000 137.794 -143.4125
22.700001 137.821 -144.0765
23.000000 137.846 -144.7206
23.299999 137.869 -145.3441
23.600000 137.891 -145.9490
24.000000 137.917 -146.7308
24.299999 137.934 -147.3018
24.700001 137.955 -148.0454
25.000000 137.970 -148.5917
25.400000 137.990 -149.3088
25.799999 138.009 -150.0185
26.200001 138.027 -150.7234
26.500000 138.039 -151.2463
26.900000 138.052 -151.9292
27.200001 138.060 -152.4256
27.600000 138.068 -153.0642
28.000000 138.077 -153.6815
28.500000 138.089 -154.4409
29.000000 138.101 -155.2014
29.500000 138.111 -155.9588
30.000000 138.117 -156.6946
30.400000 138.121 -157.2593
30.700001 138.123 -157.6697
31.100000 138.126 -158.2053
31.500000 138.129 -158.7344
32.000000 138.131 -159.3911
32.500000 138.131 -160.0382
33.000000 138.130 -160.6674
33.500000 138.128 -161.2767
34.000000 138.128 -161.8723
34.500000 138.127 -162.4619
35.000000 138.124 -163.0459
35.500000 138.119 -163.6157
36.000000 138.113 -164.1640
36.500000 138.106 -164.6929
37.000000 138.101 -165.2133
37.500000 138.095 -165.7317
38.200001 138.083 -166.4445
38.700001 138.074 -166.9344
39.500000 138.060 -167.6952
40.000000 138.051 -168.1673
40.599998 138.038 -168.7270
41.200001 138.024 -169.2689
41.799999 138.009 -169.7951
42.500000 137.993 -170.3992
43.099998 137.979 -170.9084
43.700001 137.963 -171.4040
44.400002 137.944 -171.9618
45.000000 137.928 -172.4246
45.500000 137.915 -172.8056
46.200001 137.896 -173.3392
46.799999 137.878 -173.7893
47.500000 137.856 -174.2901
48.200001 137.835 -174.7757
48.700001 137.820 -175.1233
49.400002 137.797 -175.6014
50.000000 137.777 -175.9914
50.799999 137.753 -176.5018
51.500000 137.731 -176.9515
52.200001 137.707 -177.3817
53.000000 137.680 -177.8475
53.799999 137.654 -178.3186
54.500000 137.629 -178.7277
55.200001 137.605 -179.1202
56.000000 137.578 -179.5614
57.000000 137.541 179.9025
58.000000 137.505 179.3848
59.000000 137.468 178.8711
60.000000 137.430 178.3989
60.799999 137.402 178.0224
61.500000 137.377 177.6906
62.200001 137.351 177.3760
63.000000 137.323 177.0280
64.000000 137.287 176.5957
65.000000 137.249 176.1782
66.000000 137.211 175.7672
67.000000 137.174 175.3740
68.000000 137.137 174.9843
69.000000 137.099 174.6076
70.000000 137.061 174.2484
71.000000 137.023 173.8994
72.000000 136.986 173.5608
73.000000 136.948 173.2256
74.000000 136.910 172.9059
75.000000 136.872 172.5870
76.199997 136.827 172.2223
77.500000 136.780 171.8506
78.800003 136.730 171.4717
80.000000 136.685 171.1538
81.199997 136.641 170.8300
82.500000 136.592 170.5007
83.800003 136.543 170.1669
85.000000 136.500 169.8857
86.199997 136.454 169.6277
87.500000 136.410 169.3852
88.500000 136.374 169.1278
90.000000 136.317 168.8156
91.199997 136.276 168.5754
92.500000 136.228 168.3507
93.800003 136.181 168.0947
95.000000 136.139 167.8812
96.199997 136.095 167.6882
97.500000 136.051 167.4668
98.800003 136.003 167.2471
100.000000 135.963 167.0914
101.500000 135.910 166.8564
103.000000 135.860 166.6371
104.400002 135.812 166.4633
106.000000 135.757 166.2740
107.500000 135.708 166.0920
109.000000 135.659 165.9174
110.599998 135.608 165.7466
112.000000 135.561 165.5966
113.800003 135.501 165.4226
115.000000 135.465 165.3132
117.199997 135.392 165.1047
118.000000 135.366 165.0314
120.599998 135.292 164.8958
122.000000 135.240 164.7506
124.099998 135.180 164.6185
125.000000 135.153 164.5576
126.500000 135.107 164.4744
128.000000 135.064 164.3934
131.500000 134.962 164.2135
132.000000 134.949 164.2007
134.000000 134.891 164.0851
136.000000 134.835 164.0302
138.000000 134.778 163.9631
140.000000 134.723 163.8762
143.000000 134.639 163.7974
145.000000 134.591 163.7737
147.500000 134.525 163.7387
150.000000 134.460 163.7152
152.500000 134.398 163.7011
155.000000 134.336 163.6584
157.500000 134.277 163.6493
160.000000 134.216 163.6607
162.500000 134.158 163.6943
165.000000 134.099 163.6889
167.500000 134.042 163.7141
170.000000 133.988 163.7373
172.500000 133.934 163.7991
175.000000 133.880 163.8548
177.500000 133.825 163.9022
180.000000 133.775 163.9614
182.500000 133.723 164.0213
185.000000 133.675 164.0945
187.500000 133.623 164.1414
190.000000 133.573 164.2521
192.500000 133.526 164.2992
195.000000 133.480 164.3825
197.500000 133.434 164.5027
200.000000 133.392 164.6109
203.000000 133.336 164.7148
206.000000 133.284 164.8318
209.000000 133.228 164.9746
212.000000 133.184 165.0911
214.000000 133.149 165.1868
218.000000 133.088 165.3649
220.000000 133.057 165.4604
224.000000 132.996 165.6554
227.000000 132.951 165.8064
230.000000 132.906 165.9512
233.000000 132.864 166.1114
236.000000 132.823 166.2742
240.000000 132.764 166.4898
243.000000 132.726 166.6485
247.000000 132.674 166.8965
250.000000 132.636 167.0283
254.000000 132.587 167.2581
258.000000 132.539 167.4984
262.000000 132.492 167.7417
265.000000 132.456 167.9297
269.000000 132.412 168.1666
272.000000 132.377 168.3192
276.000000 132.334 168.5849
280.000000 132.290 168.8505
285.000000 132.242 169.1659
290.000000 132.190 169.4385
295.000000 132.150 169.7699
300.000000 132.100 170.0964
304.000000 132.066 170.3451
307.000000 132.039 170.5125
311.000000 132.008 170.7780
315.000000 131.972 171.0359
320.000000 131.936 171.3696
325.000000 131.892 171.6854
330.000000 131.856 172.0168
335.000000 131.819 172.3045
340.000000 131.783 172.6488
345.000000 131.751 172.9661
350.000000 131.718 173.3112
355.000000 131.685 173.6501
360.000000 131.655 173.9590
365.000000 131.624 174.2787
370.000000 131.601 174.6284
375.000000 131.572 174.9523
382.000000 131.533 175.3935
387.000000 131.507 175.7040
395.000000 131.472 176.2315
400.000000 131.447 176.5692
406.000000 131.417 176.9399
412.000000 131.389 177.3400
418.000000 131.366 177.7148
425.000000 131.338 178.1703
431.000000 131.315 178.5653
437.000000 131.290 178.9564
444.000000 131.268 179.3789
450.000000 131.246 179.8077
455.000000 131.235 -179.8809
462.000000 131.213 -179.4348
468.000000 131.196 -179.0815
475.000000 131.175 -178.6165
482.000000 131.153 -178.1782
487.000000 131.144 -177.8646
494.000000 131.130 -177.4114
500.000000 131.108 -177.0246
508.000000 131.090 -176.4796
515.000000 131.081 -176.0435
522.000000 131.068 -175.6094
530.000000 131.051 -175.0712
538.000000 131.038 -174.5920
545.000000 131.028 -174.1369
552.000000 131.018 -173.6700
560.000000 131.008 -173.1755
570.000000 131.002 -172.5258
580.000000 130.991 -171.9321
590.000000 130.983 -171.2579
600.000000 130.980 -170.6313
608.000000 130.973 -170.0851
615.000000 130.972 -169.6656
622.000000 130.969 -169.2178
630.000000 130.973 -168.6911
640.000000 130.977 -168.0369
650.000000 130.975 -167.4364
660.000000 130.981 -166.7895
670.000000 130.987 -166.1049
680.000000 130.997 -165.5020
690.000000 131.002 -164.8289
700.000000 131.019 -164.2041
710.000000 131.032 -163.5072
720.000000 131.053 -162.8967
730.000000 131.069 -162.2391
740.000000 131.088 -161.5754
750.000000 131.110 -160.9352
762.000000 131.141 -160.1710
775.000000 131.180 -159.3093
788.000000 131.221 -158.4998
800.000000 131.260 -157.6973
812.000000 131.302 -156.9250
825.000000 131.354 -156.1409
838.000000 131.410 -155.3625
850.000000 131.464 -154.5989
862.000000 131.524 -153.8638
875.000000 131.592 -153.1094
885.000000 131.644 -152.5258
900.000000 131.731 -151.6808
912.000000 131.806 -151.0094
925.000000 131.889 -150.3383
938.000000 131.970 -149.6760
950.000000 132.049 -149.0904
962.000000 132.131 -148.4959
975.000000 132.220 -147.9039
988.000000 132.311 -147.3272
1000.000000 132.385 -146.9347
1015.000000 132.508 -146.2646
1030.000000 132.615 -145.7229
1044.000000 132.716 -145.2729
1060.000000 132.834 -144.7174
1075.000000 132.931 -144.2740
1090.000000 133.035 -143.8651
1106.000000 133.137 -143.3834
1120.000000 133.227 -142.9959
1138.000000 133.328 -142.4284
1150.000000 133.399 -142.0015
1172.000000 133.522 -141.0151
1180.000000 133.581 -140.5506
1206.000000 133.880 -138.9588
1220.000000 134.124 -138.5742
1241.000000 134.412 -139.0643
1250.000000 134.494 -139.2659
1265.000000 134.598 -139.5212
1280.000000 134.701 -139.6497
1315.000000 134.937 -139.8120
1320.000000 134.968 -139.7903
1340.000000 135.096 -139.8863
1360.000000 135.219 -139.9894
1380.000000 135.332 -140.0822
1400.000000 135.445 -140.1820
1430.000000 135.603 -140.3371
1450.000000 135.709 -140.4064
1475.000000 135.833 -140.5019
1500.000000 135.955 -140.5920
1525.000000 136.075 -140.7157
1550.000000 136.196 -140.8050
1575.000000 136.313 -140.9174
1600.000000 136.432 -141.0362
1625.000000 136.551 -141.1431
1650.000000 136.667 -141.2924
1675.000000 136.782 -141.4528
1700.000000 136.896 -141.6069
1725.000000 137.013 -141.7746
1750.000000 137.126 -141.9756
1775.000000 137.238 -142.2019
1800.000000 137.350 -142.4426
1825.000000 137.463 -142.7084
1850.000000 137.573 -142.9800
1875.000000 137.682 -143.2927
1900.000000 137.789 -143.6161
1925.000000 137.897 -143.9854
1950.000000 138.001 -144.4012
1975.000000 138.104 -144.7884
2000.000000 138.210 -145.2641
2030.000000 138.317 -145.7737
2060.000000 138.429 -146.3783
2090.000000 138.533 -146.9944
2120.000000 138.636 -147.6694
2140.000000 138.704 -148.1416
2180.000000 138.823 -149.0726
2200.000000 138.882 -149.5735
2240.000000 138.988 -150.5900
2270.000000 139.060 -151.3827
2300.000000 139.125 -152.1831
2330.000000 139.183 -152.9984
2360.000000 139.232 -153.8360
2400.000000 139.292 -154.9355
2430.000000 139.328 -155.7866
2470.000000 139.368 -156.9002
2500.000000 139.391 -157.6975
2540.000000 139.412 -158.7756
2580.000000 139.424 -159.8290
2620.000000 139.426 -160.8485
2650.000000 139.423 -161.5889
2690.000000 139.414 -162.5295
2720.000000 139.403 -163.2132
2760.000000 139.382 -164.0927
2800.000000 139.356 -164.9153
2850.000000 139.323 -165.8904
2900.000000 139.283 -166.7770
2950.000000 139.240 -167.6017
3000.000000 139.195 -168.3047
3040.000000 139.163 -168.9290
3070.000000 139.143 -169.3236
3110.000000 139.110 -169.7987
3150.000000 139.083 -170.2721
3200.000000 139.050 -170.7722
3250.000000 139.022 -171.2892
3300.000000 139.000 -171.7541
3350.000000 138.982 -172.2103
3400.000000 138.969 -172.6324
3450.000000 138.967 -173.0516
3500.000000 138.968 -173.5153
3550.000000 138.975 -173.9485
3600.000000 138.989 -174.3817
3650.000000 139.006 -174.8911
3700.000000 139.031 -175.4021
3750.000000 139.059 -175.9789
3820.000000 139.103 -176.8253
3870.000000 139.138 -177.5078
3950.000000 139.197 -178.7290
4000.000000 139.223 -179.5928
4060.000000 139.272 179.2502
4120.000000 139.309 177.9976
4180.000000 139.335 176.5840
4250.000000 139.349 174.8357
4310.000000 139.338 173.1913
4370.000000 139.310 171.4582
4440.000000 139.242 169.3230
4500.000000 139.153 167.4192
4550.000000 139.049 165.8201
4620.000000 138.859 163.6389
4680.000000 138.657 161.8158
4750.000000 138.348 159.9726
4820.000000 137.979 158.7210
4870.000000 137.718 158.5177
4940.000000 137.518 158.8257
5000.000000 137.463 158.2653
5080.000000 137.280 156.2983
5150.000000 136.979 154.7286
5220.000000 136.628 153.5265
