* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 3:09:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L acoustune aex50 1212
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 132.953 32.3488
20.600000 132.941 31.5176
20.900000 132.925 30.8660
21.200001 132.913 30.2542
21.400000 132.908 29.8252
21.799999 132.903 28.8631
22.000000 132.900 28.3163
22.400000 132.891 27.1114
22.700001 132.881 26.1688
23.000000 132.874 25.2542
23.299999 132.872 24.3994
23.600000 132.879 23.6097
24.000000 132.895 22.6460
24.299999 132.904 21.9754
24.700001 132.902 21.1402
25.000000 132.885 20.5509
25.400000 132.845 19.7874
25.799999 132.793 18.9890
26.200001 132.737 18.1038
26.500000 132.697 17.3899
26.900000 132.654 16.4293
27.200001 132.634 15.7540
27.600000 132.634 14.9494
28.000000 132.661 14.2242
28.500000 132.705 13.3392
29.000000 132.715 12.4809
29.500000 132.674 11.7671
30.000000 132.617 11.1987
30.400000 132.588 10.6803
30.700001 132.577 10.1505
31.100000 132.565 9.2238
31.500000 132.539 8.1591
32.000000 132.484 6.9523
32.500000 132.433 6.1302
33.000000 132.416 5.5969
33.500000 132.427 5.0586
34.000000 132.425 4.3514
34.500000 132.386 3.5556
35.000000 132.320 2.8149
35.500000 132.255 2.1896
36.000000 132.213 1.6349
36.500000 132.204 1.0598
37.000000 132.217 0.3678
37.500000 132.229 -0.4675
38.200001 132.194 -1.6300
38.700001 132.133 -2.1779
39.500000 132.061 -2.5676
40.000000 132.049 -2.9395
40.599998 132.016 -3.7801
41.200001 131.924 -4.6981
41.799999 131.822 -5.2730
42.500000 131.778 -5.7280
43.099998 131.775 -6.4403
43.700001 131.733 -7.3830
44.400002 131.642 -8.3234
45.000000 131.582 -8.9416
45.500000 131.546 -9.3966
46.200001 131.505 -9.7732
46.799999 131.503 -9.8333
47.500000 131.534 -10.1602
48.200001 131.506 -10.9137
48.700001 131.445 -11.3555
49.400002 131.393 -11.6798
50.000000 131.393 -12.1171
50.799999 131.349 -13.0481
51.500000 131.257 -13.7225
52.200001 131.180 -14.4236
53.000000 131.084 -15.4087
53.799999 131.006 -15.9938
54.500000 131.004 -16.3598
55.200001 130.988 -16.8177
56.000000 130.927 -16.9317
57.000000 130.887 -17.0140
58.000000 130.724 -17.7170
59.000000 130.554 -18.1152
60.000000 130.513 -19.1467
60.799999 130.437 -19.8471
61.500000 130.380 -19.8403
62.200001 130.381 -19.8901
63.000000 130.376 -20.6413
64.000000 130.290 -21.6317
65.000000 130.254 -21.7621
66.000000 130.230 -22.1594
67.000000 130.082 -22.9129
68.000000 129.940 -23.2996
69.000000 129.920 -23.4695
70.000000 129.910 -24.0140
71.000000 129.818 -24.4064
72.000000 129.783 -24.4021
73.000000 129.806 -24.6945
74.000000 129.795 -25.3879
75.000000 129.708 -26.0099
76.199997 129.607 -26.3934
77.500000 129.515 -26.8502
78.800003 129.447 -27.5149
80.000000 129.275 -27.9616
81.199997 129.133 -28.4889
82.500000 129.041 -28.4381
83.800003 129.034 -28.3467
85.000000 128.977 -28.3215
86.199997 128.958 -28.7923
87.500000 128.868 -28.6074
88.500000 128.815 -28.7146
90.000000 128.628 -28.9294
91.199997 128.581 -29.3211
92.500000 128.433 -30.0843
93.800003 128.417 -30.5347
95.000000 128.350 -31.3773
96.199997 128.287 -31.5196
97.500000 128.280 -31.8650
98.800003 128.201 -31.8102
100.000000 128.140 -31.2164
101.500000 128.030 -31.1450
103.000000 127.874 -30.7157
104.400002 127.826 -30.8934
106.000000 127.656 -30.8339
107.500000 127.587 -31.0177
109.000000 127.527 -31.6023
110.599998 127.450 -31.8087
112.000000 127.455 -32.2132
113.800003 127.372 -32.7317
115.000000 127.319 -32.7579
117.199997 127.263 -32.9349
118.000000 127.204 -32.8978
120.599998 127.032 -32.3391
122.000000 126.956 -32.2796
124.099998 126.831 -32.2029
125.000000 126.778 -31.8710
126.500000 126.720 -31.4147
128.000000 126.659 -31.4693
131.500000 126.470 -31.7555
132.000000 126.456 -31.7545
134.000000 126.414 -31.8783
136.000000 126.356 -32.1034
138.000000 126.258 -32.4216
140.000000 126.203 -32.4101
143.000000 126.100 -31.8298
145.000000 126.030 -31.4223
147.500000 125.929 -31.0000
150.000000 125.794 -30.4577
152.500000 125.671 -30.2832
155.000000 125.558 -30.0384
157.500000 125.475 -30.0027
160.000000 125.400 -29.7876
162.500000 125.363 -29.6718
165.000000 125.296 -29.4174
167.500000 125.249 -29.0051
170.000000 125.205 -28.6754
172.500000 125.131 -28.5591
175.000000 125.059 -28.2443
177.500000 124.989 -28.1060
180.000000 124.924 -27.7925
182.500000 124.863 -27.5186
185.000000 124.818 -27.0041
187.500000 124.743 -26.7003
190.000000 124.684 -26.4071
192.500000 124.668 -26.1348
195.000000 124.639 -25.7013
197.500000 124.585 -25.3109
200.000000 124.539 -25.2201
203.000000 124.533 -24.9318
206.000000 124.451 -24.1479
209.000000 124.426 -24.1637
212.000000 124.384 -23.3223
214.000000 124.336 -23.1095
218.000000 124.288 -22.6616
220.000000 124.238 -22.4364
224.000000 124.213 -22.1276
227.000000 124.185 -21.9306
230.000000 124.163 -21.9309
233.000000 124.164 -22.0293
236.000000 124.153 -21.8776
240.000000 124.117 -21.5468
243.000000 124.087 -21.2260
247.000000 124.031 -20.7259
250.000000 123.981 -20.2880
254.000000 123.949 -19.7193
258.000000 123.884 -19.1287
262.000000 123.828 -18.9776
265.000000 123.804 -18.8266
269.000000 123.773 -18.5867
272.000000 123.773 -18.4335
276.000000 123.749 -18.1677
280.000000 123.735 -17.7016
285.000000 123.693 -17.4197
290.000000 123.651 -17.0004
295.000000 123.562 -16.5748
300.000000 123.505 -15.9913
304.000000 123.482 -15.3249
307.000000 123.456 -15.0722
311.000000 123.407 -14.6341
315.000000 123.375 -14.3279
320.000000 123.340 -13.9760
325.000000 123.334 -13.5863
330.000000 123.335 -13.2527
335.000000 123.349 -12.9512
340.000000 123.331 -12.5663
345.000000 123.300 -12.4576
350.000000 123.282 -12.2345
355.000000 123.283 -11.7511
360.000000 123.277 -11.3491
365.000000 123.245 -10.9711
370.000000 123.210 -10.5953
375.000000 123.169 -10.3505
382.000000 123.177 -9.7317
387.000000 123.188 -9.5166
395.000000 123.137 -8.9393
400.000000 123.110 -8.5953
406.000000 123.102 -8.1065
412.000000 123.076 -7.8216
418.000000 123.038 -7.2771
425.000000 123.042 -6.9545
431.000000 123.020 -6.6278
437.000000 123.008 -6.2567
444.000000 122.980 -5.7434
450.000000 122.968 -5.3524
455.000000 122.949 -5.0399
462.000000 122.932 -4.7230
468.000000 122.915 -4.2363
475.000000 122.861 -3.7871
482.000000 122.851 -3.2190
487.000000 122.824 -2.8534
494.000000 122.790 -2.4784
500.000000 122.790 -2.0592
508.000000 122.778 -1.6406
515.000000 122.795 -1.3472
522.000000 122.801 -0.8773
530.000000 122.798 -0.4430
538.000000 122.796 -0.0181
545.000000 122.780 0.2701
552.000000 122.735 0.7033
560.000000 122.691 1.3082
570.000000 122.660 2.0346
580.000000 122.644 2.7607
590.000000 122.659 3.3623
600.000000 122.689 3.8799
608.000000 122.731 4.2189
615.000000 122.768 4.7781
622.000000 122.795 5.2860
630.000000 122.799 5.9235
640.000000 122.824 6.5368
650.000000 122.805 7.0659
660.000000 122.793 7.7989
670.000000 122.781 8.3837
680.000000 122.763 9.0225
690.000000 122.776 9.6203
700.000000 122.789 10.2276
710.000000 122.822 10.7071
720.000000 122.862 11.2647
730.000000 122.883 11.8570
740.000000 122.893 12.4904
750.000000 122.910 13.0478
762.000000 122.917 13.8440
775.000000 122.912 14.6524
788.000000 122.940 15.4974
800.000000 122.958 16.2271
812.000000 122.994 16.8620
825.000000 123.057 17.6039
838.000000 123.105 18.3097
850.000000 123.168 19.0268
862.000000 123.234 19.6493
875.000000 123.306 20.3317
885.000000 123.384 20.8523
900.000000 123.487 21.6599
912.000000 123.556 22.1719
925.000000 123.636 22.8480
938.000000 123.710 23.4680
950.000000 123.774 23.9773
962.000000 123.847 24.4586
975.000000 123.917 25.0355
988.000000 124.003 25.5532
1000.000000 124.078 26.3521
1015.000000 124.190 26.4505
1030.000000 124.316 26.9184
1044.000000 124.410 27.3286
1060.000000 124.538 27.6167
1075.000000 124.618 28.0811
1090.000000 124.722 28.4249
1106.000000 124.826 28.7867
1120.000000 124.915 28.8905
1138.000000 125.058 29.1779
1150.000000 125.146 29.2470
1172.000000 125.296 29.5228
1180.000000 125.363 29.6254
1206.000000 125.510 29.7027
1220.000000 125.595 29.8082
1241.000000 125.693 29.8924
1250.000000 125.727 29.9895
1265.000000 125.774 30.0736
1280.000000 125.827 30.0805
1315.000000 125.989 30.1443
1320.000000 126.025 30.1036
1340.000000 126.142 29.9960
1360.000000 126.252 30.1484
1380.000000 126.348 30.0794
1400.000000 126.470 30.0381
1430.000000 126.621 30.0097
1450.000000 126.675 29.9960
1475.000000 126.744 30.0938
1500.000000 126.812 30.1107
1525.000000 126.897 30.0765
1550.000000 126.985 30.0663
1575.000000 127.091 30.0023
1600.000000 127.212 29.8929
1625.000000 127.307 29.8801
1650.000000 127.394 29.8480
1675.000000 127.481 29.7021
1700.000000 127.579 29.6517
1725.000000 127.653 29.5313
1750.000000 127.738 29.5015
1775.000000 127.823 29.3218
1800.000000 127.899 29.1917
1825.000000 127.982 28.9836
1850.000000 128.041 28.8996
1875.000000 128.105 28.7772
1900.000000 128.183 28.4505
1925.000000 128.269 28.2638
1950.000000 128.363 28.1123
1975.000000 128.468 27.6653
2000.000000 128.568 27.2292
2030.000000 128.669 27.0398
2060.000000 128.755 26.7120
2090.000000 128.841 26.1980
2120.000000 128.917 25.8925
2140.000000 128.976 25.6419
2180.000000 129.089 24.9743
2200.000000 129.136 24.6448
2240.000000 129.194 24.0154
2270.000000 129.244 23.5803
2300.000000 129.313 22.9049
2330.000000 129.388 22.4250
2360.000000 129.459 21.8304
2400.000000 129.528 21.1355
2430.000000 129.542 20.7167
2470.000000 129.572 20.0360
2500.000000 129.605 19.4400
2540.000000 129.615 18.8048
2580.000000 129.666 18.1059
2620.000000 129.731 17.1146
2650.000000 129.783 16.4835
2690.000000 129.825 15.4350
2720.000000 129.844 14.6194
2760.000000 129.855 13.4858
2800.000000 129.832 12.3993
2850.000000 129.754 11.2117
2900.000000 129.630 10.3907
2950.000000 129.503 9.7669
3000.000000 129.401 9.5058
3040.000000 129.316 9.2976
3070.000000 129.274 9.3214
3110.000000 129.203 9.1797
3150.000000 129.190 9.2893
3200.000000 129.119 9.1615
3250.000000 129.134 9.4983
3300.000000 129.189 9.1736
3350.000000 129.239 9.3478
3400.000000 129.309 9.2431
3450.000000 129.404 9.0483
3500.000000 129.496 8.8090
3550.000000 129.570 8.4077
3600.000000 129.644 7.9246
3650.000000 129.698 7.2602
3700.000000 129.742 6.5924
3750.000000 129.794 5.6489
3820.000000 129.812 4.5757
3870.000000 129.806 3.7551
3950.000000 129.800 2.6459
4000.000000 129.777 1.9527
4060.000000 129.689 1.8754
4120.000000 129.902 2.4881
4180.000000 130.065 0.1484
4250.000000 130.024 -1.9697
4310.000000 129.989 -3.4154
4370.000000 129.958 -4.8191
4440.000000 129.892 -6.4646
4500.000000 129.816 -8.0932
4550.000000 129.743 -9.2948
4620.000000 129.596 -10.9220
4680.000000 129.417 -12.2096
4750.000000 129.162 -13.4850
4820.000000 128.885 -14.6240
4870.000000 128.678 -15.2398
4940.000000 128.337 -15.6662
5000.000000 128.070 -15.8741
5080.000000 127.724 -15.9461
5150.000000 127.455 -15.6219
5220.000000 127.205 -15.0852
5300.000000 126.933 -14.0537
5380.000000 126.724 -12.9173
5450.000000 126.559 -11.6972
5520.000000 126.401 -10.3348
5600.000000 126.233 -8.6816
5700.000000 126.082 -6.5616
5800.000000 126.021 -4.3315
5900.000000 126.016 -2.2913
