* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 3:05:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L acoustune flange aet06 12
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.390 26.2128
20.600000 133.102 24.9349
20.900000 132.804 24.3679
21.200001 132.542 24.2766
21.400000 132.404 24.3766
21.799999 132.219 24.7295
22.000000 132.167 24.8731
22.400000 132.118 24.9545
22.700001 132.103 24.8523
23.000000 132.090 24.6837
23.299999 132.078 24.5123
23.600000 132.069 24.3542
24.000000 132.070 24.1281
24.299999 132.081 23.8821
24.700001 132.103 23.3793
25.000000 132.116 22.8606
25.400000 132.119 22.0185
25.799999 132.103 21.0688
26.200001 132.075 20.0307
26.500000 132.053 19.1643
26.900000 132.024 17.8385
27.200001 132.007 16.7020
27.600000 131.989 15.0422
28.000000 131.987 13.3483
28.500000 132.025 11.3973
29.000000 132.124 9.7107
29.500000 132.277 8.1731
30.000000 132.459 6.6957
30.400000 132.617 5.6534
30.700001 132.745 5.0610
31.100000 132.932 4.6800
31.500000 133.129 4.8751
32.000000 133.337 5.9670
32.500000 133.413 7.8469
33.000000 133.266 10.0883
33.500000 132.860 11.9749
34.000000 132.234 12.3986
34.500000 131.555 10.2347
35.000000 131.118 5.3706
35.500000 131.195 -0.2122
36.000000 131.706 -3.6994
36.500000 132.314 -3.9892
37.000000 132.719 -1.8525
37.500000 132.792 1.2555
38.200001 132.347 4.2983
38.700001 131.817 3.8361
39.500000 131.344 -1.5015
40.000000 131.522 -4.8450
40.599998 131.961 -6.1384
41.200001 132.222 -4.8567
41.799999 132.114 -3.0649
42.500000 131.645 -2.9072
43.099998 131.318 -5.1392
43.700001 131.342 -7.9327
44.400002 131.661 -9.2789
45.000000 131.844 -8.4845
45.500000 131.806 -7.4327
46.200001 131.535 -7.0109
46.799999 131.305 -8.2530
47.500000 131.274 -10.3914
48.200001 131.431 -11.5363
48.700001 131.511 -11.6078
49.400002 131.451 -11.4545
50.000000 131.295 -11.7219
50.799999 131.158 -12.7435
51.500000 131.167 -13.5799
52.200001 131.175 -13.8638
53.000000 131.082 -13.9251
53.799999 130.953 -14.5972
54.500000 130.895 -15.6345
55.200001 130.890 -16.4269
56.000000 130.888 -16.7865
57.000000 130.820 -17.1503
58.000000 130.729 -17.7347
59.000000 130.667 -18.2357
60.000000 130.587 -18.6896
60.799999 130.518 -19.0812
61.500000 130.466 -19.4447
62.200001 130.412 -19.8248
63.000000 130.353 -20.3062
64.000000 130.322 -21.0302
65.000000 130.307 -21.6959
66.000000 130.240 -22.0349
67.000000 130.167 -22.4571
68.000000 130.108 -23.1073
69.000000 130.057 -23.4661
70.000000 129.993 -23.8577
71.000000 129.899 -24.3053
72.000000 129.834 -24.6804
73.000000 129.756 -25.0155
74.000000 129.682 -25.2403
75.000000 129.616 -25.6558
76.199997 129.537 -25.9620
77.500000 129.486 -26.2371
78.800003 129.390 -26.4111
80.000000 129.307 -26.7382
81.199997 129.203 -27.1877
82.500000 129.116 -27.5574
83.800003 129.033 -28.0928
85.000000 128.969 -28.4512
86.199997 128.903 -28.7411
87.500000 128.844 -29.0099
88.500000 128.792 -29.2479
90.000000 128.689 -29.4487
91.199997 128.623 -29.6019
92.500000 128.569 -29.7563
93.800003 128.490 -29.7323
95.000000 128.412 -29.8864
96.199997 128.339 -30.1848
97.500000 128.280 -30.4898
98.800003 128.208 -30.5653
100.000000 128.135 -30.8615
101.500000 128.067 -31.1912
103.000000 127.996 -31.4447
104.400002 127.904 -31.5091
106.000000 127.841 -31.6533
107.500000 127.748 -31.6605
109.000000 127.672 -31.7297
110.599998 127.593 -31.6253
112.000000 127.500 -31.7133
113.800003 127.418 -31.7704
115.000000 127.364 -31.6994
117.199997 127.235 -31.7622
118.000000 127.212 -31.7963
120.599998 127.087 -31.9910
122.000000 127.027 -32.2933
124.099998 126.961 -32.3492
125.000000 126.911 -32.4279
126.500000 126.843 -32.2857
128.000000 126.752 -32.3850
131.500000 126.593 -32.1601
132.000000 126.558 -32.1298
134.000000 126.460 -31.7370
136.000000 126.341 -31.5690
138.000000 126.266 -31.3862
140.000000 126.190 -31.2426
143.000000 126.103 -31.2563
145.000000 126.032 -31.2142
147.500000 125.948 -31.3491
150.000000 125.903 -31.4411
152.500000 125.843 -31.1202
155.000000 125.780 -31.0558
157.500000 125.715 -30.6909
160.000000 125.630 -30.4217
162.500000 125.543 -30.0315
165.000000 125.445 -29.7767
167.500000 125.357 -29.5484
170.000000 125.293 -29.2377
172.500000 125.188 -29.0373
175.000000 125.126 -28.7841
177.500000 125.068 -28.4333
180.000000 125.005 -28.2197
182.500000 124.945 -27.8591
185.000000 124.897 -27.6087
187.500000 124.857 -27.4211
190.000000 124.829 -27.1937
192.500000 124.771 -26.8934
195.000000 124.727 -26.5328
197.500000 124.692 -26.2175
200.000000 124.672 -25.9427
203.000000 124.643 -25.6846
206.000000 124.588 -25.2988
209.000000 124.551 -25.0848
212.000000 124.493 -24.7836
214.000000 124.470 -24.6414
218.000000 124.431 -24.2332
220.000000 124.420 -24.0822
224.000000 124.353 -23.7200
227.000000 124.316 -23.4260
230.000000 124.263 -23.2509
233.000000 124.199 -23.0617
236.000000 124.153 -22.7124
240.000000 124.072 -22.2951
243.000000 124.039 -21.9138
247.000000 123.959 -21.2752
250.000000 123.914 -20.9563
254.000000 123.872 -20.5870
258.000000 123.835 -20.2800
262.000000 123.793 -19.9484
265.000000 123.787 -19.7187
269.000000 123.762 -19.3613
272.000000 123.749 -19.1707
276.000000 123.697 -18.6470
280.000000 123.672 -18.3042
285.000000 123.589 -17.8961
290.000000 123.551 -17.4165
295.000000 123.475 -16.7620
300.000000 123.419 -16.3164
304.000000 123.415 -15.8375
307.000000 123.371 -15.5301
311.000000 123.363 -15.2326
315.000000 123.358 -14.9014
320.000000 123.362 -14.5969
325.000000 123.375 -14.2255
330.000000 123.378 -13.9389
335.000000 123.392 -13.5384
340.000000 123.353 -13.2362
345.000000 123.329 -12.8140
350.000000 123.292 -12.3647
355.000000 123.246 -11.9801
360.000000 123.214 -11.5638
365.000000 123.193 -11.1433
370.000000 123.169 -10.8861
375.000000 123.150 -10.5359
382.000000 123.177 -10.1378
387.000000 123.180 -9.8728
395.000000 123.147 -9.3729
400.000000 123.113 -9.0440
406.000000 123.076 -8.5270
412.000000 123.036 -7.9631
418.000000 122.986 -7.5128
425.000000 122.959 -7.0811
431.000000 122.944 -6.8226
437.000000 122.945 -6.3825
444.000000 122.952 -5.9788
450.000000 122.951 -5.5767
455.000000 122.951 -5.3403
462.000000 122.960 -4.9663
468.000000 122.940 -4.5992
475.000000 122.912 -4.0801
482.000000 122.896 -3.5931
487.000000 122.872 -3.2487
494.000000 122.838 -2.7533
500.000000 122.830 -2.4067
508.000000 122.825 -1.9102
515.000000 122.816 -1.5241
522.000000 122.815 -1.1566
530.000000 122.825 -0.6082
538.000000 122.817 -0.1825
545.000000 122.824 0.1533
552.000000 122.797 0.6499
560.000000 122.816 1.2317
570.000000 122.812 1.8139
580.000000 122.799 2.4042
590.000000 122.763 2.9753
600.000000 122.749 3.7326
608.000000 122.762 4.2753
615.000000 122.765 4.7109
622.000000 122.765 5.1400
630.000000 122.752 5.6807
640.000000 122.750 6.3621
650.000000 122.757 7.0570
660.000000 122.760 7.7106
670.000000 122.769 8.2651
680.000000 122.799 8.7965
690.000000 122.835 9.3749
700.000000 122.870 9.9749
710.000000 122.913 10.4999
720.000000 122.937 11.1147
730.000000 122.957 11.7121
740.000000 122.978 12.2700
750.000000 122.991 12.8705
762.000000 122.999 13.6791
775.000000 123.011 14.5171
788.000000 123.035 15.2112
800.000000 123.086 15.9446
812.000000 123.139 16.6279
825.000000 123.197 17.3989
838.000000 123.266 18.0815
850.000000 123.330 18.8064
862.000000 123.387 19.4709
875.000000 123.469 20.0854
885.000000 123.536 20.6209
900.000000 123.611 21.4143
912.000000 123.671 22.0010
925.000000 123.727 22.6569
938.000000 123.788 23.2785
950.000000 123.871 23.8465
962.000000 123.939 24.4437
975.000000 124.018 24.8900
988.000000 124.131 25.3634
1000.000000 124.205 25.9817
1015.000000 124.335 26.2473
1030.000000 124.449 26.7161
1044.000000 124.569 27.0958
1060.000000 124.695 27.5156
1075.000000 124.810 27.8054
1090.000000 124.901 28.1915
1106.000000 124.993 28.4929
1120.000000 125.078 28.7582
1138.000000 125.201 28.9088
1150.000000 125.297 28.9698
1172.000000 125.453 29.2618
1180.000000 125.511 29.3368
1206.000000 125.682 29.4291
1220.000000 125.765 29.3769
1241.000000 125.896 29.5068
1250.000000 125.927 29.5798
1265.000000 126.004 29.6029
1280.000000 126.079 29.6706
1315.000000 126.239 29.5764
1320.000000 126.251 29.6360
1340.000000 126.347 29.6933
1360.000000 126.441 29.6054
1380.000000 126.549 29.5877
1400.000000 126.650 29.4836
1430.000000 126.792 29.4928
1450.000000 126.859 29.5098
1475.000000 126.951 29.4398
1500.000000 127.024 29.3944
1525.000000 127.117 29.5110
1550.000000 127.205 29.3291
1575.000000 127.301 29.3091
1600.000000 127.401 29.2244
1625.000000 127.502 29.2096
1650.000000 127.605 29.0480
1675.000000 127.693 28.9323
1700.000000 127.775 28.8466
1725.000000 127.853 28.7313
1750.000000 127.923 28.6028
1775.000000 128.023 28.4797
1800.000000 128.106 28.2488
1825.000000 128.197 28.0504
1850.000000 128.285 27.8304
1875.000000 128.374 27.6715
1900.000000 128.467 27.4039
1925.000000 128.549 27.1583
1950.000000 128.621 26.8842
1975.000000 128.694 26.6191
2000.000000 128.761 26.2221
2030.000000 128.847 25.8779
2060.000000 128.935 25.5201
2090.000000 129.002 25.1061
2120.000000 129.071 24.6427
2140.000000 129.123 24.2726
2180.000000 129.227 23.6954
2200.000000 129.277 23.3823
2240.000000 129.377 22.6703
2270.000000 129.433 22.1603
2300.000000 129.484 21.6725
2330.000000 129.532 21.1897
2360.000000 129.584 20.6848
2400.000000 129.637 19.9973
2430.000000 129.679 19.4758
2470.000000 129.740 18.7830
2500.000000 129.788 18.2638
2540.000000 129.842 17.5055
2580.000000 129.905 16.6647
2620.000000 129.949 15.8232
2650.000000 129.980 15.0545
2690.000000 130.015 13.9872
2720.000000 130.021 13.0427
2760.000000 130.002 11.8979
2800.000000 129.943 10.7899
2850.000000 129.846 9.6911
2900.000000 129.739 8.7578
2950.000000 129.616 8.2364
3000.000000 129.502 7.9467
3040.000000 129.454 7.7776
3070.000000 129.422 7.6257
3110.000000 129.424 7.5201
3150.000000 129.409 7.4359
3200.000000 129.424 7.3681
3250.000000 129.414 7.3817
3300.000000 129.414 7.3303
3350.000000 129.414 7.2736
3400.000000 129.436 7.0991
3450.000000 129.480 6.9087
3500.000000 129.536 6.5513
3550.000000 129.598 6.1834
3600.000000 129.670 5.6334
3650.000000 129.737 4.8591
3700.000000 129.777 4.0988
3750.000000 129.782 3.1429
3820.000000 129.780 1.9885
3870.000000 129.763 1.1914
3950.000000 129.731 0.3582
4000.000000 129.696 0.0175
4060.000000 129.678 -0.2200
4120.000000 129.921 0.4735
4180.000000 130.099 -2.0171
4250.000000 130.063 -4.2459
4310.000000 130.032 -5.7324
4370.000000 129.976 -7.2526
4440.000000 129.878 -8.9407
4500.000000 129.765 -10.4095
4550.000000 129.661 -11.6099
4620.000000 129.441 -13.0979
4680.000000 129.237 -14.3351
4750.000000 128.959 -15.4986
4820.000000 128.666 -16.3811
4870.000000 128.448 -16.9025
4940.000000 128.154 -17.3873
5000.000000 127.867 -17.5870
5080.000000 127.559 -17.4525
5150.000000 127.303 -17.2156
5220.000000 127.038 -16.5357
5300.000000 126.732 -15.6184
5380.000000 126.456 -14.4135
5450.000000 126.241 -13.0698
5520.000000 126.036 -11.7356
5600.000000 125.836 -10.0237
5700.000000 125.637 -7.7438
5800.000000 125.508 -5.4707
