* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 11:20:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R azla sedna mithryl 1380
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.856 35.1135
20.600000 94.839 34.3249
20.900000 94.818 33.5698
21.200001 94.807 32.7097
21.400000 94.807 32.0476
21.799999 94.814 30.5227
22.000000 94.813 29.6956
22.400000 94.790 28.0621
22.700001 94.746 27.0278
23.000000 94.689 26.3056
23.299999 94.640 25.9138
23.600000 94.619 25.7388
24.000000 94.652 25.5158
24.299999 94.707 25.0832
24.700001 94.772 24.0095
25.000000 94.782 22.9652
25.400000 94.731 21.6390
25.799999 94.646 20.8154
26.200001 94.603 20.5501
26.500000 94.625 20.4547
26.900000 94.710 20.0324
27.200001 94.770 19.3317
27.600000 94.783 18.0086
28.000000 94.703 16.7115
28.500000 94.558 15.7944
29.000000 94.521 15.5903
29.500000 94.639 15.2185
30.000000 94.775 14.0934
30.400000 94.796 12.9045
30.700001 94.745 12.1136
31.100000 94.623 11.4463
31.500000 94.500 11.2161
32.000000 94.425 11.1190
32.500000 94.449 10.6459
33.000000 94.508 9.6329
33.500000 94.540 8.4248
34.000000 94.520 7.4837
34.500000 94.469 6.9979
35.000000 94.420 6.7726
35.500000 94.384 6.3933
36.000000 94.345 5.6150
36.500000 94.284 4.5731
37.000000 94.215 3.6435
37.500000 94.175 3.0436
38.200001 94.196 2.4460
38.700001 94.215 1.8235
39.500000 94.125 0.5870
40.000000 94.026 0.0419
40.599998 93.963 -0.3344
41.200001 94.000 -0.8529
41.799999 94.062 -1.7568
42.500000 94.060 -2.9315
43.099998 93.996 -3.7005
43.700001 93.912 -4.3579
44.400002 93.795 -5.1021
45.000000 93.699 -5.4964
45.500000 93.666 -5.6305
46.200001 93.702 -6.0132
46.799999 93.732 -6.8308
47.500000 93.691 -7.9983
48.200001 93.604 -8.9505
48.700001 93.546 -9.4563
49.400002 93.490 -9.9004
50.000000 93.477 -10.0745
50.799999 93.475 -10.3990
51.500000 93.420 -10.8413
52.200001 93.337 -11.2331
53.000000 93.276 -11.9362
53.799999 93.196 -12.8820
54.500000 93.113 -13.2725
55.200001 93.075 -13.4411
56.000000 93.039 -13.9864
57.000000 92.965 -14.9041
58.000000 92.907 -15.8673
59.000000 92.843 -16.4238
60.000000 92.825 -17.0980
60.799999 92.778 -17.7232
61.500000 92.764 -18.0070
62.200001 92.765 -18.5666
63.000000 92.657 -19.3469
64.000000 92.518 -19.4409
65.000000 92.504 -19.9369
66.000000 92.409 -20.3116
67.000000 92.382 -20.4680
68.000000 92.330 -21.2357
69.000000 92.273 -21.5857
70.000000 92.231 -22.2108
71.000000 92.129 -22.9546
72.000000 92.069 -23.3094
73.000000 92.044 -23.3066
74.000000 91.966 -23.6663
75.000000 91.818 -24.4509
76.199997 91.785 -25.1266
77.500000 91.765 -25.7737
78.800003 91.599 -26.2117
80.000000 91.568 -26.6113
81.199997 91.539 -26.7433
82.500000 91.376 -26.9566
83.800003 91.263 -27.1912
85.000000 91.256 -27.3947
86.199997 91.110 -27.4966
87.500000 90.982 -27.9049
88.500000 90.945 -28.2035
90.000000 90.882 -28.5311
91.199997 90.776 -28.8747
92.500000 90.694 -29.2713
93.800003 90.654 -29.5997
95.000000 90.639 -30.3025
96.199997 90.570 -30.8718
97.500000 90.541 -31.2064
98.800003 90.484 -31.4162
100.000000 90.433 -31.3647
101.500000 90.321 -31.5998
103.000000 90.263 -31.9165
104.400002 90.184 -31.6247
106.000000 90.109 -32.0203
107.500000 90.005 -32.2925
109.000000 89.950 -32.1723
110.599998 89.849 -32.1790
112.000000 89.758 -32.5528
113.800003 89.713 -33.0904
115.000000 89.677 -32.7918
117.199997 89.484 -33.1657
118.000000 89.484 -33.5647
120.599998 89.421 -33.8366
122.000000 89.273 -33.8493
124.099998 89.174 -33.8590
125.000000 89.142 -33.7927
126.500000 89.081 -33.7054
128.000000 88.966 -33.5625
131.500000 88.813 -33.4322
132.000000 88.801 -33.4044
134.000000 88.693 -33.6951
136.000000 88.628 -33.8963
138.000000 88.518 -33.9253
140.000000 88.444 -33.8977
143.000000 88.328 -34.2203
145.000000 88.232 -34.1815
147.500000 88.175 -34.1170
150.000000 88.111 -33.9438
152.500000 87.995 -33.5521
155.000000 87.873 -33.6250
157.500000 87.769 -33.6863
160.000000 87.692 -33.4831
162.500000 87.563 -33.4229
165.000000 87.505 -33.3825
167.500000 87.438 -33.1136
170.000000 87.307 -32.6494
172.500000 87.263 -32.7956
175.000000 87.199 -32.4331
177.500000 87.092 -32.3468
180.000000 87.029 -32.4923
182.500000 87.022 -32.3248
185.000000 86.933 -31.9911
187.500000 86.828 -32.1353
190.000000 86.801 -32.0965
192.500000 86.730 -31.4087
195.000000 86.631 -31.0936
197.500000 86.520 -31.0956
200.000000 86.478 -30.8359
203.000000 86.392 -30.1911
206.000000 86.315 -30.1924
209.000000 86.241 -30.0443
212.000000 86.145 -29.8354
214.000000 86.079 -29.6448
218.000000 86.022 -29.3973
220.000000 86.004 -28.8656
224.000000 85.876 -28.6392
227.000000 85.867 -28.6002
230.000000 85.775 -27.8809
233.000000 85.749 -27.9401
236.000000 85.648 -27.6623
240.000000 85.603 -27.0580
243.000000 85.568 -26.8794
247.000000 85.543 -26.4456
250.000000 85.504 -26.3502
254.000000 85.380 -25.9285
258.000000 85.352 -25.6081
262.000000 85.328 -25.3933
265.000000 85.297 -25.0552
269.000000 85.182 -24.5188
272.000000 85.119 -24.2554
276.000000 85.102 -23.7385
280.000000 85.006 -23.5099
285.000000 84.898 -22.9125
290.000000 84.861 -22.3728
295.000000 84.808 -21.7587
300.000000 84.760 -21.3781
304.000000 84.749 -21.3395
307.000000 84.755 -21.0701
311.000000 84.735 -20.7273
315.000000 84.687 -20.3246
320.000000 84.661 -20.1128
325.000000 84.631 -19.5070
330.000000 84.561 -18.6950
335.000000 84.482 -18.3003
340.000000 84.439 -18.0301
345.000000 84.393 -17.6433
350.000000 84.313 -17.0060
355.000000 84.290 -16.6558
360.000000 84.278 -16.2636
365.000000 84.206 -15.8900
370.000000 84.226 -15.3636
375.000000 84.171 -14.9036
382.000000 84.149 -14.5360
387.000000 84.115 -14.2405
395.000000 84.057 -13.3352
400.000000 83.987 -12.9602
406.000000 83.952 -12.2797
412.000000 83.957 -11.6800
418.000000 83.930 -11.3050
425.000000 83.911 -11.1338
431.000000 83.932 -10.5787
437.000000 83.950 -10.0704
444.000000 83.932 -9.6463
450.000000 83.890 -9.0974
455.000000 83.869 -8.6973
462.000000 83.839 -8.1691
468.000000 83.793 -7.6964
475.000000 83.769 -6.9446
482.000000 83.723 -6.4036
487.000000 83.703 -6.1239
494.000000 83.691 -5.6716
500.000000 83.685 -5.0359
508.000000 83.678 -4.5022
515.000000 83.685 -4.0413
522.000000 83.705 -3.4477
530.000000 83.688 -2.9672
538.000000 83.674 -2.3489
545.000000 83.680 -1.7732
552.000000 83.666 -1.2168
560.000000 83.656 -0.8476
570.000000 83.602 -0.4400
580.000000 83.553 -0.0795
590.000000 83.566 0.8460
600.000000 83.575 1.6086
608.000000 83.547 2.0735
615.000000 83.543 2.6638
622.000000 83.542 3.3580
630.000000 83.539 4.0587
640.000000 83.526 4.8805
650.000000 83.523 5.2850
660.000000 83.536 5.7989
670.000000 83.527 6.7295
680.000000 83.497 7.5683
690.000000 83.520 8.2348
700.000000 83.538 8.6766
710.000000 83.531 9.3198
720.000000 83.580 10.0696
730.000000 83.600 10.9801
740.000000 83.645 11.6275
750.000000 83.670 12.1481
762.000000 83.700 12.9998
775.000000 83.770 14.1031
788.000000 83.808 14.7207
800.000000 83.805 15.4269
812.000000 83.855 16.3563
825.000000 83.851 17.5700
838.000000 83.903 18.2871
850.000000 83.966 18.7712
862.000000 84.021 19.7756
875.000000 84.081 20.5919
885.000000 84.172 21.1958
900.000000 84.257 21.9392
912.000000 84.354 22.4454
925.000000 84.449 23.3724
938.000000 84.528 24.2749
950.000000 84.621 24.6231
962.000000 84.689 24.9628
975.000000 84.774 25.7609
988.000000 84.867 26.6041
1000.000000 84.897 26.9853
1015.000000 85.045 27.5046
1030.000000 85.186 27.8201
1044.000000 85.307 28.6007
1060.000000 85.419 29.1240
1075.000000 85.548 29.4843
1090.000000 85.673 29.7976
1106.000000 85.809 30.0042
1120.000000 85.918 30.4715
1138.000000 86.063 30.7354
1150.000000 86.161 30.8805
1172.000000 86.333 30.9801
1180.000000 86.366 31.1129
1206.000000 86.517 31.5874
1220.000000 86.600 31.6639
1241.000000 86.717 31.6566
1250.000000 86.783 31.6749
1265.000000 86.880 31.8853
1280.000000 86.945 31.9008
1315.000000 87.146 32.0056
1320.000000 87.162 32.0244
1340.000000 87.270 32.0954
1360.000000 87.365 32.0759
1380.000000 87.455 32.1696
1400.000000 87.556 32.2466
1430.000000 87.703 32.2430
1450.000000 87.795 32.3434
1475.000000 87.925 32.3449
1500.000000 88.039 32.3393
1525.000000 88.152 32.2532
1550.000000 88.214 32.4984
1575.000000 88.295 32.5253
1600.000000 88.373 32.3293
1625.000000 88.453 32.5444
1650.000000 88.545 32.5777
1675.000000 88.647 32.3094
1700.000000 88.736 32.4091
1725.000000 88.837 32.3896
1750.000000 88.957 32.1936
1775.000000 89.092 32.0170
1800.000000 89.193 32.0093
1825.000000 89.287 31.8623
1850.000000 89.392 31.6303
1875.000000 89.502 31.4552
1900.000000 89.602 31.2116
1925.000000 89.686 31.0577
1950.000000 89.760 30.8831
1975.000000 89.840 30.5611
2000.000000 89.871 30.2669
2030.000000 89.991 30.0003
2060.000000 90.074 29.5823
2090.000000 90.148 29.1135
2120.000000 90.202 28.7563
2140.000000 90.240 28.5814
2180.000000 90.359 27.8492
2200.000000 90.436 27.4684
2240.000000 90.517 26.9094
2270.000000 90.575 26.4529
2300.000000 90.628 26.0794
2330.000000 90.715 25.4572
2360.000000 90.756 25.0528
2400.000000 90.836 24.5445
2430.000000 90.883 23.8989
2470.000000 90.933 23.3541
2500.000000 90.962 22.9584
2540.000000 90.998 22.3059
2580.000000 91.038 21.6215
2620.000000 91.059 20.9924
2650.000000 91.101 20.4418
2690.000000 91.151 19.5659
2720.000000 91.200 18.8838
2760.000000 91.252 17.9839
2800.000000 91.290 17.0343
2850.000000 91.315 16.0005
2900.000000 91.309 15.1133
2950.000000 91.291 14.4161
3000.000000 91.240 14.0864
3040.000000 91.196 13.6193
3070.000000 91.169 13.4203
3110.000000 91.117 13.4175
3150.000000 91.084 13.3670
3200.000000 91.073 13.1083
3250.000000 91.054 13.1691
3300.000000 91.025 13.1572
3350.000000 91.017 13.2581
3400.000000 91.056 13.1045
3450.000000 91.058 13.1027
3500.000000 91.052 13.1839
3550.000000 91.119 12.8599
3600.000000 91.206 12.6148
3650.000000 91.272 12.3167
3700.000000 91.357 11.8836
3750.000000 91.426 11.4087
3820.000000 91.587 10.3173
3870.000000 91.664 9.6545
3950.000000 91.760 8.0199
4000.000000 91.763 7.3661
4060.000000 91.846 6.1523
4120.000000 91.960 4.4589
4180.000000 91.871 3.9160
4250.000000 92.057 1.9292
4310.000000 92.112 -0.2324
4370.000000 92.054 -1.9940
4440.000000 92.007 -4.1837
4500.000000 91.972 -6.1865
4550.000000 91.889 -7.6544
4620.000000 91.701 -9.5278
4680.000000 91.497 -10.9654
4750.000000 91.247 -12.5380
4820.000000 90.944 -13.7177
4870.000000 90.697 -14.2402
4940.000000 90.372 -14.8830
5000.000000 90.091 -14.9951
5080.000000 89.688 -14.9824
5150.000000 89.427 -14.6689
5220.000000 89.168 -14.0880
5300.000000 88.819 -13.1558
5380.000000 88.530 -11.8594
5450.000000 88.341 -10.7321
5520.000000 88.138 -9.3612
5600.000000 87.943 -7.7710
5700.000000 87.822 -5.8347
5800.000000 87.699 -3.5768
5900.000000 87.648 -1.6650
