* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 11:25:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R azla sedna origin 1385
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.438 35.4910
20.600000 94.446 34.6396
20.900000 94.443 33.8540
21.200001 94.438 33.0672
21.400000 94.434 32.5404
21.799999 94.431 31.4796
22.000000 94.430 30.9469
22.400000 94.431 29.8853
22.700001 94.431 29.1068
23.000000 94.431 28.3582
23.299999 94.430 27.6449
23.600000 94.431 26.9617
24.000000 94.435 26.0780
24.299999 94.439 25.4173
24.700001 94.442 24.5274
25.000000 94.441 23.8602
25.400000 94.434 22.9935
25.799999 94.424 22.1763
26.200001 94.415 21.4078
26.500000 94.410 20.8462
26.900000 94.405 20.0909
27.200001 94.401 19.5072
27.600000 94.391 18.7061
28.000000 94.376 17.8965
28.500000 94.352 16.9054
29.000000 94.326 15.9632
29.500000 94.304 15.0818
30.000000 94.286 14.2640
30.400000 94.277 13.6426
30.700001 94.273 13.1810
31.100000 94.269 12.5493
31.500000 94.260 11.8886
32.000000 94.237 11.0437
32.500000 94.200 10.2385
33.000000 94.157 9.5199
33.500000 94.119 8.8650
34.000000 94.093 8.2007
34.500000 94.074 7.4758
35.000000 94.053 6.7033
35.500000 94.032 5.9374
36.000000 94.012 5.2177
36.500000 93.996 4.5469
37.000000 93.979 3.9112
37.500000 93.957 3.3046
38.200001 93.913 2.4956
38.700001 93.877 1.9199
39.500000 93.819 0.9443
40.000000 93.789 0.3058
40.599998 93.760 -0.4684
41.200001 93.735 -1.2346
41.799999 93.704 -1.9486
42.500000 93.660 -2.6501
43.099998 93.623 -3.1783
43.700001 93.586 -3.7303
44.400002 93.533 -4.3978
45.000000 93.487 -4.9324
45.500000 93.457 -5.3827
46.200001 93.425 -6.1057
46.799999 93.390 -6.7627
47.500000 93.344 -7.4169
48.200001 93.307 -7.9756
48.700001 93.285 -8.3954
49.400002 93.243 -9.0275
50.000000 93.199 -9.5480
50.799999 93.149 -10.1853
51.500000 93.114 -10.7556
52.200001 93.076 -11.3671
53.000000 93.017 -12.0420
53.799999 92.961 -12.6393
54.500000 92.926 -13.1607
55.200001 92.892 -13.7102
56.000000 92.840 -14.3098
57.000000 92.759 -14.9556
58.000000 92.687 -15.5340
59.000000 92.634 -16.2109
60.000000 92.565 -16.9173
60.799999 92.507 -17.3584
61.500000 92.467 -17.7162
62.200001 92.431 -18.1089
63.000000 92.385 -18.5736
64.000000 92.318 -19.1229
65.000000 92.242 -19.6367
66.000000 92.166 -20.1222
67.000000 92.100 -20.6147
68.000000 92.035 -21.1195
69.000000 91.967 -21.6121
70.000000 91.897 -22.1072
71.000000 91.831 -22.5477
72.000000 91.771 -22.9458
73.000000 91.708 -23.3320
74.000000 91.647 -23.7113
75.000000 91.589 -24.1181
76.199997 91.513 -24.5764
77.500000 91.432 -25.0919
78.800003 91.355 -25.6078
80.000000 91.284 -26.0442
81.199997 91.210 -26.4823
82.500000 91.129 -26.8885
83.800003 91.059 -27.2619
85.000000 90.989 -27.6360
86.199997 90.918 -27.9156
87.500000 90.849 -28.1847
88.500000 90.795 -28.4508
90.000000 90.714 -28.7568
91.199997 90.643 -29.0435
92.500000 90.564 -29.3921
93.800003 90.493 -29.7662
95.000000 90.420 -30.0002
96.199997 90.350 -30.2830
97.500000 90.286 -30.5908
98.800003 90.222 -30.8680
100.000000 90.153 -31.0489
101.500000 90.068 -31.2359
103.000000 89.971 -31.4248
104.400002 89.888 -31.6075
106.000000 89.801 -31.8464
107.500000 89.724 -32.0956
109.000000 89.644 -32.2141
110.599998 89.560 -32.3922
112.000000 89.479 -32.5145
113.800003 89.378 -32.7940
115.000000 89.322 -32.9654
117.199997 89.215 -33.1805
118.000000 89.174 -33.2312
120.599998 89.047 -33.4316
122.000000 88.978 -33.5379
124.099998 88.859 -33.5490
125.000000 88.814 -33.6176
126.500000 88.746 -33.6877
128.000000 88.678 -33.6872
131.500000 88.508 -33.7966
132.000000 88.485 -33.7914
134.000000 88.388 -33.8407
136.000000 88.292 -33.9546
138.000000 88.205 -34.0257
140.000000 88.114 -33.9603
143.000000 87.970 -33.9453
145.000000 87.883 -33.9453
147.500000 87.786 -33.8356
150.000000 87.680 -33.6928
152.500000 87.562 -33.6184
155.000000 87.470 -33.4924
157.500000 87.348 -33.2861
160.000000 87.252 -33.1121
162.500000 87.138 -32.8351
165.000000 87.045 -32.5460
167.500000 86.949 -32.1180
170.000000 86.871 -31.5804
172.500000 86.818 -31.0727
175.000000 86.780 -30.5262
177.500000 86.749 -30.2534
180.000000 86.713 -29.9904
182.500000 86.715 -29.9398
185.000000 86.703 -29.8228
187.500000 86.664 -29.7279
190.000000 86.621 -29.7229
192.500000 86.557 -29.6245
195.000000 86.498 -29.5755
197.500000 86.441 -29.4962
200.000000 86.372 -29.4152
203.000000 86.291 -29.2831
206.000000 86.191 -29.0838
209.000000 86.127 -28.9802
212.000000 86.063 -28.7308
214.000000 86.007 -28.5479
218.000000 85.933 -28.2045
220.000000 85.893 -28.0011
224.000000 85.818 -27.6116
227.000000 85.766 -27.1818
230.000000 85.717 -26.8440
233.000000 85.659 -26.5379
236.000000 85.622 -26.3241
240.000000 85.588 -25.9789
243.000000 85.536 -25.7177
247.000000 85.479 -25.4816
250.000000 85.423 -25.3042
254.000000 85.349 -25.1360
258.000000 85.301 -24.7520
262.000000 85.247 -24.4069
265.000000 85.203 -24.1412
269.000000 85.138 -23.7922
272.000000 85.085 -23.4808
276.000000 85.032 -23.0583
280.000000 84.978 -22.6999
285.000000 84.923 -22.1929
290.000000 84.885 -21.6745
295.000000 84.852 -21.2742
300.000000 84.814 -20.9583
304.000000 84.771 -20.6686
307.000000 84.743 -20.4372
311.000000 84.705 -20.1819
315.000000 84.668 -19.8866
320.000000 84.618 -19.4946
325.000000 84.570 -19.0893
330.000000 84.528 -18.7549
335.000000 84.469 -18.3480
340.000000 84.429 -17.9370
345.000000 84.393 -17.4820
350.000000 84.347 -17.0928
355.000000 84.314 -16.6949
360.000000 84.278 -16.2606
365.000000 84.238 -15.8888
370.000000 84.194 -15.4571
375.000000 84.164 -15.1171
382.000000 84.125 -14.5401
387.000000 84.095 -14.1853
395.000000 84.033 -13.5042
400.000000 84.009 -13.0968
406.000000 83.976 -12.6198
412.000000 83.948 -12.1864
418.000000 83.919 -11.7057
425.000000 83.869 -11.1525
431.000000 83.847 -10.6825
437.000000 83.811 -10.2079
444.000000 83.802 -9.6301
450.000000 83.767 -9.2881
455.000000 83.749 -8.8162
462.000000 83.715 -8.3236
468.000000 83.702 -7.8624
475.000000 83.685 -7.3073
482.000000 83.658 -6.8237
487.000000 83.630 -6.3963
494.000000 83.618 -5.8229
500.000000 83.602 -5.4451
508.000000 83.594 -4.8446
515.000000 83.583 -4.3218
522.000000 83.564 -3.7295
530.000000 83.565 -3.0988
538.000000 83.563 -2.4359
545.000000 83.585 -1.9422
552.000000 83.584 -1.5197
560.000000 83.573 -1.2116
570.000000 83.543 -0.7440
580.000000 83.492 -0.1355
590.000000 83.457 0.6718
600.000000 83.442 1.4871
608.000000 83.436 2.1695
615.000000 83.456 2.6888
622.000000 83.441 3.2144
630.000000 83.465 3.8508
640.000000 83.454 4.5046
650.000000 83.448 5.1788
660.000000 83.460 5.8931
670.000000 83.466 6.4369
680.000000 83.472 7.2290
690.000000 83.483 7.7050
700.000000 83.503 8.4458
710.000000 83.516 8.9967
720.000000 83.527 9.7718
730.000000 83.544 10.4923
740.000000 83.570 11.1057
750.000000 83.586 11.7834
762.000000 83.600 12.5090
775.000000 83.633 13.5125
788.000000 83.678 14.3256
800.000000 83.717 15.0923
812.000000 83.761 15.9333
825.000000 83.794 16.7599
838.000000 83.852 17.5441
850.000000 83.902 18.3585
862.000000 83.958 19.1123
875.000000 84.005 19.9209
885.000000 84.057 20.5102
900.000000 84.154 21.4021
912.000000 84.222 22.0667
925.000000 84.318 22.7895
938.000000 84.398 23.3978
950.000000 84.479 24.1185
962.000000 84.564 24.6307
975.000000 84.665 25.2031
988.000000 84.758 25.7789
1000.000000 84.780 26.1021
1015.000000 84.941 26.9123
1030.000000 85.037 27.4308
1044.000000 85.133 27.8904
1060.000000 85.267 28.4010
1075.000000 85.370 28.7314
1090.000000 85.494 29.1492
1106.000000 85.627 29.4355
1120.000000 85.731 29.7072
1138.000000 85.875 30.0033
1150.000000 85.955 30.1986
1172.000000 86.099 30.5083
1180.000000 86.153 30.5960
1206.000000 86.309 30.8613
1220.000000 86.393 30.9151
1241.000000 86.519 31.0629
1250.000000 86.558 31.1609
1265.000000 86.648 31.2472
1280.000000 86.721 31.2435
1315.000000 86.896 31.4276
1320.000000 86.925 31.4273
1340.000000 87.026 31.5404
1360.000000 87.130 31.5379
1380.000000 87.241 31.6093
1400.000000 87.326 31.6315
1430.000000 87.458 31.7010
1450.000000 87.541 31.7348
1475.000000 87.643 31.7526
1500.000000 87.744 31.8002
1525.000000 87.846 31.8269
1550.000000 87.938 31.8090
1575.000000 88.035 31.8062
1600.000000 88.133 31.8521
1625.000000 88.224 31.8449
1650.000000 88.325 31.8056
1675.000000 88.415 31.8845
1700.000000 88.509 31.8073
1725.000000 88.612 31.7814
1750.000000 88.712 31.7609
1775.000000 88.819 31.6779
1800.000000 88.916 31.4700
1825.000000 88.997 31.2878
1850.000000 89.089 31.1642
1875.000000 89.175 30.8766
1900.000000 89.265 30.7136
1925.000000 89.349 30.4503
1950.000000 89.424 30.2292
1975.000000 89.499 29.9311
2000.000000 89.530 29.6896
2030.000000 89.653 29.2988
2060.000000 89.728 28.8807
2090.000000 89.806 28.4550
2120.000000 89.874 28.0344
2140.000000 89.917 27.7300
2180.000000 89.977 27.1843
2200.000000 89.998 26.9218
2240.000000 90.004 26.4846
2270.000000 89.997 26.2786
2300.000000 89.980 26.1130
2330.000000 89.979 26.2690
2360.000000 90.006 26.6667
2400.000000 90.109 27.3933
2430.000000 90.272 27.8309
2470.000000 90.538 28.0097
2500.000000 90.742 27.6000
2540.000000 90.987 26.5411
2580.000000 91.176 24.9996
2620.000000 91.275 23.3355
2650.000000 91.310 22.2573
2690.000000 91.322 20.9347
2720.000000 91.315 20.0072
2760.000000 91.313 18.8472
2800.000000 91.299 17.7715
2850.000000 91.245 16.4619
2900.000000 91.162 15.5115
2950.000000 91.090 14.8915
3000.000000 91.043 14.3180
3040.000000 90.985 13.7555
3070.000000 90.954 13.5110
3110.000000 90.889 13.1830
3150.000000 90.833 13.0379
3200.000000 90.757 12.9985
3250.000000 90.726 13.2937
3300.000000 90.750 13.4928
3350.000000 90.808 13.6693
3400.000000 90.877 13.5437
3450.000000 90.958 13.4101
3500.000000 91.017 13.1360
3550.000000 91.101 12.8474
3600.000000 91.162 12.4741
3650.000000 91.243 12.0636
3700.000000 91.319 11.4762
3750.000000 91.405 10.9660
3820.000000 91.507 9.9342
3870.000000 91.569 9.1599
3950.000000 91.665 7.7575
4000.000000 91.731 6.7224
4060.000000 91.773 5.7062
4120.000000 91.805 4.3633
4180.000000 91.832 3.2873
4250.000000 91.967 1.5738
4310.000000 91.946 -0.3631
4370.000000 91.898 -2.1393
4440.000000 91.829 -4.2031
4500.000000 91.742 -5.9753
4550.000000 91.638 -7.4404
4620.000000 91.440 -9.3865
4680.000000 91.233 -10.8956
4750.000000 90.968 -12.3745
4820.000000 90.663 -13.5938
4870.000000 90.448 -14.3644
4940.000000 90.119 -14.9712
5000.000000 89.843 -15.1688
5080.000000 89.472 -15.3278
5150.000000 89.167 -15.1282
5220.000000 88.869 -14.5237
5300.000000 88.558 -13.6099
5380.000000 88.283 -12.6732
5450.000000 88.056 -11.5530
5520.000000 87.850 -10.3909
5600.000000 87.638 -8.8020
5700.000000 87.445 -7.0000
5800.000000 87.301 -4.8974
5900.000000 87.206 -2.9698
