* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 7:13:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L black silicone 1 1770
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.152 32.6997
20.600000 94.159 31.6413
20.900000 94.143 30.6491
21.200001 94.106 29.6553
21.400000 94.070 29.0186
21.799999 93.982 27.8596
22.000000 93.936 27.3565
22.400000 93.861 26.5066
22.700001 93.832 25.9542
23.000000 93.833 25.3956
23.299999 93.859 24.7664
23.600000 93.899 24.0455
24.000000 93.952 22.9748
24.299999 93.980 22.1696
24.700001 93.992 21.2149
25.000000 93.985 20.6391
25.400000 93.965 20.0377
25.799999 93.937 19.4979
26.200001 93.894 18.8715
26.500000 93.843 18.3124
26.900000 93.748 17.4994
27.200001 93.664 16.9163
27.600000 93.554 16.2614
28.000000 93.478 15.7467
28.500000 93.449 15.1102
29.000000 93.463 14.2007
29.500000 93.462 12.9273
30.000000 93.413 11.4358
30.400000 93.351 10.2455
30.700001 93.310 9.4243
31.100000 93.288 8.4874
31.500000 93.319 7.7601
32.000000 93.426 7.1357
32.500000 93.557 6.7707
33.000000 93.635 6.5899
33.500000 93.610 6.4937
34.000000 93.479 6.2857
34.500000 93.282 5.7208
35.000000 93.077 4.7012
35.500000 92.936 3.3919
36.000000 92.912 2.0667
36.500000 92.995 0.8522
37.000000 93.104 -0.2279
37.500000 93.147 -1.0335
38.200001 93.087 -1.2870
38.700001 93.069 -1.0360
39.500000 93.179 -1.5459
40.000000 93.212 -2.6418
40.599998 93.118 -3.8291
41.200001 92.967 -4.1894
41.799999 92.890 -4.3364
42.500000 92.881 -5.3264
43.099998 92.877 -6.5341
43.700001 92.895 -7.3953
44.400002 92.939 -8.0434
45.000000 92.911 -8.4676
45.500000 92.831 -8.5977
46.200001 92.729 -8.6799
46.799999 92.662 -9.2392
47.500000 92.518 -10.2446
48.200001 92.357 -10.9213
48.700001 92.290 -11.4830
49.400002 92.186 -12.7234
50.000000 92.054 -13.2842
50.799999 92.061 -12.7455
51.500000 92.228 -13.0444
52.200001 92.223 -14.2389
53.000000 92.084 -14.5860
53.799999 92.137 -14.6079
54.500000 92.184 -15.3930
55.200001 92.120 -16.0365
56.000000 92.023 -16.8424
57.000000 91.768 -18.5145
58.000000 91.564 -18.6625
59.000000 91.615 -18.9800
60.000000 91.537 -20.1941
60.799999 91.442 -20.7066
61.500000 91.458 -20.9134
62.200001 91.520 -21.3770
63.000000 91.478 -21.9411
64.000000 91.348 -21.5821
65.000000 91.360 -21.9063
66.000000 91.280 -22.7519
67.000000 91.278 -22.6632
68.000000 91.243 -23.2695
69.000000 91.074 -23.7932
70.000000 90.927 -24.8573
71.000000 90.782 -25.6179
72.000000 90.849 -26.0658
73.000000 90.859 -26.6992
74.000000 90.830 -26.3346
75.000000 90.774 -26.3760
76.199997 90.647 -25.9561
77.500000 90.531 -26.3218
78.800003 90.335 -26.1713
80.000000 90.291 -26.9605
81.199997 90.215 -27.1700
82.500000 90.182 -27.6526
83.800003 90.055 -28.8475
85.000000 90.015 -29.6185
86.199997 89.988 -30.2471
87.500000 89.943 -30.3285
88.500000 89.873 -31.0014
90.000000 89.757 -31.6572
91.199997 89.677 -31.3925
92.500000 89.547 -30.5399
93.800003 89.374 -30.1978
95.000000 89.380 -30.1558
96.199997 89.328 -30.1573
97.500000 89.247 -30.5081
98.800003 89.107 -30.8176
100.000000 89.092 -30.9603
101.500000 88.959 -31.4813
103.000000 88.841 -31.8221
104.400002 88.786 -32.3130
106.000000 88.637 -32.8917
107.500000 88.609 -33.0985
109.000000 88.612 -33.2530
110.599998 88.507 -32.9640
112.000000 88.471 -32.7523
113.800003 88.410 -32.1231
115.000000 88.336 -32.0392
117.199997 88.164 -32.1081
118.000000 88.129 -32.2196
120.599998 88.008 -32.4886
122.000000 87.925 -32.7534
124.099998 87.838 -33.4912
125.000000 87.816 -33.3955
126.500000 87.792 -33.3916
128.000000 87.679 -33.0015
131.500000 87.565 -32.2762
132.000000 87.556 -32.1550
134.000000 87.468 -32.1564
136.000000 87.378 -32.2835
138.000000 87.302 -32.0005
140.000000 87.185 -31.7951
143.000000 87.095 -32.4857
145.000000 87.045 -32.2800
147.500000 86.945 -32.1931
150.000000 86.883 -31.7983
152.500000 86.757 -31.5859
155.000000 86.698 -31.1176
157.500000 86.517 -30.7772
160.000000 86.445 -30.4979
162.500000 86.302 -30.5517
165.000000 86.243 -30.3281
167.500000 86.208 -30.3076
170.000000 86.116 -29.5206
172.500000 86.062 -29.3737
175.000000 85.973 -29.3538
177.500000 85.984 -29.3852
180.000000 85.959 -29.0024
182.500000 85.869 -28.6405
185.000000 85.790 -28.6391
187.500000 85.760 -28.4852
190.000000 85.690 -28.1392
192.500000 85.638 -27.8094
195.000000 85.583 -27.2030
197.500000 85.507 -27.2460
200.000000 85.469 -26.6766
203.000000 85.393 -26.3518
206.000000 85.320 -26.1543
209.000000 85.290 -25.8889
212.000000 85.286 -25.7759
214.000000 85.265 -25.5127
218.000000 85.177 -25.5012
220.000000 85.135 -25.1617
224.000000 85.042 -24.5409
227.000000 85.004 -24.1469
230.000000 84.928 -23.6256
233.000000 84.875 -23.2802
236.000000 84.823 -22.8477
240.000000 84.736 -22.2281
243.000000 84.720 -22.0004
247.000000 84.719 -22.2230
250.000000 84.707 -22.0311
254.000000 84.657 -21.6396
258.000000 84.610 -21.0904
262.000000 84.544 -20.6350
265.000000 84.488 -20.1299
269.000000 84.438 -19.5449
272.000000 84.375 -19.4688
276.000000 84.291 -18.8707
280.000000 84.193 -18.2383
285.000000 84.208 -17.9336
290.000000 84.197 -17.6725
295.000000 84.139 -17.2481
300.000000 84.094 -16.7989
304.000000 84.109 -16.5662
307.000000 84.083 -16.2983
311.000000 84.069 -15.6880
315.000000 84.016 -15.2875
320.000000 84.006 -14.6581
325.000000 83.950 -14.2477
330.000000 83.947 -14.0475
335.000000 84.009 -13.4073
340.000000 84.015 -13.0058
345.000000 84.003 -12.9935
350.000000 84.049 -12.5655
355.000000 84.061 -12.2351
360.000000 84.018 -11.9027
365.000000 83.984 -11.1869
370.000000 83.996 -10.6609
375.000000 83.934 -10.6708
382.000000 83.824 -9.8119
387.000000 83.814 -9.7988
395.000000 83.605 -9.3431
400.000000 83.463 -8.7091
406.000000 83.304 -7.8303
412.000000 83.149 -6.9110
418.000000 83.032 -6.1447
425.000000 83.052 -5.9479
431.000000 83.039 -5.6791
437.000000 83.101 -5.7298
444.000000 83.330 -5.4797
450.000000 83.395 -4.6979
455.000000 83.422 -4.6139
462.000000 83.552 -4.4665
468.000000 83.593 -3.7094
475.000000 83.580 -3.6851
482.000000 83.614 -2.7025
487.000000 83.562 -2.2650
494.000000 83.544 -1.9465
500.000000 83.476 -1.5226
508.000000 83.445 -0.6845
515.000000 83.413 -0.3419
522.000000 83.423 0.0571
530.000000 83.427 0.5363
538.000000 83.450 0.9358
545.000000 83.482 1.2443
552.000000 83.497 1.5694
560.000000 83.497 2.4047
570.000000 83.479 2.8012
580.000000 83.434 3.6330
590.000000 83.393 4.2728
600.000000 83.391 5.0266
608.000000 83.379 5.5708
615.000000 83.376 6.1328
622.000000 83.380 6.6199
630.000000 83.393 7.0932
640.000000 83.362 7.8124
650.000000 83.382 8.5279
660.000000 83.392 9.1797
670.000000 83.396 9.8103
680.000000 83.412 10.2624
690.000000 83.452 10.8301
700.000000 83.468 11.6411
710.000000 83.483 12.1982
720.000000 83.493 12.7780
730.000000 83.502 13.3951
740.000000 83.521 14.1053
750.000000 83.561 14.5876
762.000000 83.544 15.3816
775.000000 83.577 16.2056
788.000000 83.607 17.2110
800.000000 83.642 17.9454
812.000000 83.705 18.4917
825.000000 83.789 19.3228
838.000000 83.852 20.0508
850.000000 83.932 20.8145
862.000000 83.995 21.3728
875.000000 84.039 22.0975
885.000000 84.079 22.7670
900.000000 84.105 23.6398
912.000000 84.152 24.2248
925.000000 84.210 24.9321
938.000000 84.312 25.5785
950.000000 84.394 26.2028
962.000000 84.510 26.5772
975.000000 84.636 27.1365
988.000000 84.758 27.5315
1000.000000 84.850 28.2652
1015.000000 84.960 28.7097
1030.000000 85.084 29.1567
1044.000000 85.159 29.4896
1060.000000 85.253 30.0878
1075.000000 85.381 30.5110
1090.000000 85.450 30.7960
1106.000000 85.571 30.8647
1120.000000 85.663 31.3782
1138.000000 85.754 31.6978
1150.000000 85.833 31.8053
1172.000000 86.015 32.0652
1180.000000 86.053 32.1888
1206.000000 86.247 32.3358
1220.000000 86.384 32.3816
1241.000000 86.539 32.5296
1250.000000 86.623 32.5438
1265.000000 86.727 32.6673
1280.000000 86.829 32.7193
1315.000000 87.008 32.6868
1320.000000 87.029 32.7245
1340.000000 87.101 32.7664
1360.000000 87.130 32.8789
1380.000000 87.173 33.1021
1400.000000 87.247 33.0294
1430.000000 87.353 32.9826
1450.000000 87.410 33.0928
1475.000000 87.511 33.2068
1500.000000 87.668 33.0132
1525.000000 87.795 33.0237
1550.000000 87.938 33.0685
1575.000000 88.025 32.9300
1600.000000 88.111 33.1231
1625.000000 88.215 33.0057
1650.000000 88.289 32.8505
1675.000000 88.343 32.9454
1700.000000 88.379 32.9867
1725.000000 88.444 32.7773
1750.000000 88.542 32.8883
1775.000000 88.653 32.7032
1800.000000 88.802 32.5266
1825.000000 88.962 32.3494
1850.000000 89.067 32.0766
1875.000000 89.163 32.0318
1900.000000 89.235 31.8141
1925.000000 89.288 31.4414
1950.000000 89.355 31.3274
1975.000000 89.401 31.0941
2000.000000 89.480 30.4694
2030.000000 89.555 30.3944
2060.000000 89.657 30.0348
2090.000000 89.778 29.5247
2120.000000 89.887 29.0558
2140.000000 89.949 28.8486
2180.000000 90.063 28.2606
2200.000000 90.119 27.8509
2240.000000 90.212 27.3052
2270.000000 90.246 26.7888
2300.000000 90.296 26.3643
2330.000000 90.293 25.7887
2360.000000 90.315 25.4820
2400.000000 90.355 24.7360
2430.000000 90.411 24.2362
2470.000000 90.483 23.7462
2500.000000 90.542 23.0639
2540.000000 90.626 22.5487
2580.000000 90.726 21.7412
2620.000000 90.786 20.8897
2650.000000 90.816 20.3512
2690.000000 90.823 19.3323
2720.000000 90.825 18.5548
2760.000000 90.748 17.4928
2800.000000 90.666 16.6552
2850.000000 90.552 15.5766
2900.000000 90.495 14.9070
2950.000000 90.443 14.3735
3000.000000 90.368 14.4564
3040.000000 90.314 14.1566
3070.000000 90.261 14.1878
3110.000000 90.222 14.4824
3150.000000 90.215 14.3187
3200.000000 90.174 14.6643
3250.000000 90.174 14.9581
3300.000000 90.284 14.8512
3350.000000 90.367 15.0532
3400.000000 90.459 15.1593
3450.000000 90.560 14.9433
3500.000000 90.702 15.0571
3550.000000 90.849 14.6021
3600.000000 90.962 14.3158
3650.000000 91.057 13.7943
3700.000000 91.189 13.0245
3750.000000 91.294 12.1356
3820.000000 91.407 10.9831
3870.000000 91.447 10.0900
3950.000000 91.488 8.7066
4000.000000 91.437 8.0679
4060.000000 91.404 7.7118
4120.000000 91.578 8.3195
4180.000000 91.891 6.3255
4250.000000 91.975 3.3875
4310.000000 92.007 1.4342
4370.000000 92.039 -0.6890
4440.000000 92.008 -3.4102
4500.000000 91.930 -5.7021
4550.000000 91.847 -7.7870
4620.000000 91.629 -10.4766
4680.000000 91.366 -12.4058
4750.000000 91.027 -14.9794
4820.000000 90.591 -16.6911
4870.000000 90.269 -17.5858
4940.000000 89.799 -18.4596
5000.000000 89.361 -18.2421
5080.000000 88.934 -17.7900
5150.000000 88.562 -16.4817
5220.000000 88.180 -14.9451
5300.000000 87.877 -13.2542
5380.000000 87.649 -11.6442
5450.000000 87.465 -10.1563
5520.000000 87.301 -8.6844
5600.000000 87.234 -7.1169
5700.000000 87.240 -5.3029
5800.000000 87.231 -3.6195
5900.000000 87.216 -2.1742
