* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 12:57:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L divinus velvet wide 1442
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.254 33.8010
20.600000 94.239 32.9339
20.900000 94.223 32.2121
21.200001 94.215 31.5074
21.400000 94.214 31.0213
21.799999 94.219 29.9984
22.000000 94.222 29.4665
22.400000 94.221 28.4004
22.700001 94.216 27.6368
23.000000 94.208 26.9249
23.299999 94.200 26.2566
23.600000 94.195 25.6115
24.000000 94.191 24.7488
24.299999 94.189 24.0754
24.700001 94.187 23.1293
25.000000 94.185 22.3878
25.400000 94.179 21.3782
25.799999 94.168 20.3901
26.200001 94.150 19.4824
26.500000 94.135 18.8807
26.900000 94.118 18.1838
27.200001 94.108 17.7109
27.600000 94.101 17.0850
28.000000 94.094 16.4026
28.500000 94.079 15.4515
29.000000 94.058 14.4586
29.500000 94.042 13.4846
30.000000 94.035 12.5340
30.400000 94.028 11.7953
30.700001 94.017 11.2727
31.100000 93.992 10.6466
31.500000 93.959 10.0998
32.000000 93.915 9.4535
32.500000 93.869 8.7428
33.000000 93.820 7.9581
33.500000 93.778 7.1839
34.000000 93.759 6.4528
34.500000 93.763 5.6926
35.000000 93.765 4.8728
35.500000 93.739 4.1100
36.000000 93.692 3.5357
36.500000 93.654 3.0937
37.000000 93.637 2.5557
37.500000 93.621 1.7885
38.200001 93.567 0.5616
38.700001 93.514 -0.1639
39.500000 93.449 -1.0006
40.000000 93.413 -1.4306
40.599998 93.364 -1.8746
41.200001 93.322 -2.3080
41.799999 93.297 -2.9274
42.500000 93.259 -3.9241
43.099998 93.208 -4.7168
43.700001 93.164 -5.2797
44.400002 93.136 -5.8524
45.000000 93.107 -6.4567
45.500000 93.067 -6.9980
46.200001 93.011 -7.7133
46.799999 92.983 -8.3168
47.500000 92.960 -9.0274
48.200001 92.929 -9.6376
48.700001 92.901 -10.0152
49.400002 92.855 -10.5766
50.000000 92.806 -11.1217
50.799999 92.741 -11.9032
51.500000 92.689 -12.6287
52.200001 92.633 -13.2280
53.000000 92.597 -13.5488
53.799999 92.617 -13.8602
54.500000 92.611 -14.4172
55.200001 92.545 -14.9711
56.000000 92.463 -15.4363
57.000000 92.409 -16.3034
58.000000 92.336 -17.1818
59.000000 92.271 -17.6602
60.000000 92.203 -18.2052
60.799999 92.143 -18.6980
61.500000 92.094 -19.1664
62.200001 92.034 -19.5904
63.000000 91.961 -19.9582
64.000000 91.881 -20.5590
65.000000 91.798 -21.2747
66.000000 91.734 -21.7387
67.000000 91.690 -21.9040
68.000000 91.648 -22.2231
69.000000 91.543 -22.6914
70.000000 91.460 -22.9013
71.000000 91.403 -23.4640
72.000000 91.290 -24.0455
73.000000 91.212 -24.5741
74.000000 91.148 -25.2696
75.000000 91.090 -25.6780
76.199997 91.037 -25.9864
77.500000 90.962 -26.1876
78.800003 90.876 -26.4918
80.000000 90.792 -26.8974
81.199997 90.711 -27.4117
82.500000 90.621 -27.7547
83.800003 90.526 -27.9622
85.000000 90.480 -28.2390
86.199997 90.418 -28.7141
87.500000 90.324 -28.9352
88.500000 90.264 -29.1433
90.000000 90.180 -29.5947
91.199997 90.109 -30.0786
92.500000 90.021 -30.3155
93.800003 89.952 -30.4461
95.000000 89.870 -30.5893
96.199997 89.815 -30.8321
97.500000 89.751 -30.8550
98.800003 89.680 -30.8389
100.000000 89.615 -31.0591
101.500000 89.524 -31.4599
103.000000 89.451 -31.5608
104.400002 89.389 -31.8860
106.000000 89.297 -32.0514
107.500000 89.226 -32.2093
109.000000 89.140 -32.2805
110.599998 89.076 -32.4106
112.000000 88.994 -32.6573
113.800003 88.949 -32.6678
115.000000 88.873 -32.6811
117.199997 88.786 -32.9747
118.000000 88.746 -32.9347
120.599998 88.589 -32.8479
122.000000 88.506 -33.0045
124.099998 88.399 -33.2685
125.000000 88.359 -33.2283
126.500000 88.318 -33.2289
128.000000 88.232 -33.0931
131.500000 88.091 -32.8197
132.000000 88.069 -32.7913
134.000000 87.944 -32.6621
136.000000 87.860 -32.8785
138.000000 87.798 -32.7629
140.000000 87.706 -32.7606
143.000000 87.616 -32.9692
145.000000 87.572 -32.7431
147.500000 87.468 -32.7879
150.000000 87.382 -32.7163
152.500000 87.263 -32.5184
155.000000 87.164 -32.3299
157.500000 87.038 -32.0424
160.000000 86.951 -31.5548
162.500000 86.843 -31.3404
165.000000 86.756 -31.2461
167.500000 86.693 -31.0906
170.000000 86.601 -30.9977
172.500000 86.552 -30.9494
175.000000 86.500 -30.8360
177.500000 86.450 -30.8131
180.000000 86.403 -30.7006
182.500000 86.333 -30.4514
185.000000 86.243 -30.0982
187.500000 86.150 -29.7434
190.000000 86.045 -29.4061
192.500000 85.979 -29.0267
195.000000 85.892 -28.7093
197.500000 85.824 -28.3298
200.000000 85.752 -28.2180
203.000000 85.688 -27.7593
206.000000 85.650 -27.6348
209.000000 85.596 -27.5446
212.000000 85.552 -27.3489
214.000000 85.568 -27.1591
218.000000 85.549 -26.7449
220.000000 85.512 -26.5310
224.000000 85.467 -26.2831
227.000000 85.420 -25.9786
230.000000 85.378 -25.6827
233.000000 85.338 -25.3963
236.000000 85.291 -24.9670
240.000000 85.187 -24.5919
243.000000 85.143 -24.1553
247.000000 85.059 -23.7153
250.000000 85.008 -23.2604
254.000000 84.934 -22.9894
258.000000 84.896 -22.6595
262.000000 84.857 -22.2754
265.000000 84.840 -22.0430
269.000000 84.796 -21.7536
272.000000 84.763 -21.4079
276.000000 84.762 -21.0770
280.000000 84.711 -20.8264
285.000000 84.648 -20.2225
290.000000 84.595 -19.7457
295.000000 84.529 -19.2209
300.000000 84.476 -18.6748
304.000000 84.440 -18.2746
307.000000 84.404 -18.0099
311.000000 84.384 -17.6631
315.000000 84.362 -17.4275
320.000000 84.354 -17.0593
325.000000 84.329 -16.7058
330.000000 84.313 -16.1861
335.000000 84.269 -15.8029
340.000000 84.248 -15.3120
345.000000 84.216 -14.9590
350.000000 84.169 -14.4285
355.000000 84.135 -14.0433
360.000000 84.107 -13.6010
365.000000 84.087 -13.2736
370.000000 84.069 -12.8585
375.000000 84.042 -12.4654
382.000000 84.030 -12.0308
387.000000 84.028 -11.7092
395.000000 83.994 -11.1577
400.000000 83.965 -10.7371
406.000000 83.926 -10.1944
412.000000 83.911 -9.6968
418.000000 83.899 -9.2173
425.000000 83.872 -8.7720
431.000000 83.883 -8.5124
437.000000 83.881 -8.0711
444.000000 83.882 -7.6706
450.000000 83.871 -7.1436
455.000000 83.859 -6.9154
462.000000 83.857 -6.4254
468.000000 83.828 -6.1260
475.000000 83.804 -5.5860
482.000000 83.770 -5.0446
487.000000 83.748 -4.7907
494.000000 83.727 -4.2780
500.000000 83.710 -3.9188
508.000000 83.697 -3.4367
515.000000 83.694 -3.0851
522.000000 83.683 -2.5301
530.000000 83.683 -2.0941
538.000000 83.660 -1.6209
545.000000 83.668 -1.1862
552.000000 83.657 -0.7492
560.000000 83.661 -0.2303
570.000000 83.668 0.3616
580.000000 83.641 0.8825
590.000000 83.628 1.5769
600.000000 83.605 2.2308
608.000000 83.599 2.7605
615.000000 83.569 3.1772
622.000000 83.562 3.5971
630.000000 83.539 4.2521
640.000000 83.544 5.0796
650.000000 83.550 5.6663
660.000000 83.562 6.3506
670.000000 83.604 6.8402
680.000000 83.637 7.4669
690.000000 83.667 8.0685
700.000000 83.681 8.6515
710.000000 83.692 9.2062
720.000000 83.698 9.9646
730.000000 83.702 10.5217
740.000000 83.724 11.1968
750.000000 83.741 11.7568
762.000000 83.781 12.5031
775.000000 83.824 13.2538
788.000000 83.876 14.0979
800.000000 83.906 14.7766
812.000000 83.945 15.4279
825.000000 83.983 16.2933
838.000000 84.033 17.0193
850.000000 84.100 17.7445
862.000000 84.164 18.4116
875.000000 84.220 19.1151
885.000000 84.276 19.7167
900.000000 84.362 20.4610
912.000000 84.427 21.0312
925.000000 84.511 21.7447
938.000000 84.585 22.3565
950.000000 84.644 22.8452
962.000000 84.717 23.4714
975.000000 84.813 24.0117
988.000000 84.908 24.4411
1000.000000 84.967 24.6771
1015.000000 85.125 25.4360
1030.000000 85.252 25.8341
1044.000000 85.365 26.3092
1060.000000 85.510 26.6583
1075.000000 85.629 27.0247
1090.000000 85.735 27.2685
1106.000000 85.847 27.5107
1120.000000 85.929 27.7837
1138.000000 86.045 28.0741
1150.000000 86.095 28.1039
1172.000000 86.210 28.3847
1180.000000 86.260 28.4521
1206.000000 86.397 28.7031
1220.000000 86.493 28.6732
1241.000000 86.647 28.7346
1250.000000 86.703 28.7455
1265.000000 86.813 28.7908
1280.000000 86.911 28.7302
1315.000000 87.136 28.6604
1320.000000 87.157 28.7307
1340.000000 87.264 28.6469
1360.000000 87.353 28.6491
1380.000000 87.442 28.7025
1400.000000 87.510 28.6402
1430.000000 87.621 28.5804
1450.000000 87.689 28.5451
1475.000000 87.778 28.4720
1500.000000 87.879 28.4769
1525.000000 87.982 28.3984
1550.000000 88.087 28.2642
1575.000000 88.192 28.2510
1600.000000 88.288 28.1773
1625.000000 88.375 28.0971
1650.000000 88.471 27.9720
1675.000000 88.564 27.8829
1700.000000 88.665 27.7653
1725.000000 88.746 27.6186
1750.000000 88.843 27.4584
1775.000000 88.910 27.3169
1800.000000 88.974 27.1267
1825.000000 89.058 26.9223
1850.000000 89.116 26.6647
1875.000000 89.187 26.5412
1900.000000 89.254 26.1794
1925.000000 89.334 25.9395
1950.000000 89.406 25.7282
1975.000000 89.461 25.3818
2000.000000 89.502 25.1313
2030.000000 89.622 24.6300
2060.000000 89.710 24.2435
2090.000000 89.803 23.8119
2120.000000 89.892 23.2457
2140.000000 89.963 22.9671
2180.000000 90.073 22.2741
2200.000000 90.118 21.8425
2240.000000 90.183 21.2575
2270.000000 90.230 20.6763
2300.000000 90.266 20.1131
2330.000000 90.300 19.6122
2360.000000 90.343 19.1038
2400.000000 90.416 18.2814
2430.000000 90.441 17.7860
2470.000000 90.485 17.0993
2500.000000 90.528 16.5184
2540.000000 90.598 15.6441
2580.000000 90.645 14.9576
2620.000000 90.705 14.1595
2650.000000 90.748 13.3515
2690.000000 90.796 12.3910
2720.000000 90.810 11.5880
2760.000000 90.816 10.3885
2800.000000 90.776 9.2385
2850.000000 90.685 8.0147
2900.000000 90.585 6.8135
2950.000000 90.472 5.9904
3000.000000 90.370 5.6134
3040.000000 90.292 5.0927
3070.000000 90.247 4.8794
3110.000000 90.183 4.6901
3150.000000 90.151 4.5396
3200.000000 90.128 4.4626
3250.000000 90.118 4.4004
3300.000000 90.110 4.3858
3350.000000 90.117 4.1522
3400.000000 90.100 4.1800
3450.000000 90.099 3.9853
3500.000000 90.138 3.7701
3550.000000 90.200 3.3585
3600.000000 90.249 2.9763
3650.000000 90.295 2.5179
3700.000000 90.339 1.7575
3750.000000 90.412 1.0144
3820.000000 90.471 -0.2082
3870.000000 90.471 -1.0170
3950.000000 90.441 -2.3201
4000.000000 90.383 -3.1755
4060.000000 90.298 -3.5664
4120.000000 90.317 -3.0419
4180.000000 90.601 -4.4518
4250.000000 90.627 -6.9524
4310.000000 90.593 -8.4386
4370.000000 90.532 -9.8348
4440.000000 90.441 -11.6200
4500.000000 90.320 -13.0815
4550.000000 90.196 -14.2456
4620.000000 89.993 -15.9152
4680.000000 89.789 -17.2451
4750.000000 89.524 -18.6783
4820.000000 89.226 -19.8028
4870.000000 89.001 -20.4475
4940.000000 88.675 -21.0817
5000.000000 88.400 -21.1935
5080.000000 87.992 -21.3613
5150.000000 87.635 -21.0100
5220.000000 87.324 -20.5050
5300.000000 86.978 -19.5931
5380.000000 86.653 -18.2444
5450.000000 86.401 -16.9925
5520.000000 86.174 -15.6376
5600.000000 85.968 -13.7302
5700.000000 85.768 -11.3434
5800.000000 85.580 -8.4925
