* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 2:22:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L he sonic 1537
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.330 33.7440
20.600000 94.362 32.7631
20.900000 94.367 31.9076
21.200001 94.351 31.1289
21.400000 94.334 30.6588
21.799999 94.290 29.8196
22.000000 94.269 29.4316
22.400000 94.239 28.6588
22.700001 94.229 28.0270
23.000000 94.228 27.3132
23.299999 94.230 26.5259
23.600000 94.230 25.7075
24.000000 94.223 24.6675
24.299999 94.215 24.0007
24.700001 94.211 23.2904
25.000000 94.221 22.8361
25.400000 94.248 22.1953
25.799999 94.272 21.3720
26.200001 94.266 20.3606
26.500000 94.235 19.5699
26.900000 94.165 18.6208
27.200001 94.110 18.0506
27.600000 94.061 17.4452
28.000000 94.053 16.8412
28.500000 94.076 15.8293
29.000000 94.079 14.5484
29.500000 94.043 13.3006
30.000000 94.004 12.3220
30.400000 93.999 11.6797
30.700001 94.012 11.1988
31.100000 94.034 10.5018
31.500000 94.041 9.7855
32.000000 94.011 9.0369
32.500000 93.961 8.5642
33.000000 93.929 8.2061
33.500000 93.930 7.6508
34.000000 93.941 6.7384
34.500000 93.933 5.6453
35.000000 93.904 4.7049
35.500000 93.879 4.1176
36.000000 93.880 3.7307
36.500000 93.894 3.1994
37.000000 93.873 2.3401
37.500000 93.787 1.3312
38.200001 93.618 0.2673
38.700001 93.544 -0.1826
39.500000 93.530 -1.0277
40.000000 93.520 -1.6550
40.599998 93.488 -2.1820
41.200001 93.487 -2.5624
41.799999 93.503 -3.2731
42.500000 93.446 -4.4433
43.099998 93.341 -5.0639
43.700001 93.287 -5.2920
44.400002 93.294 -5.7882
45.000000 93.268 -6.4891
45.500000 93.210 -6.9105
46.200001 93.150 -7.2726
46.799999 93.131 -7.8991
47.500000 93.076 -9.0196
48.200001 93.018 -9.8657
48.700001 93.027 -10.3003
49.400002 93.070 -11.1237
50.000000 93.043 -11.9045
50.799999 92.952 -12.4541
51.500000 92.940 -12.9330
52.200001 92.936 -13.9479
53.000000 92.837 -14.8030
53.799999 92.759 -14.6211
54.500000 92.762 -14.6254
55.200001 92.716 -15.2500
56.000000 92.583 -15.8129
57.000000 92.527 -16.0845
58.000000 92.484 -17.2442
59.000000 92.290 -17.9417
60.000000 92.260 -17.9840
60.799999 92.274 -18.8841
61.500000 92.161 -19.6316
62.200001 92.027 -19.5308
63.000000 92.018 -19.2710
64.000000 92.024 -20.5080
65.000000 91.814 -21.6105
66.000000 91.684 -21.5019
67.000000 91.681 -21.8548
68.000000 91.680 -22.6997
69.000000 91.626 -23.7417
70.000000 91.477 -23.9274
71.000000 91.397 -23.4935
72.000000 91.359 -23.6933
73.000000 91.315 -24.3796
74.000000 91.233 -25.0876
75.000000 91.121 -25.4922
76.199997 90.996 -25.6744
77.500000 91.029 -25.6959
78.800003 91.024 -26.5388
80.000000 90.905 -27.4588
81.199997 90.743 -28.4261
82.500000 90.654 -28.5406
83.800003 90.621 -28.4672
85.000000 90.593 -28.5084
86.199997 90.585 -28.8317
87.500000 90.513 -29.1984
88.500000 90.422 -29.6619
90.000000 90.232 -30.5214
91.199997 90.110 -30.6394
92.500000 89.968 -30.8569
93.800003 89.851 -31.0202
95.000000 89.741 -31.1762
96.199997 89.620 -31.0172
97.500000 89.528 -31.3221
98.800003 89.398 -31.2991
100.000000 89.310 -31.3928
101.500000 89.241 -31.5864
103.000000 89.202 -31.6055
104.400002 89.120 -31.6367
106.000000 89.064 -31.9246
107.500000 89.017 -32.3893
109.000000 88.984 -32.9337
110.599998 88.977 -33.3117
112.000000 88.955 -33.4405
113.800003 88.945 -33.5672
115.000000 88.916 -33.2489
117.199997 88.776 -33.0883
118.000000 88.711 -33.2674
120.599998 88.578 -33.9786
122.000000 88.584 -34.1564
124.099998 88.549 -33.6531
125.000000 88.473 -33.2742
126.500000 88.279 -32.9950
128.000000 88.116 -33.4753
131.500000 88.078 -33.0932
132.000000 88.031 -32.8328
134.000000 87.831 -33.2352
136.000000 87.851 -33.4777
138.000000 87.731 -32.3335
140.000000 87.527 -33.4389
143.000000 87.525 -32.7147
145.000000 87.422 -33.7627
147.500000 87.380 -32.5559
150.000000 87.299 -33.5981
152.500000 87.137 -33.0045
155.000000 87.114 -32.4985
157.500000 86.934 -32.7366
160.000000 86.807 -32.1025
162.500000 86.763 -31.8446
165.000000 86.615 -31.9332
167.500000 86.512 -31.4614
170.000000 86.445 -31.3824
172.500000 86.340 -31.2039
175.000000 86.243 -31.1462
177.500000 86.207 -30.7990
180.000000 86.159 -30.8062
182.500000 86.093 -30.5003
185.000000 86.038 -30.2603
187.500000 85.969 -30.0575
190.000000 85.918 -29.6548
192.500000 85.877 -29.5744
195.000000 85.794 -29.4626
197.500000 85.746 -29.1372
200.000000 85.660 -28.8909
203.000000 85.601 -28.7242
206.000000 85.544 -28.2368
209.000000 85.456 -27.8361
212.000000 85.411 -27.4375
214.000000 85.377 -27.2155
218.000000 85.300 -26.9252
220.000000 85.271 -26.6466
224.000000 85.207 -26.2317
227.000000 85.183 -26.1406
230.000000 85.178 -25.8582
233.000000 85.174 -25.7617
236.000000 85.115 -25.5617
240.000000 85.023 -25.2453
243.000000 84.959 -24.8903
247.000000 84.876 -24.1228
250.000000 84.803 -23.6277
254.000000 84.716 -23.0238
258.000000 84.666 -22.5439
262.000000 84.598 -22.2263
265.000000 84.556 -22.1286
269.000000 84.546 -21.9545
272.000000 84.533 -21.8703
276.000000 84.525 -21.5124
280.000000 84.490 -21.0515
285.000000 84.463 -20.3403
290.000000 84.409 -19.9729
295.000000 84.350 -19.4084
300.000000 84.314 -18.9789
304.000000 84.276 -18.6764
307.000000 84.260 -18.4575
311.000000 84.228 -18.0426
315.000000 84.205 -17.7576
320.000000 84.175 -17.2169
325.000000 84.138 -16.7819
330.000000 84.130 -16.3778
335.000000 84.113 -16.0417
340.000000 84.074 -15.6691
345.000000 84.060 -15.2156
350.000000 84.034 -14.9564
355.000000 84.000 -14.3272
360.000000 83.977 -13.7328
365.000000 83.951 -13.5246
370.000000 83.935 -13.0717
375.000000 83.926 -12.7115
382.000000 83.935 -12.4154
387.000000 83.939 -12.0891
395.000000 83.898 -11.4431
400.000000 83.891 -11.0416
406.000000 83.859 -10.5727
412.000000 83.817 -10.1551
418.000000 83.794 -9.7068
425.000000 83.735 -9.3130
431.000000 83.684 -8.9643
437.000000 83.660 -8.4731
444.000000 83.602 -7.8081
450.000000 83.558 -7.4412
455.000000 83.544 -6.9816
462.000000 83.525 -6.6245
468.000000 83.509 -6.2918
475.000000 83.489 -5.8569
482.000000 83.494 -5.3907
487.000000 83.493 -5.0057
494.000000 83.480 -4.6247
500.000000 83.463 -4.2961
508.000000 83.441 -3.7099
515.000000 83.450 -3.2035
522.000000 83.438 -2.7410
530.000000 83.429 -2.1782
538.000000 83.409 -1.8147
545.000000 83.438 -1.5073
552.000000 83.437 -0.9838
560.000000 83.435 -0.4856
570.000000 83.425 0.2850
580.000000 83.420 0.8331
590.000000 83.390 1.4760
600.000000 83.389 2.0239
608.000000 83.371 2.5431
615.000000 83.376 3.0912
622.000000 83.365 3.6005
630.000000 83.365 4.2126
640.000000 83.351 4.8431
650.000000 83.351 5.5371
660.000000 83.365 6.1230
670.000000 83.387 6.7928
680.000000 83.400 7.5488
690.000000 83.441 8.0595
700.000000 83.465 8.6292
710.000000 83.471 9.3924
720.000000 83.490 9.9192
730.000000 83.530 10.5997
740.000000 83.542 11.1612
750.000000 83.577 11.7470
762.000000 83.624 12.5797
775.000000 83.654 13.2569
788.000000 83.717 14.0920
800.000000 83.745 14.7954
812.000000 83.782 15.4583
825.000000 83.823 16.3340
838.000000 83.866 17.1048
850.000000 83.900 17.8368
862.000000 83.950 18.3976
875.000000 83.993 19.1605
885.000000 84.053 19.8067
900.000000 84.120 20.5869
912.000000 84.189 21.1938
925.000000 84.253 21.7978
938.000000 84.339 22.5245
950.000000 84.427 23.0384
962.000000 84.516 23.4943
975.000000 84.598 24.0367
988.000000 84.707 24.6064
1000.000000 84.805 24.9288
1015.000000 84.882 25.6146
1030.000000 84.993 26.0620
1044.000000 85.105 26.5418
1060.000000 85.242 26.7975
1075.000000 85.359 27.1785
1090.000000 85.488 27.5762
1106.000000 85.606 27.7853
1120.000000 85.695 28.0141
1138.000000 85.835 28.3093
1150.000000 85.892 28.3735
1172.000000 86.032 28.5427
1180.000000 86.078 28.6756
1206.000000 86.237 28.9047
1220.000000 86.322 28.9650
1241.000000 86.460 28.9456
1250.000000 86.519 29.1106
1265.000000 86.605 29.0078
1280.000000 86.684 29.0848
1315.000000 86.872 29.0627
1320.000000 86.900 29.1592
1340.000000 86.977 29.1193
1360.000000 87.060 29.1110
1380.000000 87.159 29.0734
1400.000000 87.238 29.0772
1430.000000 87.375 29.0367
1450.000000 87.473 29.0305
1475.000000 87.590 28.9727
1500.000000 87.704 28.9387
1525.000000 87.807 28.9570
1550.000000 87.915 28.8333
1575.000000 88.017 28.6941
1600.000000 88.109 28.8929
1625.000000 88.184 28.6593
1650.000000 88.262 28.6240
1675.000000 88.309 28.6926
1700.000000 88.381 28.6143
1725.000000 88.528 28.3237
1750.000000 88.614 28.0630
1775.000000 88.687 28.0220
1800.000000 88.725 27.9113
1825.000000 88.793 27.7859
1850.000000 88.841 27.5841
1875.000000 88.909 27.4011
1900.000000 88.968 27.1847
1925.000000 89.040 27.0221
1950.000000 89.110 26.7580
1975.000000 89.192 26.4617
2000.000000 89.281 26.3475
2030.000000 89.354 25.9455
2060.000000 89.422 25.6439
2090.000000 89.504 25.2692
2120.000000 89.605 24.9018
2140.000000 89.670 24.5610
2180.000000 89.807 23.9750
2200.000000 89.873 23.5162
2240.000000 89.993 22.8540
2270.000000 90.072 22.3053
2300.000000 90.165 21.6613
2330.000000 90.227 21.0836
2360.000000 90.279 20.5592
2400.000000 90.346 19.7564
2430.000000 90.395 19.0969
2470.000000 90.439 18.3513
2500.000000 90.451 17.8638
2540.000000 90.497 17.0241
2580.000000 90.550 16.1533
2620.000000 90.584 15.3487
2650.000000 90.625 14.7044
2690.000000 90.675 13.6399
2720.000000 90.710 12.8146
2760.000000 90.728 11.6502
2800.000000 90.700 10.5664
2850.000000 90.628 9.2277
2900.000000 90.529 8.1133
2950.000000 90.418 7.3586
3000.000000 90.281 6.9534
3040.000000 90.189 6.5824
3070.000000 90.136 6.4673
3110.000000 90.097 6.2411
3150.000000 90.056 6.2546
3200.000000 90.030 6.2300
3250.000000 90.031 6.2072
3300.000000 90.047 6.1943
3350.000000 90.066 6.2515
3400.000000 90.101 6.1563
3450.000000 90.133 6.1102
3500.000000 90.180 5.9927
3550.000000 90.234 5.6633
3600.000000 90.298 5.2874
3650.000000 90.377 4.7819
3700.000000 90.445 4.0744
3750.000000 90.505 3.2979
3820.000000 90.576 2.1512
3870.000000 90.618 1.1326
3950.000000 90.637 -0.2376
4000.000000 90.647 -0.9828
4060.000000 90.597 -1.7939
4120.000000 90.582 -1.5046
4180.000000 90.841 -2.7079
4250.000000 90.864 -5.4139
4310.000000 90.809 -6.9927
4370.000000 90.753 -8.4398
4440.000000 90.671 -10.2905
4500.000000 90.573 -11.8207
4550.000000 90.472 -13.0944
4620.000000 90.292 -14.9230
4680.000000 90.087 -16.2692
4750.000000 89.821 -17.6673
4820.000000 89.544 -18.8975
4870.000000 89.341 -19.4977
4940.000000 88.994 -20.2138
5000.000000 88.733 -20.6719
5080.000000 88.312 -20.5513
5150.000000 87.974 -20.3951
5220.000000 87.665 -19.8542
5300.000000 87.315 -19.0552
5380.000000 86.976 -17.7838
5450.000000 86.724 -16.5921
5520.000000 86.486 -15.3928
5600.000000 86.281 -13.6883
5700.000000 86.045 -11.4015
5800.000000 85.865 -8.8476
