* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 3:56:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L radius zone clear 1626
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.992 33.5209
20.600000 93.992 32.5983
20.900000 93.980 31.7664
21.200001 93.964 30.9570
21.400000 93.954 30.4289
21.799999 93.938 29.3925
22.000000 93.932 28.8796
22.400000 93.926 27.8562
22.700001 93.924 27.0903
23.000000 93.923 26.3315
23.299999 93.921 25.5883
23.600000 93.919 24.8663
24.000000 93.917 23.9387
24.299999 93.916 23.2628
24.700001 93.916 22.3728
25.000000 93.915 21.7035
25.400000 93.909 20.8047
25.799999 93.894 19.9107
26.200001 93.870 19.0451
26.500000 93.848 18.4260
26.900000 93.819 17.6419
27.200001 93.801 17.0745
27.600000 93.784 16.3244
28.000000 93.774 15.5620
28.500000 93.767 14.5942
29.000000 93.756 13.6512
29.500000 93.740 12.7648
30.000000 93.719 11.9165
30.400000 93.697 11.2351
30.700001 93.677 10.7151
31.100000 93.644 10.0204
31.500000 93.611 9.3442
32.000000 93.577 8.5427
32.500000 93.559 7.7699
33.000000 93.552 6.9941
33.500000 93.541 6.2265
34.000000 93.518 5.5142
34.500000 93.486 4.8715
35.000000 93.451 4.2519
35.500000 93.415 3.5928
36.000000 93.375 2.8823
36.500000 93.335 2.1524
37.000000 93.296 1.4299
37.500000 93.262 0.7186
38.200001 93.214 -0.2292
38.700001 93.182 -0.8312
39.500000 93.144 -1.6928
40.000000 93.125 -2.2401
40.599998 93.092 -2.9160
41.200001 93.047 -3.5566
41.799999 93.001 -4.1802
42.500000 92.952 -4.9889
43.099998 92.905 -5.7248
43.700001 92.859 -6.3837
44.400002 92.822 -7.0583
45.000000 92.799 -7.6644
45.500000 92.771 -8.1966
46.200001 92.715 -8.8739
46.799999 92.667 -9.3459
47.500000 92.620 -9.8564
48.200001 92.574 -10.4007
48.700001 92.538 -10.8155
49.400002 92.484 -11.4412
50.000000 92.438 -12.0152
50.799999 92.380 -12.7530
51.500000 92.339 -13.3194
52.200001 92.304 -13.8555
53.000000 92.251 -14.4735
53.799999 92.181 -15.0447
54.500000 92.121 -15.4793
55.200001 92.065 -15.8803
56.000000 92.000 -16.3171
57.000000 91.914 -16.8593
58.000000 91.836 -17.4911
59.000000 91.782 -18.1578
60.000000 91.752 -18.8428
60.799999 91.714 -19.3545
61.500000 91.672 -19.7001
62.200001 91.632 -20.0368
63.000000 91.579 -20.5155
64.000000 91.492 -21.1239
65.000000 91.410 -21.6536
66.000000 91.347 -22.1668
67.000000 91.291 -22.7243
68.000000 91.221 -23.1625
69.000000 91.171 -23.4981
70.000000 91.124 -23.9340
71.000000 91.065 -24.2403
72.000000 91.013 -24.5580
73.000000 90.940 -24.9784
74.000000 90.865 -25.3220
75.000000 90.797 -25.6805
76.199997 90.696 -26.1336
77.500000 90.589 -26.6500
78.800003 90.499 -27.1442
80.000000 90.426 -27.5375
81.199997 90.349 -27.8902
82.500000 90.275 -28.1766
83.800003 90.204 -28.4185
85.000000 90.132 -28.6288
86.199997 90.052 -28.8864
87.500000 89.958 -29.1986
88.500000 89.889 -29.4813
90.000000 89.784 -29.9421
91.199997 89.711 -30.2607
92.500000 89.631 -30.5655
93.800003 89.551 -30.7707
95.000000 89.490 -30.9516
96.199997 89.422 -31.1311
97.500000 89.352 -31.2812
98.800003 89.285 -31.4450
100.000000 89.221 -31.5630
101.500000 89.130 -31.6895
103.000000 89.033 -31.8684
104.400002 88.946 -32.0878
106.000000 88.850 -32.3088
107.500000 88.769 -32.5083
109.000000 88.684 -32.6527
110.599998 88.599 -32.7681
112.000000 88.531 -32.8579
113.800003 88.440 -32.8577
115.000000 88.372 -32.8489
117.199997 88.255 -32.8337
118.000000 88.210 -32.8309
120.599998 88.074 -33.0012
122.000000 88.002 -33.0203
124.099998 87.903 -33.1254
125.000000 87.862 -33.1620
126.500000 87.797 -33.1070
128.000000 87.724 -33.1683
131.500000 87.567 -32.9894
132.000000 87.548 -32.9899
134.000000 87.454 -32.8893
136.000000 87.353 -32.7814
138.000000 87.262 -32.5908
140.000000 87.166 -32.3979
143.000000 87.036 -32.0361
145.000000 86.956 -31.8134
147.500000 86.868 -31.4404
150.000000 86.800 -31.1057
152.500000 86.746 -30.7354
155.000000 86.703 -30.5053
157.500000 86.672 -30.3601
160.000000 86.632 -30.3400
162.500000 86.577 -30.3671
165.000000 86.503 -30.3244
167.500000 86.434 -30.2431
170.000000 86.357 -30.1607
172.500000 86.284 -30.0370
175.000000 86.196 -29.8046
177.500000 86.125 -29.6096
180.000000 86.053 -29.4098
182.500000 85.976 -29.2006
185.000000 85.900 -29.0287
187.500000 85.837 -28.8195
190.000000 85.766 -28.5908
192.500000 85.706 -28.3770
195.000000 85.637 -28.1277
197.500000 85.586 -27.8493
200.000000 85.527 -27.5186
203.000000 85.454 -27.2262
206.000000 85.380 -26.9027
209.000000 85.329 -26.5449
212.000000 85.258 -26.2207
214.000000 85.223 -26.0294
218.000000 85.140 -25.6088
220.000000 85.106 -25.3658
224.000000 85.030 -24.8632
227.000000 84.969 -24.4650
230.000000 84.897 -24.1142
233.000000 84.858 -23.5912
236.000000 84.793 -23.1689
240.000000 84.739 -22.4472
243.000000 84.722 -21.9883
247.000000 84.677 -21.4269
250.000000 84.675 -21.0145
254.000000 84.663 -20.5565
258.000000 84.647 -20.2094
262.000000 84.643 -19.8051
265.000000 84.647 -19.6469
269.000000 84.608 -19.2956
272.000000 84.592 -19.1096
276.000000 84.574 -18.8745
280.000000 84.529 -18.6092
285.000000 84.479 -18.3418
290.000000 84.432 -17.9557
295.000000 84.385 -17.4929
300.000000 84.337 -17.1296
304.000000 84.289 -16.7731
307.000000 84.261 -16.5011
311.000000 84.237 -16.1703
315.000000 84.208 -15.7562
320.000000 84.192 -15.3486
325.000000 84.163 -14.9721
330.000000 84.155 -14.5559
335.000000 84.133 -14.2275
340.000000 84.118 -13.8451
345.000000 84.083 -13.3974
350.000000 84.047 -13.0961
355.000000 83.998 -12.5688
360.000000 83.958 -12.1260
365.000000 83.940 -11.7162
370.000000 83.909 -11.3624
375.000000 83.897 -10.9717
382.000000 83.867 -10.5512
387.000000 83.851 -10.2127
395.000000 83.819 -9.6448
400.000000 83.807 -9.2787
406.000000 83.778 -8.8179
412.000000 83.736 -8.3481
418.000000 83.716 -7.8941
425.000000 83.676 -7.2979
431.000000 83.666 -6.9037
437.000000 83.654 -6.5560
444.000000 83.641 -6.1576
450.000000 83.641 -5.6983
455.000000 83.627 -5.3756
462.000000 83.607 -4.8378
468.000000 83.600 -4.4842
475.000000 83.574 -3.9601
482.000000 83.555 -3.4998
487.000000 83.522 -3.1706
494.000000 83.513 -2.6415
500.000000 83.490 -2.2488
508.000000 83.472 -1.7553
515.000000 83.472 -1.2570
522.000000 83.465 -0.8329
530.000000 83.464 -0.3490
538.000000 83.453 0.1143
545.000000 83.448 0.5430
552.000000 83.428 0.9516
560.000000 83.412 1.4743
570.000000 83.398 2.1627
580.000000 83.383 2.9286
590.000000 83.369 3.4268
600.000000 83.353 4.1872
608.000000 83.346 4.7833
615.000000 83.346 5.2481
622.000000 83.338 5.7758
630.000000 83.338 6.3292
640.000000 83.357 7.0660
650.000000 83.357 7.6894
660.000000 83.384 8.3348
670.000000 83.392 8.9796
680.000000 83.418 9.5432
690.000000 83.435 10.2861
700.000000 83.443 10.9488
710.000000 83.467 11.5278
720.000000 83.475 12.1655
730.000000 83.509 12.8335
740.000000 83.519 13.3876
750.000000 83.553 14.0779
762.000000 83.573 14.8586
775.000000 83.610 15.6975
788.000000 83.666 16.4481
800.000000 83.701 17.2169
812.000000 83.760 17.9010
825.000000 83.805 18.7433
838.000000 83.864 19.4765
850.000000 83.923 20.2356
862.000000 83.984 20.8899
875.000000 84.045 21.6894
885.000000 84.102 22.2629
900.000000 84.162 23.0740
912.000000 84.243 23.6993
925.000000 84.317 24.3503
938.000000 84.407 25.0736
950.000000 84.486 25.5691
962.000000 84.567 26.0900
975.000000 84.660 26.6772
988.000000 84.744 27.2148
1000.000000 84.806 27.5788
1015.000000 84.940 28.2240
1030.000000 85.059 28.7578
1044.000000 85.168 29.1967
1060.000000 85.294 29.6296
1075.000000 85.401 30.0245
1090.000000 85.508 30.3696
1106.000000 85.635 30.6440
1120.000000 85.742 30.9394
1138.000000 85.860 31.1730
1150.000000 85.934 31.3757
1172.000000 86.079 31.5879
1180.000000 86.135 31.7492
1206.000000 86.303 31.9613
1220.000000 86.393 31.9892
1241.000000 86.529 32.1737
1250.000000 86.583 32.1665
1265.000000 86.663 32.2770
1280.000000 86.747 32.3341
1315.000000 86.929 32.3880
1320.000000 86.952 32.4264
1340.000000 87.032 32.4405
1360.000000 87.125 32.5072
1380.000000 87.223 32.5137
1400.000000 87.303 32.5335
1430.000000 87.445 32.5813
1450.000000 87.534 32.6173
1475.000000 87.642 32.5632
1500.000000 87.749 32.6040
1525.000000 87.856 32.5809
1550.000000 87.955 32.6348
1575.000000 88.045 32.6738
1600.000000 88.148 32.5906
1625.000000 88.253 32.5707
1650.000000 88.347 32.5260
1675.000000 88.448 32.4816
1700.000000 88.552 32.3944
1725.000000 88.654 32.2567
1750.000000 88.746 32.2260
1775.000000 88.834 32.0918
1800.000000 88.920 31.9239
1825.000000 89.001 31.7528
1850.000000 89.091 31.5788
1875.000000 89.177 31.3616
1900.000000 89.256 31.1147
1925.000000 89.340 30.9519
1950.000000 89.422 30.6753
1975.000000 89.495 30.4104
2000.000000 89.576 30.1389
2030.000000 89.663 29.7482
2060.000000 89.754 29.3671
2090.000000 89.834 28.9362
2120.000000 89.910 28.5205
2140.000000 89.951 28.2446
2180.000000 90.043 27.6580
2200.000000 90.091 27.3432
2240.000000 90.172 26.7531
2270.000000 90.237 26.2959
2300.000000 90.294 25.8092
2330.000000 90.345 25.4024
2360.000000 90.384 24.9273
2400.000000 90.444 24.4170
2430.000000 90.482 24.0163
2470.000000 90.542 23.4866
2500.000000 90.597 23.0274
2540.000000 90.679 22.3951
2580.000000 90.776 21.6528
2620.000000 90.853 20.7368
2650.000000 90.905 20.0744
2690.000000 90.951 18.9830
2720.000000 90.964 18.2007
2760.000000 90.958 17.0725
2800.000000 90.920 15.9660
2850.000000 90.820 14.8879
2900.000000 90.704 14.0556
2950.000000 90.599 13.5072
3000.000000 90.522 13.3388
3040.000000 90.482 13.1568
3070.000000 90.470 13.1412
3110.000000 90.462 13.0810
3150.000000 90.466 13.1182
3200.000000 90.479 13.1159
3250.000000 90.498 13.0510
3300.000000 90.515 12.9984
3350.000000 90.537 12.9429
3400.000000 90.582 12.7781
3450.000000 90.623 12.5866
3500.000000 90.674 12.3213
3550.000000 90.734 12.0033
3600.000000 90.815 11.6435
3650.000000 90.900 11.1390
3700.000000 90.975 10.6164
3750.000000 91.061 9.8598
3820.000000 91.150 8.7861
3870.000000 91.184 7.9781
3950.000000 91.230 6.7451
4000.000000 91.260 5.9815
4060.000000 91.237 5.2523
4120.000000 91.328 5.6858
4180.000000 91.631 3.7943
4250.000000 91.657 0.9039
4310.000000 91.628 -0.9837
4370.000000 91.589 -2.7358
4440.000000 91.503 -4.8526
4500.000000 91.391 -6.6812
4550.000000 91.276 -8.1126
4620.000000 91.069 -10.0000
4680.000000 90.852 -11.4643
4750.000000 90.586 -13.0094
4820.000000 90.271 -14.1427
4870.000000 90.038 -14.8061
4940.000000 89.712 -15.3398
5000.000000 89.423 -15.5199
5080.000000 89.058 -15.5938
5150.000000 88.749 -15.3681
5220.000000 88.466 -14.7139
5300.000000 88.164 -13.8511
5380.000000 87.879 -12.6261
5450.000000 87.675 -11.4386
5520.000000 87.499 -10.2310
5600.000000 87.331 -8.7411
5700.000000 87.169 -6.8150
5800.000000 87.053 -4.9240
5900.000000 86.977 -3.2017
