* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 4:10:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L sancai regular 1640
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.636 48.6464
20.600000 91.675 47.6578
20.900000 91.700 46.7145
21.200001 91.716 45.7624
21.400000 91.725 45.1385
21.799999 91.740 43.9362
22.000000 91.749 43.3631
22.400000 91.776 42.2678
22.700001 91.802 41.4747
23.000000 91.830 40.6930
23.299999 91.858 39.9231
23.600000 91.884 39.1723
24.000000 91.914 38.2114
24.299999 91.936 37.5191
24.700001 91.966 36.6128
25.000000 91.988 35.9257
25.400000 92.014 34.9877
25.799999 92.031 34.0467
26.200001 92.041 33.1463
26.500000 92.046 32.5122
26.900000 92.057 31.7055
27.200001 92.070 31.0975
27.600000 92.089 30.2426
28.000000 92.101 29.3341
28.500000 92.096 28.2097
29.000000 92.078 27.2236
29.500000 92.067 26.3841
30.000000 92.072 25.5629
30.400000 92.080 24.8454
30.700001 92.081 24.2754
31.100000 92.075 23.5195
31.500000 92.064 22.8123
32.000000 92.057 22.0074
32.500000 92.062 21.2353
33.000000 92.068 20.4552
33.500000 92.067 19.6959
34.000000 92.057 18.9933
34.500000 92.045 18.3217
35.000000 92.032 17.6263
35.500000 92.015 16.8905
36.000000 91.996 16.1448
36.500000 91.981 15.4128
37.000000 91.969 14.6904
37.500000 91.958 13.9739
38.200001 91.935 13.0102
38.700001 91.916 12.3549
39.500000 91.889 11.2978
40.000000 91.873 10.6254
40.599998 91.853 9.8550
41.200001 91.834 9.1704
41.799999 91.817 8.5756
42.500000 91.797 7.9529
43.099998 91.779 7.4065
43.700001 91.757 6.7910
44.400002 91.723 6.0192
45.000000 91.691 5.3941
45.500000 91.669 4.9219
46.200001 91.645 4.2988
46.799999 91.622 3.7637
47.500000 91.588 3.1262
48.200001 91.547 2.4833
48.700001 91.521 2.0297
49.400002 91.495 1.4056
50.000000 91.481 0.8727
50.799999 91.464 0.1730
51.500000 91.441 -0.4077
52.200001 91.411 -0.9753
53.000000 91.371 -1.6442
53.799999 91.331 -2.3327
54.500000 91.297 -2.9249
55.200001 91.265 -3.4696
56.000000 91.228 -4.0235
57.000000 91.173 -4.6729
58.000000 91.105 -5.2900
59.000000 91.045 -5.9715
60.000000 90.986 -6.7021
60.799999 90.943 -7.2390
61.500000 90.907 -7.7044
62.200001 90.867 -8.1364
63.000000 90.825 -8.5344
64.000000 90.785 -8.9774
65.000000 90.740 -9.4587
66.000000 90.688 -10.0048
67.000000 90.633 -10.5418
68.000000 90.585 -11.0391
69.000000 90.531 -11.5808
70.000000 90.473 -12.1475
71.000000 90.420 -12.6838
72.000000 90.374 -13.1027
73.000000 90.325 -13.5116
74.000000 90.265 -13.8908
75.000000 90.217 -14.2200
76.199997 90.153 -14.6481
77.500000 90.084 -15.0455
78.800003 90.027 -15.5257
80.000000 89.966 -15.8662
81.199997 89.896 -16.3352
82.500000 89.829 -16.8775
83.800003 89.770 -17.3474
85.000000 89.704 -17.6473
86.199997 89.639 -18.0613
87.500000 89.568 -18.4634
88.500000 89.524 -18.7511
90.000000 89.460 -19.1830
91.199997 89.408 -19.4748
92.500000 89.335 -19.7528
93.800003 89.265 -20.0129
95.000000 89.197 -20.2907
96.199997 89.134 -20.5158
97.500000 89.070 -20.7940
98.800003 89.004 -21.1293
100.000000 88.938 -21.3841
101.500000 88.857 -21.6956
103.000000 88.774 -21.9267
104.400002 88.690 -22.1694
106.000000 88.600 -22.3281
107.500000 88.528 -22.5152
109.000000 88.458 -22.5586
110.599998 88.366 -22.6556
112.000000 88.299 -22.8270
113.800003 88.222 -22.9994
115.000000 88.167 -23.1125
117.199997 88.085 -23.4371
118.000000 88.057 -23.5352
120.599998 87.950 -23.8319
122.000000 87.901 -24.0395
124.099998 87.824 -24.2554
125.000000 87.787 -24.3220
126.500000 87.736 -24.4013
128.000000 87.673 -24.3953
131.500000 87.512 -24.3419
132.000000 87.488 -24.3224
134.000000 87.400 -24.2428
136.000000 87.298 -24.2379
138.000000 87.209 -24.3389
140.000000 87.123 -24.3009
143.000000 86.991 -24.2514
145.000000 86.917 -24.2121
147.500000 86.833 -24.2193
150.000000 86.765 -24.0729
152.500000 86.683 -23.9994
155.000000 86.615 -23.8969
157.500000 86.533 -23.7676
160.000000 86.462 -23.6920
162.500000 86.380 -23.5438
165.000000 86.305 -23.3988
167.500000 86.225 -23.0804
170.000000 86.150 -22.8326
172.500000 86.085 -22.4252
175.000000 86.015 -22.1155
177.500000 85.969 -21.7919
180.000000 85.920 -21.5095
182.500000 85.887 -21.3408
185.000000 85.867 -21.0735
187.500000 85.820 -21.0310
190.000000 85.789 -20.8820
192.500000 85.748 -20.8983
195.000000 85.737 -20.4816
197.500000 85.690 -20.3024
200.000000 85.639 -20.4617
203.000000 85.644 -20.1083
206.000000 85.514 -19.9556
209.000000 85.544 -20.0936
212.000000 85.446 -19.7365
214.000000 85.427 -19.7250
218.000000 85.352 -19.5768
220.000000 85.302 -19.4004
224.000000 85.225 -19.1614
227.000000 85.173 -18.9680
230.000000 85.118 -18.6817
233.000000 85.055 -18.4939
236.000000 85.016 -18.2878
240.000000 84.940 -17.9958
243.000000 84.895 -17.7583
247.000000 84.842 -17.4091
250.000000 84.796 -17.1437
254.000000 84.741 -16.8573
258.000000 84.697 -16.4076
262.000000 84.653 -16.1174
265.000000 84.605 -15.9206
269.000000 84.574 -15.4176
272.000000 84.549 -15.1417
276.000000 84.508 -14.7381
280.000000 84.469 -14.3390
285.000000 84.426 -13.8896
290.000000 84.392 -13.4747
295.000000 84.345 -13.0131
300.000000 84.322 -12.5291
304.000000 84.289 -12.1685
307.000000 84.264 -11.8919
311.000000 84.261 -11.5033
315.000000 84.231 -11.0383
320.000000 84.210 -10.4965
325.000000 84.210 -9.9412
330.000000 84.232 -9.5751
335.000000 84.261 -9.1975
340.000000 84.263 -9.0273
345.000000 84.254 -8.9074
350.000000 84.227 -8.7749
355.000000 84.205 -8.6767
360.000000 84.173 -8.5504
365.000000 84.135 -8.2365
370.000000 84.090 -7.9249
375.000000 84.054 -7.5122
382.000000 84.029 -6.9686
387.000000 84.003 -6.6377
395.000000 83.982 -6.2034
400.000000 83.970 -5.9238
406.000000 83.961 -5.5908
412.000000 83.942 -5.2280
418.000000 83.926 -4.8856
425.000000 83.897 -4.5064
431.000000 83.864 -4.1090
437.000000 83.837 -3.8669
444.000000 83.813 -3.3460
450.000000 83.782 -3.0155
455.000000 83.760 -2.7245
462.000000 83.756 -2.2655
468.000000 83.744 -1.9001
475.000000 83.728 -1.6127
482.000000 83.729 -1.2661
487.000000 83.733 -0.9335
494.000000 83.727 -0.5832
500.000000 83.711 -0.1759
508.000000 83.677 0.3408
515.000000 83.672 0.7230
522.000000 83.651 1.1710
530.000000 83.643 1.6080
538.000000 83.616 2.0174
545.000000 83.617 2.3850
552.000000 83.599 2.6625
560.000000 83.583 3.1978
570.000000 83.561 3.7791
580.000000 83.550 4.3975
590.000000 83.536 4.9114
600.000000 83.519 5.5222
608.000000 83.510 6.1032
615.000000 83.507 6.4921
622.000000 83.498 7.0248
630.000000 83.495 7.5190
640.000000 83.492 8.1681
650.000000 83.499 8.8078
660.000000 83.508 9.4397
670.000000 83.524 10.1012
680.000000 83.535 10.6081
690.000000 83.552 11.3112
700.000000 83.574 11.8478
710.000000 83.589 12.5133
720.000000 83.606 13.0323
730.000000 83.620 13.6527
740.000000 83.640 14.2003
750.000000 83.665 14.8411
762.000000 83.698 15.6294
775.000000 83.716 16.3513
788.000000 83.744 17.1059
800.000000 83.777 17.9122
812.000000 83.821 18.5283
825.000000 83.871 19.2539
838.000000 83.927 20.0581
850.000000 83.987 20.7136
862.000000 84.051 21.4356
875.000000 84.122 22.1536
885.000000 84.170 22.5881
900.000000 84.259 23.4246
912.000000 84.329 24.0354
925.000000 84.402 24.6287
938.000000 84.484 25.2619
950.000000 84.556 25.8340
962.000000 84.645 26.3920
975.000000 84.733 26.9077
988.000000 84.809 27.4111
1000.000000 84.861 27.7105
1015.000000 85.007 28.3787
1030.000000 85.121 28.8982
1044.000000 85.230 29.2642
1060.000000 85.350 29.7155
1075.000000 85.464 30.0773
1090.000000 85.583 30.3916
1106.000000 85.711 30.7750
1120.000000 85.805 30.9328
1138.000000 85.925 31.1372
1150.000000 86.023 31.3073
1172.000000 86.165 31.5291
1180.000000 86.218 31.6144
1206.000000 86.375 31.7773
1220.000000 86.470 31.8330
1241.000000 86.601 31.8607
1250.000000 86.653 31.9005
1265.000000 86.724 31.8686
1280.000000 86.818 31.9672
1315.000000 87.007 31.9600
1320.000000 87.027 31.9361
1340.000000 87.132 31.9465
1360.000000 87.231 31.9645
1380.000000 87.321 31.9245
1400.000000 87.412 31.8940
1430.000000 87.543 31.8534
1450.000000 87.624 31.9050
1475.000000 87.728 31.8086
1500.000000 87.814 31.7487
1525.000000 87.913 31.7266
1550.000000 88.005 31.6887
1575.000000 88.103 31.6262
1600.000000 88.199 31.5113
1625.000000 88.287 31.4877
1650.000000 88.381 31.3084
1675.000000 88.488 31.2934
1700.000000 88.578 31.1724
1725.000000 88.676 31.0204
1750.000000 88.766 30.8638
1775.000000 88.856 30.6994
1800.000000 88.940 30.5275
1825.000000 89.018 30.3357
1850.000000 89.096 30.1223
1875.000000 89.174 29.9087
1900.000000 89.246 29.6897
1925.000000 89.317 29.4147
1950.000000 89.401 29.1692
1975.000000 89.497 28.8622
2000.000000 89.559 28.5691
2030.000000 89.702 28.1247
2060.000000 89.788 27.6659
2090.000000 89.883 27.2409
2120.000000 89.957 26.7533
2140.000000 90.007 26.4691
2180.000000 90.088 25.8008
2200.000000 90.128 25.5114
2240.000000 90.191 24.8579
2270.000000 90.258 24.2888
2300.000000 90.310 23.7789
2330.000000 90.367 23.2170
2360.000000 90.423 22.7394
2400.000000 90.486 22.0317
2430.000000 90.529 21.5017
2470.000000 90.570 20.7600
2500.000000 90.608 20.2569
2540.000000 90.658 19.5009
2580.000000 90.703 18.7267
2620.000000 90.767 17.9029
2650.000000 90.806 17.2380
2690.000000 90.845 16.2532
2720.000000 90.859 15.5024
2760.000000 90.853 14.3636
2800.000000 90.822 13.3013
2850.000000 90.772 12.0739
2900.000000 90.678 11.1305
2950.000000 90.604 10.4219
3000.000000 90.502 10.0399
3040.000000 90.439 9.6223
3070.000000 90.393 9.4455
3110.000000 90.346 9.3006
3150.000000 90.305 9.2587
3200.000000 90.274 9.2211
3250.000000 90.266 9.1639
3300.000000 90.256 9.1882
3350.000000 90.279 9.1857
3400.000000 90.313 9.0866
3450.000000 90.370 9.0557
3500.000000 90.416 8.8563
3550.000000 90.501 8.5905
3600.000000 90.570 8.1572
3650.000000 90.664 7.5763
3700.000000 90.748 6.8988
3750.000000 90.815 6.0647
3820.000000 90.869 4.8267
3870.000000 90.890 3.8840
3950.000000 90.879 2.5829
4000.000000 90.880 1.7888
4060.000000 90.804 1.1420
4120.000000 90.844 1.6305
4180.000000 91.122 -0.0528
4250.000000 91.118 -2.6836
4310.000000 91.065 -4.3188
4370.000000 91.007 -5.8919
4440.000000 90.912 -7.7957
4500.000000 90.785 -9.4143
4550.000000 90.699 -10.7855
4620.000000 90.506 -12.4728
4680.000000 90.306 -13.8377
4750.000000 90.053 -15.0835
4820.000000 89.775 -16.2505
4870.000000 89.567 -16.8783
4940.000000 89.228 -17.4958
5000.000000 88.963 -17.6486
5080.000000 88.598 -17.8355
5150.000000 88.268 -17.4359
5220.000000 87.981 -17.0218
5300.000000 87.698 -16.2279
5380.000000 87.364 -15.0256
5450.000000 87.127 -13.8762
5520.000000 86.924 -12.6625
5600.000000 86.722 -11.0095
5700.000000 86.495 -9.0560
5800.000000 86.339 -6.8489
5900.000000 86.233 -4.6993
6000.000000 86.208 -2.4901
