* Measurement data measured by REW V5.20.14
* Source: EQ Objectively Neutral IE Tar Filtered
* Format: 
* Dated: Aug 25, 2024 10:19:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -23.0 dB
* Note: Measurement imported from /Users/sharuraudio/Downloads/Objectively Neutral IE Target.txt Format: Comma/Tab/Space delimited data 177 values loaded, 20 Hz to 20,000 Hz  PK       Fc    2000 Hz  Gain  -2.50 dB  Q  2.000 PK       Fc    2700 Hz  Gain  -3.00 dB  Q  2.000 HS Q     Fc    4000 Hz  Gain   1.80 dB Q  0.700 PK       Fc   750.0 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    3170 Hz  Gain  -0.30 dB  Q  2.000
* Measurement: EQ Objectively Neutral IE Tar
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
19.952816 69.374
20.202816 69.395
20.452816 69.416
20.702816 69.436
20.952816 69.456
21.202816 69.475
21.452816 69.493
21.702816 69.509
21.952816 69.525
22.202816 69.541
22.452816 69.555
22.702816 69.568
22.952816 69.579
23.202816 69.588
23.452816 69.596
23.702816 69.608
23.952816 69.620
24.202816 69.631
24.452816 69.637
24.702816 69.639
24.952816 69.640
25.202816 69.641
25.452816 69.644
25.702816 69.647
25.952816 69.651
26.202816 69.657
26.452816 69.663
26.702816 69.669
26.952816 69.672
27.202816 69.674
27.452816 69.673
27.702816 69.671
27.952816 69.663
28.202816 69.654
28.452816 69.646
28.702816 69.640
28.952816 69.639
29.202816 69.640
29.452816 69.640
29.702816 69.638
29.952816 69.633
30.202816 69.626
30.452816 69.619
30.702816 69.611
30.952816 69.604
31.202816 69.595
31.452816 69.587
31.702816 69.579
31.952816 69.570
32.202816 69.562
32.452816 69.553
32.702816 69.544
32.952816 69.536
33.202816 69.527
33.452816 69.518
33.702816 69.509
33.952816 69.498
34.202816 69.487
34.452816 69.475
34.702816 69.463
34.952816 69.451
35.202816 69.439
35.452816 69.427
35.702816 69.415
35.952816 69.403
36.202816 69.391
36.452816 69.378
36.702816 69.365
36.952816 69.351
37.202816 69.338
37.452816 69.323
37.702816 69.309
37.952816 69.295
38.202816 69.280
38.452816 69.265
38.702816 69.251
38.952816 69.236
39.202816 69.222
39.452816 69.207
39.702816 69.193
39.952816 69.178
